nama_produk,harga,rating,jumlah_terjual,lokasi_penjual,kategori,brand,platform
Hp ZTE A53 Pro Ram 4GB Internal 64GB Garansi Resmi,1.199.000,,,Kota Pekanbaru,Hp,Zte,Bliblii
ZTE Nubia Neo 3 5G 8/256GB Garansi Resmi Indonesia,2.799.000,,,Kota Cimahi,Hp,Zte,Bliblii
Hp ZTE Blade A72 Ram 3GB Internal 128GB Garansi Resmi,2.099.000,,,Kota Pekanbaru,Hp,Zte,Bliblii
Hp ZTE Blade A52 Ram 4GB Internal 64GB Garansi Resmi,1.849.000,,,Kota Pekanbaru,Hp,Zte,Bliblii
Hp ZTE Blade V40 Vita Ram 4GB Internal 128GB Garansi Resmi,2.399.000,,,Kota Pekanbaru,Hp,Zte,Bliblii
ZTE NUBIA V70 DESIGN RAM 8+8GB/128GB 8+8GB/256GB GARANSI RESMI,1.867.000,,,,Hp,Zte,Bliblii
ZTE Blade A54 [4GB+128GB]-[4GB+64GB] Garansi Resmi,1.025.000,5.0,Terjual 1,,Hp,Zte,Bliblii
"ZTE Nubia Neo 2 5G (Ram 8+12GB, Rom 256GB, 6000mAh, Game Changer)",2.499.000,5.0,Terjual 1,,Hp,Zte,Bliblii
"ZTE Blade A35 (RAM 4GB, ROM 64GB, Extended RAM 8GB, 90Hz Refresh Rate)",999.000,,,,Hp,Zte,Bliblii
nubia V70 8/128 8/256 Garansi resmi,2.256.000,,,,Hp,Zte,Bliblii
ZTE Blade A52 [ 4GB / 64GB ] Smartphone - Garansi Resmi,1.725.000,,,Kota Jakarta Pusat,Hp,Zte,Bliblii
"Nubia A36 4/64GB [Smartphone Kamera AI 13MP, Layar 6.75"" 90Hz, Baterai 5000mAh] - Garansi Resmi",1.599.000,,Terjual 6,Kota Madiun,Hp,Zte,Bliblii
ZTE NUBIA NEO3 GT 5G 8GB/256GB - GARANSI RESMI,3.170.000,,Terjual 2,Kota Jakarta Pusat,Hp,Zte,Bliblii
"Nubia A56 4/128GB [Smartphone Kamera AI 13MP Triple Camera Layar 6.75"" ,90Hz, Baterai 5000mAh] - Garansi Resmi",1.699.000,5.0,Terjual 1,Kota Madiun,Hp,Zte,Bliblii
ZTE NUBIA NEO3 GT 5G 8GB 256GB garansi resmi,3.999.000,,,Kota Jakarta Utara,Hp,Zte,Bliblii
ZTE NUBIA NEO3 5G ( 8GB/256GB ) GARANSI RESMI,2.668.000,5.0,Terjual 7,Kota Jakarta Pusat,Hp,Zte,Bliblii
Hp Zte blade A52 4/64GB,1.900.000,5.0,Terjual 2,,Hp,Zte,Bliblii
ZTE Nubia Neo 3 GT 8/256GB Garansi Resmi Indonesia,3.299.000,,,Kota Cimahi,Hp,Zte,Bliblii
ZTE Nubia A56 4/128GB Garansi Resmi,1.499.000,,,,Hp,Zte,Bliblii
ZTE NUBIA NEO 3 GT 5G 8/256 GARANSI RESMI,2.885.000,,,,Hp,Zte,Bliblii
"ZTE Nubia Focus Pro 5G (Ram 8GB, Rom 256GB, AI Photography)",2.899.000,,,,Hp,Zte,Bliblii
ZTE Nubia Neo 3 5G 8/256GB NFC Garansi Resmi,2.799.000,,,,Hp,Zte,Bliblii
ZTE nubia Neo 3 GT 5G - 8GB/256GB,3.260.000,,,,Hp,Zte,Bliblii
"ZTE Nubia V70 Design (Ram 8GB, Rom 128GB, 120Hz Refresh rate)",1.459.000,,,,Hp,Zte,Bliblii
ZTE Nubia Neo 3 5G 8/256GB NFC Garansi Resmi,2.799.000,,,,Hp,Zte,Bliblii
zte nubia v70 design 8/128 garansi resmi,1.596.000,,Terjual 1,,Hp,Zte,Bliblii
ZTE BLADE A35 4/64GB - SMARTPHONE,999.000,5.0,Terjual 2,,Hp,Zte,Bliblii
ZTE NUBIA NEO 2 5G | NEO 3 5G - SMARTPHONE,2.739.000,5.0,Terjual 1,,Hp,Zte,Bliblii
ZTE NUBIA V60 6/256GB | 8/256GB - SMARTPHONE,1.472.000,,,,Hp,Zte,Bliblii
ZTE Blade A54 4/128 New Garansi Resmi,1.087.000,,,,Hp,Zte,Bliblii
ZTE Nubia Neo 3 5G 8/256GB NFC Garansi Resmi,2.799.000,,,Kota Semarang,Hp,Zte,Bliblii
ZTE nubia Neo 3 GT 5G Box Edition - 8GB/256GB,2.895.000,,,,Hp,Zte,Bliblii
ZTE nubia Neo 3 5G - 8GB/256GB,2.790.000,,,,Hp,Zte,Bliblii
Nubia Neo 3 5G 8/56GB 6000 mAh Fast Charging 33W | Nubia Neo 3 GT Garansi Resmi,2.793.000,,,Kota Jakarta Pusat,Hp,Zte,Bliblii
NUBIA V70 MAX 6/128GB,1.349.000,,Terjual 6,Kota Surabaya,Hp,Zte,Bliblii
ZTE NUBIA NEO 5G 8/256GB - SMARTPHONE,2.251.000,,,,Hp,Zte,Bliblii
ZTE NUBIAFOCUS PRO 8/256GB - SMARTPHONE,2.834.000,,,,Hp,Zte,Bliblii
ZTE V50 8/128GB 8/256GB - SMARTPHONE,1.445.000,,,,Hp,Zte,Bliblii
ZTE BLADE A54 4/64GB 4/128GB - SMARTPHONE,1.044.000,,,,Hp,Zte,Bliblii
ZTE BLADE A55 4/128GB - SMARTPHONE,1.104.000,,,,Hp,Zte,Bliblii
ZTE Blade A52 [ 4GB / 64GB ] Smartphone - Garansi Resmi,1.725.000,,,Kota Jakarta Pusat,Hp,Zte,Bliblii
Zte Nubia Neo 3 GT 5G 8/256GB | Amoled 6.8inch | Unisoc T9100 | 6000mAh | Garansi Resmi,3.092.000,,,Kota Jakarta Barat,Hp,Zte,Bliblii
"ZTE Nubia A76 5G 8/128GB | 6.75"" | Unisoc T8300 | 5000 mAh | Garansi Resmi",1.922.000,,,Kota Jakarta Barat,Hp,Zte,Bliblii
Zte nubia A36 4/64GB | IPS LCD 6.75inc | Unisoc T7200 | Baterai 5000mAh | Garansi Resmi,1.527.000,,,Kota Jakarta Barat,Hp,Zte,Bliblii
"ZTE Nubia V80 Max 6/128GB 8/128GB | 6.9"" | Unisoc T7250 | NFC | 6000mAh | Garansi Resmi",1.664.000,,,Kota Jakarta Barat,Hp,Zte,Bliblii
