nama_produk,harga,rating,jumlah_terjual,lokasi_penjual,kategori,brand,kondisi,platform
Asus Zenfone Go 1/8 Gb WIFI ONLY | NEW,Rp199.000,5.0,8 Terjual,Jakarta Barat,Hp,Asus,Baru,Shopee
Handphone Asus Z007 ZENFONE C 1/8 GB Second Original,Rp135.000,5.0,4 Terjual,Kab. Bogor,Hp,Asus,Baru,Shopee
ASUS ZENFONE 4 MAX 3/32GB & ASUS ZENFONE 4 MAX PRO 3/32GB,Rp399.000,3.9,20 Terjual,Jakarta Barat,Hp,Asus,Baru,Shopee
Asus Zenfone Max M2 Android Gaming SD Gen6,Rp455.000,5.0,2 Terjual,Kab. Bogor,Hp,Asus,Baru,Shopee
ASUS ZENFONE 2 LASER 3/32GB NEW,Rp349.000,4.3,7 Terjual,Jakarta Barat,Hp,Asus,Baru,Shopee
ASUS Zenfone Flash,Rp9.000,4.9,155 Terjual,Jakarta Pusat,Hp,Asus,Baru,Shopee
ASUS ZENFONE 2 2/16 GB | (ZE550ML),Rp299.000,,,Jakarta Barat,Hp,Asus,Baru,Shopee
Asus Zenfone Live,Rp275.000,,,Kab. Bogor,Hp,Asus,Baru,Shopee
ASSUS ZENFONE C/ASSUS_Z007 NORMAL SIAP PAKAI,Rp200.000,5.0,2 Terjual,Kab. Cirebon,Hp,Asus,Baru,Shopee
ASUS ZENFONE MAX PLUS 4/64GB NEW 100%,Rp599.000,3.0,6 Terjual,Jakarta Barat,Hp,Asus,Baru,Shopee
Asus Zenfone L1 2/16 (Android 8),Rp250.000,,,Jakarta Timur,Hp,Asus,Baru,Shopee
Asus Z007 ZENFONE C 1/8 GB Second Original,Rp135.000,3.5,4 Terjual,Kab. Bogor,Hp,Asus,Baru,Shopee
Asus zenfone selfie 3/32GB,Rp215.000,,,Kab. Bogor,Hp,Asus,Baru,Shopee
"Asus Zenfone 5Q 4/64 - Warna White, Ex Garansi Resmi",Rp625.000,,,Surabaya,Hp,Asus,Baru,Shopee
Asus Zenfone 4 Selfie Pro ZD552KL Smartphone - Deepsea Black [64 GB/4 GB],Rp500.000,4.9,24 Terjual,Bandung,Hp,Asus,Baru,Shopee
Asus Zenfone max pro m1,Rp965.000,4.9,45 Terjual,Kab. Banyumas,Hp,Asus,Baru,Shopee
