nama_produk,harga,rating,jumlah_terjual,lokasi_penjual,kategori,brand,platform
SAMSUNG SMARTPHONE A22 RAM 6/128GB - SAMSUNG A22 6/128GB,2.999.000,,Terjual 2,,Hp,Samsung,Bliblii
Samsung Galaxy A51 Smartphone [6GB/128GB],4.899.000,,,,Hp,Samsung,Bliblii
Samsung Galaxy A71 Smartphone [128GB/8GB],6.999.000,,,,Hp,Samsung,Bliblii
Samsung Galaxy Note 10 Smartphone [256GB/8GB],13.999.000,,,,Hp,Samsung,Bliblii
Samsung Galaxy Note 10+ Smartphone [256GB/12GB],16.499.000,,,,Hp,Samsung,Bliblii
Samsung Galaxy Z Fold7 [12/256GB] [12/512GB] [12/1TB]- Smartphone AI | Hp Lipat | Kamera 200MP | 4400 mAh,28.499.000,,,,Hp,Samsung,Bliblii
Samsung Galaxy S20 Smartphone - Grey,12.000.000,,Terjual 5,,Hp,Samsung,Bliblii
Samsung Galaxy A51 Smartphone [8/128 GB],4.699.000,,Terjual 9,,Hp,Samsung,Bliblii
Samsung Galaxy A23 Smartphone [6/128 GB],3.299.000,,,,Hp,Samsung,Bliblii
Hp Samsung A17 5G Ram 8GB Internal 256GB Garansi Resmi,4.599.000,,Terjual 2,Kota Pekanbaru,Hp,Samsung,Bliblii
HP Samsung A57 5G Ram 8GB Internal 256GB Garansi Resmi,7.599.000,,,Kota Pekanbaru,Hp,Samsung,Bliblii
Hp Samsung Galaxy S21 FE ram 8/128 Gb dan 8/256 Gb Smartphone,7.188.000,,,,Hp,Samsung,Bliblii
Samsung Galaxy S20+ Smartphone [8/ 128 GB],16.999.000,,,,Hp,Samsung,Bliblii
Samsung Galaxy A05 Smartphone [4GB/128GB],1.599.000,,,,Hp,Samsung,Bliblii
Samsung Galaxy A01 Smartphone [2 GB/ 16 GB],1.799.000,,Terjual 13,,Hp,Samsung,Bliblii
Samsung Galaxy A11 Smartphone [32 GB/ /3 GB],1.939.030,,,,Hp,Samsung,Bliblii
Samsung Galaxy A11 Smartphone [32 GB/ /3 GB],2.099.000,,,,Hp,Samsung,Bliblii
Samsung Galaxy A31 Smartphone [6 GB/ 128 GB],3.499.000,,Terjual 1,,Hp,Samsung,Bliblii
Samsung Galaxy A32 Smartphone [128 GB/ 8 GB],3.800.000,,Terjual 208,,Hp,Samsung,Bliblii
Samsung Galaxy A31 Smartphone [6 GB/ 128 GB],3.879.030,,,,Hp,Samsung,Bliblii
Samsung Galaxy A51 Smartphone [6GB/ 128GB],4.090.000,,,,Hp,Samsung,Bliblii
Samsung Galaxy A31 Smartphone [6 GB/ 128 GB],4.199.000,,Terjual 1,,Hp,Samsung,Bliblii
Samsung Galaxy A51 Smartphone [6GB/128GB],4.599.000,,,,Hp,Samsung,Bliblii
Pre-order,4.700.000,,Terjual 35,,Hp,Samsung,Bliblii
Samsung Galaxy A51 Smartphone [128GB/8GB],4.799.000,,,,Hp,Samsung,Bliblii
Samsung Galaxy A51 Smartphone [128GB/8GB],4.849.030,,,,Hp,Samsung,Bliblii
Samsung Galaxy A51 Smartphone [128GB/8GB],5.699.000,,Terjual 1,,Hp,Samsung,Bliblii
Samsung Galaxy A71 Smartphone [8GB/128GB],6.195.000,,Terjual 1,,Hp,Samsung,Bliblii
Samsung Galaxy A71 Smartphone [128GB/8GB],6.199.000,,Terjual 1,,Hp,Samsung,Bliblii
Samsung Galaxy Note 10+ Smartphone [256GB/12GB],16.499.000,,,,Hp,Samsung,Bliblii
Samsung Galaxy A80 Smartphone [128GB/8GB],8.500.000,5,Terjual 8,,Hp,Samsung,Bliblii
Samsung Galaxy A13 Smartphone [4GB/128GB],2.499.000,,Terjual 11,,Hp,Samsung,Bliblii
Samsung Galaxy M21 Smartphone [4 GB- 64 GB],3.249.000,,,,Hp,Samsung,Bliblii
Samsung Galaxy A51 Smartphone [6GB/128GB],4.655.030,,,,Hp,Samsung,Bliblii
Samsung Galaxy A51 Smartphone [128GB/8GB],4.999.000,,Terjual 1,,Hp,Samsung,Bliblii
Samsung Galaxy A52 Smartphone [256 GB/ 8 GB],5.099.000,,Terjual 9,,Hp,Samsung,Bliblii
Samsung Galaxy A51 Smartphone [8GB/ 128GB],5.120.000,,Terjual 4,,Hp,Samsung,Bliblii
Samsung Galaxy A52 Smartphone [8GB-256GB],5.291.020,5,Terjual 1,,Hp,Samsung,Bliblii
Samsung Galaxy A52 Smartphone [8GB-256GB],5.399.000,,Terjual 9,,Hp,Samsung,Bliblii
Samsung Galaxy A71 Smartphone [8GB/ 128GB],5.499.000,,Terjual 12,,Hp,Samsung,Bliblii
Samsung Galaxy A80 Smartphone,9.499.000,,,,Hp,Samsung,Bliblii
Samsung A21S Smartphone,2.499.000,,Terjual 10,,Hp,Samsung,Bliblii
Samsung Galaxy Z Flip Smartphone,23.888.000,,,,Hp,Samsung,Bliblii
Samsung Galaxy Z Flip7 12/256GB | Smartphone AI | Hp Lipat | Kamera 50MP | 4300 mAh,17.999.000,,,,Hp,Samsung,Bliblii
Samsung Galaxy A37 5G 8/128 | 8/256GB | Hp Al | IP68 |,6.749.000,,,,Hp,Samsung,Bliblii
SAMSUNG SMARTPHONE A22 5G RAM 6/128GB -,3.299.000,,Terjual 3,,Hp,Samsung,Bliblii
Samsung Galaxy A57 5G 12/256GB Hp AI IP68 5000 mAh ORIGINAL MURAH GARANSI RESMI,7.599.000,,,,Hp,Samsung,Bliblii
Hp Samsung A05s Ram 6GB Internal 128GB Garansi Resmi,2.299.000,,Terjual 1,Kota Pekanbaru,Hp,Samsung,Bliblii
Samsung Galaxy S26+ 12/256 GB | 12/512GB | Hp Al | Photo Assist | 4900 mAh,22.599.000,,,,Hp,Samsung,Bliblii
Hp Samsung S25 Ultra Ram 12GB Internal 256GB Garansi Resmi,22.999.000,,,Kota Pekanbaru,Hp,Samsung,Bliblii
Hp Samsung S25 Ultra Ram 12GB Internal 512GB Garansi Resmi,24.999.000,,,Kota Pekanbaru,Hp,Samsung,Bliblii
Hp Samsung S23 FE Ram 8GB Internal 128GB Garansi Resmi,8.999.000,5,Terjual 3,Kota Pekanbaru,Hp,Samsung,Bliblii
Samsung Galaxy S26+ 12/256 - 12/512G | Hp AI | Photo Assist | 4900 mAh,19.304.010,,,,Hp,Samsung,Bliblii
Hp Samsung Z Flip 5 Ram 8GB Internal 512GB Garansi Resmi,15.999.000,,Terjual 2,Kota Pekanbaru,Hp,Samsung,Bliblii
Hp Samsung Z Flip 5 Ram 8GB Internal 512GB Garansii Resmi,17.500.000,,Terjual 2,Kota Pekanbaru,Hp,Samsung,Bliblii
Hp Samsung Z Flip 6 Ram 12GB Internal 512GB Garansi Resmi,17.499.000,,,Kota Pekanbaru,Hp,Samsung,Bliblii
Hp Samsung Z Fold 7 Ram 12GB Internal 256GB Garansi Resmi,28.499.000,,Terjual 1,Kota Pekanbaru,Hp,Samsung,Bliblii
Samsung Galaxy S26 12/256GB - 12/512GB | Hp AI | Photo Assist | 4300 mAh,16.334.010,,,,Hp,Samsung,Bliblii
Samsung Galaxy A57 5G 12/256GB - Awesome Gray - Hp AI - IP68 - 5000 mAh,7.523.010,,,,Hp,Samsung,Bliblii
Samsung Galaxy A37 5G 8/256GB - Awesome Lavender - Hp AI - IP68 - 5000 mAh,6.533.010,,,,Hp,Samsung,Bliblii
HP SAMSUNG GALAXY S24+ 12/256GB SM-S926 - GARANSI RESMI,15.999.000,,,,Hp,Samsung,Bliblii
HP SAMSUNG GALAXY FOLD6 5G SM-F956F - GARANSI RESMI,26.499.000,,,,Hp,Samsung,Bliblii
Samsung Galaxy A71 Smartphone [128GB/8GB],6.999.000,,,,Hp,Samsung,Bliblii
HP SAMSUNG GALAXY S24 8/256GB SM-S921 - GARANSI RESMI,11.999.000,,,,Hp,Samsung,Bliblii
Hp samsung A25 5G Ram 8GB Internal 256GB Garansi Resmi,4.099.000,,Terjual 3,Kota Pekanbaru,Hp,Samsung,Bliblii
Hp Samsung A55 5G Ram 8GB Internal 256GB Garansi Resmi,6.499.000,,Terjual 1,Kota Pekanbaru,Hp,Samsung,Bliblii
HP Samsung A37 5G Ram 8GB Internal 256GB Garansi Resmi,7.299.000,,,Kota Pekanbaru,Hp,Samsung,Bliblii
Hp Samsung S22 5G Ram 8GB Internal 128GB Garansi Resmi,12.999.000,,,Kota Pekanbaru,Hp,Samsung,Bliblii
HP SAMSUNG GALAXY S23 FE 5G 8/256GB SM-S711,9.999.000,,,,Hp,Samsung,Bliblii
Hp Samsung A17 4G Ram 8GB Internal 256GB Garansi Resmi,4.099.000,,,Kota Pekanbaru,Hp,Samsung,Bliblii
HP Samsung A57 5G Ram 12GB Internal 256GB Garansi Resmi,8.299.000,,,Kota Pekanbaru,Hp,Samsung,Bliblii
Samsung Galaxy Note20 Smartphone [256GB],11.499.000,,,,Hp,Samsung,Bliblii
Samsung Galaxy Note20 Smartphone [256GB],14.499.000,,Terjual 17,,Hp,Samsung,Bliblii
SAMSUNG GALAXY S25+ SMARTPHONE GARANSI RESMI,16.334.010,,,,Hp,Samsung,Bliblii
Samsung Galaxy A51 Smartphone [6GB/128GB],4.899.000,,Terjual 1,,Hp,Samsung,Bliblii
Hp Samsung A17 4G Ram 8GB Internal 128GB Garansi Resmi,3.599.000,,,Kota Pekanbaru,Hp,Samsung,Bliblii
Hp samsung A25 5G Ram 8GB Internal 128GB Garansi Resmi,3.699.000,,,Kota Pekanbaru,Hp,Samsung,Bliblii
Hp Samsung A34 5G Ram 8GB Internal 256GB Garansi Resmi,4.599.000,,Terjual 2,Kota Pekanbaru,Hp,Samsung,Bliblii
Hp Samsung A57 5G Ram 8GB Internal 128GB Garansi Resmi,7.099.000,,,Kota Pekanbaru,Hp,Samsung,Bliblii
Samsung A31 Smartphone [6 GB/ 128 GB],3.895.000,,,,Hp,Samsung,Bliblii
Hp Samsung S23 Ram 8GB Internal 256GB Garansi Resmi,13.999.000,,,Kota Pekanbaru,Hp,Samsung,Bliblii
Hp Samsung S24+ Ram 12GB Internal 512GB Garansi Resmi,16.999.000,,,Kota Pekanbaru,Hp,Samsung,Bliblii
Hp Samsung S23+ Ram 8GB Internal 512GB Garansi Resmi,17.999.000,,Terjual 1,Kota Pekanbaru,Hp,Samsung,Bliblii
Hp Samsung Galaxy Z Fold 5 Ram 12GB Internal 1TB,29.999.000,,,Kota Pekanbaru,Hp,Samsung,Bliblii
Samsung A71 Smartphone [8/128GB/Garansi Resmi Samsung Indonesia],6.500.000,5,Terjual 39,,Hp,Samsung,Bliblii
Hp Samsung M12 RAM 3GB Internal 32GB Garansi Resmi,1.799.000,,,Kota Pekanbaru,Hp,Samsung,Bliblii
Hp Samsung A03 Ram 4GB Internal 64GB Garansi Resmi,1.799.000,,,Kota Pekanbaru,Hp,Samsung,Bliblii
Hp Samsung A07 Ram 4GB Internal 128GB Garansi Resmi,2.299.000,,Terjual 1,Kota Pekanbaru,Hp,Samsung,Bliblii
Hp Samsung A07 Ram 6GB Internal 128GB Garansi Resmi,2.599.000,,,Kota Pekanbaru,Hp,Samsung,Bliblii
Hp Samsung S25+ Ram 12GB Internal 256GB Garansi Resmi,17.999.000,,,Kota Pekanbaru,Hp,Samsung,Bliblii
Hp Samsung S25 Ram 12GB Internal 256GB Garansi Resmi,14.999.000,,,Kota Pekanbaru,Hp,Samsung,Bliblii
Hp Samsung Galaxy Z Fold 5 Ram 12GB Internal 256GB,24.999.000,,,Kota Pekanbaru,Hp,Samsung,Bliblii
Hp Samsung Galaxy Z Fold 5 Ram 12GB Internal 512GB,26.999.000,,Terjual 2,Kota Pekanbaru,Hp,Samsung,Bliblii
SAMSUNG GALAXY A13,2.675.000,,,,Hp,Samsung,Bliblii
Samsung A03,1.000.000,,Terjual 2,,Hp,Samsung,Bliblii
Samsung A07 Sein,1.899.000,,,,Hp,Samsung,Bliblii
SAMSUNG GALAXY A13,2.500.000,,,,Hp,Samsung,Bliblii
Samsung A07 64GB,1.699.000,,,,Hp,Samsung,Bliblii
Hp Samsung A04e Ram 3GB Internal 64GB Garansi Resmi,1.399.000,,,Kota Pekanbaru,Hp,Samsung,Bliblii
HP Samsung Galaxy A23 5G 6/128GB Original Garansi Resmi,3.999.000,,Terjual 1,,Hp,Samsung,Bliblii
Hp Samsung Galaxy S23+ Ram 8GB Internal 512GB Garansi Resmi,15.799.000,,,Kota Pekanbaru,Hp,Samsung,Bliblii
Hp Samsung S25 Ultra Ram 12GB Internal 1TB Garansi Resmi,28.999.000,,,Kota Pekanbaru,Hp,Samsung,Bliblii
HP Samsung Galaxy A03 3/32GB - 4/64GB Handphone,1.383.750,,Terjual 2,,Hp,Samsung,Bliblii
Samsung Galaxy A31 Smartphone,3.499.000,,Terjual 3,,Hp,Samsung,Bliblii
samsung galaxy A32 smartphone,3.599.000,,Terjual 18,,Hp,Samsung,Bliblii
