nama_produk,harga,rating,jumlah_terjual,lokasi_penjual,kategori,brand,kondisi,platform
HP 14 i3-1315U 512GB SSD 8GB FHD Win11+OHS - ep0260TU/ep0261TU,Rp8.379.000,4.8,12 Terjual,Jakarta Barat,Laptop,Hp,Baru,Shopee
HP 14 Core 5 120U 512GB SSD 8GB FHD Win11+OHS - ep1733TU/ep1177TU,Rp9.579.000,4.9,70 Terjual,Jakarta Barat,Laptop,Hp,Baru,Shopee
Laptop HP ELITEBOOK 14 1040 G9 Intel VPro i5 1245U DDR5 32GB 1TB SSD Wuxga IPS Backlight Windows 11 Pro Original,Rp8.894.000,4.9,22 Terjual,Depok,Laptop,Hp,Baru,Shopee
HP Pro C640 Chromebook i5 10310U - chromebook HP - HP Chromebook PRO C640,Rp2.500.000,4.9,67 Terjual,Jakarta Pusat,Laptop,Hp,Baru,Shopee
"LAPTOP HP ELITEBOOK 630 430 440 G6 G7 G8 G9 I3 I5 GEN 12 LAYAR 13,3 INCH SLIM MURAH BERGARANSI",Rp2.700.000,4.7,95 Terjual,Jakarta Utara,Laptop,Hp,Baru,Shopee
Laptop Hp Elitebook X360 Touchscreen Lipat 360° Intel Core i5 Gen 8 16/256GB SSD Ada Face ID,Rp5.600.000,5.0,2 Terjual,,Laptop,Hp,Baru,Shopee
"HP ChromeBook 11 G8 EE, INTEL CELERON - N4020, RAM 4GB, TORAGE 32GB EMMc",Rp1.750.000,4.8,279 Terjual,Jakarta Barat,Laptop,Hp,Baru,Shopee
Laptop HP EliteBook 250 630 745 845 X360 2in1 G2/G3/G6 Core 8460P 1013 G3 i5/i7 GEN 7/8 HP 725 - MURAH DAN BERGARANSI,Rp1.500.000,4.0,20 Terjual,Jakarta Utara,Laptop,Hp,Baru,Shopee
Laptop HP Elitebook 845 G7 AMD Ryzen 5 PRO RAM 16GB SSD 512GB TOUCH/NO TOUCHS full set,Rp3.585.000,4.7,51 Terjual,Jakarta Barat,Laptop,Hp,Baru,Shopee
Laptop Hp Series Core i7 / i5 / i3 Probook 440 G3 440 G5 Laptop Pelajar,Rp1.840.000,4.7,204 Terjual,Kab. Bekasi,Laptop,Hp,Baru,Shopee
Laptop Hp 15 Amd Ryzen 7 7730U RAM 32GB 2TB SSD 15.6 FHD IPS Touchscreen Windows 11 Silver,Rp9.998.000,5.0,13 Terjual,Bogor,Laptop,Hp,Baru,Shopee
"laptop sekolah murah HP ChromeBook 11 G8 EE, Like New, Seri Baru",Rp1.650.000,4.8,68 Terjual,Jakarta Barat,Laptop,Hp,Baru,Shopee
"LAPTOP HP INTEL CORE i3 | RAM 8GB SSD 512GB | 14 INCH WINDOWS 10 + OFFICE - BONUS TAS LAPTOP, MOUSE, MOUSEPAD",Rp2.374.000,4.7,20 Terjual,Jakarta Barat,Laptop,Hp,Baru,Shopee
"LAPTOP HP ELITEBOOK 845 RYZEN 5 PRO 5650U RAM 32GB/1TB SSD 14"" FHD - TOUCH/ NO TOUCH",Rp3.780.000,5.0,77 Terjual,Jakarta Barat,Laptop,Hp,Baru,Shopee
LAPTOP HP 14 INTEL CELERON - 8GB RAM - 512GB SSD - 14 INCH - WIN10 - 4GB - 500GB HDD,Rp1.950.000,4.8,52 Terjual,Jakarta Barat,Laptop,Hp,Baru,Shopee
Laptop HP Elitebook 630 430 440 G6 G7 G9 G9 Core i3 i5 10 GEN 12 SUPER MURAH,Rp2.000.000,5.0,7 Terjual,Jakarta Utara,Laptop,Hp,Baru,Shopee
Laptop HP All Series | Intel Core i7 / i5 / i3 / AMD Ryzen | RAM 8/16GB | SSD 128/256GB,Rp1.800.000,4.7,744 Terjual,Jakarta Timur,Laptop,Hp,Baru,Shopee
Laptop HP CORE i3 RAM 8Gb-SSD 1Tb/14 inch bonus MOUSE,Rp2.230.000,5.0,4 Terjual,Jakarta Barat,Laptop,Hp,Baru,Shopee
LAPTOP HP PROBOOK 440 G7 CORE I3-10110 RAM 8GB SSD 256GB BERGARANSI,Rp3.100.000,,,Jakarta Pusat,Laptop,Hp,Baru,Shopee
Laptop HP ProBook Series | Core i7 / i5 / i3,Rp2.068.000,4.6,46 Terjual,Jakarta Timur,Laptop,Hp,Baru,Shopee
Laptop HP Elitebook | Probook Core i5 / i7 Ram 16Gb SSD 512Gb MURAH & BERGARANSI,Rp1.715.000,4.6,8 Terjual,Bandung,Laptop,Hp,Baru,Shopee
Laptop HP PROBOOK 450 430 640 650 745 830 840 HP EliteBook X360 630 Core i5/i7 GEN 6-7 HP 725 | Layar 12/14 inch | Second Mulus Berkualitas dan Bergaransi,Rp1.500.000,4.8,37 Terjual,Jakarta Utara,Laptop,Hp,Baru,Shopee
Laptop HP 14 Intel /Amd RAM 8gb HDD 1tb /FREE TAS,Rp1.590.000,4.6,203 Terjual,Jakarta Barat,Laptop,Hp,Baru,Shopee
"HP Pavilion Aero 13 Laptop bg0111AU/bg0222AU Ryzen 5-8640U 16GB 512GB 13.3"" WUXGA IPS W11 OHS",Rp13.269.000,5.0,1 Terjual,Jakarta Timur,Laptop,Hp,Baru,Shopee
LAPTOP HP 14 DUAL CORE RAM 8GB 512 SSD WINDOWS 10,Rp1.060.000,4.2,23 Terjual,Jakarta Barat,Laptop,Hp,Baru,Shopee
HP eliteBook 830 G7/G8 Intel Core i5-11Gen/FHD IPS/US Keyboard/Laptop Mewah,Rp4.500.000,4.9,382 Terjual,Jakarta Pusat,Laptop,Hp,Baru,Shopee
Laptop HP Probook 640 650 6470B G1 G2 G3 G4 G5 Core i5/i7 HP Elitebook 630 G9 RAM 32 SSD 512 SUPER MULUS NO BERGARANSI,Rp2.100.000,4.8,99 Terjual,Jakarta Utara,Laptop,Hp,Baru,Shopee
"Laptop Murah HP 15s-eq1052nia AMD 3020e - Ram 4GB - 256GB SSD - AMD Radeon Graphics - Layar 15.6"" - Black",Rp3.260.333,,,Surabaya,Laptop,Hp,Baru,Shopee
Laptop Gaming HP Probook 645 G4 AMD Ryzen 3 Pro 2300U 14 inch,Rp3.239.900,,,Bandung,Laptop,Hp,Baru,Shopee
HP Elitebook 840 G6-845 G8 RYZEN 5650U RAM 8/ 16GB SSD 128GB-512GB 14Inch MULUSS GARANSI 30 hari,Rp2.589.000,5.0,81 Terjual,Jakarta Pusat,Laptop,Hp,Baru,Shopee
HP Chromebook X360 2 in 1 Intel Core i5 / intel core i7 - chromebook HP - HP Chromebook X360 / Chrome book HP X360,Rp2.500.000,4.6,22 Terjual,Jakarta Pusat,Laptop,Hp,Baru,Shopee
"Laptop Hp Probook / Elitebook 11 G / 820 G3 / 840 G4 / 830 G7 / 835 / 440 - Core i3 / i5 / Ram 16GB / SSD 1TB - Mulus, Ringan, Siap Pakai - Garansi",Rp3.550.000,4.9,138 Terjual,Jakarta Pusat,Laptop,Hp,Baru,Shopee
Laptop HP Probook 440 G1 Core i5 Gen3 4GB 128GB 14Inch HD,Rp1.680.000,5.0,6 Terjual,,Laptop,Hp,Baru,Shopee
Notebook Hp Stream 11 | Intel Celeron N2840 | Ram 2GB | Ssd 256GB | BERGARANSI,Rp1.100.000,4.7,95 Terjual,Jakarta Barat,Laptop,Hp,Baru,Shopee
LAPTOP HP 14S INTEL CORE i3-1005G1 8GB RAM 512GB SSD 14INCH WIN11 - BONUS TAS & MOUSE,Rp4.200.000,4.2,13 Terjual,Jakarta Barat,Laptop,Hp,Baru,Shopee
"Laptop HP 240 / 14S Core i5 Gen 6 | 8GB / SSD 256GB | 14"" HD LED",Rp1.454.000,4.2,16 Terjual,Kab. Bekasi,Laptop,Hp,Baru,Shopee
Laptop Hp Probook 4230S Core i5-2410M Hd Graphics 3000 | RAM 4/500GB | BERGARANSI,Rp1.250.000,,,Jakarta Barat,Laptop,Hp,Baru,Shopee
HP Elitebook 840 G6-845 G8 RYZEN 5650u RAM 8GB/16RB SSD 128-512GB 14Inch MULUSS BERGARANSI,Rp2.889.000,5.0,32 Terjual,Jakarta Pusat,Laptop,Hp,Baru,Shopee
LAPTOP HP 14S-Dq0510TU INTEL CELERON N4120 RAM 8GB SSD 256GB KEYBOARD BACKLIGHT SLIM TERBARU,Rp3.800.000,5.0,28 Terjual,Jakarta Timur,Laptop,Hp,Baru,Shopee
LAPTOP HP ELITEBOOK 840 G7 Core i7 Gen10 RAM 32GB/1TB FREE TAS DAN MOUSE,Rp4.200.000,4.9,25 Terjual,Jakarta Barat,Laptop,Hp,Baru,Shopee
HP 14 EP0260TU EP0261TU I3 1315U RAM 8GB 512GB Ssd Win11+OHS+M365 Resmi Original,Rp8.344.000,4.9,26 Terjual,Bandung,Laptop,Hp,Baru,Shopee
Laptop HP Pavilion 14 -ce3013TX Intel Core i7-1065G7 RAM 8GB SSD 512GB MX250 GEN10,Rp7.399.000,,,Bandung,Laptop,Hp,Baru,Shopee
LAPTOP HP Elitebook 845 G8 R5 5650u / 840 G6 i7 Gen8 16GB 512GB 14Inch,Rp4.094.000,4.9,274 Terjual,Jakarta Barat,Laptop,Hp,Baru,Shopee
"HP ProBook MT31, Intel Celeron-3867U, 4GB RAM, 128GB SSD, 13.3″ Display Screen, Thunderbolt Tab C, Super Slim, Lengkap, Silver",Rp1.900.000,,,Jakarta Barat,Laptop,Hp,Baru,Shopee
"LAPTOP HP 820 G2 CORE i5 GEN 5 SSD 256 GB 12 INCH FREE MOUSE DAN TAS - RAM 8 SSD 512GB, i5",Rp2.300.000,4.0,13 Terjual,Jakarta Barat,Laptop,Hp,Baru,Shopee
LAPTOP HP ELITEBOOK X360 840 845 G5 G6 CORE I5/I7 GEN 8 /10 /11 /AMD Ryzen 5 Pro - MURAH DAN BERGARANSI,Rp2.500.000,4.9,83 Terjual,Jakarta Utara,Laptop,Hp,Baru,Shopee
HP PROBOOK X360 435 G8 AMD RYZEN 7PRO 5850U 2in1 WITH TOUCHSCREEN/ RAM 16GB/SSD 1TB NVME/RESOLUSI FHD,Rp4.990.000,5.0,3 Terjual,Bogor,Laptop,Hp,Baru,Shopee
"HP Laptop 14 EP0261TU Intel Core I3 1315U 8GB 512GB SSD 14"" FHD IPS W11+OHS 2024 Microsoft 365 Basic Silver BD0Y5PA",Rp8.239.000,5.0,53 Terjual,Surabaya,Laptop,Hp,Baru,Shopee
Laptop HP ELITEBOOK 830&840/430 Harga Murah Fungsi Ok Core i5/7 gen 6/8/10 Ram 8-16/Ssd 256-512 Gb,Rp2.760.000,4.8,44 Terjual,,Laptop,Hp,Baru,Shopee
Laptop Hp Probook 430 G5 / 450 G1 /440 / 450 G2 / 450 G3 / 470 / 455 / 645 / 650 G2 Mulus / Berkualitas / Bergaransi,Rp1.700.000,5.0,90 Terjual,Jakarta Utara,Laptop,Hp,Baru,Shopee
Laptop HP Probook Elitebook Murah All Series | Intel Core i7 / i5 / i3 / AMD Ryzen | RAM 8/16GB | SSD 128/256GB,Rp650.000,4.8,327 Terjual,Jakarta Pusat,Laptop,Hp,Baru,Shopee
Laptop HP PROBOOK 250 430 440 450 470 455 845 8460P HP EliteBook 820 dan 840 850 450 G3-G5 Core i5/i7 GEN 6-7 | Layar 12/14 inch | Second Mulus Berkualitas dan Bergaransi,Rp2.100.000,4.9,114 Terjual,Jakarta Utara,Laptop,Hp,Baru,Shopee
Laptop HP Elitebook / HP Probook Core i7 / i5 / i3 Ram 8GB / 16GB SSD 256GB 512GB - 830 | 835 | 840 | 845 | 820 | 440 - Laptop Second Bergaransi / Mulus / Berkualitas / Original / Siap Pakai / Termurah | 14 inch / 13 inch / 12 Inch,Rp4.038.000,4.9,211 Terjual,Jakarta Utara,Laptop,Hp,Baru,Shopee
Laptop HP ProBook 450 G5 Intel Core i5-8th Gen,Rp1.790.000,,,Jakarta Pusat,Laptop,Hp,Baru,Shopee
HP 14 Intel Core i3 1315U RAM 16GB SSD 512GB 14 Inch FHD Backlit Garansi Resmi 2 Tahun,Rp7.298.000,5.0,60 Terjual,Depok,Laptop,Hp,Baru,Shopee
LAPTOP HP PROBOOK 440 G8 I3 GEN 11 RAM 8GB SSD 256GB BERGARANSI,Rp3.800.000,5.0,1 Terjual,Jakarta Pusat,Laptop,Hp,Baru,Shopee
Laptop Hp 14 Intel Core I3-1115G4 - 8GB RAM 512GB SSD 14 INCH Windows 11 - DQ2614TU 240 G8 250 G8,Rp4.639.420,3.9,17 Terjual,Jakarta Barat,Laptop,Hp,Baru,Shopee
"LAPTOP HP PROBOOK X360 2 IN 1 G1 G3 G5 G7 TOUCHSCREEN - LAYAR 11,6 INCH MULUS MURAH BERGARANSI",Rp1.400.000,5.0,60 Terjual,Jakarta Utara,Laptop,Hp,Baru,Shopee
"READY STOCK Laptop Hp 14-bs752TU, Celeron - N3060, HD Graphics, Ram 4/500Gb, Seri Baru, Silver",Rp1.750.000,,,Jakarta Barat,Laptop,Hp,Baru,Shopee
"HP 14-ep0261TU Core i3-1315U 8GB 512SSD 14"" FHD W11+OHS 2024+M365",Rp7.890.000,5.0,14 Terjual,Malang,Laptop,Hp,Baru,Shopee
Laptop HP Elitbook 8470P Core i5-3320M | RAM 4/500GB | BERGARANSI,Rp1.250.000,5.0,2 Terjual,Jakarta Barat,Laptop,Hp,Baru,Shopee
Hp Chromebook 11 G8 EE | Intel Celeroon N4020 | Ram 4/32GB | BERGARANSI,Rp1.550.000,4.7,96 Terjual,Jakarta Barat,Laptop,Hp,Baru,Shopee
Laptop HP Ellitebook 840 G2 CORE I5 GEN 5 RAM 16GB SSD 512GB,Rp1.900.000,4.7,125 Terjual,Bandung,Laptop,Hp,Baru,Shopee
Laptop HP 14 SSD 256GB/ RAM 8GB / FREE MOUSE + Tas,Rp1.882.000,4.8,13 Terjual,Jakarta Barat,Laptop,Hp,Baru,Shopee
LAPTOP HP 830 G7 Harga Murah Fungsi Ok Core i7 gen 10 /Ram 8 DDR4 Ssd256-512 Gb,Rp2.760.000,5.0,33 Terjual,,Laptop,Hp,Baru,Shopee
HP Probook x360 435 G8 | Ryzen 7 5850U | RAM 16GB | SSD 256GB | Touchscreen | Laptop 2 In 1,Rp4.218.000,5.0,4 Terjual,Jakarta Pusat,Laptop,Hp,Baru,Shopee
Laptop HP EliteBook 840 G5/6 I7 8TH 32GB/1TB SSD WINDOWS 11 FREE MOUSE & TAS,Rp2.590.000,,1 Terjual,Jakarta Barat,Laptop,Hp,Baru,Shopee
Laptop HP ProBook 440 G2 Core i5 Gen 5 RAM 8GB 4GB SSD 256GB 128GB Obral Murah,Rp1.350.000,,5 Terjual,Jakarta Barat,Laptop,Hp,Baru,Shopee
HP 14 EP Series Intel Core i3 1315U Ram16Gb Ssd1Tb 14'' Fhd Windows 11 Office 2021,Rp7.299.000,4.9,791 Terjual,Jakarta Pusat,Laptop,Hp,Baru,Shopee
"Laptop HP 14 Core i5-7200U Radeon R5 | 8GB / 256GB | 14"" HD",Rp1.675.000,5.0,3 Terjual,Kab. Bekasi,Laptop,Hp,Baru,Shopee
Laptop HP Elitebook 840 G1 Core i5 Gen 4 Ram 8GB SSD 256 Grade A Original/Murah/Bergaransi,Rp1.800.000,,10 Terjual,Kab. Bandung,Laptop,Hp,Baru,Shopee
Laptop Hp Elitebook 745 G6 RYZEN 5 PRO TOUCHSCREEN 32GB/1TB SSD WIN 11PRO,Rp3.230.000,,1 Terjual,Jakarta Barat,Laptop,Hp,Baru,Shopee
Laptop HP Elitebook 820 G4 Core i5 Gen 7 RAM 8G SSD 512GB ( Layar12.5 Inch ),Rp1.499.000,4.0,2 Terjual,Tangerang,Laptop,Hp,Baru,Shopee
Laptop HP 4230s Intel Core i5-2450M,Rp850.000,,,,Laptop,Hp,Baru,Shopee
Laptop HP Probook 645 G4 RYZEN 5Pro RAM 16GB/512SSD UP TO 1TB FULLSET,Rp2.085.000,5.0,1 Terjual,Jakarta Barat,Laptop,Hp,Baru,Shopee
"Laptop Hp 14S Pentium Silver N5030 16GB 256GB SSD Intel UHD Graphic 14"" Windows 11 Original - indokomputer",Rp4.380.000,5.0,22 Terjual,Surabaya,Laptop,Hp,Baru,Shopee
Laptop HP ProBook / EliteBook Core i5 / i7 Original / Bergaransi / 840 / 830 / 1040 / 430 / 820 / G1 / G2 / G3 / G4 / G5 / G6 AMD,Rp2.400.000,4.9,63 Terjual,,Laptop,Hp,Baru,Shopee
Hp stream Laptop 14-ax0XX warna biru ram 4gb 32gb emmc intel celeron N3060,Rp1.399.000,5.0,13 Terjual,Tangerang,Laptop,Hp,Baru,Shopee
Laptop Hp 15 INTEL N200 RAM 16GB 256GB SSD 15.6 WINDOWS 11 HOME SILVER,Rp5.498.000,4.9,275 Terjual,Jakarta Pusat,Laptop,Hp,Baru,Shopee
LAPTOP TOUCHSCREEN HP PROBOK 11G2 COR i3 GEN 6 8GB/256GB,Rp1.790.000,5.0,1 Terjual,Jakarta Barat,Laptop,Hp,Baru,Shopee
"Laptop Hp 17-CP0023DS, #Touchscreen, Amd Ryzen 3 - 3250U, Ram 8 / 256Gb, #Backlight, ya SLIM, Gaming Editing Ngebut, Lengkap, Silver",Rp4.300.000,5.0,1 Terjual,Jakarta Barat,Laptop,Hp,Baru,Shopee
Laptop HP ProBook 440 G2 Core i5 Gen 5 RAM 8GB 4GB SSD 256GB 128GB Obral Murah,Rp1.400.000,5.0,10 Terjual,Jakarta Barat,Laptop,Hp,Baru,Shopee
Laptop Hp 14s-dk1524au Amd Althon Silver,Rp2.900.000,4.8,14 Terjual,,Laptop,Hp,Baru,Shopee
Laptop hp 14s-dq1025tu core i7-1065G7 gen 10 Ram 8GB ssd 256GB(B498),Rp4.250.000,,,Tangerang,Laptop,Hp,Baru,Shopee
Laptop Hp Probook intel i5 / i7 Ram 8 / 16 gb ssd 256 gb Mantap,Rp3.050.000,5.0,3 Terjual,Bandung,Laptop,Hp,Baru,Shopee
"LAPTOP HP PROBOOK 430 G8 i5 Gen 11th, Graphic Iris XE",Rp3.850.000,5.0,17 Terjual,Balikpapan,Laptop,Hp,Baru,Shopee
