nama_produk,harga,rating,jumlah_terjual,lokasi_penjual,brand,kategori,kondisi,platform
"DELL PRO 14 ESSENTIAL PV14255 RYZEN 5 220 8GB 512GB 14.0 WUXGA - Non Bundle, DOS",Rp8.999.000,5.0,Terjual 30+,Kota Administrasi Jakarta Utara,Microsoft,Laptop,Baru,Tokopedia
( L13 )  LAPTOP YOGA TOUCHSCREEN 2IN1 PENSTYLUST CORE I5 GEN12 RAM 16GB  SSD 256GB - CORE I5 GEN11 RAM 16GB SSD 256GB,Rp6.307.000,4.8,Terjual 100+,Kota Bandung,Microsoft,Laptop,Baru,Tokopedia
Laptop Dell latitude 7310 core i5 GEN10 16gb ddr4 256gb ssd Layar 13 inch Fullset Kayak Baru,Rp3.599.000,5.0,Terjual 5,Kota Administrasi Jakarta Pusat,Microsoft,Laptop,Baru,Tokopedia
"ASUS Zenbook A14 UX3407QA Snapdragon X1-26-100 | 16GB RAM | 1TB / 512GB SSD | 14"" WUXGA | AI NPU 45TOPS | Windows 11 - Zabriskie Beige, NON BUNDLE",Rp16.519.000,4.9,Terjual 100+,Kota Administrasi Jakarta Pusat,Microsoft,Laptop,Baru,Tokopedia
( TSBS73 )  LAPTOP 13'3 INCH  CORE I5 GEN11  RAM 8GB  SSD 256GB  WINDOWS 10/11 ( BISA COD BAYAR DI TEMPAT ) - core i5 gen11 ram 8gb ssd 256gb,Rp3.498.000,4.4,Terjual 50+,Kota Bandung,Microsoft,Laptop,Baru,Tokopedia
"LAPTOP GLOBAL  SERI  QV8 RAM 8 GB SSD256/512 GB WINDOWS 11 PRO LAYAR 12""INCH - QV8 I5 GEN 8, RAM 8 GB I SSD 256 GB",Rp3.190.000,,,,Microsoft,Laptop,Baru,Tokopedia
"LAPTOP AXIOO HYPE 10 | N4020 8GB 256GB Windows 14"" 10 Pro - DOS / KOSONGAN, NON BUNDLING",Rp4.649.000,,,,Microsoft,Laptop,Baru,Tokopedia
Laptop Detachable Latitude 7210 2 in 1 Core i7 Gen 10 Ram 16 GB SSD 512 GB Layar 12 inch Touchsreen - RAM 16/256 GB,Rp6.690.000,4.5,Terjual 17,Kota Administrasi Jakarta Pusat,Microsoft,Laptop,Baru,Tokopedia
(FREE TAS) ADVAN Soulmate X 14” IPS FHD AMD 3020e 4GB/128GB Free Windows 11 Original Laptop Notebook Upgradeable - White,Rp3.399.000,,,,Microsoft,Laptop,Baru,Tokopedia
"LAPTOP E540  intel i3 Gen 4 RAM 8GB-16GB SSD 256GB-512GB  Layar 15.6 inci Windows 10 Pro Mulus Berkualitas Bergaransi Murah untuk Pelajar Sekolah - E540 i3 Gen 4, RAM 8GB | HDD 500GB",Rp1.999.000,4.9,Terjual 50+,Kota Administrasi Jakarta Barat,Microsoft,Laptop,Baru,Tokopedia
"Laptop Thinkpad X1 Tablet Core I7 Ram 16GB SSD 256GB 13 Inch FHD 1080p slim Touch mahasiswa - X1 Tablet i7 Gen 8, 16GB I 256GB",Rp5.090.000,,,Kota Tangerang,Microsoft,Laptop,Baru,Tokopedia
LAPTOP TOUCHSCREEN 2IN1 + PENSTYLUST > CORE I5 GEN7 RAM 8GB SSD 256GB - core i5 gen7 ram 8gb ssd 128gb,Rp3.200.000,4.6,Terjual 21,Kota Bandung,Microsoft,Laptop,Baru,Tokopedia
"LAPTOP L50A series core i7 gen 4 RAM 4GB SSD 128GB Charger Windows Lcd - L50A SERIES INTEL CORE i7gen4, RAM 8GB SSD 128GB",Rp2.500.000,,1 barang berhasil terjual,Kota Administrasi Jakarta Barat,Microsoft,Laptop,Baru,Tokopedia
"HP ProBook 445 G9 Gaming Laptop AMD Ryzen 7 5825U 32GB RAM 1TB SSD Layar Sentuh Windows 11 Pro Bonus Tas & Mouse Backlit Keyboard Garansi Resmi - Hp 840 G8 i5 11th / 16GB, 256GB SSD",Rp4.732.000,,,Kota Administrasi Jakarta Barat,Microsoft,Laptop,Baru,Tokopedia
"TOUCHSCREEN !! Laptop Dll 7300 i7 Gen 8th RAM 32 GB/1tb ssd / Free tas/Mouse - 7300 I7 8TH TS, 8GB/256GB",Rp3.880.800,4.8,Terjual 9,Kota Administrasi Jakarta Barat,Microsoft,Laptop,Baru,Tokopedia
PROMO BARU LAPTOP Toshiba DynaBook Satellite Pro C40-G-13F SSD 256GB,Rp3.765.700,5.0,Terjual 11,Kota Surabaya,Microsoft,Laptop,Baru,Tokopedia
"Laptop SPC Style 3 - AMD Ryzen 3 3200U 8GB 256GB SSD Vega 3 IPS 14"" FHD Backlit - Grey",Rp5.500.000,4.5,Terjual 2,Kota Administrasi Jakarta Utara,Microsoft,Laptop,Baru,Tokopedia
Promo Terbatas HP PROBOOK X360 435 G8-Ryzen 7 5600U-Ram 16/256 Gb-Touchscreen Flip,Rp6.800.000,,,Kota Surakarta,Microsoft,Laptop,Baru,Tokopedia
"LAPTOP Hp EliteBook 840 G5 Core i7 Gen8 RAM 32GB/512GB SSD FREE TAS - 840 G3 i5 GEN 6, 8GB/128GB",Rp2.600.000,4.8,Terjual 250+,Kota Administrasi Jakarta Barat,Microsoft,Laptop,Baru,Tokopedia
"LAPTOP AXIOO HYPE 1  | N4020 4GB 128GB Windows 11 14 HD - 4GB / 128GB, NON BUNDLING",Rp3.849.000,5.0,Terjual 250+,Kota Administrasi Jakarta Utara,Microsoft,Laptop,Baru,Tokopedia
Dell 2in1 i5 GEN8 12/256 SSD window Baru muluss,Rp2.868.000,5.0,Terjual 5,Kota Tangerang,Microsoft,Laptop,Baru,Tokopedia
HP Laptop 820 G1 i5 4Th 12 Inch RAM 8Gb/16Gb SSD 256Gb/512Gb/1Tb Performa Stabil untuk Multitasking Desain Ramping dan Portabel,Rp2.100.000,,1 barang berhasil terjual,Kab. Cianjur,Microsoft,Laptop,Baru,Tokopedia
Lapt0p 845 G8 Ryzen 5650u Ram 8 SSD 128 256 512 GB Grade A BerGaransi - RAM 8 / 128 GB,Rp4.199.000,4.5,Terjual 10,Kota Administrasi Jakarta Pusat,Microsoft,Laptop,Baru,Tokopedia
"LENOVO Yoga Slim 7i Aura Edition 14ILL10 OLED ULTRA 5 226V 16GB 512GB SSD 14"" WUXGA OLED W11H OH24+M365 83JX00AWID - 83JX00AWID",Rp17.179.000,5.0,Terjual 50+,Kota Administrasi Jakarta Pusat,Microsoft,Laptop,Baru,Tokopedia
"ASUS ROG STRIX G16 G615JHR I7-14650HX 16GB 512GB RTX5050 8GB 16.OWQXGA 240HZ W11 OHS+M365B - 16GB/512GB, LAPTOP",Rp10.344.500,,7 barang berhasil terjual,Kota Depok,Microsoft,Laptop,Baru,Tokopedia
AXIOO SLIMBOOK 13 INTELN4020 RAM6GB 128SSD 13.3WQXGA IPS 2.5K RESMI,Rp3.099.000,5.0,Terjual 40+,Kota Bekasi,Microsoft,Laptop,Baru,Tokopedia
Laptop Series LNV D330 Tablet 2 in 1 Intel Celeron N4000 - Touchscreen - Windows 10,Rp1.849.000,4.6,Terjual 50+,Kota Bekasi,Microsoft,Laptop,Baru,Tokopedia
"NO.11 Laptop 5290 dan 5280 Intel Core i5 Gen 7 RAM 16GB Windows 10 atau 11 screen 12 inci - 5290 i3 Gen 8, RAM 8GB | SSD 256GB",Rp2.999.000,4.8,Terjual 60+,Kota Administrasi Jakarta Barat,Microsoft,Laptop,Baru,Tokopedia
"ADVAN Workplus Heritage Ryzen 5 7535HS 16GB/1TB 14"" inch IPS FHD WUXGA 1920 x 1200 16:10 Lightweight Free Windows 11 Garansi Resmi 2 Tahun Laptop Notebook Desain Exclusive Batik Megamendung - Batik Edition, 8GB / 512GB",Rp8.099.000,4.9,Terjual 100+,Kota Semarang,Microsoft,Laptop,Baru,Tokopedia
"Laptop Lenovo Thinkpad x1 Yoga 5 i7 gen 10 16gb/512gb Free Tas/Mouse - YOGA L13 i5-10, 8GB/256GB",Rp4.500.000,4.7,Terjual 100+,Kota Administrasi Jakarta Barat,Microsoft,Laptop,Baru,Tokopedia
"Dell Latitude 5330 2 IN 1 Core i7 1265U 16GB SSD 1TB 13inc Garansi 1 Tahun Free Tas dan Mouse Laptop Performa Tinggi Kapasitas Besar - 5330 2 IN 1  i7 12TH, 16GB/256GB SSD",Rp6.980.000,,3 barang berhasil terjual,Kota Administrasi Jakarta Barat,Microsoft,Laptop,Baru,Tokopedia
"Laptop AXIOO HYPE 1 Celeron 4GB 8GB / 128GB 14"" HD W11 - Grey 4/128GB",Rp3.829.000,4.9,Terjual 5 rb+,Kota Administrasi Jakarta Pusat,Microsoft,Laptop,Baru,Tokopedia
"Laptop 2in1 Tablet D330 Intel Celeron N4000 RAM 4GB SSD 64GB 10"" GOOD GRADE",Rp1.750.000,,1 barang berhasil terjual,Kota Administrasi Jakarta Pusat,Microsoft,Laptop,Baru,Tokopedia
"HP Elitebook 830 G7 i7 Gen 10 32GB 1TB SSD Laptop Windows 11 Pro Intel UHD 13.3"" Full HD Touch Garansi Resmi Free Tas & Mouse - 830 G5/6 I5 8TH, 8GB/256GB SSD",Rp3.494.500,5.0,Terjual 5,Kota Administrasi Jakarta Barat,Microsoft,Laptop,Baru,Tokopedia
Dell 5410 i5 Gen 10 16/256GB,Rp3.100.000,5.0,Terjual 4,Kota Administrasi Jakarta Pusat,Microsoft,Laptop,Baru,Tokopedia
