nama_produk,harga,rating,jumlah_terjual,lokasi_penjual,kategori,brand,kondisi,platform
Advan Workplus Heritage 14 Ryzen 5 32GB 1TB IPS,Rp5.798.000,4.8,55 Terjual,Jakarta Pusat,Laptop,Advan,Baru,Shopee 
"Laptop ADVAN TBOOK INTEL N100 4GB 128GB SSD 14"" HD Windows 11",Rp4.290.000,5.0,11 Terjual,,Laptop,Advan,Baru,Shopee 
"ADVAN SOULMATE Celeron N4020 4GB /8GB 128 Laptop 14"" HD WINDOWS 11 RESMI",Rp4.099.000,5.0,112 Terjual,Malang,Laptop,Advan,Baru,Shopee 
LAPTOP ADVAN SOULMATE X2 AMD 3020 - RAM 8GB 128GB WINDOWS11 14.0 IPS,Rp3.753.000,4.9,113 Terjual,Jakarta Utara,Laptop,Advan,Baru,Shopee 
Laptop Resmi Advan Soulmate X2 AMD 3020E 8GB 384GB FHD IPS WIN11HOME Original,Rp3.699.000,5.0,9 Terjual,Jakarta Selatan,Laptop,Advan,Baru,Shopee 
Advan Soulmate X2 AMD 8GB 128GB Windows 11,Rp3.754.000,4.9,355 Terjual,Jakarta Utara,Laptop,Advan,Baru,Shopee 
Advan Laptop Workmate AMD Ryzen 5 3500U / Intel i3-1215U 8GB SSD 256GB 14 Inch FHD+ Windows 11 Original Garansi Resmi,Rp5.996.000,4.9,176 Terjual,,Laptop,Advan,Baru,Shopee 
"Advan Soulmate X 14"" IPS FHD AMD 3020e 8GB/128GB Upgradeable",Rp3.650.000,5.0,11 Terjual,,Laptop,Advan,Baru,Shopee 
"[FREE STYLUS PEN +KEYBOARD] ADVAN Laptop 2 in 1 EVO-X 16” / 13"" Touchscreen Detachable 2.5K Display Intel i3-1215U/Intel N100/Intel N100 12GB/512GB Windows 11 - Garansi Resmi 1 Tahun",Rp7.499.000,4.9,65 Terjual,Kab. Tangerang,Laptop,Advan,Baru,Shopee 
LAPTOP ADVAN SOULMATE X AMD ATHLON 3020E 8GB 128GB 14” FHD WIN 11,Rp4.100.000,5.0,12 Terjual,,Laptop,Advan,Baru,Shopee 
LAPTOP ADVAN WORKMATE RYZEN 5 3500U 8GB 256GB W11 14.0UWUXGA IPS,Rp5.673.000,4.8,7 Terjual,Surabaya,Laptop,Advan,Baru,Shopee 
Laptop Advan Soulmate X2 AMD Athlon Silver 3020 8GB 128GB Win 11 14.0 Full HD IPS,Rp3.754.000,4.8,25 Terjual,Depok,Laptop,Advan,Baru,Shopee 
ADVAN 360 Pro Stylus AMD Ryzen 5 7430U RAM32GB SSD1TB 14'' Ips Touchscreen Windows 11,Rp7.199.000,5.0,25 Terjual,Jakarta Pusat,Laptop,Advan,Baru,Shopee 
Laptop Advan Laptop Baru TBOOK 14 inch Intel N100 setara core i3 8130U 8GB Storage 256GB + 128GB Windows 11 Laptop Sekolah Dan Bekerja Original Garansi Resmi,Rp4.599.000,,,Surabaya,Laptop,Advan,Baru,Shopee 
ADVAN SOULMATE X2 AMD 3020 RAM 8GB 128GB W11 14.0 IPS,Rp3.753.000,4.8,122 Terjual,Jakarta Utara,Laptop,Advan,Baru,Shopee 
ADVAN Soulmate X Baru AMD 3020e 8GB 128GB SSD 14 Inch FHD Windows 11 Type C,Rp3.795.000,,,Yogyakarta,Laptop,Advan,Baru,Shopee 
ADVAN WORKMATE - AMD RYZEN 5 3500U RAM 8GB 256GB W11 14.0WUXGA IPS,Rp5.682.000,4.9,112 Terjual,Jakarta Utara,Laptop,Advan,Baru,Shopee 
ADVAN WORKMATE RYZEN 5 3500U RAM 8GB SSD 256GB WINDOWS11 UWUXGA IPS,Rp5.683.000,5.0,3 Terjual,Depok,Laptop,Advan,Baru,Shopee 
Advan WorkPlus 14 Ryzen 5 16GB 512GB Win11,Rp5.799.000,4.9,35 Terjual,Tangerang,Laptop,Advan,Baru,Shopee 
Advan T-Book 14 Intel N100 8GB 512GB SSD Windows 11,Rp4.298.000,4.9,32 Terjual,Jakarta Pusat,Laptop,Advan,Baru,Shopee 
"Laptop Advan Workmate R5-3500U 8GB/256GB 14"" FHD IPS Win11",Rp5.890.000,4.9,1RB+ Terjual,Jakarta Pusat,Laptop,Advan,Baru,Shopee 
"Laptop Editing Advan Soulmate X1 AMD 3020E Ram 4GB DDR4 128GB SSD 14"" FHD IPS Windows 11",Rp3.516.000,,,,Laptop,Advan,Baru,Shopee 
"Advan Soulmate X2 AMD 3020E 8GB 128GB SSD 14"" FHD IPS White",Rp3.699.000,5.0,10 Terjual,Bandung,Laptop,Advan,Baru,Shopee 
ADVAN TBook Intel Celeron N100 4 Core RAM16GB SSD1TB 14'' Hd Windows 11,Rp2.499.000,,1 Terjual,Malang,Laptop,Advan,Baru,Shopee 
Advan SOULMATE X AMD 3020e 8GB 384GB IPS FHD,Rp3.499.000,5.0,52 Terjual,Semarang,Laptop,Advan,Baru,Shopee 
Advan Workmate Ryzen 5 256GB SSD 8GB RAM Laptop,Rp6.399.000,5.0,5 Terjual,Malang,Laptop,Advan,Baru,Shopee 
ADVAN LAPTOP WORKMATE ULTRA | INTEL ULTRA 5 115U WITH AI BOOST | 14 INCH FHD+ 16:10 IPS | 8GB+256GB | FREE WINDOWS 11 | Garansi Resmi 2 Tahun,Rp8.199.000,4.7,8 Terjual,Semarang,Laptop,Advan,Baru,Shopee 
LAPTOP ADVAN WORKMATE - AMD RYZEN 5 3500U RAM 8GB 256GB W11 14.0WUXGA IPS,Rp5.682.000,4.9,190 Terjual,Jakarta Utara,Laptop,Advan,Baru,Shopee 
Laptop Advan Soulmate X2 AMD 8GB 128GB Win11,Rp3.754.000,5.0,362 Terjual,Jakarta Pusat,Laptop,Advan,Baru,Shopee 
Advan Workmate 14 I3 8GB 256GB IPS Windows 11,Rp3.799.000,5.0,11 Terjual,Jakarta Selatan,Laptop,Advan,Baru,Shopee 
"Advan Solmate X2 Ryzen 3020E 16GB 512GB SSD 14"" FHD IPS Win11",Rp3.694.000,4.7,10 Terjual,Bekasi,Laptop,Advan,Baru,Shopee 
Laptop Advan WorkPlus Work Plus Heritage Ryzen 5 7535HS 16GB / 8GB RAM 512GB SSD 14 inch IPS Windows 11,Rp7.689.000,4.8,19 Terjual,Surabaya,Laptop,Advan,Baru,Shopee 
"Advan Soulmate X AMD 3020E 8GB 128GB 14"" FHD W11",Rp4.399.000,5.0,4 Terjual,Surabaya,Laptop,Advan,Baru,Shopee 
"ADVAN Soulmate T 1405 8GB 128GB 14"" HD Windows 11",Rp3.399.000,5.0,46 Terjual,Balikpapan,Laptop,Advan,Baru,Shopee 
Advan 2in1 360 Laptop i3 32GB 1TB SSD Windows 11,Rp7.099.000,5.0,33 Terjual,Jakarta Pusat,Laptop,Advan,Baru,Shopee 
Advan Workmate R5 14 Ryzen 5 16GB 512GB SSD Win11,Rp3.698.000,5.0,11 Terjual,Tangerang Selatan,Laptop,Advan,Baru,Shopee 
LAPTOP ADVAN WORKPLUS HERITAGE BATIK RYZEN 5 7535HS - 8GB 512GB 14.0WUXGA IPS,Rp7.500.000,5.0,5 Terjual,Surabaya,Laptop,Advan,Baru,Shopee 
ADVAN 360 Pro Stylus AMD Ryzen 5 7430U RAM32GB SSD1TB 14'' Touchscreen Fhd Ips Windows 11,Rp7.199.000,4.9,106 Terjual,Jakarta Pusat,Laptop,Advan,Baru,Shopee 
LAPTOP ADVAN SOULMATE X2 AMD 3020 8GB 128GB 14.0 IPS,Rp3.729.000,,,,Laptop,Advan,Baru,Shopee 
LAPTOP ADVAN WORKMATE BLUE/ GREY INTEL CORE i3-1215U 8GB 256GB WIN 11 HOME TANPA OFFICE NO OFFICE,Rp6.099.000,,,Surabaya,Laptop,Advan,Baru,Shopee 
[BEST SELLER] Laptop ADVAN WorkMate | Soulmate AMD Ryzen 5 3500U 16GB 512GB 14 FHD+ IPS Windows 11,Rp3.699.000,5.0,18 Terjual,Jakarta Pusat,Laptop,Advan,Baru,Shopee 
