web_scraper_order,web_scraper_start_url,product_link,product_name,price,rating,review_count,sold,seller,category,brand,condition,sold_text,sold_num
1774591480-3,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,https://www.tokopedia.com/pandacom/laptop-advan-soulmate-plus-1405-l24d-r53s1-amd-ryzen-5-3500u-8gb-ddr4-256gb-ssd-amd-radeon-rx-vega-8-14inch-camera-wi-fi-5-bluetooth-5-0-win11-resmi?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706033537BC2F75BF1BCF1FCL2R%26src%3Dsearch,LAPTOP ADVAN SOULMATE PLUS 1405-L24D-R53S1 AMD RYZEN 5-3500U 8GB DDR4 256GB SSD AMD RADEON RX VEGA 8 14INCH CAMERA WI-FI 5 BLUETOOTH 5.0 WIN11 RESMI,4305100.0,5.0,2 rating • 1 ulasan,Terjual 3,Pandacom_NEW,Laptop,Advan,Baru,Terjual 3,3
1774591484-4,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,https://www.tokopedia.com/fijanstore/advan-netbook-atau-lebih-tepatnya-laptop-entry-level-notebook-1733626679510205884?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706033537BC2F75BF1BCF1FCL2R%26src%3Dsearch,Advan netbook (atau lebih tepatnya laptop entry-level/notebook),2000000.0,0,0 rating • 0 ulasan,Terjual 0,fijanstore,Laptop,Advan,Baru,Terjual 0,0
1774591488-5,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,https://www.tokopedia.com/jedata/advan-t-book-transformers-intel-core-n100-4gb-128gb-grey-1730769788500805198?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706033537BC2F75BF1BCF1FCL2R%26src%3Dsearch,Advan T-Book Transformers Intel Core N100 4GB/128GB-Grey,3394000.0,0,0 rating • 0 ulasan,Terjual 0,JET COMPUTER,Laptop,Advan,Baru,Terjual 0,0
1774591492-6,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,https://www.tokopedia.com/greencomputerbalikpapan/laptop-advan-soulmate-intel-n4020-ram-4gb-mmc-128-gb-ssd-256gb-win11?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706033537BC2F75BF1BCF1FCL2R%26src%3Dsearch,Laptop Advan Soulmate Intel N4020 ram 4GB MMC 128 GB + ssd 256GB WIN11,3090000.0,0,0 rating • 0 ulasan,Terjual 0,greencomputerbpn,Laptop,Advan,Baru,Terjual 0,0
1774591496-7,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,https://www.tokopedia.com/gigacom-/advan-soulmate-t-1405-l24i-nsns1-upgrade-verison-n4020-4gb-128gb-emmc-5-1-w11-hd-1y-black-1729906883226141776?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706033537BC2F75BF1BCF1FCL2R%26src%3Dsearch,ADVAN SOULMATE T 1405 L24I NSNS1 UPGRADE VERISON - N4020 4GB 128GB eMMC 5.1 W11 HD 1Y BLACK - 4/128GB,2339000.0,0,0 rating • 0 ulasan,1 barang berhasil terjual,GIGACOM TANGCITY,Laptop,Advan,Baru,Terjual 1,1
1774591501-8,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,https://www.tokopedia.com/sevenshopptk/advan-laptop-soulmate-celeron-n4020-4gb-128gb-garansi-resmi-hitam-4gb-128gb-24240?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706033537BC2F75BF1BCF1FCL2R%26src%3Dsearch,"Advan Laptop Soulmate Celeron N4020 4GB/128GB Garansi Resmi - Hitam, 4GB/128GB",2499000.0,5.0,1 rating • 1 ulasan,Terjual 4,sevenshopptk,Laptop,Advan,Baru,Terjual 4,4
1774591511-10,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,https://www.tokopedia.com/mdpsuperstore/laptop-advan-workmate-amd-r5-3500u-1x8-gb-ddr4-256-gb-ssd-14-fhd-ips-win-11-tas-1732617996630787515?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706033537BC2F75BF1BCF1FCL2R%26src%3Dsearch,"LAPTOP ADVAN WORKMATE : AMD R5-3500U/ 1X8 GB DDR4/ 256 GB SSD/ 14""FHD+ IPS/ WIN 11 (TAS) - BLUE",5699000.0,0,0 rating • 0 ulasan,Terjual 0,mdpsuperstore,Laptop,Advan,Baru,Terjual 0,0
1774591520-11,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,https://www.tokopedia.com/notebookmurah/advan-soulmate-n4020-4gb-128gb-w11-14-0-hd-standard-100aa?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706033537BC2F75BF1BCF1FCL2R%26src%3Dsearch,Advan Soulmate N4020 4Gb 128Gb W11 14.0 Hd - STANDARD,3299000.0,0,0 rating • 0 ulasan,1 barang berhasil terjual,Notebook Murah ID,Laptop,Advan,Baru,Terjual 1,1
1774591525-12,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,https://www.tokopedia.com/pusatinfus/advan-soulmate-celeron-n4020-4gb-128gb-mmc-w11-grey-641e6?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706033537BC2F75BF1BCF1FCL2R%26src%3Dsearch,Advan Soulmate Celeron N4020 4GB 128GB MMC W11 - GREY,2395000.0,0,0 rating • 0 ulasan,1 barang berhasil terjual,Pusat Infus,Laptop,Advan,Baru,Terjual 1,1
1774591529-13,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,https://www.tokopedia.com/rajakomputerkediri/advan-work-plus-silver-ryzen-7-7735hs-16gb-ssd-512gb-win11-14-fhd-1729813243068974391?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706033537BC2F75BF1BCF1FCL2R%26src%3Dsearch,ADVAN WORK PLUS – SILVER RYZEN 7 7735HS-16GB-SSD 512GB-WIN11 14 FHD,9000000.0,4.7,3 rating • 1 ulasan,Terjual 6,RAJAKOMPUTER ONLINE,Laptop,Advan,Baru,Terjual 6,6
