web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,nama toko
"1777366126-1","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","HONOR Pad X8a [4/128GB] -Garansi Resmi Indonesia 1th","1.949.000","","","Kota Surabaya","REJODADI Gadget Flagship Store"
"1777366126-2","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","Hp Honor 400 Lite 5G Ram 8GB Internal 256GB Garansi Resmi","4.199.000","","","Kota Pekanbaru","wwponsel_hangtuah Flagship Store"
"1777366126-3","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","HONOR X6C 6/256 GB GARANSI RESMI HONOR INDONESIA TERMURAH","3.299.000","","","Kota Surabaya","Pasar Ponsel Flagship Store"
"1777366126-4","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","HONOR X7D 8/512 GB GARANSI RESMI HONOR INDONESIA TERMURAH","4.999.000","","","Kota Surabaya","Pasar Ponsel Flagship Store"
"1777366126-5","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","Honor X8B 4/128 GB Garansi Resmi","2.532.000","","","Kota Jakarta Pusat","Gudang-hp.com Flagship Store"
"1777366126-6","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","Honor X7D 8/512 GB Garansi Resmi","4.548.000","","","Kota Jakarta Pusat","Gudang-hp.com Flagship Store"
"1777366126-7","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","Honor X6C 6/256 GB Garansi Resmi","3.074.000","","","Kota Jakarta Pusat","Gudang-hp.com Flagship Store"
"1777366126-8","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","HONOR 400 LITE 5G 8/256 Garansi Resmi Original Smartphone dengan Kamera Ganda dan RAM 8GB ROM 256GB","3.704.050","","","Kota Bekasi","Premium Flagship Store"
"1777366126-9","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","Honor X7d 8/512GB Snapdragon 685 108MP 6500mAh | Garansi Resmi Honor Indonesia 1 Tahun","4.345.000","","Terjual 1","Kota Jakarta Barat","CERIA PONSEL STORE Flagship Store"
"1777366126-10","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","Honor X6c 6/256GB Mediatek Helio G81 Ultra 50MP 5300mAh | Garansi Resmi Honor Indonesia 1 Tahun","2.885.000","","","Kota Jakarta Barat","CERIA PONSEL STORE Flagship Store"
"1777366126-11","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","Honor 400 Lite 5G 8GB/256GB AMOLED 120Hz Garansi Resmi Honor Indonesia","3.877.000","","","Kota Bandung","Beli Beli Indonesia Flagship Store"
"1777366126-12","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","HONOR X6c 6/256GB New Garansi","3.099.000","","","Kota Semarang","SINAR MAS SELLULER CL Flagship Store"
"1777366126-13","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","Honor 400 5G 12/512GB [200 MP (Kamera Utama), Snapdragon 7 Gen 3, MagicOS 9.0, 6000 mAh] - Garansi Resmi","6.999.000","","","Kota Madiun","Maju Hardware Group Flagship Store"
"1777366126-14","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","Honor X6c 6/256GB Mediatek Helio G81 Ultra 50MP 5300mAh | Garansi Resmi Honor Indonesia 1 Tahun","2.746.000","","","Kota Bandung","Era 2000 Flagship Store"
"1777366126-15","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","Honor 400 Lite 5G 8/256 GB - Garansi Resmi","3.899.000","","","Kota Jakarta Timur","Ucell Cempaka"
"1777366126-16","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","HONOR MAGIC V3 12/512GB GARANSI RESMI HONOR INDONESIA","21.999.000","","","","Kota Jakarta Utara"
"1777366126-17","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","HONOR 7A 2/16 GB","1.200.000","","","","Kab. Tangerang"
"1777366126-18","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","HONOR 400 LITE 8/256 5G GARANSI RESMI","3.999.000","","","Kota Medan","HP resmi Flagship Store"
