web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,nama toko
"1777364731-1","https://www.blibli.com/cari/hp%20huwawei?brand=HUAWEI&sort=0&category=HA-1000002&intent=false&firstLoad=false&page=3&start=80","【NEW | Hadiah s/d 9,2JT】HUAWEI Mate 80 Pro Smartphone 16+512G l True-to-Colour Camera 2.0 l 2nd Gen Kunlun Glass l Smart AI | 100W","16.799.000","5","Terjual 39","Kota Tangerang","HUAWEI Flagship Store"
"1777364731-2","https://www.blibli.com/cari/hp%20huwawei?brand=HUAWEI&sort=0&category=HA-1000002&intent=false&firstLoad=false&page=3&start=80","HUAWEI Mate X6 Smartphone 12G/512GB | Ultra Slim and Durable | Ultra Chroma Camera | Ultra-long Battery Life","24.899.000","","","Kota Surabaya","TECHNO COM Flagship Store"
"1777364731-3","https://www.blibli.com/cari/hp%20huwawei?brand=HUAWEI&sort=0&category=HA-1000002&intent=false&firstLoad=false&page=3&start=80","HUAWEI nova 14 Pro Smartphone l True-to-Life Color Camera | 50 MP Front Dual Camera l Smart AI | 100W | Garansi Resmi","8.499.000","","Terjual 4","Kota Surabaya","Tokolasvegas Flagship Store"
"1777364731-4","https://www.blibli.com/cari/hp%20huwawei?brand=HUAWEI&sort=0&category=HA-1000002&intent=false&firstLoad=false&page=3&start=80","Hp Huawei Nova 13 Pro Ram 12GB Internal 512GB Garansi Resmi","8.199.000","","Terjual 1","Kota Pekanbaru","wwponsel_hangtuah Flagship Store"
"1777364731-5","https://www.blibli.com/cari/hp%20huwawei?brand=HUAWEI&sort=0&category=HA-1000002&intent=false&firstLoad=false&page=3&start=80","HUAWEI Mate X7 Fold 16GB/512GB Smartphone | Ultra Thin and Durable | True-to-Color Camera | Smart AI | Garansi Resmi","27.999.000","","","Kota Surabaya","Tokolasvegas Flagship Store"
"1777364731-6","https://www.blibli.com/cari/hp%20huwawei?brand=HUAWEI&sort=0&category=HA-1000002&intent=false&firstLoad=false&page=3&start=80","HUAWEI Pura 70 Ultra Smartphone Garansi Resmi","17.999.000","","Terjual 12","","Kota Surabaya & kota lainnya"
"1777364731-7","https://www.blibli.com/cari/hp%20huwawei?brand=HUAWEI&sort=0&category=HA-1000002&intent=false&firstLoad=false&page=3&start=80","Huawei P40 Pro Plus Smartphone [8 GB-512 GB]","15.499.000","","","","Kota Surabaya"
"1777364731-8","https://www.blibli.com/cari/hp%20huwawei?brand=HUAWEI&sort=0&category=HA-1000002&intent=false&firstLoad=false&page=3&start=80","【PAYDAY | Voucher s/d 10%】HUAWEI Pura 80 Pro Smartphone | 1-inch Sensor | Macro Telephoto | Kunlun Glass | 100W | Smart AI","13.500.000","4,9","Terjual 277","Kota Tangerang","HUAWEI Flagship Store"
"1777364731-9","https://www.blibli.com/cari/hp%20huwawei?brand=HUAWEI&sort=0&category=HA-1000002&intent=false&firstLoad=false&page=3&start=80","【PAYDAY | Voucher s/d 10%】HUAWEI Mate X6 Smartphone | Ultra Slim and Durable | Ultra Chroma Camera | Ultra-long Battery Life","25.000.000","4,9","Terjual 151","Kota Tangerang","HUAWEI Flagship Store"
"1777364731-10","https://www.blibli.com/cari/hp%20huwawei?brand=HUAWEI&sort=0&category=HA-1000002&intent=false&firstLoad=false&page=3&start=80","HUAWEI Mate 80 Pro Smartphone 16+512G l True-to-Colour Camera 2.0 l 2nd Gen Kunlun Glass l Smart AI | 100W","15.999.000","","","Kab. Tangerang","IT Galeri Flagship Store"
"1777364731-11","https://www.blibli.com/cari/hp%20huwawei?brand=HUAWEI&sort=0&category=HA-1000002&intent=false&firstLoad=false&page=3&start=80","【PAYDAY | Bank Cashback s/d 5JT】HUAWEI Mate X7 Smartphone | Ultra Thin and Durable | True-to-Color Camera | Ultra-long Battery Life | Smart AI","28.000.000","4,9","Terjual 146","Kota Tangerang","HUAWEI Flagship Store"
"1777364731-12","https://www.blibli.com/cari/hp%20huwawei?brand=HUAWEI&sort=0&category=HA-1000002&intent=false&firstLoad=false&page=3&start=80","HUAWEI nova 14 Pro Smartphone l True-to-Life Color Camera | 50 MP Front Dual Camera l Smart AI | 100W","8.499.000","5","Terjual 20","Kota Semarang","Alyosha Semarang Flagship Store"
"1777364731-13","https://www.blibli.com/cari/hp%20huwawei?brand=HUAWEI&sort=0&category=HA-1000002&intent=false&firstLoad=false&page=3&start=80","HUAWEI nova 14 Pro Smartphone l True-to-Life Color Camera | 50 MP Front Dual Camera l Smart AI | 100W","8.319.000","","Terjual 1","Kota Bandung","Beli Beli Indonesia Flagship Store"
"1777364731-14","https://www.blibli.com/cari/hp%20huwawei?brand=HUAWEI&sort=0&category=HA-1000002&intent=false&firstLoad=false&page=3&start=80","HUAWEI Mate X7 Smartphone | Ultra Thin and Durable | True-to-Color Camera | Ultra-long Battery Life | Smart AI","26.699.000","","","Kota Bandung","Beli Beli Indonesia Flagship Store"
"1777364731-15","https://www.blibli.com/cari/hp%20huwawei?brand=HUAWEI&sort=0&category=HA-1000002&intent=false&firstLoad=false&page=3&start=80","HUAWEI Nova 14 Pro Smartphone l True-to-Life Color Camera | 50 MP Front Dual Camera l Smart AI | 100W","8.499.000","","","Kota Bandung","Up To Shop Flagship Store"
"1777364731-16","https://www.blibli.com/cari/hp%20huwawei?brand=HUAWEI&sort=0&category=HA-1000002&intent=false&firstLoad=false&page=3&start=80","HUAWEI Pura 80 Ultra Smartphone | 10x Optical Zoom | 1-inch Sensor | Kunlun Glass | 100W | Smart AI","19.982.000","","","Kota Bandung","Beli Beli Indonesia Flagship Store"
"1777364731-17","https://www.blibli.com/cari/hp%20huwawei?brand=HUAWEI&sort=0&category=HA-1000002&intent=false&firstLoad=false&page=3&start=80","【PAYDAY | Voucher s/d 10%】HUAWEI Pura 80 Ultra Smartphone | 10x Optical Zoom | 1-inch Sensor | Kunlun Glass | 100W | Smart AI","21.000.000","4,8","Terjual 71","Kota Tangerang","HUAWEI Flagship Store"
"1777364731-18","https://www.blibli.com/cari/hp%20huwawei?brand=HUAWEI&sort=0&category=HA-1000002&intent=false&firstLoad=false&page=3&start=80","【PAYDAY | Voucher s/d 10%】HUAWEI nova 14 Pro Smartphone l True-to-Life Color Camera | 50 MP Front Dual Camera l Smart AI | 100W","8.500.000","5","Terjual 68","Kota Tangerang","HUAWEI Flagship Store"
