web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,nama toko
"1778000386-1","https://www.blibli.com/cari/hp%20infinix?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Infinix&page=10&start=360","INFINIX SMART 20","1.699.000","5","Terjual 4","Kota Surabaya","Sentra Pusat Gadget Flagship Store"
"1778000386-2","https://www.blibli.com/cari/hp%20infinix?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Infinix&page=10&start=360","HP INFINIX SMART 6 HD 2/32GB","1.199.000","","","","Kab. Sidoarjo"
"1778000386-3","https://www.blibli.com/cari/hp%20infinix?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Infinix&page=10&start=360","HP infinix smart 10 ram 4/64 new garansi resmi 1 tahun","1.500.000","","Terjual 2","","Kota Surabaya"
"1778000386-4","https://www.blibli.com/cari/hp%20infinix?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Infinix&page=10&start=360","Handphone HP Infinix Smart 10 4/64GB Up to 8GB Extended RAM 6.67 inch 120Hz HD+ T7250 5000 mAh","1.716.000","5","Terjual 6","Kota Jakarta Pusat","KlikGadget Flagship Store"
"1778000386-5","https://www.blibli.com/cari/hp%20infinix?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Infinix&page=10&start=360","Hp Infinix 40 Pro+ 5G Ram 12GB Internal 256GB Garansi Resmi","4.378.000","","","Kota Pekanbaru","wwponsel_hangtuah Flagship Store"
"1778000386-6","https://www.blibli.com/cari/hp%20infinix?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Infinix&page=10&start=360","Hp Infinix Note Edge 5G+ Ram 8GB Internal 256GB Garansi Resmi","3.481.505","5","Terjual 1","Kota Pekanbaru","wwponsel_hangtuah Flagship Store"
"1778000386-7","https://www.blibli.com/cari/hp%20infinix?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Infinix&page=10&start=360","INFINIX HOT 60 PRO PLUS 8/256 GB HOT 60 PRO NFC 8/128GB SMARTPHONE GARANSI RESMI INFINIX RAM 8 + 8 GB - INFINIX HOT 60 PRO PLUS","2.875.275","5","Terjual 3","Kota Tangerang","STR Flagship Store"
"1778000386-8","https://www.blibli.com/cari/hp%20infinix?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Infinix&page=10&start=360","Infinix Note 60 8/256 Gb Garansi Resmi","4.499.000","","","Kota Medan","HP resmi Flagship Store"
"1778000386-9","https://www.blibli.com/cari/hp%20infinix?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Infinix&page=10&start=360","Infinix Note 60 Pro 8/256 & 12/256 Gb Garansi Resmi","5.898.000","","","Kota Medan","HP resmi Flagship Store"
"1778000386-10","https://www.blibli.com/cari/hp%20infinix?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Infinix&page=10&start=360","Infinix Smart 20 NFC 4/64 4/128 GB RAM 4GB ROM 64GB 128GB Smartphone","1.641.900","5","Terjual 19","Kota Jakarta Utara","One Space Flagship Store"
