web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,nama toko
"1777369411-1","https://www.blibli.com/cari/hp%20lenovo?brand=Lenovo&sort=0&category=AN-1000001&intent=false&firstLoad=false","Lenovo S60 Smartphone - White [8 GB]","1.311.900","","Terjual 1","Kota Jakarta Pusat","Victorindo Flagship Store"
"1777369411-2","https://www.blibli.com/cari/hp%20lenovo?brand=Lenovo&sort=0&category=AN-1000001&intent=false&firstLoad=false","Lenovo Vibe K5 Smartphone - Silver","1.535.000","","Terjual 2","","Kota Bandung"
"1777369411-3","https://www.blibli.com/cari/hp%20lenovo?brand=Lenovo&sort=0&category=AN-1000001&intent=false&firstLoad=false","Lenovo S850 Smartphone - Putih","1.630.000","","","","Kota Bandung"
"1777369411-4","https://www.blibli.com/cari/hp%20lenovo?brand=Lenovo&sort=0&category=AN-1000001&intent=false&firstLoad=false","Lenovo Vibe K5 Smartphone - Silver [16 GB/2 GB]","1.599.000","","","","Kab. Semarang"
"1777369411-5","https://www.blibli.com/cari/hp%20lenovo?brand=Lenovo&sort=0&category=AN-1000001&intent=false&firstLoad=false","Lenovo K5 Plus Smartphone - Silver [16GB/ 3GB]","1.849.000","","","","Kab. Semarang"
"1777369411-6","https://www.blibli.com/cari/hp%20lenovo?brand=Lenovo&sort=0&category=AN-1000001&intent=false&firstLoad=false","Lenovo A6600 Plus Smartphone - White [16GB/ 2GB]","1.333.000","","","","Kota Malang"
"1777369411-7","https://www.blibli.com/cari/hp%20lenovo?brand=Lenovo&sort=0&category=AN-1000001&intent=false&firstLoad=false","Lenovo Vibe K6 Power Smartphone - Silver [32GB/ 3GB]","1.784.000","","","","Kota Malang"
"1777369411-8","https://www.blibli.com/cari/hp%20lenovo?brand=Lenovo&sort=0&category=AN-1000001&intent=false&firstLoad=false","Lenovo A7700 Smartphone - White [16 GB-2 GB]","1.475.000","","","","Kota Jakarta Pusat"
"1777369420-9","https://www.blibli.com/cari/handphone%20lenovo?brand=Lenovo&sort=0&category=HA-1000002&intent=false&firstLoad=false","Lenovo S60 Smartphone - White [8 GB]","1.311.900","","Terjual 1","Kota Jakarta Pusat","Victorindo Flagship Store"
"1777369420-10","https://www.blibli.com/cari/handphone%20lenovo?brand=Lenovo&sort=0&category=HA-1000002&intent=false&firstLoad=false","Lenovo S850 Smartphone - Putih","1.630.000","","","","Kota Bandung"
"1777369420-11","https://www.blibli.com/cari/handphone%20lenovo?brand=Lenovo&sort=0&category=HA-1000002&intent=false&firstLoad=false","Lenovo Vibe K5 Smartphone - Silver","1.535.000","","Terjual 2","","Kota Bandung"
"1777369420-12","https://www.blibli.com/cari/handphone%20lenovo?brand=Lenovo&sort=0&category=HA-1000002&intent=false&firstLoad=false","Lenovo Vibe K5 Smartphone - Silver [16 GB/2 GB]","1.599.000","","","","Kab. Semarang"
"1777369420-13","https://www.blibli.com/cari/handphone%20lenovo?brand=Lenovo&sort=0&category=HA-1000002&intent=false&firstLoad=false","Lenovo K5 Plus Smartphone - Silver [16GB/ 3GB]","1.849.000","","","","Kab. Semarang"
"1777369420-14","https://www.blibli.com/cari/handphone%20lenovo?brand=Lenovo&sort=0&category=HA-1000002&intent=false&firstLoad=false","Lenovo A6600 Plus Smartphone - White [16GB/ 2GB]","1.333.000","","","","Kota Malang"
"1777369420-15","https://www.blibli.com/cari/handphone%20lenovo?brand=Lenovo&sort=0&category=HA-1000002&intent=false&firstLoad=false","Lenovo Vibe K6 Power Smartphone - Silver [32GB/ 3GB]","1.784.000","","","","Kota Malang"
"1777369420-16","https://www.blibli.com/cari/handphone%20lenovo?brand=Lenovo&sort=0&category=HA-1000002&intent=false&firstLoad=false","Lenovo A7700 Smartphone - White [16 GB-2 GB]","1.475.000","","","","Kota Jakarta Pusat"
