web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,nama toko
"1777366770-1","https://www.blibli.com/cari/hp%20nokia?brand=Nokia&sort=0&category=HA-1000002&intent=false&firstLoad=false&page=12&start=440","Handphone Jadul | HP Nokia 105 2024 Mini SIM - Garansi Resmi 1 Tahun","312.500","5","Terjual 18","","Kota Surabaya"
"1777366770-2","https://www.blibli.com/cari/hp%20nokia?brand=Nokia&sort=0&category=HA-1000002&intent=false&firstLoad=false&page=12&start=440","Pre-order","265.000","5","Terjual 88","","Kota Surabaya"
"1777366770-3","https://www.blibli.com/cari/hp%20nokia?brand=Nokia&sort=0&category=HA-1000002&intent=false&firstLoad=false&page=12&start=440","Handphone Jadul | HP Nokia 105 2024 Mini SIM - Garansi Resmi 1 Tahun","312.500","5","Terjual 24","","Kota Surabaya"
"1777366770-4","https://www.blibli.com/cari/hp%20nokia?brand=Nokia&sort=0&category=HA-1000002&intent=false&firstLoad=false&page=12&start=440","Hp Nokia Frodo 150 Garansi Resmi","499.000","","","Kota Pekanbaru","wwponsel_hangtuah Flagship Store"
"1777366770-5","https://www.blibli.com/cari/hp%20nokia?brand=Nokia&sort=0&category=HA-1000002&intent=false&firstLoad=false&page=12&start=440","NOKIA 110 2024 GARANSI RESMI - NEW","350.000","","Terjual 7","Kota Surabaya","CV INTOWN CELL INDONESIA Flagship Store"
"1777366770-6","https://www.blibli.com/cari/hp%20nokia?brand=Nokia&sort=0&category=HA-1000002&intent=false&firstLoad=false&page=12&start=440","NOKIA 150 FRODO VALUE GARANSI RESMI - NEW","549.000","","","Kota Surabaya","CV INTOWN CELL INDONESIA Flagship Store"
"1777366770-7","https://www.blibli.com/cari/hp%20nokia?brand=Nokia&sort=0&category=HA-1000002&intent=false&firstLoad=false&page=12&start=440","Nokia 105 Tam","317.000","5","Terjual 240","","Kota Surabaya"
"1777366770-8","https://www.blibli.com/cari/hp%20nokia?brand=Nokia&sort=0&category=HA-1000002&intent=false&firstLoad=false&page=12&start=440","Pre-order","325.000","","Terjual 7","","Kota Batu"
"1777366770-9","https://www.blibli.com/cari/hp%20nokia?brand=Nokia&sort=0&category=HA-1000002&intent=false&firstLoad=false&page=12&start=440","NOKIA 105 FOX (2024) GARANSI RESMI - NEW","270.000","","Terjual 9","Kota Surabaya","CV INTOWN CELL INDONESIA Flagship Store"
"1777366770-10","https://www.blibli.com/cari/hp%20nokia?brand=Nokia&sort=0&category=HA-1000002&intent=false&firstLoad=false&page=12&start=440","NOKIA 150 FRODO VALUE GARANSI RESMI - PROMO","464.000","","Terjual 1","Kota Surabaya","CV INTOWN CELL INDONESIA Flagship Store"
"1777366770-11","https://www.blibli.com/cari/hp%20nokia?brand=Nokia&sort=0&category=HA-1000002&intent=false&firstLoad=false&page=12&start=440","Nokia 105 FOX TA-1627 - MP3 Player, MicroSD, Dual SIM | Garansi Resmi","350.000","","","Kota Surabaya","Tokolasvegas Flagship Store"
"1777366770-12","https://www.blibli.com/cari/hp%20nokia?brand=Nokia&sort=0&category=HA-1000002&intent=false&firstLoad=false&page=12&start=440","Nokia 105 LEDA Edition TA-1557 | Dual SIM, Baterai 1000mAh | Garansi Resmi","299.000","","","Kota Surabaya","Tokolasvegas Flagship Store"
"1777366770-13","https://www.blibli.com/cari/hp%20nokia?brand=Nokia&sort=0&category=HA-1000002&intent=false&firstLoad=false&page=12&start=440","Nokia 105 Handphone","255.000","4,7","Terjual 15","","Kota Surabaya"
"1777366770-14","https://www.blibli.com/cari/hp%20nokia?brand=Nokia&sort=0&category=HA-1000002&intent=false&firstLoad=false&page=12&start=440","Nokia 5310 2020 Handphone","700.000","5","Terjual 10","","Kota Surabaya"
"1777366770-15","https://www.blibli.com/cari/hp%20nokia?brand=Nokia&sort=0&category=HA-1000002&intent=false&firstLoad=false&page=12&start=440","NOKIA 105 LEDA GARANSI RESMI - PROMO","239.000","5","Terjual 144","Kota Surabaya","CV INTOWN CELL INDONESIA Flagship Store"
"1777366770-16","https://www.blibli.com/cari/hp%20nokia?brand=Nokia&sort=0&category=HA-1000002&intent=false&firstLoad=false&page=12&start=440","Pre-order","520.000","","Terjual 25","","Kota Surabaya"
"1777366770-17","https://www.blibli.com/cari/hp%20nokia?brand=Nokia&sort=0&category=HA-1000002&intent=false&firstLoad=false&page=12&start=440","Nokia 105 DS TA- 1174","259.200","5","Terjual 58","","Kota Surabaya"
"1777366770-18","https://www.blibli.com/cari/hp%20nokia?brand=Nokia&sort=0&category=HA-1000002&intent=false&firstLoad=false&page=12&start=440","Nokia 150 2024, Garansi Resmi","524.000","5","Terjual 17","","Kota Surabaya"
