web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,nama toko
"1778022599-1","https://www.blibli.com/cari/hp%20oppo?brand=OPPO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","[NEW] OPPO A6x 6GB+128GB/256GB [IP64 Water & Dust Resistance, 6500mAh Large Battery, Snapdragon 685, 120Hz Fast Responsive Screen]","3.509.025","5","Terjual 7","Kota Tangerang","OPPO Indonesia Flagship Store"
"1778022599-2","https://www.blibli.com/cari/hp%20oppo?brand=OPPO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","OPPO Find X9","15.599.025","5","Terjual 16","Kota Tangerang","OPPO Indonesia Flagship Store"
"1778022599-3","https://www.blibli.com/cari/hp%20oppo?brand=OPPO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","OPPO A54 HANDPHONE RAM 4/64","2.499.000","","","Kota Surabaya","UFO Elektronika dan Furniture Flagship Store"
"1778022599-4","https://www.blibli.com/cari/hp%20oppo?brand=OPPO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","OPPO Reno 15F 5G Smartphone (8/128GB)","5.988.000","5","Terjual 5","OPPO Fan Store Flagship Store","Disediakan Blibli"
"1778022599-5","https://www.blibli.com/cari/hp%20oppo?brand=OPPO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","OPPO A6 Smartphone [6/128GB]","3.679.200","","Terjual 11","OPPO Fan Store Flagship Store","Disediakan Blibli"
"1778022599-6","https://www.blibli.com/cari/hp%20oppo?brand=OPPO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","OPPO A6t [4/64GB][4/128GB][6/128GB] Smartphone","1.838.000","4,5","Terjual 6","OPPO Fan Store Flagship Store","Disediakan Blibli"
"1778022599-7","https://www.blibli.com/cari/hp%20oppo?brand=OPPO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","OPPO Reno13 5G 12/256GB [80W SUPERVOOC 5600mAh Battery, IP69 Water Resistance: Underwater Photography, AI Livephoto]","8.774.025","5","Terjual 34","Kota Tangerang","OPPO Indonesia Flagship Store"
"1778022599-8","https://www.blibli.com/cari/hp%20oppo?brand=OPPO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","[NEW] OPPO A6t Pro 5G 8+256GB","4.679.025","5","Terjual 10","Kota Tangerang","OPPO Indonesia Flagship Store"
"1778022599-9","https://www.blibli.com/cari/hp%20oppo?brand=OPPO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","OPPO A6 Pro [8/256GB]","4.984.000","4,9","Terjual 59","OPPO Fan Store Flagship Store","Disediakan Blibli"
"1778022599-10","https://www.blibli.com/cari/hp%20oppo?brand=OPPO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","OPPO A1K Smartphone [32 GB/ 2 GB]","1.400.000","5","Terjual 7","Kota Surabaya","CahayaPhone40 sby Flagship Store"
"1778022599-11","https://www.blibli.com/cari/hp%20oppo?brand=OPPO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","OPPO A6 [6/128GB-6/256GB] -Garansi Resmi OPPO Indonesia","4.299.000","5","Terjual 1","Kota Surabaya","REJODADI Gadget Flagship Store"
"1778022599-12","https://www.blibli.com/cari/hp%20oppo?brand=OPPO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","OPPO A6x [4/64GB-4/128GB -Garansi Resmi OPPO Indonesia","2.199.000","","","Kota Surabaya","REJODADI Gadget Flagship Store"
"1778022599-13","https://www.blibli.com/cari/hp%20oppo?brand=OPPO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","OPPO A6 Pro 8/256GB Garansi Resmi Oppo - Grandivo Waru","4.875.000","5","Terjual 2","Kab. Sidoarjo","GRANDIVO Flagship Store"
"1778022599-14","https://www.blibli.com/cari/hp%20oppo?brand=OPPO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","OPPO A6 6/128 GB GARANSI RESMI OPPO INDONESIA TERMURAH","4.299.000","","","Kota Surabaya","Hapemall Flagship Store"
"1778022599-15","https://www.blibli.com/cari/hp%20oppo?brand=OPPO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","OPPO A6X 6/256 GB GARANSI RESMI OPPO INDONESIA TERMURAH","3.999.000","","Terjual 1","Kota Surabaya","Hapemall Flagship Store"
"1778022599-16","https://www.blibli.com/cari/hp%20oppo?brand=OPPO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","[NEW] OPPO A6s 8+128/256GB","4.874.025","","Terjual 2","Kota Tangerang","OPPO Indonesia Flagship Store"
"1778022599-17","https://www.blibli.com/cari/hp%20oppo?brand=OPPO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","NEW! OPPO Reno15 5G","9.066.525","5","Terjual 9","Kota Tangerang","OPPO Indonesia Flagship Store"
"1778022599-18","https://www.blibli.com/cari/hp%20oppo?brand=OPPO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","NEW! OPPO Reno15 Pro Max 12GB+512GB","14.136.525","5","Terjual 19","Kota Tangerang","OPPO Indonesia Flagship Store"
"1778022599-19","https://www.blibli.com/cari/hp%20oppo?brand=OPPO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","[NEW] OPPO A6x 8GB+128GB [IP64 Water & Dust Resistance, 6500mAh Large Battery, Snapdragon 685, 120Hz Fast Responsive Screen]","3.899.025","5","Terjual 3","Kota Tangerang","OPPO Indonesia Flagship Store"
"1778022599-20","https://www.blibli.com/cari/hp%20oppo?brand=OPPO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","OPPO Reno13 F 5G","5.654.025","5","Terjual 16","Kota Tangerang","OPPO Indonesia Flagship Store"
"1778022599-21","https://www.blibli.com/cari/hp%20oppo?brand=OPPO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","OPPO A6 PRO","4.999.000","","Terjual 8","Kota Surabaya","Sentra Pusat Gadget Flagship Store"
"1778022599-22","https://www.blibli.com/cari/hp%20oppo?brand=OPPO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","OPPO A6X 4/128 GB GARANSI RESMI OPPO INDONESIA TERMURAH","2.899.000","","","Kota Surabaya","Hapemall Flagship Store"
"1778022599-23","https://www.blibli.com/cari/hp%20oppo?brand=OPPO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","OPPO A6X 6/128 GB GARANSI RESMI OPPO INDONESIA TERMURAH","3.599.000","","","Kota Surabaya","Hapemall Flagship Store"
"1778022599-24","https://www.blibli.com/cari/hp%20oppo?brand=OPPO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","OPPO RENO 12 5G 12/256 GB GARANSI RESMI OPPO INDONESIA TERMURAH","5.499.000","","","Kota Surabaya","Hapemall Flagship Store"
"1778022599-25","https://www.blibli.com/cari/hp%20oppo?brand=OPPO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","OPPO A6X GARANSI RESMI","2.199.000","","Terjual 7","Kota Surabaya","Sentra Pusat Gadget Flagship Store"
"1778022599-26","https://www.blibli.com/cari/hp%20oppo?brand=OPPO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","NEW! OPPO Reno15 F 5G 8+256GB","7.199.000","","Terjual 3","Kota Surabaya","Sentra Pusat Gadget Flagship Store"
"1778022599-27","https://www.blibli.com/cari/hp%20oppo?brand=OPPO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","OPPO RENO 12F 5G 12/512 GB GARANSI RESMI TERMURAH","4.899.000","","","Kota Surabaya","Hapemall Flagship Store"
"1778022599-28","https://www.blibli.com/cari/hp%20oppo?brand=OPPO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","OPPO Reno 15 F 5G 12GB/256GB - Garansi Resmi","7.899.000","","Terjual 24","Kota Surabaya & kota lainnya","Sentraponsel"
"1778022599-29","https://www.blibli.com/cari/hp%20oppo?brand=OPPO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","OPPO A6 6GB+256GB Tahan Air Baterai 7000mAh Snapdragon 685 - Garansi Resmi","4.599.000","","Terjual 21","Kota Surabaya & kota lainnya","Sentraponsel"
"1778022599-30","https://www.blibli.com/cari/hp%20oppo?brand=OPPO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","OPPO A6 GARANSI RESMI OPPO TERMURAH","4.299.000","","Terjual 3","Kota Surabaya","Pasar Ponsel Flagship Store"
"1778022599-31","https://www.blibli.com/cari/hp%20oppo?brand=OPPO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","OPPO A6X GARANSI RESMI OPPO TERMURAH","2.899.000","","Terjual 1","Kota Surabaya","Pasar Ponsel Flagship Store"
"1778022599-32","https://www.blibli.com/cari/hp%20oppo?brand=OPPO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","OPPO A18","1.400.000","","Terjual 2","Kota Surabaya","CahayaPhone40 sby Flagship Store"
"1778022599-33","https://www.blibli.com/cari/hp%20oppo?brand=OPPO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","OPPO A6x Snapdragon 685 Original","2.299.000","5","Terjual 35","Kota Surabaya","Mobile Phone Shop Flagship Store"
