web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,nama toko
"1777986536-1","https://www.blibli.com/cari/hp%20realme?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Realme&page=10&start=360","HP Realme 16 Pro+ Ram 12GB Internal 512GB Garansi Resmi","8.954.005","","","Kota Pekanbaru","wwponsel_hangtuah Flagship Store"
"1777986536-2","https://www.blibli.com/cari/hp%20realme?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Realme&page=10&start=360","HP Realme 16 Pro Ram 12GB Internal 256GB Garansi Resmi","6.964.005","","","Kota Pekanbaru","wwponsel_hangtuah Flagship Store"
"1777986536-3","https://www.blibli.com/cari/hp%20realme?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Realme&page=10&start=360","REALME 15 8/256","4.999.000","","","","Kota Surabaya & kota lainnya"
"1777986536-4","https://www.blibli.com/cari/hp%20realme?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Realme&page=10&start=360","Hp Realme C71 Ram 8GB Internal 128GB Garansi Resmi","2.486.505","","","Kota Pekanbaru","wwponsel_hangtuah Flagship Store"
"1777986536-5","https://www.blibli.com/cari/hp%20realme?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Realme&page=10&start=360","Hp Realme Narzo 50A RAM 4GB Internal 128GB Garansi Resmi","2.586.005","","","Kota Pekanbaru","wwponsel_hangtuah Flagship Store"
"1777986536-6","https://www.blibli.com/cari/hp%20realme?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Realme&page=10&start=360","Hp Realme C30s Ram 3GB Internal 32GB Garansi Resmi","1.392.005","","","Kota Pekanbaru","wwponsel_hangtuah Flagship Store"
"1777986536-7","https://www.blibli.com/cari/hp%20realme?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Realme&page=10&start=360","Hp Realme 9 Pro 5G Ram 6GB Internal 128GB Garansi Resmi","3.780.005","","","Kota Pekanbaru","wwponsel_hangtuah Flagship Store"
"1777986536-8","https://www.blibli.com/cari/hp%20realme?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Realme&page=10&start=360","Hp Realme C33 Ram 4GB + Extended 4GB Internal 128GB Garansi Resmi","2.088.505","","","Kota Pekanbaru","wwponsel_hangtuah Flagship Store"
"1777986536-9","https://www.blibli.com/cari/hp%20realme?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Realme&page=10&start=360","Hp Realme 12 5G Ram 8GB + Extended 8GB Internal 256GB Garansi Resmi","3.680.505","","Terjual 1","Kota Pekanbaru","wwponsel_hangtuah Flagship Store"
"1777986536-10","https://www.blibli.com/cari/hp%20realme?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Realme&page=10&start=360","HP RERALME C25Y 4/64GB","1.899.000","","Terjual 3","","Kota Surabaya"
"1777986536-11","https://www.blibli.com/cari/hp%20realme?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Realme&page=10&start=360","Realme C15 Smartphone [ 4GB-64GB ]","2.099.000","","Terjual 31","","Kota Surabaya"
"1777986536-12","https://www.blibli.com/cari/hp%20realme?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Realme&page=10&start=360","REALME 8 HANDPHONE RAM 8/128","3.299.000","","","","Kota Surabaya"
"1777986536-13","https://www.blibli.com/cari/hp%20realme?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Realme&page=10&start=360","Realme X3 SuperZoom Smartphone [256 GB/12 GB]","6.999.000","","Terjual 3","","Kota Surabaya"
"1777986536-14","https://www.blibli.com/cari/hp%20realme?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Realme&page=10&start=360","hp realme","1.200.000","","","","Kota Makassar & kota lainnya"
"1777986536-15","https://www.blibli.com/cari/hp%20realme?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Realme&page=10&start=360","Realme C31 Handphone 3GB/32GB","1.549.000","","","","Kota Surabaya"
"1777986536-16","https://www.blibli.com/cari/hp%20realme?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Realme&page=10&start=360","Realme C15 Smartphone [ 4GB-64GB ]","2.199.000","","Terjual 43","","Kota Surabaya"
"1777986536-17","https://www.blibli.com/cari/hp%20realme?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Realme&page=10&start=360","REALME 10 8/128 GARANSI RESMI REALME","2.850.000","","","","Kota Surabaya"
"1777986536-18","https://www.blibli.com/cari/hp%20realme?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Realme&page=10&start=360","REALME C30S GARANSI RESMI REALME","1.300.000","","","","Kota Surabaya"
"1777986536-19","https://www.blibli.com/cari/hp%20realme?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Realme&page=10&start=360","REALME 11 NFC 8/256 GARANSI RESMI","3.125.000","","","","Kota Surabaya"
"1777986536-20","https://www.blibli.com/cari/hp%20realme?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Realme&page=10&start=360","REALME C85 PRO 8/128","2.999.000","","","","Kota Surabaya & kota lainnya"
"1777986536-21","https://www.blibli.com/cari/hp%20realme?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Realme&page=10&start=360","Realme Narzo 5A 4/128 - Garansi Resmi Realme Indonesia","2.299.000","","","","Kota Surabaya"
"1777986536-22","https://www.blibli.com/cari/hp%20realme?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Realme&page=10&start=360","Realme Note 50 Ram 4GB Rom 64GB","989.000","","Terjual 2","","Kota Surabaya"
"1777986536-23","https://www.blibli.com/cari/hp%20realme?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Realme&page=10&start=360","Realme C65 Ram 8GB Rom 128GB","1.689.000","","","","Kota Surabaya"
"1777986536-24","https://www.blibli.com/cari/hp%20realme?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Realme&page=10&start=360","Realme C67 Ram 8GB Rom 128GB","1.989.000","","","","Kota Surabaya"
"1777986536-25","https://www.blibli.com/cari/hp%20realme?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Realme&page=10&start=360","Realme 12 Plus 5G Ram 8GB Rom 256GB","2.989.000","","","","Kota Surabaya"
"1777986536-26","https://www.blibli.com/cari/hp%20realme?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Realme&page=10&start=360","Realme 13 Ram 8GB Rom 256GB","2.989.000","","","","Kota Surabaya"
"1777986536-27","https://www.blibli.com/cari/hp%20realme?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Realme&page=10&start=360","Realme GT 6 Ram 12G Rom 256GB","7.289.000","","","","Kota Surabaya"
"1777986536-28","https://www.blibli.com/cari/hp%20realme?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Realme&page=10&start=360","Realme 14T 5G Ram 8GB Rom 256GB","2.689.000","","","","Kota Surabaya"
