web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,nama toko
"1777861415-1","https://www.blibli.com/cari/HP%20%20Samsung?page=10&start=360&sort=0&firstLoad=false","SAMSUNG SMARTPHONE A22 RAM 6/128GB - SAMSUNG A22 6/128GB","2.999.000","","Terjual 2","","Kab. Karawang"
"1777861415-2","https://www.blibli.com/cari/HP%20%20Samsung?page=10&start=360&sort=0&firstLoad=false","Samsung Galaxy A51 Smartphone [6GB/128GB]","4.899.000","","","","Kota Samarinda"
"1777861415-3","https://www.blibli.com/cari/HP%20%20Samsung?page=10&start=360&sort=0&firstLoad=false","Samsung Galaxy A71 Smartphone [128GB/8GB]","6.999.000","","","","Kota Samarinda"
"1777861415-4","https://www.blibli.com/cari/HP%20%20Samsung?page=10&start=360&sort=0&firstLoad=false","Samsung Galaxy Note 10 Smartphone [256GB/8GB]","13.999.000","","","","Kota Samarinda"
"1777861415-5","https://www.blibli.com/cari/HP%20%20Samsung?page=10&start=360&sort=0&firstLoad=false","Samsung Galaxy Note 10+ Smartphone [256GB/12GB]","16.499.000","","","","Kota Samarinda"
"1777861415-6","https://www.blibli.com/cari/HP%20%20Samsung?page=10&start=360&sort=0&firstLoad=false","Samsung Galaxy Z Fold7 [12/256GB] [12/512GB] [12/1TB]- Smartphone AI | Hp Lipat | Kamera 200MP | 4400 mAh","28.499.000","","","","Kab. Kudus"
"1777861415-7","https://www.blibli.com/cari/HP%20%20Samsung?page=10&start=360&sort=0&firstLoad=false","Samsung Galaxy S20 Smartphone - Grey","12.000.000","","Terjual 5","","Kota Depok"
"1777861415-8","https://www.blibli.com/cari/HP%20%20Samsung?page=10&start=360&sort=0&firstLoad=false","Samsung Galaxy A51 Smartphone [8/128 GB]","4.699.000","","Terjual 9","","Kab. Bekasi"
"1777861415-9","https://www.blibli.com/cari/HP%20%20Samsung?page=10&start=360&sort=0&firstLoad=false","Samsung Galaxy A23 Smartphone [6/128 GB]","3.299.000","","","","Kab. Bojonegoro"
"1777861415-10","https://www.blibli.com/cari/HP%20%20Samsung?page=10&start=360&sort=0&firstLoad=false","Hp Samsung A17 5G Ram 8GB Internal 256GB Garansi Resmi","4.599.000","","Terjual 2","Kota Pekanbaru","wwponsel_hangtuah Flagship Store"
"1777861415-11","https://www.blibli.com/cari/HP%20%20Samsung?page=10&start=360&sort=0&firstLoad=false","HP Samsung A57 5G Ram 8GB Internal 256GB Garansi Resmi","7.599.000","","","Kota Pekanbaru","wwponsel_hangtuah Flagship Store"
"1777861415-12","https://www.blibli.com/cari/HP%20%20Samsung?page=10&start=360&sort=0&firstLoad=false","Hp Samsung Galaxy S21 FE ram 8/128 Gb dan 8/256 Gb Smartphone","7.188.000","","","","Kota Madiun"
"1777861415-13","https://www.blibli.com/cari/HP%20%20Samsung?page=10&start=360&sort=0&firstLoad=false","Samsung Galaxy S20+ Smartphone [8/ 128 GB]","16.999.000","","","","Kota Jakarta Pusat"
"1777861415-14","https://www.blibli.com/cari/HP%20%20Samsung?page=10&start=360&sort=0&firstLoad=false","Samsung Galaxy A05 Smartphone [4GB/128GB]","1.599.000","","","","Kota Batam"
"1777861415-15","https://www.blibli.com/cari/HP%20%20Samsung?page=10&start=360&sort=0&firstLoad=false","Samsung Galaxy A01 Smartphone [2 GB/ 16 GB]","1.799.000","","Terjual 13","","Kota Binjai"
"1777861415-16","https://www.blibli.com/cari/HP%20%20Samsung?page=10&start=360&sort=0&firstLoad=false","Samsung Galaxy A11 Smartphone [32 GB/ /3 GB]","1.939.030","","","","Kota Tasikmalaya"
"1777861415-17","https://www.blibli.com/cari/HP%20%20Samsung?page=10&start=360&sort=0&firstLoad=false","Samsung Galaxy A11 Smartphone [32 GB/ /3 GB]","2.099.000","","","","Kota Surabaya"
"1777861415-18","https://www.blibli.com/cari/HP%20%20Samsung?page=10&start=360&sort=0&firstLoad=false","Samsung Galaxy A31 Smartphone [6 GB/ 128 GB]","3.499.000","","Terjual 1","","Kota Balikpapan"
"1777861415-19","https://www.blibli.com/cari/HP%20%20Samsung?page=10&start=360&sort=0&firstLoad=false","Samsung Galaxy A32 Smartphone [128 GB/ 8 GB]","3.800.000","","Terjual 208","","Kota Jakarta Pusat"
"1777861415-20","https://www.blibli.com/cari/HP%20%20Samsung?page=10&start=360&sort=0&firstLoad=false","Samsung Galaxy A31 Smartphone [6 GB/ 128 GB]","3.879.030","","","","Kota Tasikmalaya"
"1777861415-21","https://www.blibli.com/cari/HP%20%20Samsung?page=10&start=360&sort=0&firstLoad=false","Samsung Galaxy A51 Smartphone [6GB/ 128GB]","4.090.000","","","","Kab. Purbalingga"
"1777861415-22","https://www.blibli.com/cari/HP%20%20Samsung?page=10&start=360&sort=0&firstLoad=false","Samsung Galaxy A31 Smartphone [6 GB/ 128 GB]","4.199.000","","Terjual 1","","Kab. Karawang"
"1777861415-23","https://www.blibli.com/cari/HP%20%20Samsung?page=10&start=360&sort=0&firstLoad=false","Samsung Galaxy A51 Smartphone [6GB/128GB]","4.599.000","","","","Kab. Lampung Tengah"
"1777861415-24","https://www.blibli.com/cari/HP%20%20Samsung?page=10&start=360&sort=0&firstLoad=false","Pre-order","4.700.000","","Terjual 35","","Kab. Deli Serdang"
"1777861415-25","https://www.blibli.com/cari/HP%20%20Samsung?page=10&start=360&sort=0&firstLoad=false","Samsung Galaxy A51 Smartphone [128GB/8GB]","4.799.000","","","","Kab. Lampung Tengah"
"1777861415-26","https://www.blibli.com/cari/HP%20%20Samsung?page=10&start=360&sort=0&firstLoad=false","Samsung Galaxy A51 Smartphone [128GB/8GB]","4.849.030","","","","Kota Tasikmalaya"
"1777861415-27","https://www.blibli.com/cari/HP%20%20Samsung?page=10&start=360&sort=0&firstLoad=false","Samsung Galaxy A51 Smartphone [128GB/8GB]","5.699.000","","Terjual 1","","Kota Pekanbaru"
"1777861415-28","https://www.blibli.com/cari/HP%20%20Samsung?page=10&start=360&sort=0&firstLoad=false","Samsung Galaxy A71 Smartphone [8GB/128GB]","6.195.000","","Terjual 1","","Kota Surabaya"
"1777861415-29","https://www.blibli.com/cari/HP%20%20Samsung?page=10&start=360&sort=0&firstLoad=false","Samsung Galaxy A71 Smartphone [128GB/8GB]","6.199.000","","Terjual 1","","Kota Manado"
"1777861415-30","https://www.blibli.com/cari/HP%20%20Samsung?page=10&start=360&sort=0&firstLoad=false","Samsung Galaxy Note 10+ Smartphone [256GB/12GB]","16.499.000","","","","Kab. Lampung Tengah"
"1777861415-31","https://www.blibli.com/cari/HP%20%20Samsung?page=10&start=360&sort=0&firstLoad=false","Samsung Galaxy A80 Smartphone [128GB/8GB]","8.500.000","5","Terjual 8","","Kota Medan"
"1777861415-32","https://www.blibli.com/cari/HP%20%20Samsung?page=10&start=360&sort=0&firstLoad=false","Samsung Galaxy A13 Smartphone [4GB/128GB]","2.499.000","","Terjual 11","","Kota Medan"
"1777861415-33","https://www.blibli.com/cari/HP%20%20Samsung?page=10&start=360&sort=0&firstLoad=false","Samsung Galaxy M21 Smartphone [4 GB- 64 GB]","3.249.000","","","","Kab. Karawang"
"1777861415-34","https://www.blibli.com/cari/HP%20%20Samsung?page=10&start=360&sort=0&firstLoad=false","Samsung Galaxy A51 Smartphone [6GB/128GB]","4.655.030","","","","Kota Tasikmalaya"
"1777861415-35","https://www.blibli.com/cari/HP%20%20Samsung?page=10&start=360&sort=0&firstLoad=false","Samsung Galaxy A51 Smartphone [128GB/8GB]","4.999.000","","Terjual 1","","Kota Jakarta Pusat"
"1777861415-36","https://www.blibli.com/cari/HP%20%20Samsung?page=10&start=360&sort=0&firstLoad=false","Samsung Galaxy A52 Smartphone [256 GB/ 8 GB]","5.099.000","","Terjual 9","","Kota Medan"
"1777861415-37","https://www.blibli.com/cari/HP%20%20Samsung?page=10&start=360&sort=0&firstLoad=false","Samsung Galaxy A51 Smartphone [8GB/ 128GB]","5.120.000","","Terjual 4","","Kota Tangerang"
"1777861415-38","https://www.blibli.com/cari/HP%20%20Samsung?page=10&start=360&sort=0&firstLoad=false","Samsung Galaxy A52 Smartphone [8GB-256GB]","5.291.020","5","Terjual 1","","Kota Bekasi"
"1777861415-39","https://www.blibli.com/cari/HP%20%20Samsung?page=10&start=360&sort=0&firstLoad=false","Samsung Galaxy A52 Smartphone [8GB-256GB]","5.399.000","","Terjual 9","","Kab. Cilacap"
"1777861415-40","https://www.blibli.com/cari/HP%20%20Samsung?page=10&start=360&sort=0&firstLoad=false","Samsung Galaxy A71 Smartphone [8GB/ 128GB]","5.499.000","","Terjual 12","","Kota Makassar"
"1777861434-41","https://www.blibli.com/cari/HP%20%20Samsung?page=9&start=320&sort=0&firstLoad=false","Samsung Galaxy A80 Smartphone","9.499.000","","","","Kab. Lampung Tengah"
"1777861434-42","https://www.blibli.com/cari/HP%20%20Samsung?page=9&start=320&sort=0&firstLoad=false","Samsung A21S Smartphone","2.499.000","","Terjual 10","","Kab. Deli Serdang"
"1777861434-43","https://www.blibli.com/cari/HP%20%20Samsung?page=9&start=320&sort=0&firstLoad=false","Samsung Galaxy Z Flip Smartphone","23.888.000","","","","Kab. Lampung Tengah"
