web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,nama toko
"1778080488-1","https://www.blibli.com/cari/hp%20tecno?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Tecno&page=2&start=40","HP TECNO CAMON 50","3.780.000","5","Terjual 1","Kota Medan","Agres ID Medan Flagship Store"
"1778080488-2","https://www.blibli.com/cari/hp%20tecno?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Tecno&page=2&start=40","HP TECNO SPARK 40 PRO+","2.880.000","","","Kota Medan","Agres ID Medan Flagship Store"
"1778080488-3","https://www.blibli.com/cari/hp%20tecno?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Tecno&page=2&start=40","HP TECNO SPARK GO 3 4/128GB","1.799.000","","","Kota Cirebon","Telering Flagship Store"
"1778080488-4","https://www.blibli.com/cari/hp%20tecno?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Tecno&page=2&start=40","Tecno Spark 30 Pro Ram 8GB Rom 256GB","2.089.000","","","","Kota Surabaya"
"1778080488-5","https://www.blibli.com/cari/hp%20tecno?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Tecno&page=2&start=40","Hp Tecno Spark Go 3 Ram 4GB Internal 64GB Garansi Resmi","1.599.000","","","Kota Pekanbaru","wwponsel_hangtuah Flagship Store"
"1778080488-6","https://www.blibli.com/cari/hp%20tecno?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Tecno&page=2&start=40","Hp Tecno Spark 40 Pro+ Ram 8GB Internal 256GB Garansi Resmi","3.099.000","","","Kota Pekanbaru","wwponsel_hangtuah Flagship Store"
"1778080488-7","https://www.blibli.com/cari/hp%20tecno?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Tecno&page=2&start=40","Hp Tecno Spark 7 Pro Ram 6GB Internal 64GB Garansi Resmi","1.999.000","","Terjual 1","Kota Pekanbaru","wwponsel_hangtuah Flagship Store"
"1778080488-8","https://www.blibli.com/cari/hp%20tecno?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Tecno&page=2&start=40","SMARTPHONE TECNO POP 5 LTE 3/32 Garansi Resmi","1.349.000","","","","Kota Surabaya"
"1778080488-9","https://www.blibli.com/cari/hp%20tecno?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Tecno&page=2&start=40","HP Tecno Camon 50 Pro 5G Ram 12GB Internal 265GB Garansi Resmi","6.099.000","","","Kota Pekanbaru","wwponsel_hangtuah Flagship Store"
"1778080488-10","https://www.blibli.com/cari/hp%20tecno?category=AN-1000001&category=HA-1000003&sort=0&intent=false&firstLoad=false&brand=Tecno&page=2&start=40","Tecno Spark GO 3 4GB 64GB / 4GB 128GB Garansi Resmi Indonesia | HP Tecno Original","1.511.000","","","Kota Jakarta Pusat","Terafone Flagship Store"
