web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,nama toko
"1778027788-1","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","handphone vivo y04s ram 4 Gb new garansi resmi","1.499.000","","Terjual 4","","Kota Surabaya"
"1778027788-2","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","hp vivo v15 8/256","1.600.000","5","Terjual 3","Kota Batam","TORPEDO CELLULAR Flagship Store"
"1778027788-3","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","hp vivo y93 6/128","899.000","4,7","Terjual 18","Kota Batam","TORPEDO CELLULAR Flagship Store"
"1778027788-4","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","HP VIVO Y400 8/128GB","3.499.000","","","Kota Cirebon","Telering Flagship Store"
"1778027788-5","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","HP VIVO Y05 4/64GB","1.899.000","","","Kota Cirebon","Telering Flagship Store"
"1778027788-6","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","HP VIVO Y21D 6/256GB","3.199.000","","","Kota Cirebon","Telering Flagship Store"
"1778027788-7","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","Vivo Y21D Ram 4/128I 6/128GB I 6/256GB I 8/128GB Segel Original","1.989.000","","","","Kota Surabaya"
"1778027788-8","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","HP VIVO Y21D 6/128GB","2.799.000","","","Kota Cirebon","Telering Flagship Store"
"1778027788-9","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","HP VIVO V70 5G 12/256GB","8.999.000","","","Kota Cirebon","Telering Flagship Store"
"1778027788-10","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","HP VIVO V50 LITE 5G 12/512GB","5.199.000","","","Kota Cirebon","Telering Flagship Store"
"1778027788-11","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","HP VIVO V70 Ram 12GB Internal 256GB Garansi Resmi","9.299.000","","","Kota Pekanbaru","wwponsel_hangtuah Flagship Store"
"1778027788-12","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","VIVO SMARTPHONE VIVO Y16 3/32 - VIVO SMARTPHONE VIVO Y16 3/32","1.350.000","","","","Kota Surabaya"
"1778027788-13","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","VIVO SMARTPHONE Y01 2/32 - VIVO SMARTPHONE Y01 2/32","1.500.000","","Terjual 2","","Kota Surabaya"
"1778027788-14","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","VIVO Y 50 Smartphone [8/ 128GB]","3.499.000","5","Terjual 87","","Kota Surabaya"
"1778027788-15","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","Vivo Y30 Smartphone [128GB-4GB]","2.599.000","","Terjual 1","","Kota Surabaya"
"1778027788-16","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","VIVO V15 Smartphone [64GB/ 6GB]","3.999.000","","","","Kota Surabaya"
"1778027788-17","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","VIVO Y51 Smartphone [8GB/ 128GB]","3.399.000","","","","Kota Surabaya"
"1778027788-18","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","VIVO Y50 Smartphone [8 GB/ 128 GB]","3.299.000","","Terjual 37","","Kota Surabaya"
"1778027788-19","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","VIVO V19 Smartphone [8 GB/ 128 GB]","3.700.000","","","","Kota Surabaya"
"1778027788-20","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","VIVO V19 Smartphone [8 GB/ 128 GB]","3.999.000","","","","Kota Surabaya"
"1778027788-21","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","VIVO Y91C Smartphone  Sunset Red","1.699.000","","","","Kota Surabaya"
"1778027788-22","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","VIVO SMARTPHONE Y15S RAM 3/32GB - VIVO Y15S 3/32GB","1.699.000","5","Terjual 23","","Kota Surabaya"
"1778027788-23","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","vivo Y30i Smartphone [4GB/ 64GB]","2.499.000","","","","Kota Surabaya"
"1778027788-24","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","VIVO V23e Smartphone [8+4GB/ 128GB]","3.400.000","","","","Kota Surabaya"
"1778027788-25","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","HP Vivo Y11d | 6500 mAh | IP65 Dust & Water Resistance | Origin OS | 1200 Nits 120 Hz Refresh Rate","2.556.000","","","Kota Bandung","Era 2000 Flagship Store"
"1778027788-26","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","Vivo V25 5G 8/256GB Smartphone garansi resmi vivo","5.499.999","","","","Kab. Sidoarjo"
"1778027788-27","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","VIVO V21 5G Smartphone [8GB/128GB]","4.999.000","","","","Kota Surabaya"
"1778027788-28","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","Vivo Y28 8/128GB Garansi Resmi","2.350.000","","","","Kota Surabaya"
"1778027788-29","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","VIVO Y29 8/128","2.599.000","","Terjual 1","","Kota Surabaya & kota lainnya"
"1778027788-30","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","VIVO Y29 8/256","2.899.000","","","","Kota Surabaya & kota lainnya"
"1778027788-31","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","Vivo X80 Ram 12 Rom 256GB","7.989.000","","","","Kota Surabaya"
"1778027788-32","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","VIVO V70FE 5G 200MP OIS MAIN CAMERA - AI TRAVEL POTRAIT - 7000 MAH + FLASHCHARGING 90WATT","6.499.000","","","","Kota Surabaya"
"1778027788-33","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","VIVO Y04S 4/64","1.549.000","","","","Kota Surabaya & kota lainnya"
"1778027788-34","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","VIVO Y19S PRO 4/128","1.799.000","","Terjual 1","","Kota Surabaya & kota lainnya"
"1778027788-35","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","Vivo Y19s Ram 4GB Rom 128GB","1.489.000","","Terjual 2","","Kota Surabaya"
"1778027788-36","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","Vivo Y28 Ram 6GB Rom 128GB","1.715.000","","","","Kota Surabaya"
"1778027788-37","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","Vivo Y100 4G Ram 8GB Rom 128GB","1.940.000","","Terjual 1","","Kota Surabaya"
"1778027788-38","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","Vivo Y27s Ram 8/128GB | Ram 8/256GB","1.989.000","","Terjual 1","","Kota Surabaya"
"1778027788-39","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","Vivo V29 Ram 8GB Rom 256GB","4.789.000","","","","Kota Surabaya"
"1778027788-40","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","Vivo V70 5G 12/256 Gb - Garansi Resmi Indonesia","8.799.000","","","","Kota Surabaya"
"1778027788-41","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","VIVO Y21D 8/128","2.999.000","","","","Kota Surabaya & kota lainnya"
"1778027788-42","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","VIVO Y19S PRO 4/64","1.599.000","","","","Kota Surabaya & kota lainnya"
"1778027788-43","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","VIVO Y04S 4/128","1.699.000","","","","Kota Surabaya & kota lainnya"
"1778027788-44","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","VIVO Y21D 4/128","2.399.000","","","","Kota Surabaya & kota lainnya"
