web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,nama toko
"1777199679-1","https://www.blibli.com/cari/laptop%20HP?brand=HP&sort=0&category=UL-1000001&category=LA-1000005&category=LA-1000004&intent=false&firstLoad=false&page=10&start=360","HP OMNIBOOK Ultra Flip 14 OLED-FH0888TU Laptop - Blue [Ultra 7-258V/32GB/1TB/Win11+OHS21/14"" 2.8K Touch VRR 120Hz] Free ADP","29.149.000","5","Terjual 3","Blibli Flagship (Komputer) Flagship Store","Disediakan Blibli"
"1777199679-2","https://www.blibli.com/cari/laptop%20HP?brand=HP&sort=0&category=UL-1000001&category=LA-1000005&category=LA-1000004&intent=false&firstLoad=false&page=10&start=360","HP OMNIBOOK Ultra Flip 14 OLED-FH0334TU Laptop - Gray [Ultra 9-288V/32GB/2TB/Win11+OHS21/14"" 2.8K Touch VRR 120Hz] Free Bag+ADP","32.949.000","","Terjual 1","Blibli Flagship (Komputer) Flagship Store","Disediakan Blibli"
"1777199679-3","https://www.blibli.com/cari/laptop%20HP?brand=HP&sort=0&category=UL-1000001&category=LA-1000005&category=LA-1000004&intent=false&firstLoad=false&page=10&start=360","LAPTOP HP 14S DQ2614TU - Intel Core I3-1115G4 4GB 512GB 14"" FHD IPS","6.299.000","","","","Kota Surabaya"
"1777199679-4","https://www.blibli.com/cari/laptop%20HP?brand=HP&sort=0&category=UL-1000001&category=LA-1000005&category=LA-1000004&intent=false&firstLoad=false&page=10&start=360","HP LAPTOP 14S-DQ2052TU/DQ2053TU i5-1135G7 8GB 512GB UMA W10+OHS","10.300.000","","","","Kota Surabaya"
"1777199679-5","https://www.blibli.com/cari/laptop%20HP?brand=HP&sort=0&category=UL-1000001&category=LA-1000005&category=LA-1000004&intent=false&firstLoad=false&page=10&start=360","HP 14-ep0260TU Laptop - Gold [i3-1315U/8GB/512GB/Win11+OHS24+M365/Copilot/Backlit KB/14"" FHD 250Nits] Free Bag","8.949.000","5","Terjual 311","Blibli Flagship (Komputer) Flagship Store","Disediakan Blibli"
"1777199679-6","https://www.blibli.com/cari/laptop%20HP?brand=HP&sort=0&category=UL-1000001&category=LA-1000005&category=LA-1000004&intent=false&firstLoad=false&page=10&start=360","HP 14-ep0261TU Laptop - Silver [i3-1315U/8GB/512GB/Win11+OHS24+M365/Copilot/Backlit KB/14"" FHD 250Nits] Free Bag","8.949.000","5","Terjual 238","Blibli Flagship (Komputer) Flagship Store","Disediakan Blibli"
"1777199679-7","https://www.blibli.com/cari/laptop%20HP?brand=HP&sort=0&category=UL-1000001&category=LA-1000005&category=LA-1000004&intent=false&firstLoad=false&page=10&start=360","HP OMNIBOOK Ultra Flip 14 OLED-FH0556TU Laptop - Blue [Ultra 9-288V/32GB/2TB/Win11+OHS21/14"" 2.8K Touch VRR 120Hz] Free Bag+ADP","32.949.000","","Terjual 1","Blibli Flagship (Komputer) Flagship Store","Disediakan Blibli"
"1777199679-8","https://www.blibli.com/cari/laptop%20HP?brand=HP&sort=0&category=UL-1000001&category=LA-1000005&category=LA-1000004&intent=false&firstLoad=false&page=10&start=360","HP 240R G9 Laptop - Black [Core 7-150U/16GB DDR4/512GB PCIe/Win11/OHS24/720HD Cam/14"" FHD IPS 300Nits] Free Bag","14.949.000","","","Blibli Flagship (Komputer) Flagship Store","Disediakan Blibli"
"1777199679-9","https://www.blibli.com/cari/laptop%20HP?brand=HP&sort=0&category=UL-1000001&category=LA-1000005&category=LA-1000004&intent=false&firstLoad=false&page=10&start=360","HP 245 G10 Laptop - Grey [R3-7320U/8GB LPDDR5/256GB PCIe/Win11/720HD Cam/14"" FHD IPS 250Nits] Free Bag (A)","8.449.000","5","Terjual 82","Blibli Flagship (Komputer) Flagship Store","Disediakan Blibli"
"1777199679-10","https://www.blibli.com/cari/laptop%20HP?brand=HP&sort=0&category=UL-1000001&category=LA-1000005&category=LA-1000004&intent=false&firstLoad=false&page=10&start=360","HP 14-ep1155TU Laptop - Silver [Core 5-120U/16GB/512GB/Win11+OHS24+M365/Copilot/Backlit KB/14"" FHD 250Nits] Free Bag","10.949.000","5","Terjual 61","Blibli Flagship (Komputer) Flagship Store","Disediakan Blibli"
