web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,nama toko
"1777175227-1","https://www.blibli.com/cari/laptop%20acer?page=20&start=760&sort=0&firstLoad=false","ACER Aspire Lite AL14-36P-C27D Laptop - Pure Silver [N4500/8GB/256GB/Win11/OHS24+M365/14"" FHD IPS/Copilot Key/NX.DFHSN.001] FREE Bag","6.049.000","","Terjual 1","Blibli Flagship (Komputer) Flagship Store","Disediakan Blibli"
"1777175227-2","https://www.blibli.com/cari/laptop%20acer?page=20&start=760&sort=0&firstLoad=false","ACER Aspire Lite AL14-36P-C7VD Laptop - Pure Silver [N4500/8GB/512GB/Win11/OHS24+M365/14"" FHD IPS/Copilot Key/NX.DFJSN.001] FREE Bag","6.449.000","","","Blibli Flagship (Komputer) Flagship Store","Disediakan Blibli"
"1777175227-3","https://www.blibli.com/cari/laptop%20acer?page=20&start=760&sort=0&firstLoad=false","ACER ASPIRE LITE AL14-32P C6CC C8PX INTEL N150 8GB 256GB WIN 11 HOME + OFFICE HOME 2024","5.999.000","","","Kota Surabaya","ExpoComp Flagship Store"
"1777175227-4","https://www.blibli.com/cari/laptop%20acer?page=20&start=760&sort=0&firstLoad=false","axioo mybook 11 Intel N4000 ram4gb Windows Asli","2.750.000","","","Kota Surabaya","Top Laptop Flagship Store"
"1777175227-5","https://www.blibli.com/cari/laptop%20acer?page=20&start=760&sort=0&firstLoad=false","ACER Aspire Lite AL1-14M-3CID Laptop - Silver [i3-1215U/8GB/512GB/Win11/OHS 21/14"" IPS WUXGA/UN.H7MSD.009] FREE Bag","7.949.000","5","Terjual 128","Blibli Flagship (Komputer) Flagship Store","Disediakan Blibli"
"1777175227-6","https://www.blibli.com/cari/laptop%20acer?page=20&start=760&sort=0&firstLoad=false","ACER Aspire Lite AL14-42P-R2RJ Laptop - Silver [R3-5300U/8GB/512GB/Win11/OHS24+M365/14"" WUXGA IPS/NX.DJ3SN.002] FREE Bag","8.649.000","5","Terjual 114","Blibli Flagship (Komputer) Flagship Store","Disediakan Blibli"
"1777175227-7","https://www.blibli.com/cari/laptop%20acer?page=20&start=760&sort=0&firstLoad=false","ACER Mate 14 AM1 Laptop - Business Black [i5-1235U/8GB/512GB/Win11/OHS21/14"" WUXGA IPS/UN.HMMSD.005] FREE Bag (A)","8.949.000","5","Terjual 49","Blibli Flagship (Komputer) Flagship Store","Disediakan Blibli"
"1777175227-8","https://www.blibli.com/cari/laptop%20acer?page=20&start=760&sort=0&firstLoad=false","ACER Aspire Lite AL14-37P-C3DZ Laptop - Silver [N150/8GB/512GB/Win11/OHS 24/14"" FHD IPS/NX.DDESN.002] FREE Bag","6.649.000","5","Terjual 9","Blibli Flagship (Komputer) Flagship Store","Disediakan Blibli"
"1777175227-9","https://www.blibli.com/cari/laptop%20acer?page=20&start=760&sort=0&firstLoad=false","LAPTOP ACER AL1-14M-RBID","6.329.000","","","Kab. Banyumas","Intel Arena IT Flagship Store"
"1777175227-10","https://www.blibli.com/cari/laptop%20acer?page=20&start=760&sort=0&firstLoad=false","LAPTOP ACER SF314-512-54D2","14.449.000","","","Kab. Banyumas","Intel Arena IT Flagship Store"
"1777175227-11","https://www.blibli.com/cari/laptop%20acer?page=20&start=760&sort=0&firstLoad=false","LAPTOP ACER AG14-21P-R499","6.709.000","","","Kab. Banyumas","Intel Arena IT Flagship Store"
"1777175227-12","https://www.blibli.com/cari/laptop%20acer?page=20&start=760&sort=0&firstLoad=false","ACER Aspire Lite AL14-37P-C39A Laptop - Rose Pink [N150/8GB/256GB/Win11/OHS 24/14"" FHD IPS/NX.DGZSN.001] FREE Bag","6.249.000","5","Terjual 48","Blibli Flagship (Komputer) Flagship Store","Disediakan Blibli"
