web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,nama toko
"1777268330-1","https://www.blibli.com/cari/laptop%20apple?brand=Apple&sort=0&category=MA-1000384&intent=false&firstLoad=false","MacBook Air (13 inci, M3, 24 GB, 2024)","23.499.000","5","Terjual 20","Blibli - Apple Authorized Reseller Flagship Store","Disediakan Blibli"
"1777268330-2","https://www.blibli.com/cari/laptop%20apple?brand=Apple&sort=0&category=MA-1000384&intent=false&firstLoad=false","MacBook Pro (16 inci, M3 Pro, 512GB)","49.499.000","4,8","Terjual 10","Blibli - Apple Authorized Reseller Flagship Store","Disediakan Blibli"
"1777268330-3","https://www.blibli.com/cari/laptop%20apple?brand=Apple&sort=0&category=MA-1000384&intent=false&firstLoad=false","MacBook Air (15 inci, M3, 8 GB)","21.999.000","4,8","Terjual 37","Blibli - Apple Authorized Reseller Flagship Store","Disediakan Blibli"
"1777268330-4","https://www.blibli.com/cari/laptop%20apple?brand=Apple&sort=0&category=MA-1000384&intent=false&firstLoad=false","MacBook Pro (14 inci, M2 Pro, 2022)","34.489.000","5","Terjual 15","Blibli - Apple Authorized Reseller Flagship Store","Disediakan Blibli"
"1777268330-5","https://www.blibli.com/cari/laptop%20apple?brand=Apple&sort=0&category=MA-1000384&intent=false&firstLoad=false","MacBook Pro (16 inci, M2 Pro, 2022)","42.489.000","5","Terjual 9","Blibli - Apple Authorized Reseller Flagship Store","Disediakan Blibli"
"1777268330-6","https://www.blibli.com/cari/laptop%20apple?brand=Apple&sort=0&category=MA-1000384&intent=false&firstLoad=false","MacBook Air (15 inci, M3, 24 GB, 2024)","26.999.000","5","Terjual 5","Blibli - Apple Authorized Reseller Flagship Store","Disediakan Blibli"
"1777268330-7","https://www.blibli.com/cari/laptop%20apple?brand=Apple&sort=0&category=MA-1000384&intent=false&firstLoad=false","MacBook Air 15 inci (M3, 2024, 8GB)","18.299.000","5","Terjual 5","Kota Bandung","Hello Flagship Store"
"1777268330-8","https://www.blibli.com/cari/laptop%20apple?brand=Apple&sort=0&category=MA-1000384&intent=false&firstLoad=false","MacBook Air 13 inci (M3, 2024, 8GB)","18.799.000","","Terjual 33","Kota Magelang","Hello Flagship Store"
"1777268330-9","https://www.blibli.com/cari/laptop%20apple?brand=Apple&sort=0&category=MA-1000384&intent=false&firstLoad=false","MacBook Air (13 inci, M3, 16 GB)","16.299.000","","Terjual 18","Kota Pekanbaru","Hello Flagship Store"
"1777268330-10","https://www.blibli.com/cari/laptop%20apple?brand=Apple&sort=0&category=MA-1000384&intent=false&firstLoad=false","13-inch MacBook Air: Apple M3 chip with 8-core CPU and 10-core GPU","23.299.000","","","Kota Serang","Hello Flagship Store"
