web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,nama toko
"1777226691-1","https://www.blibli.com/cari/laptop%20asus?promo=paymentFeePromo&sort=0&category=KO-1000005&intent=false&firstLoad=false&page=10&start=360","Asus TUF F15 FX507ZC4 I535B6M O Core i5 12500H 16GB 512GB SSD RTX3050 4GB 15.6 inc FHD 144Hz Win 11 Home OHS 2021","13.297.000","","","","Kota Surabaya"
"1777226691-2","https://www.blibli.com/cari/laptop%20asus?promo=paymentFeePromo&sort=0&category=KO-1000005&intent=false&firstLoad=false&page=10&start=360","ASUS VIVOBOOK S14 S3407QA SNAPDRAGON X1 16GB 512GB W11+OHS+M365B 14.0WQXGA IPS 2.5K SLV -IPSP152M","10.021.550","","","","Kota Surabaya"
"1777226691-3","https://www.blibli.com/cari/laptop%20asus?promo=paymentFeePromo&sort=0&category=KO-1000005&intent=false&firstLoad=false&page=10&start=360","ASUS GAMING V16 V3607VH CORE 7 240H RTX5060 6GB/ 16GB 512GB W11+OHS+M365 16.WUXGA 144HZ BLK","20.449.000","","","","Kota Surabaya"
"1777226691-4","https://www.blibli.com/cari/laptop%20asus?promo=paymentFeePromo&sort=0&category=KO-1000005&intent=false&firstLoad=false&page=10&start=360","ASUS TUF F16 FX608JMR I7 14650HX RTX5060 8GB/ 16GB 1TB W11+OHS+M365B 16.0 WUXGA 165HZ 100SRGB (BOX MOU) GRY","25.699.000","","","","Kota Surabaya"
"1777226691-5","https://www.blibli.com/cari/laptop%20asus?promo=paymentFeePromo&sort=0&category=KO-1000005&intent=false&firstLoad=false&page=10&start=360","Asus VIVOBOOK 14 A1407QA SNAPDRAGON X X1 26100 16gb 512gb W11+OHS 14.0 WUXGA VIPS","10.211.550","","","","Kota Surabaya"
"1777226691-6","https://www.blibli.com/cari/laptop%20asus?promo=paymentFeePromo&sort=0&category=KO-1000005&intent=false&firstLoad=false&page=10&start=360","Asus V16 V3607VJ I535B8T HM Core 5 210H 16GB 512GB SSD RTX3050 6GB 16″ WUXGA Win 11 Home OHM 2024 M365 Matte Black","12.833.500","","Terjual 1","","Kota Surabaya & kota lainnya"
"1777226691-7","https://www.blibli.com/cari/laptop%20asus?promo=paymentFeePromo&sort=0&category=KO-1000005&intent=false&firstLoad=false&page=10&start=360","ASUS ROG Strix G16 G614JU I745J8G i7-13650HX 16G 512G RTX4050 16 inc FHD 165Hz W11","23.906.000","","","","Kota Surabaya"
"1777226691-8","https://www.blibli.com/cari/laptop%20asus?promo=paymentFeePromo&sort=0&category=KO-1000005&intent=false&firstLoad=false&page=10&start=360","ASUS ROG STRIX G16 G614PM RYZEN 9 8940HX RTX5060 8GB - 16GB 1TB W11+OHS+M365B 16.OWQXGA 240HZ 100DCIP3 (BOX MOU) GRY","28.799.000","","","","Kota Surabaya"
"1777226691-9","https://www.blibli.com/cari/laptop%20asus?promo=paymentFeePromo&sort=0&category=KO-1000005&intent=false&firstLoad=false&page=10&start=360","ASUS ROG STRIX G16 G615JHR I7 14650HX RTX5050 8GB/ 16GB 512GB W11+OHS+M365B 16.OWQXGA 240HZ (BOX MOU) GRY","27.249.000","","","","Kota Surabaya"
"1777226691-10","https://www.blibli.com/cari/laptop%20asus?promo=paymentFeePromo&sort=0&category=KO-1000005&intent=false&firstLoad=false&page=10&start=360","Asus Vivobook 14X K3405VF Core i5 13500H 8GB 512GB SSD RTX2050 4GB 14 inc WUXGA IPS Win 11 Home OHS 2021","12.855.000","5","Terjual 1","","Kota Surabaya"
