web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,nama toko
"1777270730-1","https://www.blibli.com/cari/laptop%20axioo?brand=Axioo&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","LAPTOP BARU AXIOO HYPE 5 JKT48 X3 AMD RYZEN 5-3500U AMD RADEON RAM 8GB DDR4 SSD 256GB NVME 14INCH FHD IPS","5.098.500","","","","Kota Surabaya"
"1777270730-2","https://www.blibli.com/cari/laptop%20axioo?brand=Axioo&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","LAPTOP BARU AXIOO MYBOOK Z6 METAL INTEL CORE I3-1215U RAM 8GB DDR4 SSD 256GB NVME 14INCH IPS BLK","5.715.470","","","","Kota Surabaya"
"1777270730-3","https://www.blibli.com/cari/laptop%20axioo?brand=Axioo&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","LAPTOP BARU AXIOO HYPE 7 X8 AMD RYZEN 7-6800H AMD RADEON RAM 16GB DDR5 SSD 512GB NVME 14INCH IPS FHD+","8.187.470","","","","Kota Surabaya"
"1777270730-4","https://www.blibli.com/cari/laptop%20axioo?brand=Axioo&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","Laptop Axioo Pongo 725 – Black [i7 12650H-16GB-SSD 512GB-RTX2050]","10.158.000","","","","Kota Madiun"
"1777270730-5","https://www.blibli.com/cari/laptop%20axioo?brand=Axioo&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","LAPTOP BARU AXIOO PONGO 960 RTX4060 INTEL CORE I9-13900H RAM 8/16GB DDR4 SSD 512GB NVME 15,6INCH FHD IPS RGB GRY","20.083.970","","","","Kota Surabaya"
"1777270730-6","https://www.blibli.com/cari/laptop%20axioo?brand=Axioo&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","LAPTOP BARU AXIOO HYPE 5 JKT48 X3 AMD RYZEN 5-3500U AMD RADEON VEGA RAM 8GB DDR4 SSD 256GB NVME 14INCH FHD IPS","5.045.970","","","","Kota Surabaya"
"1777270730-7","https://www.blibli.com/cari/laptop%20axioo?brand=Axioo&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","LAPTOP AXIOO HYPE R 3 OLED i3 1215U 24GB 256GB WINDOWS 11","7.560.000","","","","Kota Madiun"
"1777270730-8","https://www.blibli.com/cari/laptop%20axioo?brand=Axioo&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","Laptop Axioo Pongo 735 Intel i7-13620H 16GB SSD 512GB 15.6"" FHD RTX3050","12.963.000","","","","Kota Madiun"
"1777270730-9","https://www.blibli.com/cari/laptop%20axioo?brand=Axioo&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","Laptop AXIOO HYPE 3 Special Edition JKT48 Limited | i3 1215U 16GB 512SSD WINDOWS 11 - Normal","5.898.000","","Terjual 1","","Kota Madiun"
"1777270730-10","https://www.blibli.com/cari/laptop%20axioo?brand=Axioo&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","Laptop Axioo Hype 7 AMD X9 Ryzen 7 8745HS/32GB/512GB/FHD+ IPS - Windows 11","18.369.000","","","Kota Jakarta Timur","Axioo Flagship Store"
"1777270730-11","https://www.blibli.com/cari/laptop%20axioo?brand=Axioo&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","Notebook Axioo Hype 10 N4020 8/256 W11","3.191.970","","Terjual 1","","Kota Bandung"
"1777270730-12","https://www.blibli.com/cari/laptop%20axioo?brand=Axioo&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","AXIOO PONGO 725 V2 GeForce RTX™ 2050 4GB - i7 13650H 16GB 512SSD WINDOWS 11 15.6FHD 144HZ","11.043.000","","","","Kota Madiun"
"1777270730-13","https://www.blibli.com/cari/laptop%20axioo?brand=Axioo&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","Axioo Laptop Hype R5 Intel i5-1235U RAM 24GB 512GB FHD+ IPS Intel Iris Xe Graphics","7.664.000","","","","Kota Madiun"
