web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,nama toko
"1777270036-1","https://www.blibli.com/cari/laptop%20dell?brand=DELL&sort=0&category=UL-1000001&category=LA-1000005&category=LA-1000004&intent=false&firstLoad=false&page=8&start=260","Dell Vostro 3400 - i3 1115G4 8GB 256GB SSD W10 + OHS 2019","8.508.200","","","Kab. Sleman","ANANDAM.ID Flagship Store"
"1777270036-2","https://www.blibli.com/cari/laptop%20dell?brand=DELL&sort=0&category=UL-1000001&category=LA-1000005&category=LA-1000004&intent=false&firstLoad=false&page=8&start=260","Dell Inspiron 5515 Ryzen 5 5500U 8GB 256GB SSD W10+OHS","11.226.000","","","Kab. Sleman","ANANDAM.ID Flagship Store"
"1777270036-3","https://www.blibli.com/cari/laptop%20dell?brand=DELL&sort=0&category=UL-1000001&category=LA-1000005&category=LA-1000004&intent=false&firstLoad=false&page=8&start=260","Dell Inspiron 5505 - Ryzen 5-4500U 8GB 256GB SSD 15 Inch Win 10","10.148.500","","","Kab. Sleman","ANANDAM.ID Flagship Store"
"1777270036-4","https://www.blibli.com/cari/laptop%20dell?brand=DELL&sort=0&category=UL-1000001&category=LA-1000005&category=LA-1000004&intent=false&firstLoad=false&page=8&start=260","Dell Inspiron 5505 - Ryzen 7-4700U 8GB 512GB SSD 15.6 Inch W10","12.609.000","","","Kab. Sleman","ANANDAM.ID Flagship Store"
"1777270036-5","https://www.blibli.com/cari/laptop%20dell?brand=DELL&sort=0&category=UL-1000001&category=LA-1000005&category=LA-1000004&intent=false&firstLoad=false&page=8&start=260","Dell Inspiron 3593 - Core i3-1005G1 4GB 1TB W10","6.662.900","","","Kab. Sleman","ANANDAM.ID Flagship Store"
"1777270036-6","https://www.blibli.com/cari/laptop%20dell?brand=DELL&sort=0&category=UL-1000001&category=LA-1000005&category=LA-1000004&intent=false&firstLoad=false&page=8&start=260","Dell Vostro 3405 - R3 3250U 4GB 1TB HDD Win 10","7.740.400","","","Kab. Sleman","ANANDAM.ID Flagship Store"
"1777270036-7","https://www.blibli.com/cari/laptop%20dell?brand=DELL&sort=0&category=UL-1000001&category=LA-1000005&category=LA-1000004&intent=false&firstLoad=false&page=8&start=260","Dell Inspiron 3501 - i5-1135G7 4GB 1TB 15.6 Inch MX330 2GB Win 10","10.763.700","","","Kab. Sleman","ANANDAM.ID Flagship Store"
"1777270036-8","https://www.blibli.com/cari/laptop%20dell?brand=DELL&sort=0&category=UL-1000001&category=LA-1000005&category=LA-1000004&intent=false&firstLoad=false&page=8&start=260","Dell Inspiron 3501 - i5-1135G7 4GB 1TB 15.6 Inch Intel Xe Win 10","9.482.100","","","Kab. Sleman","ANANDAM.ID Flagship Store"
"1777270036-9","https://www.blibli.com/cari/laptop%20dell?brand=DELL&sort=0&category=UL-1000001&category=LA-1000005&category=LA-1000004&intent=false&firstLoad=false&page=8&start=260","Dell Vostro 5402 - i7-1165G7 16GB 512GB MX330 2GB W10 PRO","17.427.500","","","Kab. Sleman","ANANDAM.ID Flagship Store"
"1777270036-10","https://www.blibli.com/cari/laptop%20dell?brand=DELL&sort=0&category=UL-1000001&category=LA-1000005&category=LA-1000004&intent=false&firstLoad=false&page=8&start=260","Dell Vostro 3400 - I7 1165G7 8GB 512GB SSD Iris Xe W10 + OHS 2019","12.814.100","","","Kab. Sleman","ANANDAM.ID Flagship Store"
"1777270036-11","https://www.blibli.com/cari/laptop%20dell?brand=DELL&sort=0&category=UL-1000001&category=LA-1000005&category=LA-1000004&intent=false&firstLoad=false&page=8&start=260","Dell Vostro 3401 - i3-1005G1, 4GB, 1TB, 256GB SSD, 14″, Linux, Black","7.329.200","","","Kab. Sleman","ANANDAM.ID Flagship Store"
"1777270036-12","https://www.blibli.com/cari/laptop%20dell?brand=DELL&sort=0&category=UL-1000001&category=LA-1000005&category=LA-1000004&intent=false&firstLoad=false&page=8&start=260","Dell Inspiron 3501 - i7-1165G7 8GB 512GB MX330 2GB Win10","13.326.700","","","Kab. Sleman","ANANDAM.ID Flagship Store"
"1777270036-13","https://www.blibli.com/cari/laptop%20dell?brand=DELL&sort=0&category=UL-1000001&category=LA-1000005&category=LA-1000004&intent=false&firstLoad=false&page=8&start=260","Dell Inspiron 3505 - R7-3700U 8GB 512GB Vega 10 W10","10.251.000","","","Kab. Sleman","ANANDAM.ID Flagship Store"
"1777270036-14","https://www.blibli.com/cari/laptop%20dell?brand=DELL&sort=0&category=UL-1000001&category=LA-1000005&category=LA-1000004&intent=false&firstLoad=false&page=8&start=260","Dell Inspiron 14 5405 - R5-4500U 8GB 256GB AMD Shared Windows 10","10.251.000","","","Kab. Sleman","ANANDAM.ID Flagship Store"
"1777270036-15","https://www.blibli.com/cari/laptop%20dell?brand=DELL&sort=0&category=UL-1000001&category=LA-1000005&category=LA-1000004&intent=false&firstLoad=false&page=8&start=260","Dell Vostro 3400 - i5-1135G7 4GB 256GB MX330 2GB Win 10","9.738.500","","","Kab. Sleman","ANANDAM.ID Flagship Store"
"1777270036-16","https://www.blibli.com/cari/laptop%20dell?brand=DELL&sort=0&category=UL-1000001&category=LA-1000005&category=LA-1000004&intent=false&firstLoad=false&page=8&start=260","Dell Inspiron 14 5406 - i5-1135G7, 8GB, 512GB, 14″ Touch, W10, Gray","12.609.000","","","Kab. Sleman","ANANDAM.ID Flagship Store"
"1777270036-17","https://www.blibli.com/cari/laptop%20dell?brand=DELL&sort=0&category=UL-1000001&category=LA-1000005&category=LA-1000004&intent=false&firstLoad=false&page=8&start=260","Dell Inspiron 5402 - i5-1135G7 8GB 512GB SSD Iris Xe GDDR5","13.019.200","","","Kab. Sleman","ANANDAM.ID Flagship Store"
"1777270036-18","https://www.blibli.com/cari/laptop%20dell?brand=DELL&sort=0&category=UL-1000001&category=LA-1000005&category=LA-1000004&intent=false&firstLoad=false&page=8&start=260","Dell Vostro 5402 - i5-1135G7 8GB 256GB MX330 2GB W10Pro","13.634.200","","","Kab. Sleman","ANANDAM.ID Flagship Store"
"1777270036-19","https://www.blibli.com/cari/laptop%20dell?brand=DELL&sort=0&category=UL-1000001&category=LA-1000005&category=LA-1000004&intent=false&firstLoad=false&page=8&start=260","Dell Inspiron 3501 - i3-1115G4 4GB 1TB 15.6 Inch Win 10","7.483.000","","","Kab. Sleman","ANANDAM.ID Flagship Store"
