web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,nama toko
"1777249757-1","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","Laptop HUAWEI MateBook 14s Intel Core i5-11300H 8GB 512GB SSD 14.2inch IPS Win 10 Murah","18.081.000","","","",""
"1777249757-2","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","Huawei D 14 MateBook [AMD Ryzen 7 3700U/ 8GB DDR4/ 512GB/ 14 Inch/ Windows 10 Home]","10.487.088","","Terjual 5","",""
"1777249757-3","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","HUAWEI MateBook D15 i3 [Intel i3 | 8GB+256GB ] Laptop","8.999.000","","Terjual 6","",""
"1777249757-4","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","HUAWEI MateBook D 16 i5/i7 Laptop | 16+512GB | 16-inch | 12th Gen Intel Core H-Series |100% sRGB display | Sleek Metallic Body | Super Device","13.999.000","","Terjual 14","",""
"1777249757-5","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","HUAWEI Matebook 14 i5-1135G7 8GB/512GB SSD, Full View Dsplay 14""FHD 2K","12.999.000","","","",""
"1777249757-6","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","HUAWEI MateBook D15 i5-10210U 8/512GB SSD, Full View Display 15""FHD","7.399.000","","","",""
"1777249757-7","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","HUAWEI MateBook 14s [Intel i5 | 8GB+512GB]","16.999.000","","Terjual 11","",""
"1777249757-8","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","HUAWEI MateBook 14s i5-11300H 8GB/512GB SSD, FVD 14"" 2.5K Touchscreen","14.999.000","","Terjual 2","",""
"1777249757-9","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","HUAWEI MateBook D15 i3-1011U 8/256GB SSD, Full View Display 15""FHD","6.799.000","","","",""
"1777249757-10","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","HUAWEI MateBook D14 Intel Core i3","7.349.000","","Terjual 2","",""
"1777249757-11","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","Huawei MateBook X Pro 2020","29.000.000","","","",""
"1777249757-12","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","HUAWEI MateBook D 14 i5-1135G7 [8+512GB] | Sleek Metal Body | 56Wh FHD","10.499.000","","Terjual 11","",""
"1777249757-13","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","HUAWEI MateBook D16 i5/i7 12th 16GB/512GB/16.0""/WIN11+OHS2021 (SILVER)","12.999.000","","Terjual 6","",""
"1777249757-14","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","Huawei D 14 MateBook [AMD Ryzen 7 3700U/ 8GB DDR4/ 512GB/ 14 Inch/ Windows 10 Home]","17.000.000","5","Terjual 4","",""
"1777249757-15","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","HUAWEI MATEBOOK D15 256GB LAPTOP","8.699.000","","","","Kota Malang"
"1777249757-16","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","HUAWEI MateBook X Pro 2020 Laptop","29.999.000","","","","Kota Malang"
"1777249757-17","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","Huawei MateBook D14 Laptop [Intel i5/8GB/512GB/14-Inch FullView Display]","11.499.000","","","","Kota Malang"
"1777249757-18","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","Huawei D 14 MateBook [AMD Ryzen 7 3700U/ 8GB DDR4/ 512GB/ 14 Inch/ Windows 10 Home]","10.499.000","","","","Kota Malang"
"1777249757-19","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","HUAWEI MateBook D 16 Laptop | 16GB + 1TB | 70Wh","9.999.000","","Terjual 3","","Kota Depok"
"1777249757-20","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","HUAWEI MateBook D 14 i5-12450H | 8+512GB SSD |Sleek Full Metal Body | Win11 Laptop |Eye Comfort HUAWEI Fullview Display |HUAWEI Metaline Antenna","7.599.000","5","Terjual 3","","Kab. Jember"
"1777249757-21","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","HUAWEI MateBook XPro [ Intel Core i7 12th Gen | 16 +1TB ] Laptop","32.999.000","","","","Kota Jakarta Utara"
"1777249757-22","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","HUAWEI MateBook D16 Laptop | 16GB + 1TB | Intel® Core™ i5/i9 | Silver","9.999.000","","Terjual 1","","Kota Jakarta Utara"
"1777249757-23","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","Pre-order","24.999.000","","","","Kab. Jember"
"1777249757-24","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","HUAWEI MateBook D14 Intel Core i3-1115G4 8GB 256GB SSD 14"" W11","7.499.000","","Terjual 2","Kota Bandung","Beli Beli Indonesia Flagship Store"
"1777249757-25","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","HUAWEI MateBook D14 Core i5 | Sleek Full Metal Body | Win11","7.599.000","","Terjual 6","","Kota Jakarta Utara"
"1777249757-26","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","HUAWEI MateBook D14 13th Gen Intel Core i5 13420H 16GB RAM 512GB SSD","9.999.000","","","Kota Bandung","Beli Beli Indonesia Flagship Store"
"1777249757-27","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","Huawei MateBook 14 [Intel i5 | 8GB+512GB] Garansi Resmi Huawei","13.999.000","","Terjual 6","Kota Bandung","Beli Beli Indonesia Flagship Store"
"1777249757-28","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","[BARU] HUAWEI MateBook 14 2024 [16GB + 1TB] | 2.8K OLED Touch-Control Handwriting Screen | Intel Core Ultra Processors","13.999.000","","","","Kota Jakarta Utara"
"1777249757-29","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","HUAWEI MateBook D14 i5 - 1240P [ 8+512GB SSD ] Win 11","9.499.000","","Terjual 2","","Kota Jakarta Utara"
"1777249757-30","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","[Best Offer] HUAWEI MateBook D 14 up to i5-13420H 16+512GB SSD","9.999.000","","Terjual 15","","Kota Depok"
"1777249757-31","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","Huawei Matebook 14S Intel i5 8GB 512GB Garansi Resmi Huawei Indonesia","11.999.000","5","Terjual 12","Kota Bandung","Beli Beli Indonesia Flagship Store"
"1777249757-32","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","Pre-order","9.999.999","","","Kab. Tangerang","IT Galeri #1 Flagship Store"
"1777249757-33","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","Huawei MateBook D14 Laptop [Intel i5/8GB/512GB/14-Inch FullView Display]","9.999.999","","","Kab. Bogor","IT Galeri #1 Flagship Store"
"1777249757-34","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","HUAWEI MateBook X Pro Laptop [Intel i7 12th Gen | 16+1TB] | 14.2” Inch","9.999.999","","","Kab. Tangerang","IT Galeri #1 Flagship Store"
"1777249757-35","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","Huawei MateBook D16 Laptop - i5-13420H | i9-13900H/16GB/1TB/16.0/WIN11/SILVER","9.999.999","","Terjual 14","Kab. Tangerang","IT Galeri #1 Flagship Store"
"1777249757-36","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","Pre-order","11.499.000","5","Terjual 6","Kab. Bogor","IT Galeri #1 Flagship Store"
"1777249757-37","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","Huawei Matebook D14 - i5-10210U, 8GB, 512GB, MX250 2GB, Windows 10","11.788.900","","","Kab. Sleman","ANANDAM.ID Flagship Store"
