web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,nama toko
"1777251333-1","https://www.blibli.com/cari/laptop%20infinix?sort=0&intent=true&firstLoad=false&page=2&start=35","Laptop Murah ITEL ABLE 1 Celeron N3350 RAM 4GB HDD 1TB 14"" HD WIN10","2.950.000","","","","Kab. Sleman"
"1777251333-2","https://www.blibli.com/cari/laptop%20infinix?sort=0&intent=true&firstLoad=false&page=2&start=35","INFINIX INBOOK AIR PRO+ OLED I5 1334 16GB 512SSD W11 14.0 2.8K 120HZ","11.487.501","","","Kota Medan","AGRES ID FONE Flagship Store"
"1777251333-3","https://www.blibli.com/cari/laptop%20infinix?sort=0&intent=true&firstLoad=false&page=2&start=35","INFINIX INBOOK X2 Intel Core i3-1005G1 4GB 256GB - Biru","4.917.000","","","","Kota Semarang"
"1777251333-4","https://www.blibli.com/cari/laptop%20infinix?sort=0&intent=true&firstLoad=false&page=2&start=35","INFINIX INBOOK X2 Intel Core i3-1005G1 4GB 256GB - Red","4.917.000","","","","Kota Semarang"
"1777251333-5","https://www.blibli.com/cari/laptop%20infinix?sort=0&intent=true&firstLoad=false&page=2&start=35","Infinix Inbook X2 | I3 1115G4 8GB 256GB W11 100%sRGB","5.399.000","","","","Kota Yogyakarta"
"1777251333-6","https://www.blibli.com/cari/laptop%20infinix?sort=0&intent=true&firstLoad=false&page=2&start=35","Akan hadir","","","","Kab. Deli Serdang","Murahcell13  Flagship Store"
"1777251333-7","https://www.blibli.com/cari/laptop%20infinix?sort=0&intent=true&firstLoad=false&page=2&start=35","Laptop Infinix Inbook X1/14/I3-1005G1/8/256","5.482.000","","","","Kota Madiun"
"1777251333-8","https://www.blibli.com/cari/laptop%20infinix?sort=0&intent=true&firstLoad=false&page=2&start=35","Infinix INBook Air-XL442 Gold [Intel Core i3-1215U 8GB 256GB SSD 14"" FHD Windows 11 Garansi Resmi] | Pegacare+","5.699.000","5","Terjual 3","Kota Yogyakarta","Pegastore.id Flagship Store"
"1777251333-9","https://www.blibli.com/cari/laptop%20infinix?sort=0&intent=true&firstLoad=false&page=2&start=35","LAPTOP INFINIX XL 442-I5","7.789.000","","","Kab. Banyumas","Intel Arena IT Flagship Store"
"1777251333-10","https://www.blibli.com/cari/laptop%20infinix?sort=0&intent=true&firstLoad=false&page=2&start=35","Laptop Infinix INbox X1 Core i3 8/256 Ram 8GB 256GB Garansi Resmi","5.699.000","5","Terjual 1","","Kota Surabaya"
"1777251333-11","https://www.blibli.com/cari/laptop%20infinix?sort=0&intent=true&firstLoad=false&page=2&start=35","INFINIX INBOOK AIR I3 1215 8GB 512GB W11 14.0"" WUXGA IPS 100SRGB","8.598.000","","","Kota Jakarta Pusat","Agres Mobile Flagship Store"
"1777251333-12","https://www.blibli.com/cari/laptop%20infinix?sort=0&intent=true&firstLoad=false&page=2&start=35","INFINIX INBOOK AIR PRO+ OLED I5 1334 16GB/512GB W11 14.0"" 2.8K 120HZ","11.598.000","","","Kota Jakarta Pusat","Agres Mobile Flagship Store"
"1777251333-13","https://www.blibli.com/cari/laptop%20infinix?sort=0&intent=true&firstLoad=false&page=2&start=35","Infinix Inbook XL 442 [Intel i3 1215U/8GB/512GB SSD/ Windows 11] 14""WUXGA","5.859.000","","","Kota Jakarta Timur","Intel ID Flagship Store"
"1777251333-14","https://www.blibli.com/cari/laptop%20infinix?sort=0&intent=true&firstLoad=false&page=2&start=35","INFINIX INBOOK X2 i3-1005G1/4GB/256GB SSD/WIN11/14""FHD IPS/BLUE","4.999.000","","","","Kab. Melawi"
"1777251333-15","https://www.blibli.com/cari/laptop%20infinix?sort=0&intent=true&firstLoad=false&page=2&start=35","INFINIX INBOOK AIR I5 1235 16GB 512GB W11 14.0"" WUXGA IPS 100SRGB","8.598.000","","","Kota Jakarta Pusat","Agres Mobile Flagship Store"
"1777251333-16","https://www.blibli.com/cari/laptop%20infinix?sort=0&intent=true&firstLoad=false&page=2&start=35","INFINIX INBOOK X2 i3-1005G1/4GB/256GB SSD/WIN11/14""FHD IPS/RED","4.999.000","","","","Kab. Melawi"
"1777251333-17","https://www.blibli.com/cari/laptop%20infinix?sort=0&intent=true&firstLoad=false&page=2&start=35","Laptop Acer Swift GO SFG14-71T-51MG TouchScreen – Pure Silver [i5 13500H-16GB-SSD 512GB]","13.171.000","","","","Kota Madiun"
