web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,nama toko
"1777228350-1","https://www.blibli.com/cari/laptop%20lenovo?sort=0&intent=false&firstLoad=false&category=LA-1000004&category=LA-1000005&category=UL-1000001&brand=Lenovo&page=10&start=360","Lenovo IdeaPad Slim 3 14AMN8 82XN009WID Notebook - Arctic Grey ( R3-7320U / 8GB / 512GB SSD / UMA / 14"" FHD TN / W11 / OH24+M365 )","7.389.000","5","Terjual 21","Blibli Flagship Store (Laptop) Flagship Store","Disediakan Blibli"
"1777228350-2","https://www.blibli.com/cari/laptop%20lenovo?sort=0&intent=false&firstLoad=false&category=LA-1000004&category=LA-1000005&category=UL-1000001&brand=Lenovo&page=10&start=360","Lenovo IdeaPad Slim 3 14IRH10 83K000EXID Notebook - Luna Grey (Intel i7-13620H/8GB+8GB (16GB) / 512GB SSD/ 14"" WUXGA IPS / Win11 / OHS2024+M365/Bag )","12.809.000","","","Blibli Flagship Store (Laptop) Flagship Store","Disediakan Blibli"
"1777228350-3","https://www.blibli.com/cari/laptop%20lenovo?sort=0&intent=false&firstLoad=false&category=LA-1000004&category=LA-1000005&category=UL-1000001&brand=Lenovo&page=10&start=360","Lenovo IdeaPad Slim 3 14IRU8 82X6006FID Notebook - Arctic Grey ( i3-1315U / 8GB / 512GB SSD / UMA / 14"" FHD TN / W11 / OH24+M365 / Bag )","8.269.000","5","Terjual 191","Blibli Flagship Store (Laptop) Flagship Store","Disediakan Blibli"
"1777228350-4","https://www.blibli.com/cari/laptop%20lenovo?sort=0&intent=false&firstLoad=false&category=LA-1000004&category=LA-1000005&category=UL-1000001&brand=Lenovo&page=10&start=360","LENOVO IP 3-14ADA05 UQID AMD 3020E/4/256/14""/CAM/OHS/WIN11","4.161.500","","","Kota Surabaya","Top Laptop Flagship Store"
"1777228350-5","https://www.blibli.com/cari/laptop%20lenovo?sort=0&intent=false&firstLoad=false&category=LA-1000004&category=LA-1000005&category=UL-1000001&brand=Lenovo&page=10&start=360","LENOVO FLEX 3-11IGL05 5TID BLUE N4020/4GB/256SSD/11.6""/CAM/OHS/WIN11","5.165.335","","","Kota Surabaya","Top Laptop Flagship Store"
"1777228350-6","https://www.blibli.com/cari/laptop%20lenovo?sort=0&intent=false&firstLoad=false&category=LA-1000004&category=LA-1000005&category=UL-1000001&brand=Lenovo&page=10&start=360","LENOVO IP 3-14IGL05 7CID BLACK N4020/4GB/256SSD/14""/CAM/OHS/WIN11","4.410.200","","","Kota Surabaya","Top Laptop Flagship Store"
"1777228350-7","https://www.blibli.com/cari/laptop%20lenovo?sort=0&intent=false&firstLoad=false&category=LA-1000004&category=LA-1000005&category=UL-1000001&brand=Lenovo&page=10&start=360","Lenovo IdeaPad Slim 3 14IRH10 83K000CVID Notebook - Artic Grey (Intel Core i5-13420H/8GB / 512GB SSD/ 14"" IPS / Win11 / OHS2024+M365/Bag )","9.849.000","","Terjual 7","Blibli Flagship Store (Laptop) Flagship Store","Disediakan Blibli"
"1777228350-8","https://www.blibli.com/cari/laptop%20lenovo?sort=0&intent=false&firstLoad=false&category=LA-1000004&category=LA-1000005&category=UL-1000001&brand=Lenovo&page=10&start=360","Lenovo IdeaPad Slim 3 14IRH10 83K000CUID Notebook - Abyss Blue (Intel Core i5-13420H/8GB / 512GB SSD/ 14"" FHD TN / Win11 / OHS2024+M365/Bag )","9.849.000","5","Terjual 3","Blibli Flagship Store (Laptop) Flagship Store","Disediakan Blibli"
"1777228350-9","https://www.blibli.com/cari/laptop%20lenovo?sort=0&intent=false&firstLoad=false&category=LA-1000004&category=LA-1000005&category=UL-1000001&brand=Lenovo&page=10&start=360","Lenovo IdeaPad Slim 3 14IRU8 82X6005NID Notebook - Arctic Grey ( i3-1315U / 8GB / 256GB SSD / UMA / 14"" FHD TN / W11 / OH24+M365 )","7.779.000","5","Terjual 85","Blibli Flagship Store (Laptop) Flagship Store","Disediakan Blibli"
"1777228350-10","https://www.blibli.com/cari/laptop%20lenovo?sort=0&intent=false&firstLoad=false&category=LA-1000004&category=LA-1000005&category=UL-1000001&brand=Lenovo&page=10&start=360","Lenovo IdeaPad Slim 3 14IRU8 82X6005LID Notebook - Abyss Blue ( i3-1315U / 8GB / 256GB SSD / UMA / 14"" FHD TN / W11 / OH24+M365 )","7.779.000","5","Terjual 82","Blibli Flagship Store (Laptop) Flagship Store","Disediakan Blibli"
