web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,nama toko
"1777619823-1","https://www.blibli.com/cari/laptop%20microsoft?page=10&start=360&sort=0&firstLoad=false","Laptop ASUS Zenbook 14 UM3406GA-OLED7111M Ryzen AI 7 445 RAM 16GB DDR5 1TB SSD 14"" WUXGA OLED Win 11 Home + OHS Jade Black - 90NB17R1-M004P0","19.599.000","","","Kota Medan","KomputerMedan Flagship Store"
"1777619823-2","https://www.blibli.com/cari/laptop%20microsoft?page=10&start=360&sort=0&firstLoad=false","Lenovo LOQ Essential 15IRX11 83SC003KID Core i5-13450HX 16GB RAM 512GB SSD RTX 5050 8GB 15.6"" FHD Gaming Laptop Win11 2Y Premium Care + ADP","17.853.000","","","Kota Jakarta Pusat","KlikGadget Flagship Store"
"1777619823-3","https://www.blibli.com/cari/laptop%20microsoft?page=10&start=360&sort=0&firstLoad=false","LENOVO Laptop Legion Pro 5 16IAX10 Ultra 7 255HX 16GB 1TB SSD 16"" WQXGA OLED W11 NVIDIA GeForce RTX 5070 8GB Eclipse Black 83F30039ID 39ID","34.850.404","","","Kota Surabaya","Lenovo Authorized Surabaya Timur Flagship Store"
"1777619823-4","https://www.blibli.com/cari/laptop%20microsoft?page=10&start=360&sort=0&firstLoad=false","Laptop ASUS Zenbook S16 OLED UM5606GA | Ryzen AI 9 465 | Radeon Graphics | 32GB RAM | 1TB SSD | 16"" OLED | Windows 11 + Office 2024 + M365","38.505.000","","","Kota Jakarta Pusat","KlikGadget Flagship Store"
"1777619823-5","https://www.blibli.com/cari/laptop%20microsoft?page=10&start=360&sort=0&firstLoad=false","LENOVO Laptop Legion 5 15IRX10 Intel Core I7 14700HX 24GB 512GB SSD 15.1"" WQXGA OLED W11 NVIDIA GeForce RTX 5050 8GB GDDR7 Eclipse Black 83LY004RID","23.528.909","","","Kota Surabaya","Grosiria Flagship Store"
"1777619823-6","https://www.blibli.com/cari/laptop%20microsoft?page=10&start=360&sort=0&firstLoad=false","LENOVO Laptop Legion 5 15IAX10 Ultra 7 255HX 32GB 512GB SSD 15.1"" WQXGA OLED W11+OHS 2024 NVIDIA GeForce RTX 5060 8GB GDDR7 83F00065ID 65ID","29.950.000","","","Kota Surabaya","Grosiria Flagship Store"
"1777619823-7","https://www.blibli.com/cari/laptop%20microsoft?page=10&start=360&sort=0&firstLoad=false","Laptop MSI Cyborg 15 B2RWFKG | 051 | Intel Core 5-210H | RTX5060 8GB | RAM 16GB | SSD 512GB | Layar 15.6""inch FHD IPS, 144Hz | Windows 11 Home","22.200.000","","","Kota Bandung","Sakura Komputer Flagship Store"
"1777619823-8","https://www.blibli.com/cari/laptop%20microsoft?page=10&start=360&sort=0&firstLoad=false","LENOVO Laptop Legion 5 15AKP10 AMD Ryzen AI 7 350 32GB 1TB SSD 15.1"" WQXGA OLED W11+OHS 2024 M365 Basic NVIDIA GeForce RTX 5070 8GB Eclipse Black 83F1","31.799.000","","","Kota Surabaya","Grosiria Flagship Store"
"1777619823-9","https://www.blibli.com/cari/laptop%20microsoft?page=10&start=360&sort=0&firstLoad=false","Laptop ASUS Vivobook S14 S3407VA-VIPS5111M Intel Core 5 210H RAM 16GB(8*2)DDR5 1TB SSD 14"" WUXGA Win 11 Home + OHS Matte Gray - 90NB1682-M00810","11.499.000","","","Kota Medan","KomputerMedan Flagship Store"
"1777619823-10","https://www.blibli.com/cari/laptop%20microsoft?page=10&start=360&sort=0&firstLoad=false","Laptop ASUS Vivobook S14 S3407VA-VIPS5111M Intel Core 5 210H RAM 16GB(8*2)DDR5 1TB SSD 14"" WUXGA Win 11 Home + OHS Matte Gray - 90NB1682-M00810","11.499.000","","","Kota Medan","Komputer Medan"
"1777619823-11","https://www.blibli.com/cari/laptop%20microsoft?page=10&start=360&sort=0&firstLoad=false","LAPTOP ASUS PRO ART H7606WM-OLEDS9311TM RYZEN AI 9 HX 370/RTX5060/32GB/1TB/Nano Black/OLED/3K/OPI 2024 + FREE M365/ 3Y (3Y ADP)/Win 11//Backpack","42.999.000","","","Kota Bandung","Mediatouch Computer Flagship Store"
"1777619823-12","https://www.blibli.com/cari/laptop%20microsoft?page=10&start=360&sort=0&firstLoad=false","Laptop ASUS Vivobook S14 S3407VA-VIPS5112M Intel Core 5 210H RAM 16GB(8*2)DDR5 1TB SSD 14"" WUXGA Win 11 Home + OHS Cool Silver - 90NB1681-M00820","11.499.000","","","Kota Medan","KomputerMedan Flagship Store"
"1777619823-13","https://www.blibli.com/cari/laptop%20microsoft?page=10&start=360&sort=0&firstLoad=false","LENOVO LAPTOP IDEAPAD SLIM 3 14ARP10 83K60087ID 83K60088ID AMD RYZEN 7 7735HS 2x8GB 512GB 14"" WUXGA WINDOWS 11 OHS 24 M365 - Luna Grey","11.690.404","","","Kota Surabaya","Lenovo Authorized Surabaya Timur Flagship Store"
"1777619823-14","https://www.blibli.com/cari/laptop%20microsoft?page=10&start=360&sort=0&firstLoad=false","Lenovo Laptop Ideapad 5 2in1 14IRH9 Intel Core 7 13620H 16GB 512GB 14” WUXGA OLED Touch Windows 11 OH24 M365 Cosmic Blue 8AID & Luna Grey 8BID","19.999.000","","","Kota Surabaya","Lenovo Authorized Surabaya Timur Flagship Store"
