web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,nama toko
"1777268689-1","https://www.blibli.com/cari/laptop%20msi?brand=MSi&sort=0&intent=false&firstLoad=false&page=10&start=360","MSI Thin 15 B13UC i7-13620H RTX3050 8GB 512GB 15.6"" FHD 144Hz IPS","14.200.000","","","Kota Bandung","Sakura Komputer Flagship Store"
"1777268689-2","https://www.blibli.com/cari/laptop%20msi?brand=MSi&sort=0&intent=false&firstLoad=false&page=10&start=360","MSI Cyborg 15 A13VEK 844 i7 13620H/16GB/512GB SSD/GeForce RTX 4050 6GB/15.6""/W11","16.949.000","","Terjual 2","Kota Medan","SOFTCOM Flagship Store"
"1777268689-3","https://www.blibli.com/cari/laptop%20msi?brand=MSi&sort=0&intent=false&firstLoad=false&page=10&start=360","MSI Katana 15 HX B14WEK-087ID Core i7 14650HX 16GB 512GB 5050 W11 OHS 2024 Black","23.599.000","","","Kota Denpasar","Blessing Computer Flagship Store"
"1777268689-4","https://www.blibli.com/cari/laptop%20msi?brand=MSi&sort=0&intent=false&firstLoad=false&page=10&start=360","MSI Cyborg 15 A13UDXK 1442 i7 13620H/16GB/512GB SSD/GeForce RTX 3050 6GB/15.6"" 144Hz/W11","16.239.000","","Terjual 2","Kota Medan","SOFTCOM Flagship Store"
"1777268689-5","https://www.blibli.com/cari/laptop%20msi?brand=MSi&sort=0&intent=false&firstLoad=false&page=10&start=360","MSI THIN 15- i7 13620H 8GB/16GB 512GB SSD RTX 4050 W11+OFFICE 15.6FHD IPS GARANSI RESMI","14.800.000","","Terjual 1","Kota Jakarta Pusat","DWI JAYA MAKMUR Flagship Store"
"1777268689-6","https://www.blibli.com/cari/laptop%20msi?brand=MSi&sort=0&intent=false&firstLoad=false&page=10&start=360","MSI CYBORG 15 AI A1VEK 009ID [INTEL ULTRA 7 155H/ 16GB/ 512GB/ RTX4050 6GB/WIN11/","20.644.260","","","Kota Jakarta Pusat","VICMIC INDONESIA Flagship Store"
"1777268689-7","https://www.blibli.com/cari/laptop%20msi?brand=MSi&sort=0&intent=false&firstLoad=false&page=10&start=360","MSI Thin 15 B12VE-1676ID Core i5-12450H 8GB 512GB RTX4050 15.6"" FHD IPS W11","13.651.400","","","Kota Bandung","Up To Shop Flagship Store"
"1777268689-8","https://www.blibli.com/cari/laptop%20msi?brand=MSi&sort=0&intent=false&firstLoad=false&page=10&start=360","MSI Katana 15 HX B14WGK 201ID Intel Core i7-14650HX 16GB SSD 512GB RTX5070 15.6″ W11+OH2024","25.889.000","","","Kab. Sleman","ANANDAM.ID Flagship Store"
"1777268689-9","https://www.blibli.com/cari/laptop%20msi?brand=MSi&sort=0&intent=false&firstLoad=false&page=10&start=360","MSI Vector 16 HX AI A2XWIG 043 Ultra 9 275HX/16GB/1TB SSD/GeForce RTX 5080 16GB/16"" QHD+/W11","40.599.000","","","Kota Medan","SOFTCOM Flagship Store"
"1777268689-10","https://www.blibli.com/cari/laptop%20msi?brand=MSi&sort=0&intent=false&firstLoad=false&page=10&start=360","MSI Cyborg 15 A13UDXK 1442ID –Intel i7 13620H-16GB-SSD 512GB-RTX3050-15.6″","15.939.000","","","Kota Bandung","Funan Van Java Flagship Store"
"1777268689-11","https://www.blibli.com/cari/laptop%20msi?brand=MSi&sort=0&intent=false&firstLoad=false&page=10&start=360","MSI Cyborg 15 B2RWFKG 050ID Core 7 240H 16GB 512GB 5060 W11 OHS Translucent Black","20.219.000","","","Kota Bandung","Funan Van Java Flagship Store"
"1777268689-12","https://www.blibli.com/cari/laptop%20msi?brand=MSi&sort=0&intent=false&firstLoad=false&page=10&start=360","MSI Vector 16 HX AI A2XWHG 239 Ultra 7 255HX/16GB/512GB SSD/GeForce RTX 5070 Ti 12GB/16"" QHD+/W11","34.510.000","","","Kota Medan","SOFTCOM Flagship Store"
"1777268689-13","https://www.blibli.com/cari/laptop%20msi?brand=MSi&sort=0&intent=false&firstLoad=false&page=10&start=360","MSI THIN 15-B13VE-3415ID [INTEL I5-13420H/ 8+8GB/ 512GB/ RTX4050 6GB/ 15,6"" FHD IPS/ WIN11HOME]","14.614.560","","","Kota Jakarta Pusat","VICMIC INDONESIA Flagship Store"
"1777268689-14","https://www.blibli.com/cari/laptop%20msi?brand=MSi&sort=0&intent=false&firstLoad=false&page=10&start=360","SAKURAKOMPUTER-MSI Cyborg 15 AI A1VFK (9S7-15K211-009) /Ultra 7 155H/16GB/512 SSD/RTX4050 6GB/15.6″ FHD 144Hz/Win 11 Home+OHS 2021/Black","20.700.000","","","Kota Bandung","Sakura Komputer Flagship Store"
"1777268689-15","https://www.blibli.com/cari/laptop%20msi?brand=MSi&sort=0&intent=false&firstLoad=false&page=10&start=360","MSI Cyborg 15 AI A1VFK (9S7-15K211-007) /Ultra 7 155H/16GB/1TB SSD/RTX4060 8GB/15.6″ FHD 144Hz/Win 11 Home+OHS 2021/Black","22.000.000","","","Kota Bandung","Sakura Komputer Flagship Store"
"1777268689-16","https://www.blibli.com/cari/laptop%20msi?brand=MSi&sort=0&intent=false&firstLoad=false&page=10&start=360","MSI Katana 15 HX B14WEK 087 i7 14650HX/16GB/512GB SSD/GeForce RTX 5050 8GB/15.6"" QHD/W11","23.149.000","","","Kota Medan","SOFTCOM Flagship Store"
"1777268689-17","https://www.blibli.com/cari/laptop%20msi?brand=MSi&sort=0&intent=false&firstLoad=false&page=10&start=360","MSI Thin 15 B12UCX (9S7-16R831-2401) [Core i5-12450H/RAM 8GB/SSD 512GB/RTX2050 4GB/15.6 FHD 144Hz/Windows 11 Home]","9.799.000","","","Kota Jakarta Timur","Intel ID Flagship Store"
"1777268689-18","https://www.blibli.com/cari/laptop%20msi?brand=MSi&sort=0&intent=false&firstLoad=false&page=10&start=360","MSI Cyborg 15 B2RWFKG 050ID Core 7 240H 16GB 512GB 5060 W11 OHS Translucent Black","20.899.000","","","Kota Denpasar","Blessing Computer Flagship Store"
"1777268689-19","https://www.blibli.com/cari/laptop%20msi?brand=MSi&sort=0&intent=false&firstLoad=false&page=10&start=360","MSI Katana 15 HX B14WGK 200 i9 14900HX/16GB/512GB SSD/GeForce RTX 5070 8GB/15.6"" QHD/W11","29.029.000","","","Kota Medan","SOFTCOM Flagship Store"
"1777268689-20","https://www.blibli.com/cari/laptop%20msi?brand=MSi&sort=0&intent=false&firstLoad=false&page=10&start=360","MSI Thin 15 B13UC (9S7-16R831-2407) / 2407ID Core i7-13620H/8GB/512GB SSD/RTX3050 4GB/15.6″ FHD 144Hz/Win 11 Home/Cosmos Gray","12.289.000","","Terjual 1","Kota Bandung","Funan Van Java Flagship Store"
"1777268689-21","https://www.blibli.com/cari/laptop%20msi?brand=MSi&sort=0&intent=false&firstLoad=false&page=10&start=360","MSI Thin 15 B13UC 3449 i5 13420H/8GB/512GB SSD/GeForce RTX 3050 4GB/15.6"" FHD/W11","12.589.000","","","Kota Medan","SOFTCOM Flagship Store"
"1777268689-22","https://www.blibli.com/cari/laptop%20msi?brand=MSi&sort=0&intent=false&firstLoad=false&page=10&start=360","MSI Katana 15 HX B14WFK 092 i7 14650HX/16GB/512GB SSD/GeForce RTX 5060 8GB/15.6"" QHD/W11","24.159.000","","","Kota Medan","SOFTCOM Flagship Store"
"1777268689-23","https://www.blibli.com/cari/laptop%20msi?brand=MSi&sort=0&intent=false&firstLoad=false&page=10&start=360","MSI Sword 16 B14VFKG i7 14700HX 16GB 1TB SSD RTX4060 16"" QHD+ W11","26.000.000","","","Kota Bandung","Sakura Komputer Flagship Store"
"1777268689-24","https://www.blibli.com/cari/laptop%20msi?brand=MSi&sort=0&intent=false&firstLoad=false&page=10&start=360","MSI Thin 15 B13UC-3449ID INTEL I5-13420H RAM 8GB DDR4 SSD 512GB RTX3050 4GB 15,6"" FHD IPS WIN11","11.349.000","","","Kota Bandung","Funan Van Java Flagship Store"
"1777268689-25","https://www.blibli.com/cari/laptop%20msi?brand=MSi&sort=0&intent=false&firstLoad=false&page=10&start=360","MSI Cyborg 15 B2RWEKG 053 Core 5 210H/16GB/512GB SSD/GeForce RTX 5050 8GB/15.6"" FHD IPS/W11","18.269.000","","Terjual 1","Kota Medan","SOFTCOM Flagship Store"
"1777268689-26","https://www.blibli.com/cari/laptop%20msi?brand=MSi&sort=0&intent=false&firstLoad=false&page=10&start=360","MSI CYBORG 15-B13WEKG-475ID [INTEL I5-13620H/ 16GB/ 512GB/ RTX5050 8GB/ 15,6"" FHD IPS/ WIN11HOME/ OH+M365]","16.385.660","","","Kota Jakarta Pusat","VICMIC INDONESIA Flagship Store"
"1777268689-27","https://www.blibli.com/cari/laptop%20msi?brand=MSi&sort=0&intent=false&firstLoad=false&page=10&start=360","MSI Crosshair 16 HX AI D2XWFKG (9S7-15P421-039)/Intel Core Ultra 9-275HX/16GB/1TB SSD/RTX5060 8GB/16 QHD+ 240Hz/Win 11 Home + OHM 2024-Cosmos Grey","28.786.000","","","Kota Jakarta Barat","Paradisestore.id Flagship Store"
"1777268689-28","https://www.blibli.com/cari/laptop%20msi?brand=MSi&sort=0&intent=false&firstLoad=false&page=10&start=360","MSI Modern 13 F13MG-019 Platinum Grey [Core i5-1335U 16GB 512GB SSD 13.3""FHD IPS Intel Iris Xe Windows 11+OHS 2 Year] | Pegacare+","10.600.000","","","Kota Yogyakarta","Pegastore.id Flagship Store"
"1777268689-29","https://www.blibli.com/cari/laptop%20msi?brand=MSi&sort=0&intent=false&firstLoad=false&page=10&start=360","MSI Thin 15 B12UC 9S7-16R831-2411 Intel Core i5-12450H GeForce RTX 3050 RAM 8GB DDR4-3200 SSD 512GB NVMe Windows","13.100.000","","Terjual 2","Kota Jakarta Utara & kota lainnya","Sentral Komputer Store Flagship Store"
"1777268689-30","https://www.blibli.com/cari/laptop%20msi?brand=MSi&sort=0&intent=false&firstLoad=false&page=10&start=360","MSI KATANA 15 HX GeForce RTX 5050 - I7 14650HX 16GB 512GB 15.6QHD 165HZ","21.999.000","","","Kota Jakarta Utara","Agres.id Flagship Store"
