web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,nama toko
1777213835-1,https://www.blibli.com/cari/laptop%20samsung?brand=SAMSUNG&sort=0&category=LA-1000005&category=LA-1000004&intent=false&firstLoad=false,"SAMSUNG GALAXY BOOK4 PRO ULTRA 7 155H 16GB 1TB INTEL ARC 16"" AMOLED",,,,Jakarta Utara,Mycomshop
1777213842-2,https://www.blibli.com/cari/laptop%20samsung?brand=SAMSUNG&sort=0&category=LA-1000005&category=LA-1000004&intent=false&firstLoad=false,"SAMSUNG GALAXY BOOK4 ULTRA ULTRA 7 155H 16GB 1TB RTX 4050 16"" AMOLED",Rp57.000.000,,,Jakarta Utara,Mycomshop
1777213849-3,https://www.blibli.com/cari/laptop%20samsung?brand=SAMSUNG&sort=0&category=LA-1000005&category=LA-1000004&intent=false&firstLoad=false,"SAMSUNG GALAXY BOOK4 360 CORE 7 150U 16GB 512GB INTEL 15,6"" FHD AMOLED",Rp35.000.000,,,Jakarta Utara,Mycomshop
1777213855-4,https://www.blibli.com/cari/laptop%20samsung?brand=SAMSUNG&sort=0&category=LA-1000005&category=LA-1000004&intent=false&firstLoad=false,"SAMSUNG GALAXY BOOK4 PRO ULTRA 7 155H 16GB 512GB INTEL ARC 14"" AMOLED",Rp37.200.000,,,Jakarta Utara,Mycomshop
1777213862-5,https://www.blibli.com/cari/laptop%20samsung?brand=SAMSUNG&sort=0&category=LA-1000005&category=LA-1000004&intent=false&firstLoad=false,"SAMSUNG GALAXY BOOK4 PRO 360 ULTRA 7 155H 16GB 1TB INTEL ARC 16""AMOLED",Rp46.600.000,,,Jakarta Utara,Mycomshop
1777213868-6,https://www.blibli.com/cari/laptop%20samsung?brand=SAMSUNG&sort=0&category=LA-1000005&category=LA-1000004&intent=false&firstLoad=false,"SAMSUNG GALAXY BOOK4 360 CORE 5 120U 8GB 512GB INTEL 15,6"" FHD AMOLED",Rp29.700.000,,,Jakarta Utara,Mycomshop
1777213873-7,https://www.blibli.com/cari/laptop%20samsung?brand=SAMSUNG&sort=0&category=LA-1000005&category=LA-1000004&intent=false&firstLoad=false,"SAMSUNG GALAXY BOOK4 EDGE AI LAPTOP SNAPDRAGON X ELITE X1E-84-100 16GB RAM 1TB SSD QUALCOMM ADRENO 16"" 3K AMOLED 2X",Rp54.800.000,,,Jakarta Utara,Mycomshop
1777213878-8,https://www.blibli.com/cari/laptop%20samsung?brand=SAMSUNG&sort=0&category=LA-1000005&category=LA-1000004&intent=false&firstLoad=false,"SAMSUNG GALAXY BOOK5 360 2-IN-1 LAPTOP ULTRA 7-256V 16GB RAM 512GB SSD INTEL ARC 140V 8GB 15"" FHD AMOLED",Rp35.700.000,,,Jakarta Utara,Mycomshop
1777213883-9,https://www.blibli.com/cari/laptop%20samsung?brand=SAMSUNG&sort=0&category=LA-1000005&category=LA-1000004&intent=false&firstLoad=false,"SAMSUNG GALAXY BOOK6 ULTRA 16 ULTRA 7 356H 32GB RAM 1TB SSD NVIDIA RTX 5060 8GB 16"" AMOLED TOUCH",Rp76.900.000,,,Jakarta Utara,Mycomshop
1777213886-10,https://www.blibli.com/cari/laptop%20samsung?brand=SAMSUNG&sort=0&category=LA-1000005&category=LA-1000004&intent=false&firstLoad=false,"SAMSUNG GALAXY BOOK6 ULTRA 16 ULTRA 7 356H 32GB RAM 1TB SSD NVIDIA RTX 5070 8GB 16"" AMOLED TOUCH",Rp81.700.000,,,Jakarta Utara,Mycomshop
1777213891-11,https://www.blibli.com/cari/laptop%20samsung?brand=SAMSUNG&sort=0&category=LA-1000005&category=LA-1000004&intent=false&firstLoad=false,Lenovo yoga 380 Core i5 Gen 8Tah Ram 16gb/SSD 512gb Layar 13 Inchi Touchscreen slim,Rp6.000.000,5.0,Terjual 2,Jakarta Utara,Grosir computer
1777213895-12,https://www.blibli.com/cari/laptop%20samsung?brand=SAMSUNG&sort=0&category=LA-1000005&category=LA-1000004&intent=false&firstLoad=false,"SAMSUNG GALAXY BOOK5 PRO 360 2-IN-1 LAPTOP ULTRA 7-256V 16GB RAM 1TB SSD INTEL ARC 140V 8GB 16"" 3K AMOLED WITH S-PEN",Rp45.000.000,,,Jakarta Utara,Mycomshop
1777213899-13,https://www.blibli.com/cari/laptop%20samsung?brand=SAMSUNG&sort=0&category=LA-1000005&category=LA-1000004&intent=false&firstLoad=false,"Laptop Samsung Galaxy Book 3 / 15.6"" FHD Intel Core i7 13gen 1355U",Rp13.577.070,5.0,Terjual 1,Jakarta Utara,ponderscomp
