web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,nama toko
"1777618961-1","https://www.blibli.com/cari/laptop%20xiaomi","Cas laptop acer","75.000","","","","Kab. Pati"
"1777618961-2","https://www.blibli.com/cari/laptop%20xiaomi","[FREE Mouse HP 150] HP OmniBook 3 14 inch Laptop Next Gen AI 14-HA0336AU C0BA8PA Laptop - AMD RYZEN AI 5-340/24GB/512GB/Radeon 840M/14.0 FHD AG IPS","11.999.000","","","Kab. Tangerang","IT Galeri Flagship Store"
"1777618961-3","https://www.blibli.com/cari/laptop%20xiaomi","Laptop RedmiBook 15 Intel Core i3-1115G4 8GB NVME 512GB 15.6"" Silver","7.999.000","","","Kota Medan","KomputerMedan Flagship Store"
"1777618961-4","https://www.blibli.com/cari/laptop%20xiaomi","XIAOMI Redmi Book 15 8+512GB Layar 15.6 inch FHD Windows 10 Notebook","7.999.000","","","","Kota Surakarta (Solo)"
"1777618961-5","https://www.blibli.com/cari/laptop%20xiaomi","XIAOMI REDMI BOOK 15 CORE I3-1115G4 8GB/256GB/15.6"" FHD/W10","7.549.900","","Terjual 1","","Kota Tangerang"
"1777618961-6","https://www.blibli.com/cari/laptop%20xiaomi","RedmiBook 15","7.225.000","","Terjual 1","","Kab. Tulungagung"
"1777618961-7","https://www.blibli.com/cari/laptop%20xiaomi","ACER Aspire Lite 14 AL14-37P-32RZ NX.DDESN.001 Laptop - INTEL CORE 3-N355/8GB/512GB/14.0 FHD IPS/WIN11+OHS2024/SILVER","8.599.000","5","Terjual 1","Kab. Tangerang","IT Galeri Flagship Store"
"1777618961-8","https://www.blibli.com/cari/laptop%20xiaomi","HP OmniBook 7 14 inch Laptop AI 14-fr0222TU D07C5PA - INTEL CORE ULTRA 5-225H/16GB/512GB/14.0 OLED/WIN11+OHS2024/SILVER","16.199.000","","","Kab. Tangerang","IT Galeri Flagship Store"
"1777618961-9","https://www.blibli.com/cari/laptop%20xiaomi","RedmiBook 15 8/256 garansi resmi xiaomi","7.550.000","","","","Kab. Sidoarjo"
"1777618961-10","https://www.blibli.com/cari/laptop%20xiaomi","RedmiBook 15 512 GB","7.999.000","","","","Kab. Cilacap & kota lainnya"
"1777618961-11","https://www.blibli.com/cari/laptop%20xiaomi","LENOVO IdeaPad 3 Slim 3 14IRU8 82X6006EID Laptop - Intel Core i3-1315U/8GB/512GB/14.0/WIN11+OHS2024+M365/ABBYS BLUE","8.499.000","","","Kab. Tangerang","IT Galeri Flagship Store"
"1777618961-12","https://www.blibli.com/cari/laptop%20xiaomi","LENOVO IdeaPad Slim 3 14IRU8 82X6006FID Laptop - Intel Core i3-1315U/8GB/512GB/14.0 FHD/WIN11+OHS024+M365/ARTIC GREY","8.499.000","","","Kab. Tangerang","IT Galeri Flagship Store"
"1777618961-13","https://www.blibli.com/cari/laptop%20xiaomi","ACER Swift Go 14 AI SFG14-73-75WS NX.KV4SN.008 Laptop - Intel Core Ultra 7-155H/16GB/1TB/14 2.8K IPS/WIN11+OHS2021/SILVER","14.815.000","","Terjual 1","Kab. Tangerang","IT Galeri Flagship Store"
"1777618961-14","https://www.blibli.com/cari/laptop%20xiaomi","HP 14-ep0321TU Laptop - Silver [i3-1315U/4GB/512GB/Win11+OHS24+M365/Copilot/Backlit KB/14"" FHD 250Nits] Free Bag","7.999.000","5","Terjual 54","Blibli Flagship (Komputer) Flagship Store","Disediakan Blibli"
"1777618961-15","https://www.blibli.com/cari/laptop%20xiaomi","HP 14-ep0261TU Laptop - Silver [i3-1315U/8GB/512GB/Win11+OHS24+M365/Copilot/Backlit KB/14"" FHD 250Nits] Free Bag","8.999.000","5","Terjual 238","Blibli Flagship (Komputer) Flagship Store","Disediakan Blibli"
"1777618961-16","https://www.blibli.com/cari/laptop%20xiaomi","HP 14-ep1177TU Laptop - Silver [Core 5-120U/8GB/512GB/Win11+OHS24+M365/Copilot/Backlit KB/14"" FHD 250Nits] Free Bag","10.499.000","5","Terjual 13","Blibli Flagship (Komputer) Flagship Store","Disediakan Blibli"
"1777618961-17","https://www.blibli.com/cari/laptop%20xiaomi","HP 14-ep1155TU Laptop - Silver [Core 5-120U/16GB/512GB/Win11+OHS24+M365/Copilot/Backlit KB/14"" FHD 250Nits] Free Bag","10.999.000","5","Terjual 61","Blibli Flagship (Komputer) Flagship Store","Disediakan Blibli"
"1777618961-18","https://www.blibli.com/cari/laptop%20xiaomi","HP 245 G10 Laptop - Grey [R3-7320U/8GB LPDDR5/256GB PCIe/Win11/720HD Cam/14"" FHD IPS 250Nits] Free Bag (A)","8.499.000","5","Terjual 82","Blibli Flagship (Komputer) Flagship Store","Disediakan Blibli"
"1777618961-19","https://www.blibli.com/cari/laptop%20xiaomi","HP 240R G9 Laptop - Black [Core 7-150U/16GB DDR4/512GB PCIe/Win11/OHS24/720HD Cam/14"" FHD IPS 300Nits] Free Bag","14.999.000","","","Blibli Flagship (Komputer) Flagship Store","Disediakan Blibli"
"1777618961-20","https://www.blibli.com/cari/laptop%20xiaomi","HP 14-ep1188TU Laptop - Silver [Ultra 5-125H/Intel Arc/16GB/512GB/Win11+OHS24+M365/Copilot/Backlit KB/14"" FHD IPS 300Nits] Free Bag (A)","11.999.000","5","Terjual 3","Blibli Flagship (Komputer) Flagship Store","Disediakan Blibli"
"1777618961-21","https://www.blibli.com/cari/laptop%20xiaomi","ASUS Zenbook A14 UX3407QA-IPSP151M Notebook - Zabriskie Beige ( SNAPDRAGON X X126100 / 16GB / 512GB SSD / UMA / 14"" IPS 2K / Win11 / OHS )","15.999.000","5","Terjual 8","Blibli Flagship (Komputer) Flagship Store","Disediakan Blibli"
"1777618961-22","https://www.blibli.com/cari/laptop%20xiaomi","ASUS Zenbook A14 UX3407QA-IPSP152M Notebook - Iceland Gray ( SNAPDRAGON X X126100 / 16GB / 512GB SSD / UMA / 14"" IPS 2K / Win11 / OHS )","15.999.000","4,6","Terjual 9","Blibli Flagship (Komputer) Flagship Store","Disediakan Blibli"
"1777618961-23","https://www.blibli.com/cari/laptop%20xiaomi","ASUS Vivobook 14 A1407QA-VIPSP153M Notebook - Cool Silver ( SNAPDRAGON X X126100 / 16GB / 512GB SSD / UMA / 14"" VIPS 2K / Win11 / OHS2024+M365 )","12.999.000","4,7","Terjual 16","Blibli Flagship (Komputer) Flagship Store","Disediakan Blibli"
"1777618961-24","https://www.blibli.com/cari/laptop%20xiaomi","ASUS Vivobook 14 A1407QA-VIPSP151M Notebook - Quiet Blue ( SNAPDRAGON X X126100 / 16GB / 512GB SSD / UMA / 14"" VIPS 2K / Win11 / OHS2024+M365 )","12.999.000","5","Terjual 26","Blibli Flagship (Komputer) Flagship Store","Disediakan Blibli"
