web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,nama toko
"1777297934-1","https://www.blibli.com/cari/laptop%20zyrex?brand=Zyrex&sort=0&category=LA-1000004&intent=false&firstLoad=false","Laptop Zyrex D-Tech Ryzen 5 3500 16GB 256GB W11 14"" Blue","7.449.000","5","Terjual 3","Kota Jakarta Utara","Agres.id Flagship Store"
"1777297934-2","https://www.blibli.com/cari/laptop%20zyrex?brand=Zyrex&sort=0&category=LA-1000004&intent=false&firstLoad=false","LAPTOP BARU ZYREX D-TECH AMD RYZEN 5-3500U AMD RADEON RAM 16GB DDR4 SSD 256GB NVME 14INCH","4.399.000","","Terjual 1","","Kota Surabaya"
"1777297934-3","https://www.blibli.com/cari/laptop%20zyrex?brand=Zyrex&sort=0&category=LA-1000004&intent=false&firstLoad=false","Laptop Zyrex D-TECH AMD RYZEN 5 RAM 16gb SSD 256gb Windows 11 14.0 2Y","7.449.000","5","Terjual 3","","Kota Surabaya"
"1777297934-4","https://www.blibli.com/cari/laptop%20zyrex?brand=Zyrex&sort=0&category=LA-1000004&intent=false&firstLoad=false","LAPTOP ZYREX L-BOOK Dark Grey/Light Grey/INTEL N4020/8GB/128GB EMMC/14"" /WIN 11 pro / 1Y LBOOK ZYREX TANPA TAS","3.839.000","","Terjual 1","Kota Bandung","Funan Van Java Flagship Store"
"1777297934-5","https://www.blibli.com/cari/laptop%20zyrex?brand=Zyrex&sort=0&category=LA-1000004&intent=false&firstLoad=false","LAPTOP ZYREX L-BOOK (DARK GREY) INTEL-N4020 14"" (1366X768) 8GB EMMC 128GB WIFI + BT W11","3.595.401","","","Kota Palembang","MDP SUPERSTORE Flagship Store"
"1777297934-6","https://www.blibli.com/cari/laptop%20zyrex?brand=Zyrex&sort=0&category=LA-1000004&intent=false&firstLoad=false","Pre-order","10.000.000","","","Kota Jakarta Pusat","Yolori Flagship Store"
"1777297934-7","https://www.blibli.com/cari/laptop%20zyrex?brand=Zyrex&sort=0&category=LA-1000004&intent=false&firstLoad=false","Pre-order","7.899.000","","","Kota Jakarta Pusat","Yolori Flagship Store"
"1777297934-8","https://www.blibli.com/cari/laptop%20zyrex?brand=Zyrex&sort=0&category=LA-1000004&intent=false&firstLoad=false","ZYREX L-BOOK Intel N4020 8GB 256GB Windows 11 PRO 14.0 HD Display - LAPTOP, 8GB/128GB","3.499.000","5","Terjual 1","Kota Medan","REINO KOMPUTINDO Flagship Store"
"1777297934-9","https://www.blibli.com/cari/laptop%20zyrex?brand=Zyrex&sort=0&category=LA-1000004&intent=false&firstLoad=false","ZYREX NOTEBOOK ULTRA N100 INTEL N100/8GB/128GB+256GB SSD/BACKLIT KB/14""FHD IPS/WIN 11 PRO/BLACK","3.999.000","","","Kota Medan","REINO KOMPUTINDO Flagship Store"
"1777297934-10","https://www.blibli.com/cari/laptop%20zyrex?brand=Zyrex&sort=0&category=LA-1000004&intent=false&firstLoad=false","Laptop Zyrex Kintamani AMD a99400 RAM 4GB/128GB SSD","3.799.000","","","","Kota Bandung"
"1777297934-11","https://www.blibli.com/cari/laptop%20zyrex?brand=Zyrex&sort=0&category=LA-1000004&intent=false&firstLoad=false","Laptop Zyrex ULTRA INTEL CORE N100 RAM 8gb SSD 128+256gb Windows 11 14.0Full HD BLIT METAL 2Y BLK","4.399.000","","","","Kota Surabaya"
"1777297934-12","https://www.blibli.com/cari/laptop%20zyrex?brand=Zyrex&sort=0&category=LA-1000004&intent=false&firstLoad=false","ZYREX BLAZE I5 12450H - RAM 16GB 512GB WINDOWS 11 14.0FHD IPS","7.391.601","","","Kota Medan","AGRES ID FONE Flagship Store"
"1777297934-13","https://www.blibli.com/cari/laptop%20zyrex?brand=Zyrex&sort=0&category=LA-1000004&intent=false&firstLoad=false","ZYREX BLAZE i5-12450H; 14"" FHD IPS 1920x1080; 16 GB; Windows 11; 512GB SSD NVME; Intel Graphic; 2 Year Warranty (Part & Service)","7.250.000","","","Kota Yogyakarta","Computa Flagship Store"
"1777297934-14","https://www.blibli.com/cari/laptop%20zyrex?brand=Zyrex&sort=0&category=LA-1000004&intent=false&firstLoad=false","ZYREX D-TECH PRO V2 RYZEN 5 6600H 16GB 512GB W11 14.0FHD IPS BLIT LAN 1Y GRY","7.991.001","","Terjual 1","Kota Medan","AGRES ID FONE Flagship Store"
"1777297934-15","https://www.blibli.com/cari/laptop%20zyrex?brand=Zyrex&sort=0&category=LA-1000004&intent=false&firstLoad=false","LAPTOP BARU ZYREX ULTRA INTEL N100 INTEL UHD RAM 8GB DDR4 SSD 256GB + EMMC 128GB 14INCH FHD IPS","3.603.970","","","","Kota Surabaya"
"1777297934-16","https://www.blibli.com/cari/laptop%20zyrex?brand=Zyrex&sort=0&category=LA-1000004&intent=false&firstLoad=false","Zyrex D-Tech | Ryzen 5 16GB 256GB W11","6.999.000","","","","Kota Yogyakarta"
"1777297934-17","https://www.blibli.com/cari/laptop%20zyrex?brand=Zyrex&sort=0&category=LA-1000004&intent=false&firstLoad=false","LAPTOP ZYREX ULTRA N100 8GB 128GB + 256GB SSD W11 14.0 INCH FHD","5.240.000","","Terjual 1","Kota Bandung","Funan Van Java Flagship Store"
"1777297934-18","https://www.blibli.com/cari/laptop%20zyrex?brand=Zyrex&sort=0&category=LA-1000004&intent=false&firstLoad=false","Laptop ZYREX Intel","7.999.000","","Terjual 2","Kota Bandung","Funan Van Java Flagship Store"
"1777297934-19","https://www.blibli.com/cari/laptop%20zyrex?brand=Zyrex&sort=0&category=LA-1000004&intent=false&firstLoad=false","Laptop ZYREX AMD","7.999.000","","","Kota Bandung","Funan Van Java Flagship Store"
"1777297934-20","https://www.blibli.com/cari/laptop%20zyrex?brand=Zyrex&sort=0&category=LA-1000004&intent=false&firstLoad=false","LAPTOP ZYREX BUNAKEN N4020 4GB 256SSD+64GB W10 14""","2.446.551","","Terjual 1","Kota Medan","Agres ID Medan Flagship Store"
"1777297934-21","https://www.blibli.com/cari/laptop%20zyrex?brand=Zyrex&sort=0&category=LA-1000004&intent=false&firstLoad=false","Laptop Zyrex Blaze","7.049.000","","","Kab. Banyumas","Intel Arena IT Flagship Store"
"1777297934-22","https://www.blibli.com/cari/laptop%20zyrex?brand=Zyrex&sort=0&category=LA-1000004&intent=false&firstLoad=false","Laptop Zyrex Ultra","3.879.000","","","Kab. Banyumas","Intel Arena IT Flagship Store"
"1777297934-23","https://www.blibli.com/cari/laptop%20zyrex?brand=Zyrex&sort=0&category=LA-1000004&intent=false&firstLoad=false","LAPTOP ZYREX BUNAKEN INTEL CELERON N4020/4GB/256GB+64GB SSD/WIN 11/14""/BLACK GARANSI RESMI 2 TAHUN","2.599.000","","","","Kab. Melawi"
"1777297934-24","https://www.blibli.com/cari/laptop%20zyrex?brand=Zyrex&sort=0&category=LA-1000004&intent=false&firstLoad=false","Laptop ZYREX SKY 232 INTEL CORE N4020 RAM 4GB SSD 256GB+64GB Windows 10 11.6Full HD BT 2Y","2.599.000","","","","Kota Surabaya"
"1777297934-25","https://www.blibli.com/cari/laptop%20zyrex?brand=Zyrex&sort=0&category=LA-1000004&intent=false&firstLoad=false","LAPTOP ZYREX BLAZE intel Core i5 12450H 16GB 512GB W11 14.0 FHD IPS 2YR BLACK","6.639.000","5","Terjual 1","Kota Bandung","Funan Van Java Flagship Store"
"1777297934-26","https://www.blibli.com/cari/laptop%20zyrex?brand=Zyrex&sort=0&category=LA-1000004&intent=false&firstLoad=false","LAPTOP ZYREX BLAZE (GREY) : INTEL CORE I5-12450H FHD IPS, 16GB, 512GB SSD NVME, W11 (BACKPACK)","6.792.201","","","Kota Palembang","MDP SUPERSTORE Flagship Store"
"1777297934-27","https://www.blibli.com/cari/laptop%20zyrex?brand=Zyrex&sort=0&category=LA-1000004&intent=false&firstLoad=false","LAPTOP BARU ZYREX BUNAKEN INTEL N4020 RAM 4GB DDR4 SSD 256GB+64GB EMMC 14INCH GRY","2.470.970","","","","Kota Surabaya"
"1777297934-28","https://www.blibli.com/cari/laptop%20zyrex?brand=Zyrex&sort=0&category=LA-1000004&intent=false&firstLoad=false","LAPTOP BARU ZYREX SKY 232 INTEL N3350 INTEL HD RAM 4GB DDR4 64GB + 256GB 14INCH","2.472.000","","","","Kota Surabaya"
"1777297934-29","https://www.blibli.com/cari/laptop%20zyrex?brand=Zyrex&sort=0&category=LA-1000004&intent=false&firstLoad=false","LAPTOP BARU ZYREX BLAZE INTEL N100 RAM 8GB DDR4 EMMC 128GB + SSD 256GB 14INCH FHD IPS","3.499.000","","","","Kota Surabaya"
"1777297934-30","https://www.blibli.com/cari/laptop%20zyrex?brand=Zyrex&sort=0&category=LA-1000004&intent=false&firstLoad=false","Notebook Zyrex Lifebook N4020 W11 Pro 8/128Gb","2.779.970","","","","Kota Bandung"
"1777297934-31","https://www.blibli.com/cari/laptop%20zyrex?brand=Zyrex&sort=0&category=LA-1000004&intent=false&firstLoad=false","ZYREX BUNAKEN Intel Celeron N4020 RAM 4GB SSD 256GB + 64GB DOS / W10 14.0 2Y","2.699.000","","","","Kota Surabaya"
