web_scraper_order,web_scraper_start_url,product_link,product_name,price,rating,review_count,sold,seller
1774590573-1,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20asus,https://www.tokopedia.com/idigitalid/asus-rog-phone-7-8-256gb-12-256gb-black-white-garansi-resmi-indonesia-white-8gb-256gb-4bfdc?extParam=ivf%3Dfalse%26keyword%3Dhp+asus%26search_id%3D20260327054859577BCC914F9E55337EXP%26src%3Dsearch,"Asus Rog Phone 7 8/256GB 12/256GB Black White Garansi Resmi Indonesia - WHITE, 8GB 256GB",Rp10.900.000,5,5 rating • 4 ulasan,Terjual 30+,iDigital ID
1774590578-2,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20asus,https://www.tokopedia.com/baihaki-phone-cell/asus-rog-5-8-128-gb-garansi-resmi-tam?extParam=ivf%3Dfalse%26keyword%3Dhp+asus%26search_id%3D20260327054859577BCC914F9E55337EXP%26src%3Dsearch,ASUS ROG 5 8/128 GB Garansi Resmi TAM,Rp8.999.000,5,1 rating • 0 ulasan,Terjual 1,Baihaki Phone cell
1774590583-3,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20asus,https://www.tokopedia.com/cv-damari/asus-rog-phone-8-12-256-gb-resmi?extParam=ivf%3Dfalse%26keyword%3Dhp+asus%26search_id%3D20260327054859577BCC914F9E55337EXP%26src%3Dsearch,Asus Rog Phone 8 12/256 Gb Resmi,Rp17.279.000,,,,CV DAMARI
1774590588-4,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20asus,https://www.tokopedia.com/mr-onecom/asus-rog-phone-6-mlbb-12-256-ram-12gb-rom-256gb-garansi-resmi-tam-smartphone-1732148407825696731?extParam=ivf%3Dfalse%26keyword%3Dhp+asus%26search_id%3D20260327054859577BCC914F9E55337EXP%26src%3Dsearch,Asus ROG Phone 6 MLBB 12/256 Ram 12GB Rom 256GB GARANSI RESMI TAM Smartphone,Rp7.999.000,,,,MR Onecom
1774590593-5,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20asus,https://www.tokopedia.com/toko-anita555/murah-special-creator-asus-rog-phone-9-pro-edition-rog-9-fe-24-1tb-16-512gb-garansi-resmi-rog-9-fe-12-512-no-bonus-1733220892044264481?extParam=ivf%3Dfalse%26keyword%3Dhp+asus%26search_id%3D20260327054859577BCC914F9E55337EXP%26src%3Dsearch,"Murah ( Special Creator ) Asus Rog Phone 9 Pro Edition / Rog 9 Fe ( 24/1Tb 16/512Gb ) Garansi Resmi - Rog 9 Fe 12/512 No Bonus - Rog 9 Fe 12/256, No Bonus",Rp5.254.000,,,,TOKO ANITA555
1774590598-6,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20asus,https://www.tokopedia.com/universalponsel/asus-zenfone-rog-phone-7-12-256-black-resmi?extParam=ivf%3Dfalse%26keyword%3Dhp+asus%26search_id%3D20260327054859577BCC914F9E55337EXP%26src%3Dsearch,Asus Zenfone ROG Phone 7 12/256 BLACK RESMI,Rp11.999.000,,,,Universalponsel
1774590603-7,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20asus,https://www.tokopedia.com/elevenponsel/new-asus-rog-phone-9-fe-5g-12-512gb-12-256gb-black-garansi-resmi-indonesia-1thn-12bln-1731125913601410516?extParam=ivf%3Dfalse%26keyword%3Dhp+asus%26search_id%3D20260327054859577BCC914F9E55337EXP%26src%3Dsearch,"(NEW) Asus ROG Phone 9 FE 5G 12/512GB 12/256GB Black Garansi Resmi Indonesia 1Thn (12Bln) - Black, 12/256GB",Rp9.699.000,,,2 barang berhasil terjual,Eleven Ponsel ID
1774590608-8,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20asus,https://www.tokopedia.com/cvkana/asus-rog-phone-8-snapdragon-8-gen-3-12gb-ram-256gb-memory-6-78-fhd-oled-120hz-12-256-eb5f0?extParam=ivf%3Dfalse%26keyword%3Dhp+asus%26search_id%3D20260327054859577BCC914F9E55337EXP%26src%3Dsearch,"Asus ROG Phone 8 Snapdragon 8 Gen 3, 12GB RAM, 256GB Memory, 6,78"" FHD+ OLED 120Hz - 12/256",Rp9.949.000,,,1 barang berhasil terjual,Kana Komputer
1774590613-9,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20asus,https://www.tokopedia.com/philosophy-computer/asus-zenfone-11-ultra-12-256-garansi-resmi-indonesia?extParam=ivf%3Dfalse%26keyword%3Dhp+asus%26search_id%3D20260327054859577BCC914F9E55337EXP%26src%3Dsearch,ASUS ZENFONE 11 ULTRA 12/256 GARANSI RESMI INDONESIA,Rp8.099.000,,,,Philosophy Computer
1774590618-10,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20asus,https://www.tokopedia.com/gen-zshop/asus-rog-phone-9-fe-12gb-512gb-12gb-256gb-new-garansi-resmi-asus-indonesia-1731588537030706599?extParam=ivf%3Dfalse%26keyword%3Dhp+asus%26search_id%3D20260327054859577BCC914F9E55337EXP%26src%3Dsearch,"ASUS ROG Phone 9 FE 12GB/512GB | 12GB/256GB NEW Garansi Resmi ASUS Indonesia - Phantom Black, 12/256GB",Rp9.199.000,,,,Gen-Z.Shop
