web_scraper_order,web_scraper_start_url,product_link,product_name,price,rating,review_count,sold,seller
"1774591860-1","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20asus","https://www.tokopedia.com/alifcell1077/asus-rog-phone-6-8-256gb-black-seken-original-asus-indonesia-1731872391531955304?extParam=ivf%3Dfalse%26keyword%3Dhp+asus%26search_id%3D2026032706102663923F49E524133BCAOY%26src%3Dsearch","Asus Rog Phone 6 8/256GB Black Seken Original Asus Indonesia","Rp5.699.000","","","","Alif Cell1077"
"1774591865-2","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20asus","https://www.tokopedia.com/daily-collect/asus-zenfone-go-2-16gb-z00vd-second-nego-sampe-dapet?extParam=ivf%3Dfalse%26keyword%3Dhp+asus%26search_id%3D2026032706102663923F49E524133BCAOY%26src%3Dsearch","ASUS ZENFONE GO 2/16GB Z00VD SECOND - NEGO SAMPE DAPET","Rp450.000","5.0","2 rating • 1 ulasan","Terjual 4","Daily Collect_NEW"
"1774591870-3","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20asus","https://www.tokopedia.com/hs-gadget-palembang/asus-rog-8-5g-12-256-second-garansi-desember-1731627749883348581?extParam=ivf%3Dfalse%26keyword%3Dhp+asus%26search_id%3D2026032706102663923F49E524133BCAOY%26src%3Dsearch","Asus rog 8 5G 12/256 second garansi Desember","Rp7.500.000","","","","HS GADGET Palembang"
"1774591875-4","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20asus","https://www.tokopedia.com/gadget-pin-store/asus-rog-8-rog-phone-8-12-256gb-resmi-second-1730957713339221328?extParam=ivf%3Dfalse%26keyword%3Dhp+asus%26search_id%3D2026032706102663923F49E524133BCAOY%26src%3Dsearch","Asus ROG 8 Rog Phone 8 12/256GB Resmi Second","Rp6.499.000","","","","Gadget Pin Store"
"1774591880-5","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20asus","https://www.tokopedia.com/aleoncell/asus-zenfone-3-laser-4-32gb-bekas-resmi?extParam=ivf%3Dfalse%26keyword%3Dhp+asus%26search_id%3D2026032706102663923F49E524133BCAOY%26src%3Dsearch","Asus Zenfone 3 Laser 4/32GB bekas resmi","Rp869.000","","","","AleonStore"
"1774591885-6","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20asus","https://www.tokopedia.com/izzahgraha/asus-rog-phone-6-8-256-tam-original?extParam=ivf%3Dfalse%26keyword%3Dhp+asus%26search_id%3D2026032706102663923F49E524133BCAOY%26src%3Dsearch","ASUS ROG PHONE 6 8/256 TAM ORIGINAL","Rp4.999.000","5.0","9 rating • 5 ulasan","Terjual 15","Izzah Graha"
"1774591890-7","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20asus","https://www.tokopedia.com/gadget-pin-store/asus-rog-phone-6-5g-8-256gb-resmi-second-berkualitas-1729986791819674960?extParam=ivf%3Dfalse%26keyword%3Dhp+asus%26search_id%3D2026032706102663923F49E524133BCAOY%26src%3Dsearch","Asus ROG Phone 6 5G 8/256GB Resmi Second Berkualitas","Rp5.150.000","","","","Gadget Pin Store"
"1774591895-8","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20asus","https://www.tokopedia.com/kennacell/asus-rog-9-fe-12-256-jaringan-5g-resmi-indonesia-garansi-11-bulan-fullset-original-bawaan-1732967525148230938?extParam=ivf%3Dfalse%26keyword%3Dhp+asus%26search_id%3D2026032706102663923F49E524133BCAOY%26src%3Dsearch","Asus rog 9 fe 12/256 jaringan 5g resmi Indonesia garansi 11 bulan fullset original bawaan","Rp6.999.999","","","","kennacell"
"1774591900-9","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20asus","https://www.tokopedia.com/noval-alvian-store/asus-rog-phone-3-8-128gb-fullset-resmi?extParam=ivf%3Dfalse%26keyword%3Dhp+asus%26search_id%3D2026032706102663923F49E524133BCAOY%26src%3Dsearch","asus rog phone 3 8/128gb fullset resmi","Rp5.090.000","","","1 barang berhasil terjual","Noval alvian store."
"1774591905-10","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20asus","https://www.tokopedia.com/officialts/asus-rog-phone-6-8-256-resmi-tam-fullset?extParam=ivf%3Dfalse%26keyword%3Dhp+asus%26search_id%3D2026032706102663923F49E524133BCAOY%26src%3Dsearch","Asus ROG Phone 6 8/256 Resmi TAM Fullset","Rp6.999.000","5.0","1 rating • 1 ulasan","Terjual 1","Toko Sedulur Official"
