web_scraper_order,web_scraper_start_url,product_link,product_name,price,rating,review_count,sold,seller
"1775100979-1","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20black%20shark","https://www.tokopedia.com/lana-cellindo/asus-rog-phone-9fe-9-fe-ram-12gb-internal-256gb-12-256gb-12-gb-256-gb-second-fullset-original-resmi-indonesia-1734434966623258617?extParam=ivf%3Dfalse%26keyword%3Dhp+black+shark%26search_id%3D202604020335444734BA6F3DE83D3748QF%26src%3Dsearch","Asus rog phone 9fe 9 fe ram 12gb internal 256gb 12/256gb 12 gb / 256 gb second fullset original resmi Indonesia","Rp7.700.000","","","1 barang berhasil terjual","lana cellindo"
"1775100984-2","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20black%20shark","https://www.tokopedia.com/rog-parts-original/rogphone-7-garansi-resmi-indonesia-1731372573956408900?extParam=ivf%3Dfalse%26keyword%3Dhp+black+shark%26search_id%3D202604020335444734BA6F3DE83D3748QF%26src%3Dsearch","Rogphone 7 garansi resmi Indonesia","Rp5.050.000","5.0","1 rating • 1 ulasan","Terjual 3","Rog Parts Original"
"1775100989-3","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20black%20shark","https://www.tokopedia.com/bintarocellular/tam-asus-rog-phone-3-5g-128gb-256gb-512gb-garansi-resmi-indonesia-new-8-128gb-e75fa?extParam=ivf%3Dfalse%26keyword%3Dhp+black+shark%26search_id%3D202604020335444734BA6F3DE83D3748QF%26src%3Dsearch","(TAM) ASUS ROG PHONE 3 5G 128GB/256GB/512GB GARANSI RESMI INDONESIA - New, 8/128GB","Rp6.130.000","4.7","46 rating • 33 ulasan","Terjual 60+","BintaroGadget_NEW"
"1775100994-4","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20black%20shark","https://www.tokopedia.com/yude-cell-official/xiaomi-mi-8-8-128gb-xiaomi-mi8-6-128gb-xiaomi-mi-8-xiaomi-redmi-mi-note-mi8-mi9-mi10-mi12-mi14-xiaomi-second-bergaransi-6-128gb-a32ee?extParam=ivf%3Dfalse%26keyword%3Dhp+black+shark%26search_id%3D202604020335444734BA6F3DE83D3748QF%26src%3Dsearch","Xiaomi Mi 8 8/128GB Xiaomi Mi8 6/128GB Xiaomi mi 8 Xiaomi Redmi Mi Note mi8 mi9 mi10 mi12 mi14 Xiaomi Second Bergaransi - 6/128GB","Rp1.550.000","5.0","4 rating • 2 ulasan","Terjual 12","Best Yude Store"
"1775100999-5","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20black%20shark","https://www.tokopedia.com/sttarshop/asus-rog-phone-8-gen-13-12gb-ram-256-memory-6-78-fhd-oled-120hz-1732053332719404717?extParam=ivf%3Dfalse%26keyword%3Dhp+black+shark%26search_id%3D202604020335444734BA6F3DE83D3748QF%26src%3Dsearch","ASUS ROG Phone 8  GEN 13, 12GB RAM, 256 MEMORY, 6,78” FHD+ OLED 120HZ","Rp4.700.000","","","1 barang berhasil terjual","sttarshop"
"1775101004-6","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20black%20shark","https://www.tokopedia.com/bintarocellular/asus-rog-phone-3-5g-12gb-256gb-8gb-128gb-garansi-resmi-tam-indonesia-fp-off-8-128gb-5000f?extParam=ivf%3Dfalse%26keyword%3Dhp+black+shark%26search_id%3D202604020335444734BA6F3DE83D3748QF%26src%3Dsearch","ASUS ROG PHONE 3 5G 12GB/256GB 8GB/128GB GARANSI RESMI TAM INDONESIA - FP OFF, 8/128GB","Rp3.555.000","4.7","159 rating • 114 ulasan","Terjual 100+","BintaroGadget_NEW"
"1775101009-7","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20black%20shark","https://www.tokopedia.com/yude-cell-official/handphone-xiaomi-mi-9se-8-128gb-xiaomi-mi-9-se-6-128gb-mi-9-mi-9t-mi10-mi11-mi12-mi14-xiaomi-redmi-mi-note-xiaomi-second-bergaransi-1731481741956581077?extParam=ivf%3Dfalse%26keyword%3Dhp+black+shark%26search_id%3D202604020335444734BA6F3DE83D3748QF%26src%3Dsearch","Handphone Xiaomi Mi 9SE 8/128GB Xiaomi Mi 9 SE 6/128gb mi 9 mi 9t mi10 mi11 mi12  mi14 Xiaomi Redmi Mi Note Xiaomi Second Bergaransi - 8/128GB","Rp1.650.000","4.7","3 rating • 2 ulasan","Terjual 20","Best Yude Store"
"1775101014-8","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20black%20shark","https://www.tokopedia.com/joyjoy000/umidigi-bison-hp-outdoor-1733525401020498986?extParam=ivf%3Dfalse%26keyword%3Dhp+black+shark%26search_id%3D202604020335444734BA6F3DE83D3748QF%26src%3Dsearch","umidigi bison hp outdoor","Rp1.000.000","5.0","1 rating • 1 ulasan","Terjual 2","joyjoy000"
"1775101019-9","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20black%20shark","https://www.tokopedia.com/bagasstore31/asus-rog-phone-5-8-128-gb-wht-blk-hitam?extParam=ivf%3Dfalse%26keyword%3Dhp+black+shark%26search_id%3D202604020335444734BA6F3DE83D3748QF%26src%3Dsearch","ASUS ROG PHONE 5 8/128 GB | Wht & Blk - Hitam","Rp4.500.000","5.0","4 rating • 2 ulasan","Terjual 14","Bagasstore31"
"1775101024-10","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20black%20shark","https://www.tokopedia.com/bintarocellular/asus-rog-phone-2-12gb-512gb-8gb-128gb-garansi-resmi-tam-indonesia-tam-cooler-ram-12gb-57cf3?extParam=ivf%3Dfalse%26keyword%3Dhp+black+shark%26search_id%3D202604020335444734BA6F3DE83D3748QF%26src%3Dsearch","ASUS ROG PHONE 2 12GB/512GB 8GB/128GB GARANSI RESMI TAM INDONESIA - Tam+Cooler, RAM 12GB","Rp4.999.000","4.8","207 rating • 122 ulasan","Terjual 250+","BintaroGadget_NEW"
