web_scraper_order,web_scraper_start_url,product_link,product_name,price,rating,review_count,sold,seller
"1775102076-1","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20honor","https://www.tokopedia.com/helloel/honor-magic-vs-12-512gb-folding-fold-gms-android-smartphone?extParam=ivf%3Dfalse%26keyword%3Dhp+honor%26search_id%3D202604020354024734BA6F3DE83D2BDUEK%26src%3Dsearch","HONOR Magic Vs 12/512GB Folding Fold GMS Android Smartphone","Rp32.499.000","","","","Hello El Official"
"1775102081-2","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20honor","https://www.tokopedia.com/giztechshop/honor-magic-6-rsr-porsche-design-24-1-tb-global-rom-imei-bea-cukai-magic6-rsr-frozen-berry-24-1-tb-82221?extParam=ivf%3Dfalse%26keyword%3Dhp+honor%26search_id%3D202604020354024734BA6F3DE83D2BDUEK%26src%3Dsearch","HONOR MAGIC 6 RSR PORSCHE DESIGN - 24/1 TB - GLOBAL ROM - IMEI BEA CUKAI - MAGIC6 RSR - Frozen Berry, 24/1 TB","Rp32.799.000","5.0","1 rating • 1 ulasan","Terjual 1","GizTech Shop"
"1775102086-3","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20honor","https://www.tokopedia.com/tokosrcfedanes/new-arrivalglobal-version-honor-magic-v5-5g-foldable-smartphone-7-95-ltpo-oled-display-snapdragon-8-elite-5820mah-66w-wired-nfc-1733199613393143558?extParam=ivf%3Dfalse%26keyword%3Dhp+honor%26search_id%3D202604020354024734BA6F3DE83D2BDUEK%26src%3Dsearch","New ArrivalGlobal Version HONOR Magic V5 5G Foldable Smartphone 7.95"" LTPO OLED Display Snapdragon 8 Elite 5820mAh 66W Wired NFC","Rp54.695.000","","","","TOKO SRCfedanes SERJANAAA20"
"1775102091-4","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20honor","https://www.tokopedia.com/tangcelular/honor-magic-v2-5g-oled-120hz-50mp-qualcomm-snapdragon-8-gen2-5000mah-66w-nfc-android-13-1730823669238761108?extParam=ivf%3Dfalse%26keyword%3Dhp+honor%26search_id%3D202604020354024734BA6F3DE83D2BDUEK%26src%3Dsearch","Honor Magic V2 5G OLED 120Hz 50MP Qualcomm Snapdragon 8 Gen2 5000mAh 66W NFC Android 13 - Hitam, 16GB 256B","Rp20.799.000","","","","Gadget Ai"
"1775102096-5","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20honor","https://www.tokopedia.com/aryastoreid/honor-500-pro-256gb-512gb-1tb-5g-snapdragon-8-elite-8000mah-80w-1733985771161683005?extParam=ivf%3Dfalse%26keyword%3Dhp+honor%26search_id%3D202604020354024734BA6F3DE83D2BDUEK%26src%3Dsearch","Honor 500 Pro 256GB 512GB 1TB 5G Snapdragon 8 Elite 8000mAh 80W - Hitam, 12GB / 256GB","Rp13.599.000","","","","ARYASTOREID."
"1775102101-6","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20honor","https://www.tokopedia.com/tokosrcfedanes/original-new-honor-magic-v5-global-version-5g-foldable-ltpo-oled-120hz-display-7-95-50mp-cameras-snapdragon-8-elite-5820mah-66w-1733199595771692806?extParam=ivf%3Dfalse%26keyword%3Dhp+honor%26search_id%3D202604020354024734BA6F3DE83D2BDUEK%26src%3Dsearch","Original New HONOR Magic V5 Global Version 5G Foldable LTPO OLED 120Hz Display 7.95"" 50MP Cameras Snapdragon 8 Elite 5820mAh 66W","Rp60.433.000","","","","TOKO SRCfedanes SERJANAAA20"
"1775102106-7","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20honor","https://www.tokopedia.com/helloel/honor-magic-v3-global-version-12gb-512gb-gms-snapdragon-8-gen-3-7-92-120hz-android-smartphone-black-pu-555bb?extParam=ivf%3Dfalse%26keyword%3Dhp+honor%26search_id%3D202604020354024734BA6F3DE83D2BDUEK%26src%3Dsearch","HONOR MAGIC V3 Global Version 12GB/512GB GMS Snapdragon 8 Gen 3 7.92"" 120Hz Android Smartphone - Black (PU)","Rp39.899.000","","","","Hello El Official"
"1775102111-8","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20honor","https://www.tokopedia.com/flagship-store/honor-magic8-pro-air-256gb-12gb-5g-china-rom-mediatek-dimensity-9500-5500mah-battery-magic-8-pro-1734106668616025231?extParam=ivf%3Dfalse%26keyword%3Dhp+honor%26search_id%3D202604020354024734BA6F3DE83D2BDUEK%26src%3Dsearch","Honor Magic8 Pro Air 256GB 12GB 5G China ROM MediaTek Dimensity 9500 5500mAh Battery Magic 8 Pro - BLACK","Rp17.890.000","","","","FlagshipStoreid"
"1775102116-9","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20honor","https://www.tokopedia.com/prima-goods-id/honor-gt-pro-5g-12-256gb-512gb-16-256gb-16-1tb-snapdragon-8-elite-1731954974579918385?extParam=ivf%3Dfalse%26keyword%3Dhp+honor%26search_id%3D202604020354024734BA6F3DE83D2BDUEK%26src%3Dsearch","Honor GT Pro 5G 12+256GB 512GB 16+256GB 16/1TB Snapdragon 8 Elite - white, 12/256GB","Rp12.445.000","","","","Prima Goods ID"
"1775102121-10","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20honor","https://www.tokopedia.com/gondray/honor-magic-8-pro-air-5g-china-rom-dimensity-9500-ram-12gb-16gb-rom-256gb-512gb-1tb-oled-ltpo-5500mah-80w-imei-resmi-1734241848480531473?extParam=ivf%3Dfalse%26keyword%3Dhp+honor%26search_id%3D202604020354024734BA6F3DE83D2BDUEK%26src%3Dsearch","Honor Magic 8 Pro Air 5G China ROM | Dimensity 9500 | RAM 12GB/16GB | ROM 256GB/512GB/1TB | OLED LTPO | 5500mAh 80W | IMEI Resmi - Orange, 12/256 Gb","Rp17.950.000","","","","GONDRAY STORE"
