web_scraper_order,web_scraper_start_url,product_link,product_name,price,rating,review_count,sold,seller
"1775103072-1","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20honor","https://www.tokopedia.com/archive-ainuncell-2-1656/huawei-nova-13-pro-ram-12-512-gb-black-1733033131633968142?extParam=ivf%3Dfalse%26keyword%3Dhp+honor%26search_id%3D2026040204103534ED066DF378EF303D5I%26src%3Dsearch","HUAWEI NOVA 13 PRO RAM 12/512 GB BLACK","Rp5.297.500","5.0","1 rating • 0 ulasan","Terjual 1","Mafia store mks"
"1775103077-2","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20honor","https://www.tokopedia.com/indramjazz/huawei-nova-9-256gb-rom-8gb-ram-original-fullset?extParam=ivf%3Dfalse%26keyword%3Dhp+honor%26search_id%3D2026040204103534ED066DF378EF303D5I%26src%3Dsearch","Huawei Nova 9 256gb Rom 8gb ram original - fullset","Rp3.050.000","4.7","10 rating • 6 ulasan","Terjual 16","jazz gadget store"
"1775103082-3","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20honor","https://www.tokopedia.com/rockzombieid/huawei-nova-2i-erafone-4-gb-64-resmi-complete-box?extParam=ivf%3Dfalse%26keyword%3Dhp+honor%26search_id%3D2026040204103534ED066DF378EF303D5I%26src%3Dsearch","Huawei Nova 2i Erafone 4 GB 64 resmi complete box","Rp500.000","","","","Sikilku23"
"1775103087-4","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20honor","https://www.tokopedia.com/louartstore/honor-pad-10-8gb-256gb-wi-fi-only-garansi-resmi-1734793054799431593?extParam=ivf%3Dfalse%26keyword%3Dhp+honor%26search_id%3D2026040204103534ED066DF378EF303D5I%26src%3Dsearch","Honor Pad 10 8GB/256GB Wi-Fi Only Garansi Resmi","Rp4.388.000","","","","Louart Store"
"1775103092-5","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20honor","https://www.tokopedia.com/simaxx/huawei-p20-pro-hw-01k-8-128-gb-biru-mulus-normal-1734252217294423521?extParam=ivf%3Dfalse%26keyword%3Dhp+honor%26search_id%3D2026040204103534ED066DF378EF303D5I%26src%3Dsearch","Huawei P20 Pro HW 01K 8 / 128 gb biru mulus normal","Rp2.000.000","","","","babe baru_NEW"
"1775103097-6","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20honor","https://www.tokopedia.com/aran-store-barkas/honor-pad-10-wifi-only-8-256-gb-bekas-garansi-resmi-08099-1734332126883120821?extParam=ivf%3Dfalse%26keyword%3Dhp+honor%26search_id%3D2026040204103534ED066DF378EF303D5I%26src%3Dsearch","Honor Pad 10 Wifi Only 8/256 GB Bekas Garansi Resmi #08099","Rp4.701.000","","","","Aran Store Barkas"
"1775103102-7","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20honor","https://www.tokopedia.com/sevvancell/tablet-honor-pad-x9a-wifi-only-ram-8-128gb-1734434203540358431?extParam=ivf%3Dfalse%26keyword%3Dhp+honor%26search_id%3D2026040204103534ED066DF378EF303D5I%26src%3Dsearch","Tablet Honor Pad X9a WiFi Only Ram 8 128GB - A + KEYBOARD","Rp3.350.000","","","","Sevvancell"
"1775103107-8","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20honor","https://www.tokopedia.com/ziyadcellular/honor-pad-9-8-256gb-2089-space-gray-include-keyboard-5547-dan-pen-ori-0992-8-256-gb-1731511842027373898?extParam=ivf%3Dfalse%26keyword%3Dhp+honor%26search_id%3D2026040204103534ED066DF378EF303D5I%26src%3Dsearch","Honor Pad 9 8/256GB (2089 Space Gray) Include Keyboard (5547) dan Pen Ori (0992) - 8/256 GB","Rp4.075.000","4.3","3 rating • 3 ulasan","Terjual 4","SAXO CELL"
"1775103112-9","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20honor","https://www.tokopedia.com/ziyadcellular/honor-pad-9-8-256gb-like-new-1679-space-gray-1732157991436059978?extParam=ivf%3Dfalse%26keyword%3Dhp+honor%26search_id%3D2026040204103534ED066DF378EF303D5I%26src%3Dsearch","Honor Pad 9 8/256GB Like New (1679 Space Gray)","Rp3.650.000","5.0","1 rating • 1 ulasan","Terjual 2","SAXO CELL"
"1775103117-10","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20honor","https://www.tokopedia.com/chrisna-rahardja/huawei-p30-lite-blue-mulus-like-new-p30lite-biru-full-ori-baterai-90-1730745752914528252?extParam=ivf%3Dfalse%26keyword%3Dhp+honor%26search_id%3D2026040204103534ED066DF378EF303D5I%26src%3Dsearch","Huawei P30 Lite Blue Mulus Like New P30Lite Biru Full-Ori Baterai 90%+ - Hitam","Rp2.199.000","5.0","1 rating • 1 ulasan","Terjual 1","Chrisna Rahardja"
