web_scraper_order,web_scraper_start_url,product_link,product_name,price,rating,review_count,sold,seller
"1775099191-1","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei","https://www.tokopedia.com/storefwan8/huawei-pura-80-ultra-16-512gb-gold-resmi-terdaftar-beacukai-fullset-ori-mulus-like-new-nominus-1734320807599965577?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch","Huawei Pura 80 Ultra 16/512GB Gold Resmi Terdaftar Beacukai Fullset Ori Mulus Like New Nominus","Rp17.500.000","","","","FWANStore8"
"1775099196-2","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei","https://www.tokopedia.com/tokobekakas/huawei-nova-7-5g-8-256-gb?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch","Huawei Nova 7 5G 8/256 GB","Rp4.999.000","5.0","1 rating • 1 ulasan","Terjual 1","bekakas.co"
"1775099201-3","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei","https://www.tokopedia.com/tokoacoy/huawei-nova-5t-8-128gb-crush-blue?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch","Huawei Nova 5T 8/128GB Crush Blue","Rp2.500.000","4.5","2 rating • 0 ulasan","Terjual 3","Tokoacoy Official_NEW"
"1775099207-4","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei","https://www.tokopedia.com/bungzal/huawei-mate-x7-16-512-gb-second-resmi-mulus-1734650503144900333?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch","Huawei Mate X7 16/512 Gb Second Resmi Mulus","Rp21.799.000","","","","Bung zaL"
"1775099212-5","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei","https://www.tokopedia.com/gadgetkoleksi/huawei-nova-7i-ram-8gb-rom-128gb-all-operator-hp-gaming-aman-sentosa-1731915823734949257?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch","Huawei Nova 7i Ram 8GB rom 128GB ALL OPERATOR hp gaming aman sentosa","Rp1.510.000","","","1 barang berhasil terjual","Gadget koleksi"
"1775099217-6","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei","https://www.tokopedia.com/tokojo88/hp-bekas-second-huawei-y520-u22-ascend-hp-saja?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch","Hp Bekas - Second Huawei Y520-u22 (Ascend) - hp saja","Rp30.000","","","","tokojo88"
"1775099222-7","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei","https://www.tokopedia.com/zalstore25/huawei-pura-70-ultra-16-512gb-fullset-second-no-minus-1733327011411559886?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch","Huawei Pura 70 Ultra 16/512GB Fullset Second No Minus","Rp9.800.000","5.0","2 rating • 2 ulasan","Terjual 3","ZalStore25"
"1775099227-8","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei","https://www.tokopedia.com/gadgetstore98/huawei-p30-lite-second-original-resmi-indonesia?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch","huawei p30 lite second original resmi indonesia","Rp1.680.000","","","1 barang berhasil terjual","Storegadget12"
"1775099232-9","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei","https://www.tokopedia.com/balegadget/huawei-p30-pro-8-256gb-resmi-indonesia-1730776714117810016?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch","Huawei P30 Pro 8/256GB Resmi Indonesia","Rp3.700.000","","","1 barang berhasil terjual","BaleGadget"
"1775099237-10","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20huwawei","https://www.tokopedia.com/erddeum/huawei-ascend-y210-internal-512mb?extParam=ivf%3Dfalse%26keyword%3Dhp+huwawei%26search_id%3D202604020305574734BA6F3DE83D21C1UY%26src%3Dsearch","Huawei Ascend Y210 Internal 512MB","Rp89.000","","","","ERDDEUM"
