web_scraper_order,web_scraper_start_url,product_link,product_name,price,rating,review_count,sold,seller
"1774603353-1","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=%20iphone","https://www.tokopedia.com/studioponsel/apple-iphone-17-pro-1tb-512gb-256gb-a19-pro-chip-silver-cosmic-orange-deep-blue-resmi-1732792207878031154?extParam=ivf%3Dfalse%26keyword%3D+iphone%26search_id%3D202603270921384734BA6F3DE83D049M2U%26src%3Dsearch","Apple iPhone 17 Pro 1TB 512GB 256GB A19 Pro Chip Silver Cosmic Orange Deep Blue Resmi - 256GB, Deep Blue","Rp23.679.000","4.9","27 rating • 5 ulasan","Terjual 90+","Studio Ponsel Store"
"1774603359-2","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=%20iphone","https://www.tokopedia.com/electroniccityindonesia/apple-iphone-17-256-8-gb-1733886290499306930?extParam=ivf%3Dfalse%26keyword%3D+iphone%26search_id%3D202603270921384734BA6F3DE83D049M2U%26src%3Dsearch","Apple iPhone 17 256 / 8 GB - Lavender","Rp17.249.000","5.0","5 rating • 2 ulasan","Terjual 24","Electronic City Indonesia"
"1774603364-3","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=%20iphone","https://www.tokopedia.com/indokom/apple-iphone-13-128gb-super-retina-xdr-6-1-inch-kamera-dual-12mp-chipset-a15-bionic-ram-4gb-memori-internal-128gb-1731514100998965198?extParam=ivf%3Dfalse%26keyword%3D+iphone%26search_id%3D202603270921384734BA6F3DE83D049M2U%26src%3Dsearch","Apple iPhone 13 128GB - Super Retina XDR 6.1 Inch - Kamera Dual 12MP - Chipset A15 Bionic RAM 4GB Memori Internal 128GB - Midnight","Rp8.399.000","5.0","118 rating • 39 ulasan","Terjual 100+","Indokom Store"
"1774603370-4","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=%20iphone","https://www.tokopedia.com/putra-group/resmi-iphone-14-512gb-256gb-128gb-6-1-inch-garansi-indonesia-128gb-midnight-c9cf1?extParam=ivf%3Dfalse%26keyword%3D+iphone%26search_id%3D202603270921384734BA6F3DE83D049M2U%26src%3Dsearch","(RESMI) iPhone 14 512GB 256GB 128GB 6.1"" inch Garansi Indonesia - 128GB, Midnight","Rp8.850.000","5.0","562 rating • 204 ulasan","Terjual 1 rb+","Putra Group"
"1774603375-5","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=%20iphone","https://www.tokopedia.com/andalascellularb/apple-iphone-13-128gb-6-1-inch-garansi-resmi-midnight?extParam=ivf%3Dfalse%26keyword%3D+iphone%26search_id%3D202603270921384734BA6F3DE83D049M2U%26src%3Dsearch","APPLE IPHONE 13 128GB 6,1 INCH GARANSI RESMI - MIDNIGHT","Rp8.650.000","5.0","160 rating • 50 ulasan","Terjual 250+","Andalas Cellular_NEW"
"1774603380-6","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=%20iphone","https://www.tokopedia.com/ismile-indonesia/apple-iphone-air-garansi-resmi-256gb-512gb-1tb-1732738857796077451?extParam=ivf%3Dfalse%26keyword%3D+iphone%26search_id%3D202603270921384734BA6F3DE83D049M2U%26src%3Dsearch","Apple iPhone Air Garansi Resmi - 256GB 512GB 1TB - 256GB, Sky Blue","Rp17.378.000","5.0","11 rating • 4 ulasan","Terjual 30+","iSmile Indonesia"
"1774603386-7","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=%20iphone","https://www.tokopedia.com/ismile-indonesia/apple-iphone-16-pro-max-garansi-resmi-256gb-512gb-1tb-1731076702471947309?extParam=ivf%3Dfalse%26keyword%3D+iphone%26search_id%3D202603270921384734BA6F3DE83D049M2U%26src%3Dsearch","Apple iPhone 16 Pro Max Garansi Resmi - 256GB 512GB 1TB - Black, 256GB","Rp20.378.000","4.9","178 rating • 64 ulasan","Terjual 250+","iSmile Indonesia"
"1774603391-8","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=%20iphone","https://www.tokopedia.com/ismile-indonesia/apple-iphone-17-garansi-resmi-256gb-512gb-1732739047024658315?extParam=ivf%3Dfalse%26keyword%3D+iphone%26search_id%3D202603270921384734BA6F3DE83D049M2U%26src%3Dsearch","Apple iPhone 17 Garansi Resmi - 256GB 512GB - 256GB, Black","Rp17.078.000","5.0","20 rating • 9 ulasan","Terjual 60+","iSmile Indonesia"
"1774603397-9","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=%20iphone","https://www.tokopedia.com/ismile-indonesia/apple-iphone-15-garansi-resmi-128gb-256gb-512gb-black-128gb-627a7?extParam=ivf%3Dfalse%26keyword%3D+iphone%26search_id%3D202603270921384734BA6F3DE83D049M2U%26src%3Dsearch","Apple iPhone 15 Garansi Resmi - 128GB 256GB 512GB - Black, 128GB","Rp11.928.000","5.0","3701 rating • 1534 ulasan","Terjual 7 rb+","iSmile Indonesia"
"1774603402-10","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=%20iphone","https://www.tokopedia.com/majelis-store/apple-iphone-13-garansi-resmi-indonesia-1732672242978883501?extParam=ivf%3Dfalse%26keyword%3D+iphone%26search_id%3D202603270921384734BA6F3DE83D049M2U%26src%3Dsearch","Apple iPhone 13 14 15 128GB Garansi Resmi Indonesia - Habis","Rp9.999.999","5.0","42 rating • 19 ulasan","Terjual 100+","Majelis Store_NEW"
