web_scraper_order,web_scraper_start_url,product_link,product_name,price,rating,review_count,sold,seller
"1774642079-1","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20itel","https://www.tokopedia.com/sevvancell/handphone-oppo-a6-pro-5g-ram-8-256gb-1733535584737395999?extParam=ivf%3Dfalse%26keyword%3Dhp+itel%26search_id%3D202603272007229DFCD5E558DFA011C5IU%26src%3Dsearch","","","","","",""
"1774642085-2","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20itel","https://www.tokopedia.com/grosirciamis-1/hp-jadul-matot-kanib4l4n?extParam=ivf%3Dfalse%26keyword%3Dhp+itel%26search_id%3D202603272007229DFCD5E558DFA011C5IU%26src%3Dsearch","Hp jadul matot kanib4l4n","Rp50.000","5.0","407 rating • 61 ulasan","Terjual 1 rb+","Meyz Shop"
"1774642090-3","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20itel","https://www.tokopedia.com/berkahjayaabadimotor/hp-poco-m3-6-128gb-grs-resmi?extParam=ivf%3Dfalse%26keyword%3Dhp+itel%26search_id%3D202603272007229DFCD5E558DFA011C5IU%26src%3Dsearch","","","","","",""
"1774642095-4","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20itel","https://www.tokopedia.com/sinarmutiaraofficial/samsung-a24-8-128-gb-4g-hp-second-original-sinar-mutiara-cell-1733991764902642789?extParam=ivf%3Dfalse%26keyword%3Dhp+itel%26search_id%3D202603272007229DFCD5E558DFA011C5IU%26src%3Dsearch","","","","","",""
"1774642100-5","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20itel","https://www.tokopedia.com/arseniobramandika/oppo-a37-32gb?extParam=ivf%3Dfalse%26keyword%3Dhp+itel%26search_id%3D202603272007229DFCD5E558DFA011C5IU%26src%3Dsearch","","","","","",""
"1774642105-6","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20itel","https://www.tokopedia.com/sevvancell/handphone-xiaomi-mi-12-5g-ram-8-256gb-grade-e-a564a?extParam=ivf%3Dfalse%26keyword%3Dhp+itel%26search_id%3D202603272007229DFCD5E558DFA011C5IU%26src%3Dsearch","Handphone Xiaomi Mi 12 5G Ram 8/256GB - Grade E","Rp3.100.000","5.0","7 rating • 5 ulasan","Terjual 28","Sevvancell"
"1774642110-7","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20itel","https://www.tokopedia.com/didoalfarezi/hp-vivo-s1-pro-8-128gb-fullset-mulus-net-8-128-0404c?extParam=ivf%3Dfalse%26keyword%3Dhp+itel%26search_id%3D202603272007229DFCD5E558DFA011C5IU%26src%3Dsearch","hp Vivo S1 Pro 8/128GB fullset mulus net - 8/128","Rp1.450.000","4.7","7 rating • 2 ulasan","Terjual 21","pho pho cell"
"1774642115-8","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20itel","https://www.tokopedia.com/casingguru/gsm-hp-handphone-nokai-3301?extParam=ivf%3Dfalse%26keyword%3Dhp+itel%26search_id%3D202603272007229DFCD5E558DFA011C5IU%26src%3Dsearch","","","","","",""
"1774642120-9","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20itel","https://www.tokopedia.com/nj07babyshop/hp-second-xiaomi-1731918040875959532?extParam=ivf%3Dfalse%26keyword%3Dhp+itel%26search_id%3D202603272007229DFCD5E558DFA011C5IU%26src%3Dsearch","","","","","",""
"1774642125-10","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20itel","https://www.tokopedia.com/sevvancell/handphone-vivo-v50-lite-ram-8-256gb-1732063242596091167?extParam=ivf%3Dfalse%26keyword%3Dhp+itel%26search_id%3D202603272007229DFCD5E558DFA011C5IU%26src%3Dsearch","Handphone Vivo V50 Lite Ram 8 256GB - D","Rp2.330.000","5.0","28 rating • 2 ulasan","Terjual 90+","Sevvancell"
