web_scraper_order,web_scraper_start_url,product_link,product_name,price,rating,review_count,sold,seller
"1775101224-1","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/realme-authorized-surabaya/realme-p3-lite-4gb-8gb-128gb-6300mah-nfc-armorshell-protection-ponsel-dengan-ram-4gb-baterai-6300mah-fitur-nfc-dan-armorshell-protection-1733845950864655809?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D20260402033955577BCC914F9E5510CB6B%26src%3Dsearch","Realme P3 Lite 4GB+8GB 128GB 6300mAh NFC Armorshell Protection Ponsel dengan RAM 4GB Baterai 6300mAh Fitur NFC dan Armorshell Protection - CLOUD WHITE","Rp3.699.000","5.0","8 rating • 4 ulasan","Terjual 30+","realme authorized surabaya"
"1775101227-2","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/teknotrend/handphone-infinix-hot-60-pro-8gb-256gb-6-78-inch-amoled-144hz-mediatek-helio-g200-battery-5160-mah-garansi-resmi-1732019933145630658?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D20260402033955577BCC914F9E5510CB6B%26src%3Dsearch","Handphone INFINIX HOT 60 PRO 8GB 256GB 6.78 INCH AMOLED 144Hz MEDIATEK HELIO G200 BATTERY 5160 mAh GARANSI RESMI - Sleek Black","Rp2.501.997","4.9","31 rating • 19 ulasan","Terjual 100+","TeknoTrend ID"
"1775101231-3","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/vivo/new-launch-vivo-v50-lite-4g-8-256-borderless-immersive-screen-sony-imx882-6500mah-battery-90w-flashcharge-ai-erase-2-0-all-round-impact-resistance-1731181891992127411?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D20260402033955577BCC914F9E5510CB6B%26src%3Dsearch%26whid%3D20939913","[NEW LAUNCH] vivo V50 Lite 4G (8/256) Borderless Immersive Screen, Sony IMX882, 6500mAh Battery+90W Flashcharge, AI Erase 2.0, All-round Impact Resistance - All Gold","Rp3.699.000","4.9","214 rating • 145 ulasan","Terjual 500+","vivo Indonesia"
"1775101234-4","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/lenovolegion/lenovo-legion-tablet-qualcomm-snapdragon-8-gen-3-12gb-256gb-16gb-512gb-8-8-1733854024892188364?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D20260402033955577BCC914F9E5510CB6B%26src%3Dsearch","LENOVO LEGION TABLET QUALCOMM SNAPDRAGON 8 GEN 3 12GB 256GB / 16GB 512GB 8.8"" - BLACK, 16GB/512GB","Rp8.389.000","5.0","247 rating • 104 ulasan","Terjual 2 rb+","Lenovo Legion Official"
"1775101238-5","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/distri-laptop/lenovo-legion-tab-8-8-3-qualcomm-snapdragon-8-gen-3-mobile-platform-8-8-2-5k-165hz-1734331486639851021?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D20260402033955577BCC914F9E5510CB6B%26src%3Dsearch","Lenovo Legion Tab (8.8"", 3) Qualcomm Snapdragon 8 Gen 3 Mobile Platform 8.8"" 2.5K 165Hz - 12GB/256GB, Glacier White","Rp7.999.000","5.0","10 rating • 6 ulasan","Terjual 70+","Distri Laptop"
"1775101242-6","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/firetech1/lenovo-legion-go-8apu1-ryzen-z1-extreme-16gb-512gb-ssd-wqxga-ips-win11?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D20260402033955577BCC914F9E5510CB6B%26src%3Dsearch","LENOVO LEGION GO 8APU1 Ryzen Z1 Extreme 16GB 512GB SSD WQXGA IPS WIN11","Rp13.999.000","5.0","1 rating • 0 ulasan","Terjual 3","FIRE TECH LAPTOP"
"1775101245-7","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/hosanacomp/lenovo-k14-gen-3-21kl001lid-tkdn-ultra-7-155u-16gb-1tb-ssd-14-wuxga-win11-1733221792968049708?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D20260402033955577BCC914F9E5510CB6B%26src%3Dsearch","LENOVO K14 GEN 3 21KL001LID TKDN - ULTRA 7 155U 16GB 1TB SSD 14"" WUXGA WIN11 - 16GB 1TB SSD","Rp21.999.000","5.0","6 rating • 3 ulasan","Terjual 16","HOSANA COMPUTER"
"1775101249-8","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/ttttttti/hp-live-pintar-y17-ram-8-256gb-ram-y67-6-128gb-dengan-layar-5000mah-dan-garansi-2-tahun-bluetooth-camera-kartu-handphone-1732411458210399984?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D20260402033955577BCC914F9E5510CB6B%26src%3Dsearch","HP LIVE Pintar Y17 RAM 8/256GB, RAM Y67 6/128GB dengan Layar 5000MAH dan Garansi 2 Tahun - Bluetooth, Camera - Kartu - Handphone - Y17 8/256G-blue","Rp899.000","4.2","40 rating • 38 ulasan","Terjual 250+","Ttttttti"
"1775101252-9","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/vivo/vivo-v40-lite-4g-8-256-ai-aura-light-potrait-ai-erase-80w-flashcharge-32mp-front-camera-1730954098033788851?extParam=ivf%3Dtrue%26keyword%3Dhandphone+lenovo%26search_id%3D20260402033955577BCC914F9E5510CB6B%26src%3Dsearch%26whid%3D20939913","vivo V40 Lite 4G (8/256) - AI Aura Light Potrait, AI Erase, 80W FlashCharge, 32MP Front Camera - Titanium Silver (Non Color Changing)","Rp2.899.000","4.9","807 rating • 412 ulasan","Terjual 3 rb+","vivo Indonesia"
"1775101256-10","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/alphadatanetworkindo/lenovo-ideapad-slim-3-intel-n5030-8gb-512gb-14-hd-windows-ohs-19-resmi-1731123111877313660?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D20260402033955577BCC914F9E5510CB6B%26src%3Dsearch","LENOVO Ideapad SLIM 3 Intel n5030 8GB 512GB 14""HD WINDOWS/OHS 19 Resmi - SILVER, PROMO 4/128GB","Rp3.999.000","5.0","3 rating • 3 ulasan","Terjual 28","ALPHA DATA NETWORK INDONESIA"
"1775101259-11","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/agres-id-serang/lenovo-loq-15-ryzen-7-7435hs-rtx4060-8gb-12gb-512gb-w11-ohs-m365b-15-6fhd-144hz-100srgb-blit-2y-prem-2adp-garansi-resmi-1732044533080294565?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D20260402033955577BCC914F9E5510CB6B%26src%3Dsearch","LENOVO LOQ 15 RYZEN 7 7435HS RTX4060 8GB/ 12GB 512GB W11+OHS+M365B 15.6FHD 144HZ 100SRGB BLIT 2Y PREM+2ADP GARANSI RESMI - UNIT ONLY","Rp17.135.000","","","1 barang berhasil terjual","Agres ID Serang"
"1775101263-12","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/lenovolegion/lenovo-legion-tablet-qualcomm-snapdragon-8-gen-3-ram-16gb-storage-512gb-8-8-1733521524742588108?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D20260402033955577BCC914F9E5510CB6B%26src%3Dsearch","LENOVO LEGION TABLET QUALCOMM SNAPDRAGON 8 GEN 3 RAM 16GB STORAGE 512GB 8.8"" - BLACK","Rp8.399.000","4.6","53 rating • 20 ulasan","Terjual 250+","Lenovo Legion Official"
"1775101266-13","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/lenovolegion/motorola-edge-60-pro-5g-12gb-256gb-19-motoai-dimensity-8350extreme-6-7-4d-curved-display-mil810h-50mp-lyt700c-50mp-uw-macro-50xzoom-50mpselfie-6000mah-dolby-1732279072406800076?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D20260402033955577BCC914F9E5510CB6B%26src%3Dsearch","MOTOROLA EDGE 60 PRO 5G 12GB 256GB - 19 MotoAI - Dimensity 8350Extreme - 6.7""4D Curved Display - MIL810H - 50MP LYT700C, 50MP UW/Macro + 50xZoom - 50MPSelfie - 6000mAh - Dolby - DAZZLING BLUE","Rp6.599.000","4.9","153 rating • 72 ulasan","Terjual 250+","Lenovo Legion Official"
"1775101270-14","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/bambooweavedesign629/100-brand-new-5g-smartphone-vlv0-v27-pro-ponsel-murah-7-3-inci-hd-layar-baru-android-14-0-ram-16gb-rom-1tb-kamera-72mp-108mp-baterai-6800mah-dual-sim-wifi-1734454094932969294?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D20260402033955577BCC914F9E5510CB6B%26src%3Dsearch","[100% brand new] 5G Smartphone VlV0 V27 Pro Ponsel Murah 7.3 Inci HD Layar Baru Android 14.0 RAM 16GB ROM 1TB Kamera 72MP+108MP Baterai 6800mAh Dual Sim/Wifi - hitam, 128GB","Rp1.357.079","","","3 barang berhasil terjual","BambooWeaveDesign629"
"1775101274-15","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/collinsofficial/lenovo-legion-9i-16-ultra-9-275hx-rtx5090-64gb-2tb-18-0wquxga-240hz-440hz-100dcip3-pkrgb-w11-ohs-m365b-1731203913529066695?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D20260402033955577BCC914F9E5510CB6B%26src%3Dsearch%26whid%3D6541860","LENOVO LEGION 9I 16 ULTRA 9 275HX RTX5090 64GB 2TB 18.0WQUXGA 240HZ/440HZ 100DCIP3 PKRGB W11 OHS+M365B","Rp112.990.000","5.0","39 rating • 7 ulasan","Terjual 100+","Collins Official"
