web_scraper_order,web_scraper_start_url,product_link,product_name,price,rating,review_count,sold,seller
"1775102399-1","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/nvr-cell/samsung-j5prime-ram-2-rom-32gb-second?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D2026040203593011B9842E0A271F29982M%26src%3Dsearch","Samsung J5prime Ram 2 Rom 32Gb ( SECOND )","Rp400.000","4.8","17 rating • 8 ulasan","Terjual 26","NVR Cell"
"1775102402-2","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/sevvancell/handphone-infinix-zero-30-5g-ram-12-256gb-c-a75d3?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D2026040203593011B9842E0A271F29982M%26src%3Dsearch","Handphone Infinix Zero 30 5G Ram 12 256GB - C","Rp2.640.000","5.0","2 rating • 0 ulasan","Terjual 29","Sevvancell"
"1775102406-3","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/sevvancell/handphone-samsung-galaxy-a55-5g-ram-12-256gb-batangan-tanpa-charger-b-4cac8?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D2026040203593011B9842E0A271F29982M%26src%3Dsearch","Handphone Samsung Galaxy A55 5G Ram 12 256GB (Batangan, Tanpa Charger) - B","Rp4.120.000","4.7","15 rating • 2 ulasan","Terjual 50+","Sevvancell"
"1775102409-4","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/archive-a-z234-164613885/handphone-poco-x7-pro-12-512-fullset-like-new-1731732081174545891?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D2026040203593011B9842E0A271F29982M%26src%3Dsearch","Handphone Poco X7 Pro 12/512 Fullset like new","Rp4.300.000","4.8","5 rating • 3 ulasan","Terjual 28","Xitechofficial"
"1775102413-5","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/mahdum14/lenovo-legion-y700-gaming-tablet-8-8-inch-1732856615030851213?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D2026040203593011B9842E0A271F29982M%26src%3Dsearch","Lenovo LEGION Y700 Gaming Tablet 8.8 inch Snapdragon 8+ gen 1","Rp5.490.000","","","","Mahdum Cell"
"1775102416-6","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/tokolaptopoppa/lenovo-chromebook-100e-gen-2-1731184769481540635?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D2026040203593011B9842E0A271F29982M%26src%3Dsearch","","","","","",""
"1775102420-7","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/ponsel-dunia/cash-credit-hp-poco-x7-pro-ram-12-512-handphone-second-like-new-1732172729716278663?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D2026040203593011B9842E0A271F29982M%26src%3Dsearch","CASH & CREDIT HP POCO X7 PRO RAM 12/512 HANDPHONE SECOND LIKE NEW","Rp3.850.000","","","30+ barang berhasil terjual","Ponsel Dunia"
"1775102424-8","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/amrstoree/handphone-scon-redmi-not-13?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D2026040203593011B9842E0A271F29982M%26src%3Dsearch","handphone scon redmi not 13","Rp1.450.000","5.0","1 rating • 0 ulasan","Terjual 16","amrstroee"
"1775102427-9","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/tablo-sparepart/mesin-lenovo-phab-plus-garansi-1731994659969009553?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D2026040203593011B9842E0A271F29982M%26src%3Dsearch","mesin lenovo phab plus garansi","Rp75.000","","","","Tablo Sparepart"
"1775102431-10","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/sevvancell/handphone-samsung-m53-5g-ram-8-256gb-batangan-no-charger-c-e18fa?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D2026040203593011B9842E0A271F29982M%26src%3Dsearch","Handphone Samsung M53 5G Ram 8 256GB (Batangan, No Charger) - C","Rp2.050.000","5.0","2 rating • 0 ulasan","Terjual 7","Sevvancell"
