web_scraper_order,web_scraper_start_url,product_link,product_name,price,rating,review_count,sold,seller
"1774636041-1","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20oppo","https://www.tokopedia.com/zellcenter/a3x-8-128-kondisi-fullset-like-new-1732353533881976051?extParam=ivf%3Dfalse%26keyword%3Dhp+oppo%26search_id%3D2026032718264340008B9A5380FC3BAE3Q%26src%3Dsearch","A3X 8/128 KONDISI FULLSET LIKE NEW","Rp1.000.000","","","","ZELLCENTER"
"1774636046-2","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20oppo","https://www.tokopedia.com/hafidz-cell98/hp-seken-oppo-a9-2020-infinix-tab-1731135641857722162?extParam=ivf%3Dfalse%26keyword%3Dhp+oppo%26search_id%3D2026032718264340008B9A5380FC3BAE3Q%26src%3Dsearch","hp seken oppo a9 2020, Infinix Tab","Rp255.000","","","1 barang berhasil terjual","hafidz cell98"
"1774636051-3","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20oppo","https://www.tokopedia.com/toserba-rr/oppo-a52-second?extParam=ivf%3Dfalse%26keyword%3Dhp+oppo%26search_id%3D2026032718264340008B9A5380FC3BAE3Q%26src%3Dsearch","oppo a52 second","Rp3.350.000","5.0","1 rating • 0 ulasan","Terjual 6","Toserba RR_NEW"
"1774636056-4","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20oppo","https://www.tokopedia.com/tokoacoy/oppo-f7-fullset-ok-likenew-perak?extParam=ivf%3Dfalse%26keyword%3Dhp+oppo%26search_id%3D2026032718264340008B9A5380FC3BAE3Q%26src%3Dsearch","Oppo F7 Fullset OK Likenew - Perak","Rp850.000","4.5","26 rating • 16 ulasan","Terjual 100+","Tokoacoy Official_NEW"
"1774636061-5","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20oppo","https://www.tokopedia.com/tokoacoy/oppo-a37-fullset-ok?extParam=ivf%3Dfalse%26keyword%3Dhp+oppo%26search_id%3D2026032718264340008B9A5380FC3BAE3Q%26src%3Dsearch","Oppo A37 Fullset OK","Rp500.000","4.2","46 rating • 24 ulasan","Terjual 100+","Tokoacoy Official_NEW"
"1774636066-6","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20oppo","https://www.tokopedia.com/angga-bst/oppo-r1-minus-batre-low-trus-lainya-aman-mesin-aman-masih-segel-utuh-batre-jelek-bodi-mulus-1731563337441052513?extParam=ivf%3Dfalse%26keyword%3Dhp+oppo%26search_id%3D2026032718264340008B9A5380FC3BAE3Q%26src%3Dsearch","oppo r1 Minus Batre low Trus Lainya aman Mesin aman masih segel utuh Batre Jelek bodi mulus","Rp40.000","","","","Angga bst"
"1774636071-7","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20oppo","https://www.tokopedia.com/gg-handphone/oppo-reno-5f?extParam=ivf%3Dfalse%26keyword%3Dhp+oppo%26search_id%3D2026032718264340008B9A5380FC3BAE3Q%26src%3Dsearch","oppo reno 5f","Rp2.825.000","5.0","6 rating • 5 ulasan","Terjual 6","riyo hp"
"1774636076-8","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20oppo","https://www.tokopedia.com/gg-handphone/oppo-reno-5?extParam=ivf%3Dfalse%26keyword%3Dhp+oppo%26search_id%3D2026032718264340008B9A5380FC3BAE3Q%26src%3Dsearch","oppo reno 5","Rp3.377.500","5.0","1 rating • 0 ulasan","Terjual 3","riyo hp"
"1774636081-9","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20oppo","https://www.tokopedia.com/tokoacoy/oppo-a71-fullset-mulus-ok?extParam=ivf%3Dfalse%26keyword%3Dhp+oppo%26search_id%3D2026032718264340008B9A5380FC3BAE3Q%26src%3Dsearch","Oppo A71 Fullset Mulus OK","Rp500.000","3.6","29 rating • 18 ulasan","Terjual 90+","Tokoacoy Official_NEW"
"1774636086-10","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20oppo","https://www.tokopedia.com/nvr-cell/oppo-a53-ram-4-rom-64gb-second?extParam=ivf%3Dfalse%26keyword%3Dhp+oppo%26search_id%3D2026032718264340008B9A5380FC3BAE3Q%26src%3Dsearch","Oppo A53 Ram 4 Rom 64Gb ( SECOND )","Rp1.000.000","4.6","9 rating • 8 ulasan","Terjual 16","NVR Cell"
