web_scraper_order,web_scraper_start_url,product_link,product_name,price,rating,review_count,sold,seller
"1774593451-1","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20poco","https://www.tokopedia.com/4nginmalam/poco-f7-smartphone-terbaru-dengan-kualitas-terbaik-1733504494973781847-1734681140544112471?extParam=ivf%3Dfalse%26keyword%3Dhp+poco%26search_id%3D2026032706365563923F49E52413173HPS%26src%3Dsearch","POCO F7 - Smartphone Terbaru dengan Kualitas Terbaik - F7","Rp6.999.000","5.0","115 rating • 4 ulasan","Terjual 250+","4nginmalam"
"1774593456-2","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20poco","https://www.tokopedia.com/knpicellular/poco-c71-4-128-gb-garansi-resmi-1733270930172642443?extParam=ivf%3Dfalse%26keyword%3Dhp+poco%26search_id%3D2026032706365563923F49E52413173HPS%26src%3Dsearch","Poco C71 4/128 GB Garansi Resmi - Ramdom, 128","Rp1.550.000","","","1 barang berhasil terjual","KNPI Cellular"
"1774593463-3","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20poco","https://www.tokopedia.com/gadget-pin-store/xiaomi-poco-c75-6-128gb-8-256gb-baru-garansi-resmi-6-128gb-a0901?extParam=ivf%3Dfalse%26keyword%3Dhp+poco%26search_id%3D2026032706365563923F49E52413173HPS%26src%3Dsearch","Xiaomi Poco C75 6/128GB & 8/256GB Baru Garansi Resmi - 6/128GB","Rp1.810.000","5.0","1 rating • 0 ulasan","Terjual 2","Gadget Pin Store"
"1774593468-4","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20poco","https://www.tokopedia.com/terafone/xiaomi-poco-c65-ram-8-256-gb-garansi-resmi-termurah-hitam-1347a?extParam=ivf%3Dfalse%26keyword%3Dhp+poco%26search_id%3D2026032706365563923F49E52413173HPS%26src%3Dsearch","XIAOMI POCO C65 RAM 8/256 GB GARANSI RESMI TERMURAH - Hitam","Rp1.725.000","","","1 barang berhasil terjual","TERAFONE"
"1774593473-5","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20poco","https://www.tokopedia.com/mutiaraflasher/xiaomi-poco-c75-ram-6-128gb-ram-8-256gb-1731005789961750225?extParam=ivf%3Dfalse%26keyword%3Dhp+poco%26search_id%3D2026032706365563923F49E52413173HPS%26src%3Dsearch","Xiaomi Poco C75 Ram 6/128GB | Ram 8/256GB - 6/128GB","Rp1.399.000","5.0","3 rating • 1 ulasan","Terjual 22","Tiga Mutiara Store"
"1774593478-6","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20poco","https://www.tokopedia.com/kebahauan-store/h-p-xiaomi-poco-c75-8-256gb-nfc-ori-resmi-layar-6-88-50mp-al-refresh-rate-120-hz-1731463141288085237?extParam=ivf%3Dfalse%26keyword%3Dhp+poco%26search_id%3D2026032706365563923F49E52413173HPS%26src%3Dsearch","H+p Xiaomi Poco C75 8/256GB NFC Ori Resmi | Layar 6,88"" | 50MP Al| Refresh Rate 120 Hz | - silver","Rp1.196.000","","","","KEBAHAUAN STORE"
"1774593483-7","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20poco","https://www.tokopedia.com/agres-id-serang/xiaomi-poco-m5-8gb-256gb-black-garansi-resmi?extParam=ivf%3Dfalse%26keyword%3Dhp+poco%26search_id%3D2026032706365563923F49E52413173HPS%26src%3Dsearch","Xiaomi Poco M5 8Gb 256Gb Black Garansi Resmi","Rp2.379.000","","","","Agres ID Serang"
"1774593488-8","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20poco","https://www.tokopedia.com/sar-la/poco-c71-4-128-gb-garansi-resmi-1733525012180600784?extParam=ivf%3Dfalse%26keyword%3Dhp+poco%26search_id%3D2026032706365563923F49E52413173HPS%26src%3Dsearch","Poco C71 4/128 GB Garansi Resmi - RANDOM, 4/128","Rp1.600.000","5.0","16 rating • 3 ulasan","Terjual 50+","TOKO NEGOO_NEW"
"1774593494-9","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20poco","https://www.tokopedia.com/mihran-cell/poco-c71-4-128-kondisi-baru-1734043536463791568?extParam=ivf%3Dfalse%26keyword%3Dhp+poco%26search_id%3D2026032706365563923F49E52413173HPS%26src%3Dsearch","Poco C71 4/128 kondisi baru","Rp1.475.000","","","5 barang berhasil terjual","Mihran cell_NEW"
"1774593499-10","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20poco","https://www.tokopedia.com/farcell14/poco-m6-8-256-garansi-resmi-xiaomi-15-bulan-no-repack-silver-fa0ee?extParam=ivf%3Dfalse%26keyword%3Dhp+poco%26search_id%3D2026032706365563923F49E52413173HPS%26src%3Dsearch","POCO M6 8/256 GARANSI RESMI XIAOMI 15 BULAN NO REPACK - SILVER","Rp1.999.000","5.0","8 rating • 2 ulasan","Terjual 18","Togahbangunkarya"
