web_scraper_order,web_scraper_start_url,product_link,product_name,price,rating,review_count,sold,seller
"1774634952-1","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20poco","https://www.tokopedia.com/dison-cell/xiaomi-poco-c65-8-256gb-second-resmi-original-8-256-3a528?extParam=ivf%3Dfalse%26keyword%3Dhp+poco%26search_id%3D20260327180833F9B902FC3289AF32EYSA%26src%3Dsearch","Xiaomi poco c65 8/256gb second resmi original - 8/256","Rp1.450.000","5.0","4 rating • 3 ulasan","Terjual 11","DISON CELL"
"1774634957-2","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20poco","https://www.tokopedia.com/elserba/poco-x6-5g-12-256gb-white?extParam=ivf%3Dfalse%26keyword%3Dhp+poco%26search_id%3D20260327180833F9B902FC3289AF32EYSA%26src%3Dsearch","POCO X6 5G 12/256GB White","Rp3.350.000","5.0","1 rating • 0 ulasan","Terjual 1","Toko EL Serba"
"1774634962-3","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20poco","https://www.tokopedia.com/roxy-king/xiaomi-poco-f3-ram-8-256-gb?extParam=ivf%3Dfalse%26keyword%3Dhp+poco%26search_id%3D20260327180833F9B902FC3289AF32EYSA%26src%3Dsearch","xiaomi poco f3 ram 8/256 gb","Rp3.250.000","","","1 barang berhasil terjual","Roxy King"
"1774634967-4","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20poco","https://www.tokopedia.com/ge2gadget/xiaomi-poco-x3-nfc-8-128gb-garansi-resmi?extParam=ivf%3Dfalse%26keyword%3Dhp+poco%26search_id%3D20260327180833F9B902FC3289AF32EYSA%26src%3Dsearch","xiaomi poco x3 nfc 8/128gb garansi resmi","Rp3.999.000","5.0","4 rating • 3 ulasan","Terjual 9","Ge2gadget"
"1774634972-5","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20poco","https://www.tokopedia.com/kaivanarka/xiaomi-poco-x7-second-8-256-gb-1731835687900316741?extParam=ivf%3Dfalse%26keyword%3Dhp+poco%26search_id%3D20260327180833F9B902FC3289AF32EYSA%26src%3Dsearch","Xiaomi Poco X7 (second) 8/256 GB","Rp3.110.000","","","1 barang berhasil terjual","KaivanArka"
"1774634977-6","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20poco","https://www.tokopedia.com/didoalfarezi/xiaomi-poco-x3-gt-8-256gb-fullset-mulus?extParam=ivf%3Dfalse%26keyword%3Dhp+poco%26search_id%3D20260327180833F9B902FC3289AF32EYSA%26src%3Dsearch","Xiaomi Poco X3 GT 8/256GB fullset mulus","Rp2.350.000","5.0","7 rating • 3 ulasan","Terjual 19","pho pho cell"
"1774634982-7","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20poco","https://www.tokopedia.com/kenaristore88/handphone-poco-f4-5g-ram-8-256gb-cek-deskripsi-minus-13-1733900367826748647?extParam=ivf%3Dfalse%26keyword%3Dhp+poco%26search_id%3D20260327180833F9B902FC3289AF32EYSA%26src%3Dsearch","Handphone Poco F4 5G Ram 8/256GB (cek deskripsi minus 13)","Rp2.200.000","","","1 barang berhasil terjual","KENARISTORE88"
"1774634988-8","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20poco","https://www.tokopedia.com/sheza-phone/poco-m5-4-64-second?extParam=ivf%3Dfalse%26keyword%3Dhp+poco%26search_id%3D20260327180833F9B902FC3289AF32EYSA%26src%3Dsearch","poco M5 4/64 second","Rp1.475.000","","","","Sheza Phone store"
"1774634993-9","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20poco","https://www.tokopedia.com/samsungsbywtc/xiaomi-poco-m5s-6-128-gb-garansi-resmi-xiaomi-indonesia?extParam=ivf%3Dfalse%26keyword%3Dhp+poco%26search_id%3D20260327180833F9B902FC3289AF32EYSA%26src%3Dsearch","Xiaomi Poco M5s 6/128 GB - Garansi Resmi Xiaomi Indonesia","Rp2.149.000","5.0","1 rating • 0 ulasan","Terjual 1","Dreamy Legi"
"1774634998-10","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20poco","https://www.tokopedia.com/officialts/xiaomi-poco-f5-8-256-gb-garansi-resmi-fullset?extParam=ivf%3Dfalse%26keyword%3Dhp+poco%26search_id%3D20260327180833F9B902FC3289AF32EYSA%26src%3Dsearch","Xiaomi Poco F5 8/256 GB Garansi Resmi Fullset","Rp3.599.000","5.0","2 rating • 2 ulasan","Terjual 4","Toko Sedulur Official"
