web_scraper_order,web_scraper_start_url,product_link,product_name,price,rating,review_count,sold,seller
"1774598004-1","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20realme","https://www.tokopedia.com/mahkota-accessories/realme-c71-4gb-128gb-6gb-128gb-8gb-128gb-garansi-resmi-smartphone-ponsel-1734419127616046284?extParam=ivf%3Dfalse%26keyword%3Dhp+realme%26search_id%3D202603270752438D3BBA7425E7C92180QW%26src%3Dsearch","REALME C71 4GB/128GB 6GB/128GB 8GB/128GB GARANSI RESMI - SMARTPHONE/PONSEL - WHITE SWAN, 4GB/128GB","Rp1.796.000","5.0","34 rating • 31 ulasan","Terjual 100+","Mahkota Accessories"
"1774598009-2","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20realme","https://www.tokopedia.com/paradeid/tp-realme-14t-5g-8gb-128gb-garansi-resmi-up-to-18gb-extended-ram-dimensity-6300-5g-6000mah-battery-120hz-amoled-display-50mp-ai-kamera-1732990779002160149?extParam=ivf%3Dfalse%26keyword%3Dhp+realme%26search_id%3D202603270752438D3BBA7425E7C92180QW%26src%3Dsearch","[ TP ] REALME 14T 5G ( 8GB/128GB ) GARANSI RESMI | UP TO 18GB EXTENDED RAM | DIMENSITY 6300 5G | 6000MAH BATTERY | 120HZ AMOLED DISPLAY | 50MP AI KAMERA - NON BUNDLE, LIGHTING PURPLE","Rp2.899.000","","","1 barang berhasil terjual","Parade.ID"
"1774598014-3","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20realme","https://www.tokopedia.com/ini-toko-budi-shop/realme-note-70-4-64-4-128-garansi-resmi-1733132616961656295?extParam=ivf%3Dfalse%26keyword%3Dhp+realme%26search_id%3D202603270752438D3BBA7425E7C92180QW%26src%3Dsearch","REALME Note 70 ( 4/64 4/128 ) GARANSI RESMI - 4/64 Black, No Bonus","Rp1.429.000","4.9","1551 rating • 494 ulasan","Terjual 5 rb+","Ini Toko Budi Shop"
"1774598019-4","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20realme","https://www.tokopedia.com/realmeofficialpartner/realme-c85-6gb-128gb-nfc-ip69-pro-tahan-air-7000mah-battery-45w-fast-charge-50mp-ai-camera-layar-terang-maksimal-1200nits-military-grade-shock-resistance-1733505266437686296?extParam=ivf%3Dfalse%26keyword%3Dhp+realme%26search_id%3D202603270752438D3BBA7425E7C92180QW%26src%3Dsearch","realme C85 6GB+128GB NFC | IP69 Pro Tahan Air | 7000mAh Battery & 45W Fast Charge | 50MP AI Camera |  Layar Terang Maksimal 1200nits | Military-Grade Shock Resistance - Swan Black","Rp2.599.000","5.0","4 rating • 1 ulasan","Terjual 6","realmeofficialpartner"
"1774598024-5","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20realme","https://www.tokopedia.com/realmeofficialpartner/realme-c71-8gb-128gb-6300mah-massive-battery-45w-fast-charge-120hz-eye-comfort-display-ai-experience-nfc-1734390600837530648?extParam=ivf%3Dfalse%26keyword%3Dhp+realme%26search_id%3D202603270752438D3BBA7425E7C92180QW%26src%3Dsearch","realme C71 8GB+128GB* | 6300mAh Massive Battery & 45W Fast Charge | 120Hz Eye Comfort Display | AI Experience | NFC - Forest Owl","Rp2.399.000","4.9","27 rating • 11 ulasan","Terjual 100+","realmeofficialpartner"
"1774598029-6","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20realme","https://www.tokopedia.com/realmeofficialpartner/realme-c71-4gb-128gb-6300mah-massive-battery-45w-fast-charge-120hz-eye-comfort-display-ai-experience-nfc-1731656509551772696-1734838436261823512?extParam=ivf%3Dfalse%26keyword%3Dhp+realme%26search_id%3D202603270752438D3BBA7425E7C92180QW%26src%3Dsearch","realme C71 4GB+128GB* | 6300mAh Massive Battery & 45W Fast Charge | 120Hz Eye Comfort Display | AI Experience | NFC - Forest Owl","Rp1.999.000","4.7","14 rating • 8 ulasan","Terjual 30+","realmeofficialpartner"
"1774598034-7","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20realme","https://www.tokopedia.com/realme-authorized-store-medan/realme-note-70-4gb-8gb-64-128gb-baterai-6300mah-tahan-2-hari-desain-ultra-tipis-7-94mm-tahan-guncangan-militer-ip54-kamera-ai-jernih-garansi-12-bulan-1732361123921364393?extParam=ivf%3Dtrue%26keyword%3Dhp+realme%26search_id%3D202603270752438D3BBA7425E7C92180QW%26src%3Dsearch","realme Note 70 4GB+8GB* 64/128GB Baterai 6300mAh Tahan 2 Hari Desain Ultra Tipis 7.94mm Tahan Guncangan Militer IP54 Kamera AI Jernih Garansi 12 Bulan - Beach Gold, 128","Rp1.599.000","5.0","109 rating • 70 ulasan","Terjual 500+","realme Authorized Store Medan"
"1774598039-8","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20realme","https://www.tokopedia.com/realmeofficialpartner/realme-c75-8gb-16gb-256gb-nfc-ip66-68-69-dust-water-resistance-military-grade-shock-resistance-6000mah-massive-battery-1733250181200577560?extParam=ivf%3Dfalse%26keyword%3Dhp+realme%26search_id%3D202603270752438D3BBA7425E7C92180QW%26src%3Dsearch","realme C75 8GB+16GB*|256GB | NFC| IP66/68/69 Dust & Water Resistance| Military Grade Shock Resistance | 6000mAh Massive Battery - Lightning Gold","Rp2.799.000","4.9","95 rating • 41 ulasan","Terjual 100+","realmeofficialpartner"
"1774598044-9","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20realme","https://www.tokopedia.com/ini-toko-budi-shop/realme-c71-4-128-6-128-8-128-garansi-resmi-realme-1734129716839220711?extParam=ivf%3Dtrue%26keyword%3Dhp+realme%26search_id%3D202603270752438D3BBA7425E7C92180QW%26src%3Dsearch","Realme C71 ( 4/128 6/128 8/128 ) Garansi Resmi Realme - C71 4/128 Forest, No.Bonus","Rp1.769.000","4.9","928 rating • 289 ulasan","Terjual 4 rb+","Ini Toko Budi Shop"
"1774598049-10","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20realme","https://www.tokopedia.com/realmeofficialpartner/realme-c71-6gb-128gb-6300mah-massive-battery-45w-fast-charge-120hz-eye-comfort-display-ai-experience-nfc-1734390632516256792?extParam=ivf%3Dfalse%26keyword%3Dhp+realme%26search_id%3D202603270752438D3BBA7425E7C92180QW%26src%3Dsearch","realme C71 6GB+128GB* | 6300mAh Massive Battery & 45W Fast Charge | 120Hz Eye Comfort Display | AI Experience | NFC - Forest Owl","Rp2.099.000","5.0","14 rating • 6 ulasan","Terjual 30+","realmeofficialpartner"
