web_scraper_order,web_scraper_start_url,product_link,product_name,price,rating,review_count,sold,seller
"1774638520-1","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20realme","https://www.tokopedia.com/tiofone/second-realme-8-silver?extParam=ivf%3Dfalse%26keyword%3Dhp+realme%26search_id%3D2026032719080437BC2F75BF1BCF1F6E3D%26src%3Dsearch","SECOND REALME 8 SILVER","Rp2.500.000","5.0","1 rating • 1 ulasan","Terjual 1","NDKS SHOP"
"1774638525-2","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20realme","https://www.tokopedia.com/dphone/realme-c15-4-64-fullset-resmi?extParam=ivf%3Dfalse%26keyword%3Dhp+realme%26search_id%3D2026032719080437BC2F75BF1BCF1F6E3D%26src%3Dsearch","realme c15 4/64 fullset resmi","Rp1.405.000","5.0","4 rating • 1 ulasan","Terjual 22","DBrendi"
"1774638530-3","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20realme","https://www.tokopedia.com/damsberkahjaya/realme-c3-ram-3-32-kondisi-seken?extParam=ivf%3Dfalse%26keyword%3Dhp+realme%26search_id%3D2026032719080437BC2F75BF1BCF1F6E3D%26src%3Dsearch","REALME C3 RAM 3/32 KONDISI SEKEN","Rp1.200.000","5.0","1 rating • 0 ulasan","Terjual 1","DAMs berkah jaya"
"1774638535-4","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20realme","https://www.tokopedia.com/supersupercell/realme-c25s-4-128-second-fullset?extParam=ivf%3Dfalse%26keyword%3Dhp+realme%26search_id%3D2026032719080437BC2F75BF1BCF1F6E3D%26src%3Dsearch","REALME C25s 4/128 SECOND FULLSET","Rp1.200.000","5.0","13 rating • 3 ulasan","Terjual 30+","supersupercell"
"1774638540-5","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20realme","https://www.tokopedia.com/mjayacellacun99/realme-8?extParam=ivf%3Dfalse%26keyword%3Dhp+realme%26search_id%3D2026032719080437BC2F75BF1BCF1F6E3D%26src%3Dsearch","realme 8","Rp2.000.000","","","","M jaya cell"
"1774638545-6","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20realme","https://www.tokopedia.com/didoalfarezi/realme-c25s-4-128gb-fullset-mulus?extParam=ivf%3Dfalse%26keyword%3Dhp+realme%26search_id%3D2026032719080437BC2F75BF1BCF1F6E3D%26src%3Dsearch","realme C25s 4/128GB fullset mulus","Rp1.200.000","3.7","3 rating • 1 ulasan","Terjual 6","pho pho cell"
"1774638550-7","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20realme","https://www.tokopedia.com/pc-shop/realme-7i-ram-8-128-second-1731004443477640780?extParam=ivf%3Dfalse%26keyword%3Dhp+realme%26search_id%3D2026032719080437BC2F75BF1BCF1F6E3D%26src%3Dsearch","Realme 7i Ram 8/128 second","Rp1.400.000","5.0","1 rating • 1 ulasan","Terjual 2","PCshop.idn"
"1774638555-8","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20realme","https://www.tokopedia.com/elzain-cellular/realme-c3-3-32gb-garansi-resmi-realme-indonesia-original-produk-merah?extParam=ivf%3Dfalse%26keyword%3Dhp+realme%26search_id%3D2026032719080437BC2F75BF1BCF1F6E3D%26src%3Dsearch","REALME C3 3/32GB GARANSI RESMI REALME INDONESIA (ORIGINAL PRODUK) - Merah","Rp1.549.000","5.0","1 rating • 1 ulasan","Terjual 3","EL'ZAIN CELLULAR"
"1774638560-9","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20realme","https://www.tokopedia.com/agus-rouf/realme-3-pro-second-4-64?extParam=ivf%3Dfalse%26keyword%3Dhp+realme%26search_id%3D2026032719080437BC2F75BF1BCF1F6E3D%26src%3Dsearch","Realme 3 Pro Second 4/64","Rp2.700.000","5.0","3 rating • 1 ulasan","Terjual 3","Agus Rouf"
"1774638565-10","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20realme","https://www.tokopedia.com/didoalfarezi/hp-realme-3-pro-4-64gb-fullset-lumayan-mulus?extParam=ivf%3Dfalse%26keyword%3Dhp+realme%26search_id%3D2026032719080437BC2F75BF1BCF1F6E3D%26src%3Dsearch","hp Realme 3 Pro 4/64GB fullset lumayan mulus","Rp1.200.000","5.0","6 rating • 3 ulasan","Terjual 9","pho pho cell"
"1774638570-11","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20realme","https://www.tokopedia.com/indomajusatu/hp-second-realme-c11-2-32-like-new-99?extParam=ivf%3Dfalse%26keyword%3Dhp+realme%26search_id%3D2026032719080437BC2F75BF1BCF1F6E3D%26src%3Dsearch","Hp Second Realme C11 2/32 Like new 99%","Rp650.000","","","","indomajusatu"
"1774638575-12","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20realme","https://www.tokopedia.com/khaleedgadget/handphone-second-murah-realme-c21-3-32-fullset-hp-seken-realme-hitam-c21-3-32?extParam=ivf%3Dfalse%26keyword%3Dhp+realme%26search_id%3D2026032719080437BC2F75BF1BCF1F6E3D%26src%3Dsearch","Handphone Second murah realme c21 3/32 Fullset hp seken realme - Hitam, c21 3/32","Rp1.250.000","5.0","1 rating • 0 ulasan","Terjual 3","01ALIFAKIDSWEAR"
"1774638580-13","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20realme","https://www.tokopedia.com/dphone/realme-c20-2-32-fullset?extParam=ivf%3Dfalse%26keyword%3Dhp+realme%26search_id%3D2026032719080437BC2F75BF1BCF1F6E3D%26src%3Dsearch","realme c20 2/32 Fullset","Rp949.999","5.0","2 rating • 0 ulasan","Terjual 3","DBrendi"
"1774638585-14","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20realme","https://www.tokopedia.com/damsberkahjaya/realme-5-ram-3-64-kondisi-seken-juossss?extParam=ivf%3Dfalse%26keyword%3Dhp+realme%26search_id%3D2026032719080437BC2F75BF1BCF1F6E3D%26src%3Dsearch","REALME 5 RAM 3/64 KONDISI SEKEN JUOSSSS","Rp1.300.000","5.0","1 rating • 0 ulasan","Terjual 1","DAMs berkah jaya"
"1774638590-15","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20realme","https://www.tokopedia.com/rrphonecell/realme-c25y-ram-4-gb-rom-64-gb-1731594994156274958?extParam=ivf%3Dfalse%26keyword%3Dhp+realme%26search_id%3D2026032719080437BC2F75BF1BCF1F6E3D%26src%3Dsearch","realme C25y ram 4 gb rom 64 gb","Rp9.000.006","","","","MAULANA ALLSHOP"
"1774638595-16","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20realme","https://www.tokopedia.com/081235902324/realme-6-4-128?extParam=ivf%3Dfalse%26keyword%3Dhp+realme%26search_id%3D2026032719080437BC2F75BF1BCF1F6E3D%26src%3Dsearch","realme 6 4/128","Rp2.275.000","5.0","1 rating • 1 ulasan","Terjual 2","hafidzcellwtc"
"1774638600-17","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20realme","https://www.tokopedia.com/ifstorebogor/realme-10-2023?extParam=ivf%3Dfalse%26keyword%3Dhp+realme%26search_id%3D2026032719080437BC2F75BF1BCF1F6E3D%26src%3Dsearch","REALME 10 2023","Rp2.900.000","","","","if STORE BOGOR"
"1774638606-18","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20realme","https://www.tokopedia.com/didoalfarezi/realme-narzo-50-4-64gb-fullset-mulus-second?extParam=ivf%3Dfalse%26keyword%3Dhp+realme%26search_id%3D2026032719080437BC2F75BF1BCF1F6E3D%26src%3Dsearch","realme Narzo 50 4/64GB fullset mulus / second","Rp1.349.000","5.0","3 rating • 2 ulasan","Terjual 3","pho pho cell"
"1774638611-19","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20realme","https://www.tokopedia.com/firzacell-2/realme-c11-2021-2-32-resmi?extParam=ivf%3Dfalse%26keyword%3Dhp+realme%26search_id%3D2026032719080437BC2F75BF1BCF1F6E3D%26src%3Dsearch","realme C11 2021 2/32 resmi","Rp1.050.000","","","3 barang berhasil terjual","FIRZA Cell.."
"1774638616-20","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20realme","https://www.tokopedia.com/pusat-cell/realme-7-8-128-second-batangan?extParam=ivf%3Dfalse%26keyword%3Dhp+realme%26search_id%3D2026032719080437BC2F75BF1BCF1F6E3D%26src%3Dsearch","REALME 7 8/128 SECOND BATANGAN","Rp1.600.000","4.8","9 rating • 4 ulasan","Terjual 14","pusat cell"
"1774638621-21","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20realme","https://www.tokopedia.com/pusat-cell/realme-7i-8-128-second-batangan-grade-b?extParam=ivf%3Dfalse%26keyword%3Dhp+realme%26search_id%3D2026032719080437BC2F75BF1BCF1F6E3D%26src%3Dsearch","REALME 7i 8/128 SECOND BATANGAN - Grade B","Rp1.500.000","5.0","7 rating • 1 ulasan","Terjual 21","pusat cell"
