web_scraper_order,web_scraper_start_url,product_link,product_name,price,rating,review_count,sold,seller
"1774591135-1","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20samsung","https://www.tokopedia.com/digitechmall/samsung-galaxy-a36-5g-8-256gb-12-256gb-nfc-garansi-resmi-bukan-a25-a35-1731040434418189700?extParam=ivf%3Dfalse%26keyword%3Dhp+samsung%26search_id%3D20260327055818EDDEA82AD2755B0B0F4I%26src%3Dsearch","Samsung Galaxy A36 5G 8/256GB 12/256GB NFC Garansi Resmi [ Bukan A25 A35 ] - 8/256 Black, Non Bundling","Rp5.007.000","5.0","70 rating • 18 ulasan","Terjual 250+","Digitech Mall"
"1774591140-2","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20samsung","https://www.tokopedia.com/gudang-hp/samsung-galaxy-a17-8-128-gb-garansi-resmi-1732616910007404456?extParam=ivf%3Dfalse%26keyword%3Dhp+samsung%26search_id%3D20260327055818EDDEA82AD2755B0B0F4I%26src%3Dsearch","Samsung Galaxy A17 8/128 GB Garansi Resmi - 8/128 Black","Rp2.938.000","5.0","22 rating • 6 ulasan","Terjual 70+","Gudang-HP"
"1774591145-3","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20samsung","https://www.tokopedia.com/notebookmurah/samsung-galaxy-a17-8gb-256gb-dan-128gb-garansi-resmi-1733251165456336449?extParam=ivf%3Dfalse%26keyword%3Dhp+samsung%26search_id%3D20260327055818EDDEA82AD2755B0B0F4I%26src%3Dsearch","Samsung Galaxy A17 8GB 256GB dan 128GB Garansi Resmi - BLUE, 128GB","Rp2.949.000","5.0","11 rating • 2 ulasan","Terjual 28","Notebook Murah ID"
"1774591150-4","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20samsung","https://www.tokopedia.com/inticellular/samsung-galaxy-a15-5g-8gb-256gb-1731123201575257709?extParam=ivf%3Dfalse%26keyword%3Dhp+samsung%26search_id%3D20260327055818EDDEA82AD2755B0B0F4I%26src%3Dsearch","Samsung Galaxy A15 5G 8GB/256GB - yellow","Rp2.465.000","5.0","3 rating • 0 ulasan","Terjual 17","inticellular"
"1774591155-5","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20samsung","https://www.tokopedia.com/mutiaraflasher/samsung-a16-4g-5g-ram-8-128gb-ram-8-256gb-4g-8-128gb-8c378?extParam=ivf%3Dfalse%26keyword%3Dhp+samsung%26search_id%3D20260327055818EDDEA82AD2755B0B0F4I%26src%3Dsearch","Samsung A16 4G | 5G Ram 8/128GB | Ram 8/256GB - 4G 8/128GB","Rp2.399.000","4.3","16 rating • 4 ulasan","Terjual 80+","Tiga Mutiara Store"
"1774591160-6","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20samsung","https://www.tokopedia.com/samsung-official-store/samsung-galaxy-s25-fe-8-512gb-smartphone-ai-android-galaxy-ai-4900-mah-1733517426575706093?extParam=ivf%3Dfalse%26keyword%3Dhp+samsung%26search_id%3D20260327055818EDDEA82AD2755B0B0F4I%26src%3Dsearch","Samsung Galaxy S25 FE [8/512GB] - Smartphone AI | Android | Galaxy AI | 4900 mAh - Navy.","Rp10.299.000","5.0","50 rating • 26 ulasan","Terjual 100+","Samsung Official Store"
"1774591165-7","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20samsung","https://www.tokopedia.com/samsung-official-store/upgrade-dari-256gb-samsung-galaxy-s26-ultra-12-512gb-hp-ai-privacy-display-1734422272425756653?extParam=ivf%3Dfalse%26keyword%3Dhp+samsung%26search_id%3D20260327055818EDDEA82AD2755B0B0F4I%26src%3Dsearch","Samsung Galaxy S26 Ultra 12/512GB | Hp AI | Privacy Display - Black","Rp27.499.000","4.7","19 rating • 8 ulasan","Terjual 50+","Samsung Official Store"
"1774591170-8","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20samsung","https://www.tokopedia.com/dutaponsel-pku/samsung-galaxy-a07-5g-6-128gb-garansi-resmi-1734453397465367887?extParam=ivf%3Dfalse%26keyword%3Dhp+samsung%26search_id%3D20260327055818EDDEA82AD2755B0B0F4I%26src%3Dsearch","Samsung Galaxy A07 5G 6/128GB Garansi Resmi - Light Violet","Rp2.799.000","","","","Duta Ponsel Pekanbaru_NEW"
"1774591175-9","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20samsung","https://www.tokopedia.com/ismile-indonesia/samsung-a36-5g-8-256gb-12-256gb-galaxy-ai-6-7-fhd-super-amoled-lcd-120hz-garansi-resmi-1732946077601597323?extParam=ivf%3Dfalse%26keyword%3Dhp+samsung%26search_id%3D20260327055818EDDEA82AD2755B0B0F4I%26src%3Dsearch","Samsung A36 5G 8/256GB 12/256GB Galaxy AI 6.7"" FHD+ Super AMOLED LCD 120Hz Garansi Resmi - A26 5G 8/256GB Black, Non Free Gift Package","Rp3.935.000","5.0","7 rating • 4 ulasan","Terjual 26","iSmile Indonesia"
"1774591180-10","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20samsung","https://www.tokopedia.com/dzakiyah-store-hub/dzakiyah-store-samsung-galaxy-a17-4g-lte-8-128gb-8-256gb-new-garansi-resmi-1734380926186456246?extParam=ivf%3Dfalse%26keyword%3Dhp+samsung%26search_id%3D20260327055818EDDEA82AD2755B0B0F4I%26src%3Dsearch","[Dzakiyah Store] Samsung Galaxy A17 4G LTE 8/128GB 8/256GB New Garansi Resmi - LIGHT BLUE, 8/128GB","Rp3.154.083","","","","Dzakiyah Store HUB"
