web_scraper_order,web_scraper_start_url,product_link,product_name,price,rating,review_count,sold,seller
"1774631368-1","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20samsung","https://www.tokopedia.com/jcclothings/samsung-s9-plus-sein-6-128?extParam=ivf%3Dfalse%26keyword%3Dhp+samsung%26search_id%3D20260327170852577BCC914F9E55049NV0%26src%3Dsearch","Samsung S9 Plus Sein 6/128","Rp2.700.000","5.0","2 rating • 1 ulasan","Terjual 5","JC Clothings"
"1774631373-2","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20samsung","https://www.tokopedia.com/haikal-md/samsung-note-10-plus-second?extParam=ivf%3Dfalse%26keyword%3Dhp+samsung%26search_id%3D20260327170852577BCC914F9E55049NV0%26src%3Dsearch","samsung note 10 plus second","Rp7.000.000","5.0","1 rating • 1 ulasan","Terjual 4","haikal Md"
"1774631378-3","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20samsung","https://www.tokopedia.com/sevvancell/handphone-samsung-galaxy-a35-5g-ram-8-256gb-batangan-tanpa-charger-d-687dd?extParam=ivf%3Dfalse%26keyword%3Dhp+samsung%26search_id%3D20260327170852577BCC914F9E55049NV0%26src%3Dsearch","Handphone Samsung Galaxy A35 5G Ram 8 256GB (Batangan, Tanpa Charger) - D","Rp2.850.000","4.9","50 rating • 8 ulasan","Terjual 100+","Sevvancell"
"1774631383-4","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20samsung","https://www.tokopedia.com/oneponselid/ex-display-samsung-galaxy-s24-ultra-ram-12gb-internal-1tb-512gb-256gb-t-yellow-t-black-t-violet-t-gray-1732024654190970339?extParam=ivf%3Dfalse%26keyword%3Dhp+samsung%26search_id%3D20260327170852577BCC914F9E55049NV0%26src%3Dsearch","(Ex-Display) Samsung Galaxy S24 Ultra RAM 12GB Internal 1TB 512GB 256GB T. Yellow T. Black T. Violet T. Gray - 12/256GB, T. Black","Rp13.650.000","5.0","12 rating • 8 ulasan","Terjual 30+","One Ponsel Id"
"1774631388-5","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20samsung","https://www.tokopedia.com/gudanggagdet/samsung-m23-5g-6-128-second-fullset?extParam=ivf%3Dfalse%26keyword%3Dhp+samsung%26search_id%3D20260327170852577BCC914F9E55049NV0%26src%3Dsearch","SAMSUNG M23 5G 6/128 SECOND FULLSET","Rp2.000.000","5.0","3 rating • 2 ulasan","Terjual 16","SINAR MUTIARA INDAH"
"1774631393-6","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20samsung","https://www.tokopedia.com/sevvancell/handphone-samsung-galaxy-a55-5g-ram-8-256gb-1731634757363598623?extParam=ivf%3Dfalse%26keyword%3Dhp+samsung%26search_id%3D20260327170852577BCC914F9E55049NV0%26src%3Dsearch","Handphone Samsung Galaxy A55 5G Ram 8 256GB - E","Rp3.600.000","4.9","250 rating • 36 ulasan","Terjual 750+","Sevvancell"
"1774631398-7","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20samsung","https://www.tokopedia.com/sobathape2nd/hp-samsung-galaxy-s9-resmi-sein-dual-sim-original-2nd-fullset-oem-variasi-b?extParam=ivf%3Dfalse%26keyword%3Dhp+samsung%26search_id%3D20260327170852577BCC914F9E55049NV0%26src%3Dsearch","HP Samsung Galaxy S9 Resmi SEIN Dual Sim Original 2nd Fullset OEM - Variasi B","Rp2.599.000","5.0","96 rating • 80 ulasan","Terjual 100+","SobatHAPE"
"1774631403-8","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20samsung","https://www.tokopedia.com/tokoacoy/samsung-galaxy-a9-128gb-fullset?extParam=ivf%3Dfalse%26keyword%3Dhp+samsung%26search_id%3D20260327170852577BCC914F9E55049NV0%26src%3Dsearch","Samsung Galaxy A9 128GB Fullset","Rp1.300.000","4.8","25 rating • 17 ulasan","Terjual 40+","Tokoacoy Official_NEW"
"1774631408-9","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20samsung","https://www.tokopedia.com/tokoacoy/samsung-galaxy-a20-resmi-sein-fullset?extParam=ivf%3Dfalse%26keyword%3Dhp+samsung%26search_id%3D20260327170852577BCC914F9E55049NV0%26src%3Dsearch","Samsung Galaxy A20 Resmi SEIN Fullset","Rp900.000","4.3","60 rating • 38 ulasan","Terjual 100+","Tokoacoy Official_NEW"
"1774631413-10","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20samsung","https://www.tokopedia.com/tokomisterbb/samsung-galaxy-a71-8-128gb-resmi-original-sein?extParam=ivf%3Dfalse%26keyword%3Dhp+samsung%26search_id%3D20260327170852577BCC914F9E55049NV0%26src%3Dsearch","Samsung Galaxy A71 8/128GB Resmi Original SEIN","Rp875.000","","","1 barang berhasil terjual","Toko MisterBB"
