web_scraper_order,web_scraper_start_url,product_link,product_name,price,rating,review_count,sold,seller
"1775101274-1","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20sony","https://www.tokopedia.com/armadill/sony-xperia-z4?extParam=ivf%3Dfalse%26keyword%3Dhp+sony%26search_id%3D202604020340279DE6D14FFF980614FYLM%26src%3Dsearch","Sony xperia z4","Rp1.700.000","","","1 barang berhasil terjual","Armadill Store"
"1775101279-2","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20sony","https://www.tokopedia.com/rubypreloved-tuff/sony-xperia-x-compact-normal-hp-only-1731146874881606870?extParam=ivf%3Dfalse%26keyword%3Dhp+sony%26search_id%3D202604020340279DE6D14FFF980614FYLM%26src%3Dsearch","sony xperia x compact normal hp only","Rp895.000","","","","RubyPreloved tuff"
"1775101284-3","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20sony","https://www.tokopedia.com/mungmunge/sony-xperia-xzs?extParam=ivf%3Dfalse%26keyword%3Dhp+sony%26search_id%3D202604020340279DE6D14FFF980614FYLM%26src%3Dsearch","sony xperia xzs","Rp995.000","4.0","1 rating • 0 ulasan","Terjual 3","Digitalniaga"
"1775101289-4","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20sony","https://www.tokopedia.com/zr-gadget/sony-xperia-5-bekas-review?extParam=ivf%3Dfalse%26keyword%3Dhp+sony%26search_id%3D202604020340279DE6D14FFF980614FYLM%26src%3Dsearch","Sony Xperia 5 Bekas Review","Rp3.149.000","5.0","4 rating • 4 ulasan","Terjual 4","Zain Rendi Shop"
"1775101294-5","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20sony","https://www.tokopedia.com/dboxstore/sony-xperia-z-lte?extParam=ivf%3Dfalse%26keyword%3Dhp+sony%26search_id%3D202604020340279DE6D14FFF980614FYLM%26src%3Dsearch","Sony xperia Z LTE","Rp2.500.000","","","","D'BOX STORE"
"1775101299-6","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20sony","https://www.tokopedia.com/windows-android-ios/sony-xperia-xz2-like-new-warna-hitam?extParam=ivf%3Dfalse%26keyword%3Dhp+sony%26search_id%3D202604020340279DE6D14FFF980614FYLM%26src%3Dsearch","SONY XPERIA XZ2 LIKE NEW WARNA HITAM","Rp3.700.000","5.0","1 rating • 0 ulasan","Terjual 1","android ios windows harmony"
"1775101304-7","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20sony","https://www.tokopedia.com/p-aksesoris/sony-xperia-c3-all-operator-1731912272477127850?extParam=ivf%3Dfalse%26keyword%3Dhp+sony%26search_id%3D202604020340279DE6D14FFF980614FYLM%26src%3Dsearch","Sony Xperia C3 All operator","Rp160.000","","","1 barang berhasil terjual","P aksesoris"
"1775101309-8","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20sony","https://www.tokopedia.com/nikholas/handphone-sony-experia-d2105?extParam=ivf%3Dfalse%26keyword%3Dhp+sony%26search_id%3D202604020340279DE6D14FFF980614FYLM%26src%3Dsearch","Handphone Sony Experia D2105","Rp159.000","","","","Nikho Shop"
"1775101314-9","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20sony","https://www.tokopedia.com/windows-android-ios/sony-xperia-x-compact?extParam=ivf%3Dfalse%26keyword%3Dhp+sony%26search_id%3D202604020340279DE6D14FFF980614FYLM%26src%3Dsearch","SONY XPERIA X COMPACT","Rp2.500.000","5.0","1 rating • 1 ulasan","Terjual 1","android ios windows harmony"
"1775101320-10","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20sony","https://www.tokopedia.com/tommypeggy/sony-xperia-z2-compact-fullset?extParam=ivf%3Dfalse%26keyword%3Dhp+sony%26search_id%3D202604020340279DE6D14FFF980614FYLM%26src%3Dsearch","sony xperia Z2 compact fullset","Rp980.000","","","1 barang berhasil terjual","tommy cellular store"
