web_scraper_order,web_scraper_start_url,product_link,product_name,price,rating,review_count,sold,seller
"1774596794-1","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20vivo","https://www.tokopedia.com/melodyponsel/vivo-y19s-gt-5g-6-128-8-128-8-256-ram-6-6-rom-128gb-ram-8-8-rom-128gb-ram-8-8-rom-256gb-baterai-5500mah-15w-new-garansi-resmi-1732031271233816328?extParam=ivf%3Dfalse%26keyword%3Dhp+vivo%26search_id%3D2026032707323811B9842E0A271F17EU8P%26src%3Dsearch","VIVO Y19s GT 5G 6/128 8/128 8/256 RAM 6+6 ROM 128GB RAM 8+8 ROM 128GB RAM 8+8 ROM 256GB BATERAI 5500mAh 15W NEW GARANSI RESMI - Ungu Kristal, 8+8/256GB","Rp2.599.000","","","","Melody Ponsel"
"1774596799-2","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20vivo","https://www.tokopedia.com/aldycellular1/hp-vivo-y02-3-32-gb-vivo-y-02-ram-3-gb-rom-32gb-garansi-resmi-biru-27f8d?extParam=ivf%3Dfalse%26keyword%3Dhp+vivo%26search_id%3D2026032707323811B9842E0A271F17EU8P%26src%3Dsearch","HP VIVO Y02 3/32 GB - VIVO Y 02 RAM 3 GB ROM 32GB GARANSI RESMI - Biru","Rp1.150.000","5.0","19 rating • 8 ulasan","Terjual 90+","Aldy Cellular1"
"1774596804-3","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20vivo","https://www.tokopedia.com/wahanacentre/hp-vivo-y03-y-03-ram-4-64-4gb-64gb-garansi-resmi-1730821268333626835?extParam=ivf%3Dfalse%26keyword%3Dhp+vivo%26search_id%3D2026032707323811B9842E0A271F17EU8P%26src%3Dsearch","hp Vivo Y03 (Y 03) ram 4/64 [4GB 64GB] Garansi Resmi - Hitam","Rp1.139.000","","","2 barang berhasil terjual","WAHANA CENTRE"
"1774596810-4","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20vivo","https://www.tokopedia.com/z-store-mobile-shop/vivo-y21-4-64-garansi-resmi?extParam=ivf%3Dfalse%26keyword%3Dhp+vivo%26search_id%3D2026032707323811B9842E0A271F17EU8P%26src%3Dsearch","Vivo Y21 4/64 Garansi Resmi","Rp1.503.000","","","19 barang berhasil terjual","Z-Store Mobile Shop"
"1774596815-5","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20vivo","https://www.tokopedia.com/milacell/vivo-y21s-5-128-garansi-resmi?extParam=ivf%3Dfalse%26keyword%3Dhp+vivo%26search_id%3D2026032707323811B9842E0A271F17EU8P%26src%3Dsearch","vivo y21s 5/128 garansi resmi","Rp1.620.000","4.9","53 rating • 22 ulasan","Terjual 90+","MILA CELL SURABAYA WTC"
"1774596820-6","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20vivo","https://www.tokopedia.com/wahana-gadget/vivo-y03t-4-64-gb-garansi-vivo-indonesia-1731139383801317374?extParam=ivf%3Dfalse%26keyword%3Dhp+vivo%26search_id%3D2026032707323811B9842E0A271F17EU8P%26src%3Dsearch","Vivo Y03t 4/64 GB Garansi Vivo Indonesia - Hitam","Rp1.300.000","","","3 barang berhasil terjual","Wahana Gadget Store"
"1774596825-7","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20vivo","https://www.tokopedia.com/tokonuansabpn/hp-vivo-y16-3gb-32gb?extParam=ivf%3Dfalse%26keyword%3Dhp+vivo%26search_id%3D2026032707323811B9842E0A271F17EU8P%26src%3Dsearch","HP Vivo Y16 / 3GB + 32GB","Rp1.799.000","","","","Toko Nuansa Bpn"
"1774596830-8","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20vivo","https://www.tokopedia.com/wz-shop-store/hp-vivo-y12s-3-32-gb-y12-s-ram-3gb-rom-32gb-garansi-resmi-hitam?extParam=ivf%3Dfalse%26keyword%3Dhp+vivo%26search_id%3D2026032707323811B9842E0A271F17EU8P%26src%3Dsearch","HP VIVO Y12s 3/32 GB - Y12 s RAM 3GB ROM 32GB GARANSI RESMI - Hitam","Rp1.320.000","4.8","118 rating • 51 ulasan","Terjual 100+","Wz Shop Store"
"1774596835-9","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20vivo","https://www.tokopedia.com/mastergadgetsurabay/vivo-y17s-4-128-garansi-resmi-indonesia?extParam=ivf%3Dfalse%26keyword%3Dhp+vivo%26search_id%3D2026032707323811B9842E0A271F17EU8P%26src%3Dsearch","vivo y17s 4/128 garansi resmi indonesia","Rp1.475.000","5.0","7 rating • 0 ulasan","Terjual 16","mastergadgetsurabaya"
"1774596840-10","https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20vivo","https://www.tokopedia.com/vivo-authorized/vivo-y29-6gb-128gb-design-marmer-eksklusif-sgs-drop-resistance-ip69-dust-waterproof-6500mah-44w-flashcharge-1730941764217767688?extParam=ivf%3Dfalse%26keyword%3Dhp+vivo%26search_id%3D2026032707323811B9842E0A271F17EU8P%26src%3Dsearch","vivo Y29 (6GB/128GB) - Design Marmer Eksklusif, SGS Drop Resistance, IP69 Dust Waterproof, 6500mAh + 44W FlashCharge - Putih Marmer","Rp2.399.000","5.0","1 rating • 1 ulasan","Terjual 12","vivo Authorized Store"
