web_scraper_order,web_scraper_start_url,product_link,product_name,price,rating,review_count,sold,seller
"1774632653-1","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20xiaomi","https://www.tokopedia.com/didoalfarezi/xiaomi-poco-x3-gt-8-256gb-fullset-mulus?extParam=ivf%3Dfalse%26keyword%3Dhp+xiaomi%26search_id%3D202603271730189DFCD5E558DFA01DBTFR%26src%3Dsearch","Xiaomi Poco X3 GT 8/256GB fullset mulus","Rp2.350.000","5.0","7 rating • 3 ulasan","Terjual 19","pho pho cell"
"1774632658-2","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20xiaomi","https://www.tokopedia.com/officialts/xiaomi-poco-f3-8-256-gb-garansi-resmi-fullset?extParam=ivf%3Dfalse%26keyword%3Dhp+xiaomi%26search_id%3D202603271730189DFCD5E558DFA01DBTFR%26src%3Dsearch","Xiaomi Poco F3 8/256 gb Garansi Resmi Fullset","Rp3.499.000","5.0","53 rating • 33 ulasan","Terjual 80+","Toko Sedulur Official"
"1774632663-3","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20xiaomi","https://www.tokopedia.com/rpgadget/xiaomi-redmi-13-8-256gb-garansi-resmi-indonesia-biru-8-128-b0ac4?extParam=ivf%3Dfalse%26keyword%3Dhp+xiaomi%26search_id%3D202603271730189DFCD5E558DFA01DBTFR%26src%3Dsearch","Xiaomi Redmi 13 8/256GB Garansi Resmi indonesia - Biru, 8/128","Rp1.999.000","5.0","3 rating • 1 ulasan","Terjual 14","RPGadget"
"1774632668-4","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20xiaomi","https://www.tokopedia.com/tokoacoy/xiaomi-redmi-10-4-64gb-garansi-resmi-carbon-gray?extParam=ivf%3Dfalse%26keyword%3Dhp+xiaomi%26search_id%3D202603271730189DFCD5E558DFA01DBTFR%26src%3Dsearch","Xiaomi Redmi 10 4/64GB Garansi Resmi - Carbon Gray","Rp1.150.000","5.0","4 rating • 2 ulasan","Terjual 12","Tokoacoy Official_NEW"
"1774632673-5","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20xiaomi","https://www.tokopedia.com/sevvancell/xiaomi-mi-lite-11-ram-6-64gb-grade-e-30a4c?extParam=ivf%3Dfalse%26keyword%3Dhp+xiaomi%26search_id%3D202603271730189DFCD5E558DFA01DBTFR%26src%3Dsearch","Xiaomi Mi lite 11 Ram 6 64GB - Grade E","Rp1.300.000","","","15 barang berhasil terjual","Sevvancell"
"1774632678-6","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20xiaomi","https://www.tokopedia.com/phampesutara/xiaomi-a2-hp-legendaris-edisi-terbatas-1731035323266925823?extParam=ivf%3Dfalse%26keyword%3Dhp+xiaomi%26search_id%3D202603271730189DFCD5E558DFA01DBTFR%26src%3Dsearch","Xiaomi A2 hp legendaris edisi terbatas - gold","Rp17.600.000","5.0","1 rating • 1 ulasan","Terjual 1","phampesutara"
"1774632683-7","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20xiaomi","https://www.tokopedia.com/tokoacoy/xiaomi-poco-f1-6-128gb-fullset-mulus-ok?extParam=ivf%3Dfalse%26keyword%3Dhp+xiaomi%26search_id%3D202603271730189DFCD5E558DFA01DBTFR%26src%3Dsearch","Xiaomi Poco F1 6/128GB Fullset Mulus OK","Rp1.700.000","4.6","7 rating • 3 ulasan","Terjual 10","Tokoacoy Official_NEW"
"1774632688-8","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20xiaomi","https://www.tokopedia.com/rorikucinglucu/xiaomi-redmi-4x-ram-2-16-gb?extParam=ivf%3Dfalse%26keyword%3Dhp+xiaomi%26search_id%3D202603271730189DFCD5E558DFA01DBTFR%26src%3Dsearch","Xiaomi Redmi 4x ram 2/16 gb","Rp250.000","2.0","3 rating • 3 ulasan","Terjual 16","Rori kucing lucu"
"1774632693-9","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20xiaomi","https://www.tokopedia.com/pusat-cell/xiaomi-note-11-pro-5g-8-128-second-batangan-1731235483146487427?extParam=ivf%3Dfalse%26keyword%3Dhp+xiaomi%26search_id%3D202603271730189DFCD5E558DFA01DBTFR%26src%3Dsearch","XIAOMI NOTE 11 PRO 5G 8/128 SECOND BATANGAN - Grade B","Rp1.600.000","5.0","7 rating • 5 ulasan","Terjual 26","pusat cell"
"1774632698-10","https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20xiaomi","https://www.tokopedia.com/azkagadgetmks/xiaomi-redmi-a3-ram-4-128-1733188088607638897?extParam=ivf%3Dfalse%26keyword%3Dhp+xiaomi%26search_id%3D202603271730189DFCD5E558DFA01DBTFR%26src%3Dsearch","Xiaomi redmi A3 ram 4/128","Rp1.100.000","","","","Azka gadegt mks"
