web_scraper_order,web_scraper_start_url,product_link,product_name,price,rating,review_count,sold,seller
"1775100190-1","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20ZTE","https://www.tokopedia.com/digitalcellulargroupos/special-creator-zte-nubia-a56-4-128-gb-smartphone-kamera-ai-13mp-1734407908799644817?extParam=ivf%3Dtrue%26keyword%3Dhandphone+zte%26search_id%3D20260402032217CD00692C3BFE59169Z7B%26src%3Dsearch","[SPECIAL CREATOR] ZTE NUBIA A56 4/128 GB Smartphone Kamera AI 13MP - BLACK, HEMAT","Rp1.540.000","5.0","1 rating • 1 ulasan","Terjual 8","DIGITAL CELLULAR GRUP"
"1775100195-2","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20ZTE","https://www.tokopedia.com/temanseluler/zte-nubia-v70-design-ram-8-128gb-garansi-resmi-1734256108330452121?extParam=ivf%3Dfalse%26keyword%3Dhandphone+zte%26search_id%3D20260402032217CD00692C3BFE59169Z7B%26src%3Dsearch","ZTE Nubia V70 Design RAM 8/128GB Garansi Resmi - Green, 8/256GB","Rp1.875.000","5.0","12 rating • 10 ulasan","Terjual 30+","TemanSeluler"
"1775100200-3","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20ZTE","https://www.tokopedia.com/indahponsel/exclusive-805-gadget-zte-nubia-v80-max-6gb-128gb-8gb-128gb-garansi-resmi-nasional-1734227573617886797?extParam=ivf%3Dfalse%26keyword%3Dhandphone+zte%26search_id%3D20260402032217CD00692C3BFE59169Z7B%26src%3Dsearch","(Exclusive 805 Gadget) ZTE NUBIA V80 Max 6GB/128GB 8GB/128GB - Garansi Resmi Nasional - Space Black, 6/128","Rp1.799.000","","","","indahponseltamora"
"1775100205-4","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20ZTE","https://www.tokopedia.com/tokoafat/zte-nubia-redmagic-8s-pro-16gb-512gb-garansi-resmi-indonesia-16gb-512gb-6972f?extParam=ivf%3Dfalse%26keyword%3Dhandphone+zte%26search_id%3D20260402032217CD00692C3BFE59169Z7B%26src%3Dsearch","ZTE Nubia Redmagic 8S Pro 16GB/512GB Garansi Resmi Indonesia - 16GB/512GB","Rp14.999.000","5.0","1 rating • 0 ulasan","Terjual 5","Tokoafat"
"1775100210-5","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20ZTE","https://www.tokopedia.com/indahponsel/exclusive-adep-nugraha-zte-nubia-v80-max-6gb-128gb-8gb-128gb-garansi-resmi-nasional-1734227534264239693?extParam=ivf%3Dfalse%26keyword%3Dhandphone+zte%26search_id%3D20260402032217CD00692C3BFE59169Z7B%26src%3Dsearch","(Exclusive Adep Nugraha) ZTE NUBIA V80 Max 6GB/128GB 8GB/128GB - Garansi Resmi Nasional - Space Black, 6/128","Rp1.799.000","","","1 barang berhasil terjual","indahponseltamora"
"1775100215-6","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20ZTE","https://www.tokopedia.com/indahponsel/promo-live-zte-nubia-neo-3-gt-5g-8gb-256gb-nubia-neo-3-5g-8gb-256gb-garansi-resmi-nasional-1731551357035382349?extParam=ivf%3Dfalse%26keyword%3Dhandphone+zte%26search_id%3D20260402032217CD00692C3BFE59169Z7B%26src%3Dsearch","(PROMO LIVE) ZTE NUBIA NEO 3 GT 5G 8GB/256GB & NUBIA NEO 3 5G 8GB/256GB GARANSI RESMI NASIONAL - NEO 3 GT Yellow","Rp3.164.000","4.9","10 rating • 8 ulasan","Terjual 25","indahponseltamora"
"1775100221-7","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20ZTE","https://www.tokopedia.com/quattrocomp/zte-nubia-v70-8gb-256gb-garansi-resmi-1734417542679136030?extParam=ivf%3Dfalse%26keyword%3Dhandphone+zte%26search_id%3D20260402032217CD00692C3BFE59169Z7B%26src%3Dsearch","ZTE NUBIA V70 8GB 256GB GARANSI RESMI - NON PAKET, GLACIER GREEN","Rp2.049.000","","","","Quattro Comp ID"
"1775100226-8","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20ZTE","https://www.tokopedia.com/fancocell/zte-nubia-a36-4-8-64-t7200-13mp-camera-90hz-lcd-display-5000-mah-battery-garansi-resmi-zte-nubia-indoonesia-1732015216034088182?extParam=ivf%3Dfalse%26keyword%3Dhandphone+zte%26search_id%3D20260402032217CD00692C3BFE59169Z7B%26src%3Dsearch","ZTE Nubia a36 4+8/64 T7200 13MP Camera 90Hz LCD Display 5000 mAh battery garansi resmi ZTE Nubia Indoonesia - Green","Rp1.365.000","5.0","1 rating • 0 ulasan","Terjual 5","fanco cell"
"1775100231-9","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20ZTE","https://www.tokopedia.com/jackstore18/zte-a36-4gb-64gb-garansi-resmi-layar-6-75-inci-hd-90hz-baterai-5000mah-prosesor-octa-core-12gb-dynamic-ram-kamera-13mp-ai-lens-garansi-resmi-1732258207488181566?extParam=ivf%3Dtrue%26keyword%3Dhandphone+zte%26search_id%3D20260402032217CD00692C3BFE59169Z7B%26src%3Dsearch","ZTE A36 4GB 64GB Garansi Resmi Layar 6.75 inci HD+ 90Hz Baterai 5000mAh Prosesor Octa-core 12GB Dynamic RAM Kamera 13MP+ AI Lens GARANSI RESMI - BLACK","Rp1.449.000","5.0","2 rating • 2 ulasan","Terjual 2","Jack Store Jakarta_NEW"
"1775100236-10","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20ZTE","https://www.tokopedia.com/depoklaptop/zte-nubia-neo-3-gt-5g-8gb-ram-256gb-rom-garansi-resmi-1732746881683720117?extParam=ivf%3Dfalse%26keyword%3Dhandphone+zte%26search_id%3D20260402032217CD00692C3BFE59169Z7B%26src%3Dsearch","ZTE Nubia NEO 3 GT 5G 8GB RAM 256GB ROM Garansi Resmi - INTERSTELLAR GRAY, TANPA PAKET","Rp3.279.000","5.0","3 rating • 3 ulasan","Terjual 7","Depok Laptop"
