web_scraper_order;web_scraper_start_url;link-product;product_name;price;rating;review_count;sold;seller
1774595250-1;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=ACER;https://www.tokopedia.com/intikomstore/acer-aspire-lite-al14-32p-c39a-intel-n150-8gb-256gb-ssd-win11-ohs-rose-sakura-1734499263420663191?extParam=ivf%3Dfalse%26keyword%3Dacer%26search_id%3D202603270706475B8ADD2A5D98B109ADLB%26src%3Dsearch;Acer Aspire Lite AL14-32P-C39A [Intel N150/8GB/256GB SSD/Win11+OHS] - ROSE SAKURA - NON BUNDLE;6150000;;;;INTIKOM STORES
1774595257-2;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=ACER;https://www.tokopedia.com/agresid/acer-aspire-lite-14-al14-i3-n355-8gb-512gb-w11-ohs-14-0-fhd-ips-1731231329234158659?extParam=ivf%3Dfalse%26keyword%3Dacer%26search_id%3D202603270706475B8ADD2A5D98B109ADLB%26src%3Dsearch;ACER ASPIRE LITE 14 AL14 I3 N355 8GB 512GB W11+OHS 14.0 FHD IPS - Non Bundle, 256GB;7349000;48;144 rating • 28 ulasan;Terjual 250+;AGRES ID
1774595263-3;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=ACER;https://www.tokopedia.com/laptop-murah-cirebon/acer-aspire-lite-al14-32p-intel-n150-8gb-512gb-w11-ohs-m365b-14-wuxga-1732975700846019618?extParam=ivf%3Dfalse%26keyword%3Dacer%26search_id%3D202603270706475B8ADD2A5D98B109ADLB%26src%3Dsearch;"ACER ASPIRE LITE AL14 32P [INTEL N150/ 8GB/ 512GB/ W11+OHS+M365B/ 14"" WUXGA] - Normal Bundling, Light Silver";6299000;50;1 rating • 0 ulasan;Terjual 2;LAPTOP MURAH CIREBON_NEW
1774595269-4;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=ACER;https://www.tokopedia.com/gameridbandung/acer-aspire-lite-14-al14-37p-intel-n150-8gb-256-512gb-14-fhd-ips-windows-11-home-1733379609368036611?extParam=ivf%3Dfalse%26keyword%3Dacer%26search_id%3D202603270706475B8ADD2A5D98B109ADLB%26src%3Dsearch;"Acer Aspire Lite 14 AL14-37P Intel N150 8GB 256/512GB 14"" FHD IPS Windows 11 Home - SILVER - 512GB, NO PAKET, NO UPGRADE";6299000;50;1 rating • 0 ulasan;Terjual 5;Gamer ID Bandung
1774595275-5;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=ACER;https://www.tokopedia.com/infonet-harco-mangga-dua/acer-aspire-lite-al14-37p-c39a-n150-8gb-256gb-ssd-14-fhd-ips-w11h-oh2024-pink-1733592359098091351?extParam=ivf%3Dfalse%26keyword%3Dacer%26search_id%3D202603270706475B8ADD2A5D98B109ADLB%26src%3Dsearch;"ACER ASPIRE LITE AL14-37P-C39A N150 8GB 256GB SSD 14"" FHD IPS W11H OH2024 PINK";6080000;50;1 rating • 0 ulasan;Terjual 2;INFONET Harco Mangga Dua
1774595281-6;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=ACER;https://www.tokopedia.com/spacetech/acer-aspire-lite-al14-core-3-n355-8gb-512gb-ssd-14-fhd-ips-win11-ohs-1731233517590382201?extParam=ivf%3Dfalse%26keyword%3Dacer%26search_id%3D202603270706475B8ADD2A5D98B109ADLB%26src%3Dsearch;"ACER Aspire Lite AL14 Core 3 N355 8GB 512GB SSD 14""FHD IPS Win11 OHS - SILVER-256GB, 8GB RAM";7199000;50;278 rating • 106 ulasan;Terjual 250+;Space Tech Store
1774595287-7;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=ACER;https://www.tokopedia.com/acerid/acer-aspire-lite-14-al14-37p-core-3-n355-8gb-512gb-ssd-14-fhd-ips-windows-11-home-office-home-2024-fresh-blue-light-silver-rose-sakura-1734406039087514645?extParam=ivf%3Dfalse%26keyword%3Dacer%26search_id%3D202603270706475B8ADD2A5D98B109ADLB%26src%3Dsearch;"Acer Aspire Lite 14 AL14-37P Core 3 N355 8GB 512GB SSD 14"" FHD IPS Windows 11 Home + Office Home 2024 – Fresh Blue / Light Silver / Rose Sakura - Blue";6799000;50;11 rating • 6 ulasan;Terjual 20;Acer Official Authorized Store
1774595293-8;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=ACER;https://www.tokopedia.com/protechcom/acer-travelmate-p40-i5-1335-16gb-512gb-14-0wuxga-ips-w11-ohs-m365b-1733132706887665568?extParam=ivf%3Dfalse%26keyword%3Dacer%26search_id%3D202603270706475B8ADD2A5D98B109ADLB%26src%3Dsearch%26whid%3D375893;ACER TRAVELMATE P40 I5 1335 16GB 512GB 14.0WUXGA IPS W11 OHS M365B - UNIT;9699000;49;100 rating • 47 ulasan;Terjual 100+;ProTech Com
1774595299-9;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=ACER;https://www.tokopedia.com/intikomstore/acer-aspire-lite-14-gen-2-al14-32p-38re-37ce-359z-intel-core-3-n355-8gb-512gb-ssd-win11-ohs-1731919300469818775?extParam=ivf%3Dfalse%26keyword%3Dacer%26search_id%3D202603270706475B8ADD2A5D98B109ADLB%26src%3Dsearch;Acer Aspire Lite 14 (Gen 2) AL14-32P-38RE/37CE/359Z [Intel Core 3 N355/8GB/512GB SSD/Win11+OHS] - Fresh Blue;7175000;;;;INTIKOM STORES
1774595306-10;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=ACER;https://www.tokopedia.com/giftandship/acer-aspire-3-a314-35-celeron-n5100-ram-8gb-ssd-512gb-14-inch-w-11-free-bag-laptop-1731464834907211685?extParam=ivf%3Dfalse%26keyword%3Dacer%26search_id%3D202603270706475B8ADD2A5D98B109ADLB%26src%3Dsearch;"ACER ASPIRE 3 A314-35 Celeron N5100 [RAM 8GB/SSD 512GB] 14"" INCH W 11 FREE BAG LAPTOP - RAM4/SSD256";3120520;48;8 rating • 5 ulasan;Terjual 22;GIFTandSHIP
