web_scraper_order;web_scraper_start_url;link-product;product_name;price;rating;review_count;sold;seller
1774658837-1;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20acer;https://www.tokopedia.com/adrianlaptop-318/acer-aspire-lite-al14-31p-intel-n100-ram-8gb-ssd-512gb-14-inci-1730833333467776427?extParam=ivf%3Dfalse%26keyword%3Dlaptop+acer%26search_id%3D202603280046385B8ADD2A5D98B1293EN8%26src%3Dsearch;Acer aspire lite al14-31p Intel N100 Ram 8gb Ssd 512gb 14 inci;3800000;;;;Adrianlaptop
1774658843-2;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20acer;https://www.tokopedia.com/gudanglaptopsemarang/acer-aspire-3-a314-35-c5lg-intel-n5100-4-256-14-inch-hd-bezeless-gl10985-1730810773227275867?extParam=ivf%3Dfalse%26keyword%3Dlaptop+acer%26search_id%3D202603280046385B8ADD2A5D98B1293EN8%26src%3Dsearch;ACER Aspire 3 A314 - 35 - C5LG Intel N5100 4/256 14 inch HD Bezeless | GL10985;3657500;;;;Gudang Laptop Semarang
1774658850-3;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20acer;https://www.tokopedia.com/drcomkomputer/laptop-acer-aspire-4738z-intel-core-i3-ram-4-320gb-brown?extParam=ivf%3Dfalse%26keyword%3Dlaptop+acer%26search_id%3D202603280046385B8ADD2A5D98B1293EN8%26src%3Dsearch;Laptop Acer Aspire 4738Z, Intel Core i3, Ram 4/320gb, brown;1250000;50;1 rating • 1 ulasan;Terjual 1;DrCom_NEW
1774658856-4;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20acer;https://www.tokopedia.com/bursalaptopefek/ready-stock-laptop-acer-travelmate-b115-m-intel-celeron-n2940-hd-graphics-ram-4-500gb-seri-baru-black-1732074137926010345?extParam=ivf%3Dfalse%26keyword%3Dlaptop+acer%26search_id%3D202603280046385B8ADD2A5D98B1293EN8%26src%3Dsearch;READY STOCK Laptop Acer Travelmate B115-M, Intel Celeron - N2940, Hd Graphics, Ram 4/500Gb, Seri baru, Black;1400000;;;;Bursa laptop efek
1774658862-5;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20acer;https://www.tokopedia.com/bursalaptopefek/ready-stock-laptop-acer-aspire-5-a514-53-intel-core-i3-1005g1-ram-4-512gb-uhd-graphics-super-slim-lengkap-black-1732412422904972777?extParam=ivf%3Dfalse%26keyword%3Dlaptop+acer%26search_id%3D202603280046385B8ADD2A5D98B1293EN8%26src%3Dsearch;READY STOCK Laptop Acer Aspire 5 A514-53, Intel Core i3-1005G1, Ram 4/512Gb, UHD Graphics, Super Slim, Lengkap, Black;3600000;;;;Bursa laptop efek
1774658868-6;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20acer;https://www.tokopedia.com/drcomkomputer/laptop-acer-aspire-e5-411-ram-4-500gb-mulus-like-new-white?extParam=ivf%3Dfalse%26keyword%3Dlaptop+acer%26search_id%3D202603280046385B8ADD2A5D98B1293EN8%26src%3Dsearch;Laptop Acer Aspire E5-411, Ram 4/500gb, Mulus, Like New, White;1600000;48;6 rating • 4 ulasan;Terjual 7;DrCom_NEW
1774658874-7;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20acer;https://www.tokopedia.com/nyctophile-596/laptop-acer-aspire-3-a314-22-processor-amd-3020e-ram-4gb-ssd-256gb-1731597595090323231?extParam=ivf%3Dfalse%26keyword%3Dlaptop+acer%26search_id%3D202603280046385B8ADD2A5D98B1293EN8%26src%3Dsearch;Laptop Acer Aspire 3 A314-22/Processor AMD 3020e/Ram 4GB/SSD 256GB;2800000;;;;@Nyctophile
1774658880-8;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20acer;https://www.tokopedia.com/hardjanco/laptop-acer-aspire-e14-e5-475g-intel-core-i5-7th-ram-8gb-hdd-1tb-geforce-940mx-layar-14-inch-likenew-1731491495537902846?extParam=ivf%3Dfalse%26keyword%3Dlaptop+acer%26search_id%3D202603280046385B8ADD2A5D98B1293EN8%26src%3Dsearch;"LAPTOP ACER ASPIRE E14 E5-475G INTEL CORE I5-7th RAM 8GB HDD 1TB GEFORCE 940MX LAYAR 14""INCH LIKENEW";2875000;;;;Hardjan Store
1774658886-9;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20acer;https://www.tokopedia.com/nyctophile-596/laptop-acer-aspire-e5-476g-prosesor-intel-core-i5-8250u-ram-4gb-ssd-128gb-hdd-1tb-nvidia-geforce-mx130-1730839276973098783?extParam=ivf%3Dfalse%26keyword%3Dlaptop+acer%26search_id%3D202603280046385B8ADD2A5D98B1293EN8%26src%3Dsearch;LAPTOP Acer Aspire E5-476G Prosesor Intel Core i5-8250U/Ram 4GB/SSD 128GB+HDD 1TB/NVIDIA GeForce MX130;3000000;;;;@Nyctophile
1774658892-10;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20acer;https://www.tokopedia.com/drcomkomputer/laptop-acer-aspire-4741-intel-core-i3-ram-4-320gb-silver?extParam=ivf%3Dfalse%26keyword%3Dlaptop+acer%26search_id%3D202603280046385B8ADD2A5D98B1293EN8%26src%3Dsearch;Laptop Acer Aspire 4741 Intel Core i3 Ram 4/320gb Silver;1100000;50;2 rating • 2 ulasan;Terjual 7;DrCom_NEW
