web_scraper_order;web_scraper_start_url;link-product;product_name;price;rating;review_count;sold;seller
1774599245-1;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20HP;https://www.tokopedia.com/pusatgaminglaptop/laptop-hp-14-i7-1355-ram-16gb-ssd-512gb-windows-11-ohs-14-0-inc-full-hd-ips-blit-fp-2y-1734406607537079993?extParam=ivf%3Dfalse%26keyword%3Dlaptop+hp%26search_id%3D2026032708132737BC2F75BF1BCF0FFNLX%26src%3Dsearch;LAPTOP HP 14 I7 1355 RAM 16GB SSD 512GB WINDOWS 11+OHS 14.0 INC FULL HD IPS BLIT FP 2Y - LAPTOP;12599000;50;1 rating • 1 ulasan;Terjual 1;PUSAT GAMING LAPTOP
1774599251-2;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20HP;https://www.tokopedia.com/infonet-margonda-depok/hp-14-ep0261tu-ep0260tui3-1315u-8gb-512gb-ssd-14-fhd-ag-sva-250-nits-win11-ohs2024-intel-core-i3-1315u-8gb-ddr4-512gb-ssd-garansi-2-tahun-1732878519115810731?extParam=ivf%3Dfalse%26keyword%3Dlaptop+hp%26search_id%3D2026032708132737BC2F75BF1BCF0FFNLX%26src%3Dsearch;"HP 14 EP0261TU EP0260TUI3 1315U 8GB 512GB SSD 14"" FHD AG SVA 250 nits Win11 Ohs2024 Intel Core i3-1315U 8GB DDR4 512GB SSD Garansi 2 Tahun - GOLD, UNIT ONLY";6999000;50;3 rating • 2 ulasan;Terjual 4;INFONET MARGONDA DEPOK
1774599257-3;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20HP;https://www.tokopedia.com/spacetech/laptop-hp-14-em0332au-em0333au-ryzen-3-7320u-8gb-512gb-14-fhd-win11-ohs-1731233517789873785?extParam=ivf%3Dfalse%26keyword%3Dlaptop+hp%26search_id%3D2026032708132737BC2F75BF1BCF0FFNLX%26src%3Dsearch;"Laptop HP 14 em0332AU em0333AU Ryzen 3-7320U 8GB 512GB 14""FHD Win11 OHS - SILVER-256GB, TANPA ANTIGORES";7299000;50;129 rating • 66 ulasan;Terjual 100+;Space Tech Store
1774599263-4;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20HP;https://www.tokopedia.com/hosanacomp/laptop-hp-14s-dq5152tu-dq5227tu-i5-1235u-8gb-512gb-ssd-14-ips-win11-ohs-1731184852360266796?extParam=ivf%3Dfalse%26keyword%3Dlaptop+hp%26search_id%3D2026032708132737BC2F75BF1BCF0FFNLX%26src%3Dsearch;"Laptop HP 14s dq5152TU dq5227TU - I5 1235U 8GB 512GB SSD 14"" IPS WIN11 + OHS - 8GB 256GB SSD, WIN11 HOME";8799000;50;7 rating • 3 ulasan;Terjual 60+;HOSANA COMPUTER
1774599269-5;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20HP;https://www.tokopedia.com/hellonotebook/laptop-baru-hp-14-intel-celeron-n4120-quad-core-4cpus-up-to-2-6ghz-1732842831096415495?extParam=ivf%3Dfalse%26keyword%3Dlaptop+hp%26search_id%3D2026032708132737BC2F75BF1BCF0FFNLX%26src%3Dsearch;Laptop Baru Hp 14 Intel Celeron N4120 Quad Core 4Cpus up to 2,6Ghz - Silver, 4/64GB;3200000;50;22 rating • 14 ulasan;Terjual 30+;Hello Notebook
1774599275-6;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20HP;https://www.tokopedia.com/onestopgaming/laptop-hp-14-ryzen-5-7530u-ram-8gb-512gb-ssd-14-fhd-ips-windows-11-ohs-2024-silver-gold-1734000638688986370?extParam=ivf%3Dfalse%26keyword%3Dlaptop+hp%26search_id%3D2026032708132737BC2F75BF1BCF0FFNLX%26src%3Dsearch;"Laptop HP 14 Ryzen 5 7530U RAM 8GB 512GB SSD 14"" FHD IPS Windows 11 + OHS 2024 Silver Gold - Silver, 8GB, Standard Pack";8569000;50;32 rating • 25 ulasan;Terjual 100+;Onestop Gaming
1774599281-7;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20HP;https://www.tokopedia.com/tekno-digital-indonesia/laptop-hp-14s-dq3110tu-celeron-n4500-ram-8gb-ssd-512gb-14-backlight-keybaord-w11-office-2021-1731725953004766688?extParam=ivf%3Dfalse%26keyword%3Dlaptop+hp%26search_id%3D2026032708132737BC2F75BF1BCF0FFNLX%26src%3Dsearch;"LAPTOP HP 14S-DQ3110TU CELERON N4500 RAM 8GB SSD 512GB 14"" BACKLIGHT KEYBAORD W11 OFFICE 2021 - SILVER, (DISKON) 4GB/256GB SSD";5037000;50;3 rating • 3 ulasan;Terjual 30+;TEKNO DIGITAL INDONESIA
1774599287-8;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20HP;https://www.tokopedia.com/ekskom/laptop-hp-14-intel-core-i3-gen-13-1315u-ram-16gb-ssd-512gb-14-fhd-windows-11-home-1730350740396541405-1734653666696857053?extParam=ivf%3Dfalse%26keyword%3Dlaptop+hp%26search_id%3D2026032708132737BC2F75BF1BCF0FFNLX%26src%3Dsearch;"Laptop HP 14 Intel Core i3 Gen 13 1315U Ram 16GB SSD 512GB 14"" FHD Windows 11 Home+OHS - EP0321TU 4GB/512GB, UNIT+BONUS";6599000;50;2 rating • 1 ulasan;Terjual 9;Eksklusif Komputer
1774599293-9;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20HP;https://www.tokopedia.com/teknotrend/laptop-hp-14-ep0260tu-14-ep0261tu-core-i3-1315u-8gb-512gb-14-fhd-intel-uhd-graphics-w11-ohs-1733882228962330562?extParam=ivf%3Dfalse%26keyword%3Dlaptop+hp%26search_id%3D2026032708132737BC2F75BF1BCF0FFNLX%26src%3Dsearch;"Laptop HP 14-ep0260TU 14-ep0261TU Core i3-1315U 8GB 512GB 14"" FHD Intel UHD Graphics W11 OHS - Silver, NON Bundle";7379000;50;282 rating • 198 ulasan;Terjual 750+;TeknoTrend ID
1774599299-10;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20HP;https://www.tokopedia.com/laptopgrosirid/laptop-hp-14-core-i3-1315u-8gb-512gb-intel-uhd-graphics-14-fhd-windows-11-1731931046530680137?extParam=ivf%3Dfalse%26keyword%3Dlaptop+hp%26search_id%3D2026032708132737BC2F75BF1BCF0FFNLX%26src%3Dsearch;"Laptop HP 14 Core i3 1315U 8GB 512GB Intel UHD Graphics 14"" FHD Windows 11 - Non Bundling, 4GB / 512GB";8399000;50;1 rating • 1 ulasan;Terjual 9;Laptop Grosir ID
