web_scraper_order;web_scraper_start_url;link-product;product_name;price;rating;review_count;sold;seller
1774660255-1;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20HP;https://www.tokopedia.com/jualandokcomputer/laptop-hp-elitebook-840-g3-core-i5-gen-6-ram-8-ssd-256gb-win-10-ssd-256gb?extParam=ivf%3Dfalse%26keyword%3Dlaptop+hp%26search_id%3D202603280110174734BA6F3DE83D39F05Y%26src%3Dsearch;Laptop HP Elitebook 840 G3 Core i5 Gen 6 - RAM 8 - SSD 256GB - Win 10 - SSD 256GB;3300000;50;12 rating • 5 ulasan;Terjual 14;JUALANDOK Computer
1774660261-2;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20HP;https://www.tokopedia.com/jajananlaptop/hp-elitebook-840-g4-hp-elitebook-840-g3-hp-840-1732804364146083735?extParam=ivf%3Dfalse%26keyword%3Dlaptop+hp%26search_id%3D202603280110174734BA6F3DE83D39F05Y%26src%3Dsearch;HP Elitebook 840 G4 / HP Elitebook 840 G3 / HP 840 - 840 G3 i7-6th, 8GB / 256GB;2700000;50;2 rating • 1 ulasan;Terjual 3;Jajanan Laptop
1774660267-3;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20HP;https://www.tokopedia.com/bandar-electronics/terbaru-laptop-hp-intel-celeron-4gb-1tb-windows-10-14-inch-ram-2-500-hdd?extParam=ivf%3Dfalse%26keyword%3Dlaptop+hp%26search_id%3D202603280110174734BA6F3DE83D39F05Y%26src%3Dsearch;TERBARU! Laptop HP intel celeron 4GB 1TB windows 10 14 inch - RAM 2/500 HDD;1400000;49;16 rating • 8 ulasan;Terjual 30+;Gudang Laptops
1774660273-4;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20HP;https://www.tokopedia.com/yumnacomputer/laptop-hp-14s-cf1046tu-celeron-4205u-win10-1732419632256353493?extParam=ivf%3Dfalse%26keyword%3Dlaptop+hp%26search_id%3D202603280110174734BA6F3DE83D39F05Y%26src%3Dsearch;Laptop HP 14S-CF1046TU CELERON 4205U WIN10;2600000;;;;YumNa Computer
1774660279-5;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20HP;https://www.tokopedia.com/gugellaptop/hp-elitebook-745-g6-ryzen-5-pro-hp-elitebook-745-g5-ryzen-5-pro-1731426883007513890?extParam=ivf%3Dfalse%26keyword%3Dlaptop+hp%26search_id%3D202603280110174734BA6F3DE83D39F05Y%26src%3Dsearch;HP Elitebook 745 G6 Ryzen 5 Pro / HP elitebook 745 G5 Ryzen 5 Pro - 745 G5 R5-2500U, 8GB / 256GB;3600000;48;92 rating • 59 ulasan;Terjual 100+;Gugel Laptop
1774660286-6;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20HP;https://www.tokopedia.com/online-klik-trinity/ultrabook-hp-probook-440-450-g7-core-i5-gen-10th-ssd-not-thinkpad-x260-x280-1734006096155411822?extParam=ivf%3Dfalse%26keyword%3Dlaptop+hp%26search_id%3D202603280110174734BA6F3DE83D39F05Y%26src%3Dsearch;Ultrabook HP ProBook 440 450 G7 Core i5 Gen 10th SSD not Thinkpad X260 X280 - 440 G7 8GB/SSD 128GB;4299000;50;3 rating • 1 ulasan;Terjual 4;ONLINE KLIK TRINITY
1774660293-7;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20HP;https://www.tokopedia.com/laptopchoice/laptop-hp-630-430-440-g6-g7-g8-g9-inch-mulus-berkualitas-best-seller-1733983829312440180?extParam=ivf%3Dfalse%26keyword%3Dlaptop+hp%26search_id%3D202603280110174734BA6F3DE83D39F05Y%26src%3Dsearch;LAPTOP HP 630 430 440 G6 G7 G8 G9  INCH MULUS BERKUALITAS BEST SELLER!! - HP 430 G6 CELERON 4205U, RAM8GB SSD128GB;1900000;47;7 rating • 5 ulasan;Terjual 12;Laptop Choice
1774660299-8;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20HP;https://www.tokopedia.com/holau-computer-bogor/laptop-hp-14s-dq3111tu-intel-celeron-n4500-ram-8gb-sss-512gb?extParam=ivf%3Dfalse%26keyword%3Dlaptop+hp%26search_id%3D202603280110174734BA6F3DE83D39F05Y%26src%3Dsearch;Laptop Hp 14S-dq3111TU Intel Celeron N4500 Ram 8gb sss 512gb;3600000;50;1 rating • 0 ulasan;Terjual 2;HOLAU COMPUTER BOGOR
1774660305-9;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20HP;https://www.tokopedia.com/akcom1/laptop-hp-probook-x360-11-g1-ee-secound-bergaransi-1731162732689327494?extParam=ivf%3Dfalse%26keyword%3Dlaptop+hp%26search_id%3D202603280110174734BA6F3DE83D39F05Y%26src%3Dsearch;Laptop HP ProBook x360 11 G1 EE Secound Bergaransi - RAM 4 SSD 128;1750000;;;;Ak Com 2
1774660311-10;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20HP;https://www.tokopedia.com/raja-murah-pedia/laptop-hp-elitebook-840-g6-i7-gen8-ram-32-gb-ssd-2-tb-slim-promo-murah-hp-830-g6-i5-g8-ram-32-ssd-256-1e29a?extParam=ivf%3Dfalse%26keyword%3Dlaptop+hp%26search_id%3D202603280110174734BA6F3DE83D39F05Y%26src%3Dsearch;LAPTOP HP ELITEBOOK 840 G6 i7 GEN8 RAM 32 GB SSD 2 TB SLIM PROMO MURAH - HP 830 G6 I5 G8, RAM 32 SSD 256;4290000;49;104 rating • 74 ulasan;Terjual 100+;Raja Murah Pedia
