web_scraper_order;web_scraper_start_url;link-product;product_name;price;rating;review_count;sold;seller
1774601004-1;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Huawei;https://www.tokopedia.com/rumah-laptop-shop/big-promo-laptop-acer-aspire-lite-15-al15-c8t3-intel-celeron-n4500-ram-8gb-ssd-512gb-15-6-full-hd-ips-1732591596919818105?extParam=ivf%3Dfalse%26keyword%3Dlaptop+huawei%26search_id%3D202603270842458D3BBA7425E7C9353XZO%26src%3Dsearch;"BIg Promo Laptop Acer Aspire Lite 15 AL15-C8T3 Intel Celeron N4500 Ram 8GB SSD 512GB 15.6"" Full HD IPS - C8T3 8GB/256GB";5115050;;;1 barang berhasil terjual;Rumah Laptop Shop_NEW
1774601010-2;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Huawei;https://www.tokopedia.com/acerid/gajian-sale-acer-aspire-lite-14-al14-37p-c39a-n150-8gb-256gb-ssd-14-fhd-ips-w11h-oh2024-rose-sakura-pink-nx-dgzsn-001-laptop-kuliah-kerja-sekolah-pelajar-1733459121547609109?extParam=ivf%3Dfalse%26keyword%3Dlaptop+huawei%26search_id%3D202603270842458D3BBA7425E7C9353XZO%26src%3Dsearch;"[Gajian Sale] ACER ASPIRE LITE 14 AL14-37P-C39A N150 8GB 256GB SSD 14"" FHD IPS W11H OH2024 ROSE SAKURA PINK [NX.DGZSN.001] Laptop Kuliah, Kerja, Sekolah, Pelajar - Pink";6059000;50;16 rating • 11 ulasan;Terjual 40+;Acer Official Authorized Store
1774601016-3;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Huawei;https://www.tokopedia.com/juragan-digital/asus-vivobook-14-a407ua-intel-core-i5-8gb-ram-512gb-ssd-14-w11-office-2024-1733341835409196141?extParam=ivf%3Dfalse%26keyword%3Dlaptop+huawei%26search_id%3D202603270842458D3BBA7425E7C9353XZO%26src%3Dsearch;"ASUS Vivobook 14 A407UA Intel Core i5 8gb Ram 512Gb ssd 14"" W11 OFFICE 2024 - GREY, (PROMO) 4GB/1TB HDD";4480520;50;25 rating • 21 ulasan;Terjual 40+;Juragan Digital Internasional
1774601022-4;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Huawei;https://www.tokopedia.com/lenovolegion/lenovo-ideapad-slim-3-14iru8-i3-1315-8gb-256gb-512gb-w11-ohs-m365b-14-fhd-backlit-1732698701766756044?extParam=ivf%3Dfalse%26keyword%3Dlaptop+huawei%26search_id%3D202603270842458D3BBA7425E7C9353XZO%26src%3Dsearch;"LENOVO IDEAPAD SLIM 3 14IRU8 i3 1315 8GB 256GB / 512GB W11+OHS+M365B 14"" FHD BACKLIT - LAPTOP, 256GB";7299000;49;83 rating • 24 ulasan;Terjual 100+;Lenovo Legion Official
1774601028-5;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Huawei;https://www.tokopedia.com/decacom/lenovo-ideapad-slim-1-15-touch-i5-1335u-8gb-16gb-256gb-512gb-w11-15-6fhd-15iru7-1734195696625027039?extParam=ivf%3Dfalse%26keyword%3Dlaptop+huawei%26search_id%3D202603270842458D3BBA7425E7C9353XZO%26src%3Dsearch;LENOVO IDEAPAD SLIM 1 15 TOUCH i5-1335U 8GB/16GB 256GB/512GB W11 15.6FHD /15IRU7 - TANPA PAKET, 8GB 256GB NON TOUCH;7499000;49;38 rating • 20 ulasan;Terjual 100+;Deca Computer
1774601034-6;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Huawei;https://www.tokopedia.com/axioo-indonesia/axioo-laptop-hype-1-intel-celeron-n4020-4gb-128gb-hd-windows-11-1730815058184930389?extParam=ivf%3Dtrue%26keyword%3Dlaptop+huawei%26search_id%3D202603270842458D3BBA7425E7C9353XZO%26src%3Dsearch;Axioo Laptop Hype 1 Intel Celeron N4020/4GB/128GB/HD - Windows 11 - Blue, Include;3699000;49;58 rating • 27 ulasan;Terjual 100+;Axioo Indonesia
1774601040-7;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Huawei;https://www.tokopedia.com/sholehonl/lenovo-thinkpad-t14-gen-2-core-i7-1185g7-16gb-512ssd-w11pro-14-0fhd-1731669153093485799?extParam=ivf%3Dfalse%26keyword%3Dlaptop+huawei%26search_id%3D202603270842458D3BBA7425E7C9353XZO%26src%3Dsearch;LENOVO THINKPAD T14 GEN 2 CORE I7-1185G7 16GB 512SSD W11PRO 14.0FHD;6134300;50;7 rating • 4 ulasan;Terjual 80+;TOKO SHOLEH ONLINE
1774601046-8;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Huawei;https://www.tokopedia.com/alienwarestore/asus-vivobook-x1404va-intel-core-i7-1355u-i5-1335u-i3-1315u-16gb-512gb-windows-11-14-fhd-ips-1733314605857211736?extParam=ivf%3Dfalse%26keyword%3Dlaptop+huawei%26search_id%3D202603270842458D3BBA7425E7C9353XZO%26src%3Dsearch%26whid%3D4141453;"ASUS Vivobook X1404VA Intel Core I7 1355U / I5-1335U / I3-1315U - 16GB 512GB Windows 11 14"" FHD IPS - UNIT, I3 1315U - 8GB 256GB";6472000;50;56 rating • 29 ulasan;Terjual 100+;ALIENWARE GAMING STORE
1774601053-9;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Huawei;https://www.tokopedia.com/jagonotebook/laptop-zyrex-bunaken-n4020-4gb-256ssd-64gb-14-w10-1730406748102625145?extParam=ivf%3Dfalse%26keyword%3Dlaptop+huawei%26search_id%3D202603270842458D3BBA7425E7C9353XZO%26src%3Dsearch;"Laptop Zyrex Bunaken N4020 4GB 256SSD+64GB 14"" W10 - BLACK/W10, NON ANTIGORES";2799000;;;7 barang berhasil terjual;JAGO Notebook
1774601058-10;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Huawei;https://www.tokopedia.com/protechcom/asus-vivobook-go-14-e410ka-n4500-8gb-256gb-intel-uhd-14-fhd-w11-ohs-ddr4-8gb-c0e4b?extParam=ivf%3Dfalse%26keyword%3Dlaptop+huawei%26search_id%3D202603270842458D3BBA7425E7C9353XZO%26src%3Dsearch%26whid%3D375893;"ASUS Vivobook Go 14 E410KA N4500 8GB 256GB INTEL UHD 14"" FHD W11 OHS - DDR4 8GB";5729000;50;96 rating • 58 ulasan;Terjual 750+;ProTech Com
1774601064-11;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Huawei;https://www.tokopedia.com/kumparancellular/huawei-p40-pro-plus-8gb-512gb-garansi-resmi-bonus?extParam=ivf%3Dfalse%26keyword%3Dlaptop+huawei%26search_id%3D202603270842458D3BBA7425E7C9353XZO%26src%3Dsearch;HUAWEI P40 PRO PLUS 8GB 512GB GARANSI RESMI - Bonus;49999000;50;4 rating • 3 ulasan;Terjual 5;Kumparan Cellular
1774601071-12;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Huawei;https://www.tokopedia.com/helloel/honor-magicbook-15-15-6-wifi-6-ryzen-7-5700u-16-512gb-windows-laptop?extParam=ivf%3Dfalse%26keyword%3Dlaptop+huawei%26search_id%3D202603270842458D3BBA7425E7C9353XZO%26src%3Dsearch;"HONOR MagicBook 15 15.6"" WiFi 6 Ryzen 7-5700U 16/512GB Windows Laptop";13899000;;;;Hello El Official
1774601077-13;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Huawei;https://www.tokopedia.com/advan-by-urbanlife/advan-laptop-soulmate-x-14-ips-fhd-amd-3020e-8gb-128gb-win11-1733934541204981583?extParam=ivf%3Dfalse%26keyword%3Dlaptop+huawei%26search_id%3D202603270842458D3BBA7425E7C9353XZO%26src%3Dsearch;ADVAN Laptop | Soulmate X 14” IPS FHD AMD 3020e 8GB/128GB Win11 - White;3599000;50;5 rating • 4 ulasan;Terjual 30+;ADVAN BY URBANLIFE
1774601083-14;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Huawei;https://www.tokopedia.com/intelstore-id/lenovo-ideapad-5-2in1-14irh9-i5-13420h-16gb-512ssd-14-wuxga-w11-ohs-1730906114892203434?extParam=ivf%3Dfalse%26keyword%3Dlaptop+huawei%26search_id%3D202603270842458D3BBA7425E7C9353XZO%26src%3Dsearch;"LENOVO Ideapad 5 2IN1 14IRH9 - I5 13420H 16GB 512SSD 14"" WUXGA W11+OHS - Non Bundle, Windows 11 HOME";13299000;50;3 rating • 1 ulasan;Terjual 12;INTEL STORE ID
1774601088-15;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Huawei;https://www.tokopedia.com/itgalericibinong/free-keyboard-huawei-matepad-11-5-inch-new-tablet-6-128gb-pc-level-wps-office-huawei-notes-120hz-display-1733352035278161045?extParam=ivf%3Dfalse%26keyword%3Dlaptop+huawei%26search_id%3D202603270842458D3BBA7425E7C9353XZO%26src%3Dsearch;[FREE KEYBOARD] HUAWEI MatePad 11.5-inch New Tablet [6+128GB] | PC-level WPS Office | HUAWEI Notes | 120Hz Display;4159000;50;11 rating • 8 ulasan;Terjual 23;IT Galeri Cibinong City Mall
1774601094-16;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Huawei;https://www.tokopedia.com/prostorecomputer/laptop-axioo-hype-10-x-hype-1-intel-celeron-n4020-8gb-384gb-256gb-w11-office-14-0-hd-1733517027566323611?extParam=ivf%3Dfalse%26keyword%3Dlaptop+huawei%26search_id%3D202603270842458D3BBA7425E7C9353XZO%26src%3Dsearch%26whid%3D1366602;Laptop AXIOO HYPE 10 X HYPE 1 Intel Celeron N4020 8GB 384GB 256GB W11+OFFICE 14.0 HD - LAPTOP, W11 - 4GB 128GB;3274000;49;73 rating • 63 ulasan;Terjual 1 rb+;ProStoreComputer
1774601100-17;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Huawei;https://www.tokopedia.com/redstarelectronic/laptop-dell-latitude-7420-i7-gen-11-ram-16gb-1tb-ssd-free-aplikasi-mouse-dan-tas-1732961035208328243-1734820863674713139?extParam=ivf%3Dfalse%26keyword%3Dlaptop+huawei%26search_id%3D202603270842458D3BBA7425E7C9353XZO%26src%3Dsearch;LAPTOP Dell Latitude 7420 i7 Gen 11 Ram 16GB/1TB SSD (  FREE APLIKASI MOUSE DAN TAS ) - 7410 i5 10th, 16GB/256SSD;3650000;50;4 rating • 3 ulasan;Terjual 9;RedStar Electronic
1774601106-18;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Huawei;https://www.tokopedia.com/herlinacom/laptop-lenovo-ideapad-slim-3-14-intel-core-i3-1215u-ram-16gb-512gb-ssd-win-11-office-ohs-ori-14-0-full-hd-1731673280451806606?extParam=ivf%3Dtrue%26keyword%3Dlaptop+huawei%26search_id%3D202603270842458D3BBA7425E7C9353XZO%26src%3Dsearch;Laptop Lenovo Ideapad Slim 3 14 Intel Core i3 1215U Ram 16Gb 512Gb Ssd Win 11 + Office Ohs Ori 14.0 Full HD - NON PAKET, RAM 8GB 256GB SSD;6699000;50;54 rating • 12 ulasan;Terjual 100+;Herlinacom
1774601112-19;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Huawei;https://www.tokopedia.com/lenovolegion/lenovo-ideapad-slim-3-14iru8-i3-1315-8gb-256gb-512gb-w11-ohs-m365b-14-fhd-backlit-1732698750500898508?extParam=ivf%3Dtrue%26keyword%3Dlaptop+huawei%26search_id%3D202603270842458D3BBA7425E7C9353XZO%26src%3Dsearch;"LENOVO IDEAPAD SLIM 3 14IRU8 i3 1315 8GB 256GB / 512GB W11+OHS+M365B 14"" FHD BACKLIT - LAPTOP, 256GB";7299000;50;95 rating • 49 ulasan;Terjual 250+;Lenovo Legion Official
1774601118-20;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Huawei;https://www.tokopedia.com/advanofficialitstore/advan-soulmate-x-14-ips-fhd-amd-3020e-4gb-128gb-free-windows-11-original-laptop-notebook-upgradeable-1733887771724121910?extParam=ivf%3Dtrue%26keyword%3Dlaptop+huawei%26search_id%3D202603270842458D3BBA7425E7C9353XZO%26src%3Dsearch%26whid%3D21392602;ADVAN Soulmate X 14” IPS FHD AMD 3020e 4GB/128GB Free Windows 11 Original Laptop Notebook Upgradeable - White;3199000;49;22 rating • 19 ulasan;Terjual 100+;ADVAN NOTEBOOK
1774601124-21;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Huawei;https://www.tokopedia.com/asusrogindonesia/asus-vivobook-go-14-e1404fa-amd-ryzen-3-7320u-8gb-256gb-ssd-14inch-win11-ohs-1731029556675118730?extParam=ivf%3Dfalse%26keyword%3Dlaptop+huawei%26search_id%3D202603270842458D3BBA7425E7C9353XZO%26src%3Dsearch;ASUS Vivobook Go 14 E1404FA-AMD Ryzen 3 7320U-8GB-256GB SSD-14inch-WIN11+OHS - LAPTOP;6599000;48;41 rating • 20 ulasan;Terjual 100+;ASUS ROG Indonesia
1774601130-22;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Huawei;https://www.tokopedia.com/amolilaptop/touchscreen-amoli-laptop-2-in-1-intel-n4020-11-6-inch-laptop-8gb-256gb-ssd-gratis-instalasi-windows-11-office-garansi-1-tahun-laptop-gaming-laptop-pembelajaran-1733476128223757770?extParam=ivf%3Dfalse%26keyword%3Dlaptop+huawei%26search_id%3D202603270842458D3BBA7425E7C9353XZO%26src%3Dsearch;[Touchscreen]AMOLI Laptop 2-in-1 Intel N4020 11,6 inch laptop  8GB + 256GB SSD Gratis Instalasi Windows 11 + office+Garansi 1 Tahun+ Laptop Gaming, Laptop Pembelajaran - Perak-N4020, 8+256GB;3250000;49;624 rating • 587 ulasan;Terjual 1 rb+;AMOLILAPTOP
1774601137-23;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Huawei;https://www.tokopedia.com/supergadget-729/huawei-matepad-se-11-inch-6-128-gb-tablet-11-inch-1729719528070350148?extParam=ivf%3Dfalse%26keyword%3Dlaptop+huawei%26search_id%3D202603270842458D3BBA7425E7C9353XZO%26src%3Dsearch;Huawei Matepad SE 11 inch 6/128 GB Tablet 11 inch - Device Only, Gray;2619000;50;684 rating • 295 ulasan;Terjual 1 rb+;SUPERGADGET
1774601143-24;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Huawei;https://www.tokopedia.com/hp/laptop-hp-intel-core-i3-uhd-4gb-8gb-ram-512gb-ssd-silver-windows-11-home-14-inch-garansi-2-tahun-official-1732138607355594627?extParam=ivf%3Dfalse%26keyword%3Dlaptop+huawei%26search_id%3D202603270842458D3BBA7425E7C9353XZO%26src%3Dsearch;Laptop HP Intel Core i3 UHD 4GB / 8GB RAM 512GB SSD Silver Windows 11 Home 14 Inch Garansi 2 Tahun Official - 1315U 8/512GB, SIlver;9499900;49;497 rating • 203 ulasan;Terjual 1 rb+;HP Indonesia
1774601148-25;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Huawei;https://www.tokopedia.com/lenovoyogaofficial/lenovo-ideapad-slim-3-ideapad-14iru8-i3-1315-8gb-512gb-w11-ohs-m365b-14-fhd-1733943900891546987?extParam=ivf%3Dfalse%26keyword%3Dlaptop+huawei%26search_id%3D202603270842458D3BBA7425E7C9353XZO%26src%3Dsearch;"LENOVO IDEAPAD SLIM 3 IdeaPad 14IRU8 I3 1315 8GB 512GB W11+OHS+M365B 14"" FHD - LAPTOP, 256GB";7299000;50;32 rating • 27 ulasan;Terjual 250+;Lenovo Yoga Official
1774601155-26;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Huawei;https://www.tokopedia.com/itgaleri/huawei-matepad-11-5-6gb-128gb-grey-1730849115075806378?extParam=ivf%3Dfalse%26keyword%3Dlaptop+huawei%26search_id%3D202603270842458D3BBA7425E7C9353XZO%26src%3Dsearch;HUAWEI Matepad 11.5 - 6GB/128GB/Grey;4145000;49;59 rating • 25 ulasan;Terjual 100+;IT Galeri
1774601161-27;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Huawei;https://www.tokopedia.com/alvinluo-shop/laptop-lenovo-x1-yoga-3rd-core-i5-gen-8-touchscreen-ram-8-1tb-ssd-1st-i5-gen-6-8gb-256gb-ddb02?extParam=ivf%3Dfalse%26keyword%3Dlaptop+huawei%26search_id%3D202603270842458D3BBA7425E7C9353XZO%26src%3Dsearch;Laptop Lenovo X1 Yoga 3RD Core i5 gen 8- TOUCHSCREEN-RAM 8/1TB SSD - 1ST I5 GEN 6, 8GB/256GB;3150000;47;128 rating • 69 ulasan;Terjual 250+;MR elektronik
1774601166-28;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Huawei;https://www.tokopedia.com/hosanacomp/laptop-hp-14s-dq3109tu-dq3110tu-dq3111tu-dq3133tu-dq3888tu-n4500-8gb-512gb-ssd-win11-ohs-1731184867749102636?extParam=ivf%3Dfalse%26keyword%3Dlaptop+huawei%26search_id%3D202603270842458D3BBA7425E7C9353XZO%26src%3Dsearch;LAPTOP HP 14S DQ3109TU DQ3110TU DQ3111TU DQ3133TU DQ3888TU - N4500 8GB 512GB SSD WIN11 + OHS - 4GB 256GB SSD;5299000;50;24 rating • 7 ulasan;Terjual 60+;HOSANA COMPUTER
1774601172-29;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Huawei;https://www.tokopedia.com/milanbarok39/promo-new-laptop-asus-vivobook-go-e410ka-cl464-intel-n4500-64gb-emmc-256gb-ssd-windows-11-original-1730746833987012043?extParam=ivf%3Dfalse%26keyword%3Dlaptop+huawei%26search_id%3D202603270842458D3BBA7425E7C9353XZO%26src%3Dsearch;PROMO NEW LAPTOP Asus VivoBook Go E410KA-CL464 Intel N4500 64GB Emmc + 256GB SSD Windows 11 ORIGINAL;3756450;50;1 rating • 0 ulasan;Terjual 4;Cahaya Negeri Official
1774601178-30;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Huawei;https://www.tokopedia.com/collinsofficial/collins-x-ww-asus-vivobook-go-14-e1404fa-amd-ryzen-3-7320u-ddr5-8gb-14-fhd-w11-ohs-1732153170656003271?extParam=ivf%3Dfalse%26keyword%3Dlaptop+huawei%26search_id%3D202603270842458D3BBA7425E7C9353XZO%26src%3Dsearch%26whid%3D6541860;"[COLLINS X WW] ASUS Vivobook Go 14 E1404FA AMD Ryzen 3-7320U DDR5 8GB 14"" FHD W11 OHS - SSD 256GB, Black";6599000;49;22 rating • 17 ulasan;Terjual 100+;Collins Official
