web_scraper_order;web_scraper_start_url;link-product;product_name;price;rating;review_count;sold;seller
1774669290-1;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20huawei%20matebook;https://www.tokopedia.com/spectrum-laptops/laptop-asus-zenbook-ux333f-intel-core-i5-generasi-8-windows-11-pro-1733562318889977630?extParam=ivf%3Dfalse%26keyword%3Dlaptop+huawei+matebook%26search_id%3D2026032803404011B9842E0A271F3910SL%26src%3Dsearch;Laptop Tipis Compact Asus ZenBook UX333F Intel Core i5 Generasi 8 Windows 11 Pro Ori + Office LTSC;3950000;50;1 rating • 0 ulasan;Terjual 1;Spectrum Laptops
1774669296-2;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20huawei%20matebook;https://www.tokopedia.com/bursalaptopefek/laptop-axioo-mybook-14f-layar-2k-super-jernih-seri-baru-super-slim-like-new-fullset-grey-1730779003779712489?extParam=ivf%3Dfalse%26keyword%3Dlaptop+huawei+matebook%26search_id%3D2026032803404011B9842E0A271F3910SL%26src%3Dsearch;Laptop Axioo Mybook 14F, Layar 2K, Super Jernih, Seri Baru, Super Slim, Like New, Fullset, Grey;1900000;;;5 barang berhasil terjual;Bursa laptop efek
1774669303-3;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20huawei%20matebook;https://www.tokopedia.com/laptopworks/laptop-hp-x360-11-g6-2in1-touchscreen-core-i5-gen-10-ram-8gb-ssd-512gb-free-tas-mouse-1733618802012488855?extParam=ivf%3Dfalse%26keyword%3Dlaptop+huawei+matebook%26search_id%3D2026032803404011B9842E0A271F3910SL%26src%3Dsearch;Laptop HP X360 11 G6 2in1 Touchscreen Core I5 Gen 10 Ram 8GB Ssd 512GB Free Tas & Mouse - 8GB, NO SSD;3385000;;;2 barang berhasil terjual;LaptopWorks
1774669309-4;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20huawei%20matebook;https://www.tokopedia.com/cahayacllr/huawei-matepro-13-2-inc-12-256gb?extParam=ivf%3Dfalse%26keyword%3Dlaptop+huawei+matebook%26search_id%3D2026032803404011B9842E0A271F3910SL%26src%3Dsearch;Huawei MatePro 13.2 inc 12/256GB;11250000;50;1 rating • 0 ulasan;Terjual 1;Cahaya Dailyshop
1774669315-5;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20huawei%20matebook;https://www.tokopedia.com/truevinestore/huawei-matepad-12-x-papermatte-edition-12gb-256gb-keyboard-m-pencil-12x-2-1731502927811348419?extParam=ivf%3Dfalse%26keyword%3Dlaptop+huawei+matebook%26search_id%3D2026032803404011B9842E0A271F3910SL%26src%3Dsearch;Huawei MatePad 12 X PaperMatte Edition 12GB / 256GB + Keyboard + M Pencil 12X (2);7399000;50;2 rating • 1 ulasan;Terjual 3;True Vine Store
1774669321-6;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20huawei%20matebook;https://www.tokopedia.com/wdcomputer/fujitsu-lifebook-u938-spesial-japan-edition-laptop-ultra-slim-intel-core-i7-gen-8-ram-8gb-ssd-256gb-layar-13-3-full-hd-ips-garansi-30-hari-bonus-tas-dan-mouse-1733422695249577154?extParam=ivf%3Dfalse%26keyword%3Dlaptop+huawei+matebook%26search_id%3D2026032803404011B9842E0A271F3910SL%26src%3Dsearch;"Fujitsu Lifebook U938 Spesial Japan Edition Laptop Ultra Slim Intel Core i7 Gen 8 RAM 8GB SSD 256GB Layar 13.3"" Full HD IPS Garansi 30 Hari Bonus Tas dan Mouse - Fujitsu U937 Core I5 Gen 7 Ram 4 Gb, No Ssd";2240000;50;52 rating • 32 ulasan;Terjual 100+;WD.COMPUTER
1774669326-7;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20huawei%20matebook;https://www.tokopedia.com/mcjkt/huawei-mate-x3-12gb-512gb-second-original-100-garansi-resmi-1729847108885382393?extParam=ivf%3Dfalse%26keyword%3Dlaptop+huawei+matebook%26search_id%3D2026032803404011B9842E0A271F3910SL%26src%3Dsearch;HUAWEI Mate X3 | 12GB | 512GB | Second Original 100% Garansi Resmi;10000000;50;1 rating • 1 ulasan;Terjual 3;Mc Jkt
1774669332-8;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20huawei%20matebook;https://www.tokopedia.com/drcomkomputer/laptop-acer-travelmate-6292-coretuduo-ram-2-120gb-black?extParam=ivf%3Dfalse%26keyword%3Dlaptop+huawei+matebook%26search_id%3D2026032803404011B9842E0A271F3910SL%26src%3Dsearch;Laptop Acer Travelmate 6292, Coretuduo, Ram 2/120Gb, Black;1100000;50;1 rating • 1 ulasan;Terjual 1;DrCom_NEW
1774669338-9;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20huawei%20matebook;https://www.tokopedia.com/chocogadget/hp-pro-x2-612-g2-touchscreen-intel-i5-ram-8gb-ssd-256gb-second-original-1734183929243206691?extParam=ivf%3Dfalse%26keyword%3Dlaptop+huawei+matebook%26search_id%3D2026032803404011B9842E0A271F3910SL%26src%3Dsearch;HP Pro X2 612 G2 Touchscreen Intel i5 Ram 8GB SSD 256GB Second Original;2850000;50;3 rating • 1 ulasan;Terjual 10;Bandung-Macbook
1774669344-10;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20huawei%20matebook;https://www.tokopedia.com/gudanglaptop-2/fujitsu-lifebook-e736-core-i5-ram-8gb-ssd-256gb-layar14-in-win11-likenew-nominus?extParam=ivf%3Dfalse%26keyword%3Dlaptop+huawei+matebook%26search_id%3D2026032803404011B9842E0A271F3910SL%26src%3Dsearch;"FUJITSU LIFEBOOK E736 core i5 ram 8GB/ssd 256GB layar14""in win11 LIKENEW NOMINUS";2870000;;;;PUSAT LAPTOP SOLO
