web_scraper_order;web_scraper_start_url;link-product;product_name;price;rating;review_count;sold;seller
1774602550-1;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20Infinix;https://www.tokopedia.com/officialinfinix/infinix-xpad-20-pro-8-128gb-mediatek-g100-ultimate-12-2k-90hz-8000-mah-4g-lte-1732714407014532484?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D2026032709083237BC2F75BF1BCF14CNF1%26src%3Dsearch%26whid%3D18657253;"Infinix XPAD 20 Pro 8/128GB - Mediatek G100 Ultimate - 12"" 2K 90Hz  - 8000 mAh - 4G LTE - Titanium Grey";3099000;49;214 rating • 80 ulasan;Terjual 750+;Infinix Indonesia
1774602556-2;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20Infinix;https://www.tokopedia.com/klacomputerofficial/advan-laptop-workmate-amd-ryzen-5-3500u-intel-i3-1215u-8gb-ssd-256gb-14-inch-fhd-windows-11-original-garansi-resmi-1734496548033693578?extParam=ivf%3Dtrue%26keyword%3Dlaptop+infinix%26search_id%3D2026032709083237BC2F75BF1BCF14CNF1%26src%3Dsearch%26whid%3D20518393;Advan Laptop Workmate AMD Ryzen 5 3500U / Intel i3-1215U 8GB SSD 256GB 14 Inch FHD+ Windows 11 Original Garansi Resmi - Workmate R5-Grey;5249000;;;;KLA Computer
1774602563-3;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20Infinix;https://www.tokopedia.com/advan-store-by-twincom/laptop-advan-soulmate-celeron-n4020-8gb-128gb-w11-14-hd-garansi-resmi-1734370398901929468?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D2026032709083237BC2F75BF1BCF14CNF1%26src%3Dsearch;"Laptop ADVAN Soulmate Celeron N4020 8GB/128GB | W11 14"" HD GARANSI RESMI";3834145;;;;Advan Store by Twincom
1774602568-4;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20Infinix;https://www.tokopedia.com/philosophy-computer/laptop-axioo-hype-1-n4020-4gb-8gb-128gb-windows-11-14-hd-1731382056905770968?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D2026032709083237BC2F75BF1BCF14CNF1%26src%3Dsearch;LAPTOP AXIOO HYPE 1 | N4020 4GB/8GB 128GB Windows 11 14 HD - +ACC, 4GB;2649000;50;1 rating • 0 ulasan;Terjual 40+;Philosophy Computer
1774602574-5;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20Infinix;https://www.tokopedia.com/officialinfinix/infinix-smart-10-3-64gb-up-to-6gb-extended-ram-6-67-inch-120hz-hd-t7250-5000-mah-1732253499172160900?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D2026032709083237BC2F75BF1BCF14CNF1%26src%3Dsearch%26whid%3D18657253;Infinix Smart 10 3/64GB - Up to 6GB Extended RAM - 6.67 inch 120Hz HD+ - T7250 - 5000 mAh - Sleek Black;1219000;49;1130 rating • 191 ulasan;Terjual 4 rb+;Infinix Indonesia
1774602580-6;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20Infinix;https://www.tokopedia.com/sumtra/infinix-inbook-x1-i3-1005g1-8gb-512ssd-nvme-14-0fhd-ips-100-srgb-w11?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D2026032709083237BC2F75BF1BCF14CNF1%26src%3Dsearch;Infinix inbook x1 i3-1005G1 8GB 512SSD NVME 14,0FHD IPS 100% sRGB W11;4799000;;;1 barang berhasil terjual;Afiqa Computer
1774602587-7;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20Infinix;https://www.tokopedia.com/emilcomp/infinix-inbook-x2-i3-1005g1-4gb-256nvme-14fhd-ips-w11-gry?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D2026032709083237BC2F75BF1BCF14CNF1%26src%3Dsearch;INFINIX INBOOK X2 I3 1005G1/4GB/256NVME/14FHD IPS/W11/GRY;4708000;;;;emilcomp
1774602593-8;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20Infinix;https://www.tokopedia.com/kkteknologi/infinix-inbook-air-i3-1215u-8gb-512gb-gold-100-srgb-1731324895520064643?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D2026032709083237BC2F75BF1BCF14CNF1%26src%3Dsearch;Infinix Inbook Air i3 1215u 8gb 512gb Gold  100% Srgb - Lengkp;6400000;;;2 barang berhasil terjual;Kasih Karunia Teknologi
1774602599-9;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20Infinix;https://www.tokopedia.com/allkomputejkt/laptop-infinix-inbook-x2-2025-i5-1334-ram-16gb-storage-512gb-ssd-layar-14-0-inch-fhd-srgb-100-windows-11-1731060172723160840-1734582492644083464?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D2026032709083237BC2F75BF1BCF14CNF1%26src%3Dsearch;Laptop Infinix INBook X2 2025 i5 1334 16GB 512GB FHD 100% sRGB Metal - Baru Resmi 2 Tahun - 8/512, Blue;6799000;;;;allkomputer
1774602605-10;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20Infinix;https://www.tokopedia.com/gaminglaptopid/infinix-inbook-x2-2025-i5-1334u-8gb-512ssd-win11-14-fhd-srgb100-1734413668467115627?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D2026032709083237BC2F75BF1BCF14CNF1%26src%3Dsearch;"INFINIX INBOOK X2 2025 i5 1334U 8GB 512SSD WIN11 14"" FHD SRGB100 - 8GB - GREY, NON BUNDLING";6774000;50;2 rating • 2 ulasan;Terjual 5;Gaming Laptop ID
