web_scraper_order;web_scraper_start_url;link-product;product_name;price;rating;review_count;sold;seller
1774671391-1;https://www.tokopedia.com/search?condition=1&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/tokohpmurahcom/resmi-microsoft-surface-pro-9-core-i7-i5-1tb-512gb-256gb-128gb-i5-8-256gb-shapire-4f7d5?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D20260328041558EFE937780E9557123C8B%26src%3Dsearch;(Resmi) Microsoft Surface Pro 9 Core i7 / i5 1TB 512GB 256GB 128GB - i5 8/256GB, SHAPIRE;14749000;;;;tokohpmurahcom
1774671397-2;https://www.tokopedia.com/search?condition=1&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/mycomshop/microsoft-surface-laptop-studio-i7-11370h-16gb-ram-512gb-ssd-rtx3050ti?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D20260328041558EFE937780E9557123C8B%26src%3Dsearch;Microsoft Surface Laptop Studio i7-11370H 16GB RAM 512GB SSD RTX3050Ti;46600000;50;1 rating • 1 ulasan;Terjual 5;MYCOMSHOP
1774671403-3;https://www.tokopedia.com/search?condition=1&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/depasar-indonesia/microsoft-surface-pro-12-ram-16gb-256gb-512gb-snapdragon-x-plus-tablet-windows-ringan-tips-kecil-1732027257505613570?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D20260328041558EFE937780E9557123C8B%26src%3Dsearch;Microsoft Surface Pro 12 Ram 16GB 256GB 512GB Snapdragon X Plus Tablet Windows Ringan Tips Kecil - 256GB;13990000;;;;dePASAR Indonesia
1774671409-4;https://www.tokopedia.com/search?condition=1&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/vj-official/microsoft-surface-pro-12-x-plus-memori-16-gb-ssd-256-gb-win-11-pro-1732181513186805744?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D20260328041558EFE937780E9557123C8B%26src%3Dsearch;Microsoft Surface Pro 12 X Plus Memori 16 GB SSD 256 GB Win 11 Pro;14899000;;;;VJ OFFICIAL
1774671414-5;https://www.tokopedia.com/search?condition=1&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/reloadcoms/microsoft-surface-10-pro-business-ultra-7-165u-16gb-256gb-2-8k-with-signature-keyboard-n-pen-istimewa-1731961089719109562?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D20260328041558EFE937780E9557123C8B%26src%3Dsearch;MICROSOFT SURFACE 10 PRO BUSINESS ULTRA 7 165U 16GB 256GB 2.8K WITH SIGNATURE KEYBOARD N PEN ISTIMEWA;28500000;;;;Reload COMS
1774671420-6;https://www.tokopedia.com/search?condition=1&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/otomasistore/microsoft-surface-laptop-se-11-6-intel-n4120-4gb-64gb-6c5d6?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D20260328041558EFE937780E9557123C8B%26src%3Dsearch;"Microsoft Surface Laptop SE 11.6"" Intel N4120 - 4GB 64GB";6593000;;;;Otomasi_NEW
1774671426-7;https://www.tokopedia.com/search?condition=1&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/smartcompstoreoffic/microsoft-surface-go-2-gold-8gb-ram-128gb-ssd-win-11-office-tablet-dengan-prosesor-intel-pentium-gold-4425y2m-layar-10-5-pixelsense-display-1731712659679643200?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D20260328041558EFE937780E9557123C8B%26src%3Dsearch;"Microsoft Surface Go 2 Gold 8GB RAM 128GB SSD Win 11 + Office Tablet dengan Prosesor Intel Pentium Gold 4425Y2M & Layar 10.5"" PixelSense Display";3720000;;;;SMARTCOMP STORE
1774671432-8;https://www.tokopedia.com/search?condition=1&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/mgnotebook/microsoft-surface-pro-3-intel-core-i5-gen-4-ram-8gb-ssd-256gb-touchscreen-1732926593381795489?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D20260328041558EFE937780E9557123C8B%26src%3Dsearch;Microsoft Surface Pro 3 Intel Core i5 Gen 4 RAM 8GB SSD 256GB Touchscreen;2700000;;;;MGnotebook
1774671438-9;https://www.tokopedia.com/search?condition=1&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/bigberry-store/microsoft-surface-pro-8-intel-i5-gen-11-8gb-128gb-1731216379300185574?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D20260328041558EFE937780E9557123C8B%26src%3Dsearch;Microsoft Surface Pro 8 Intel i5 Gen 11 8GB 128GB - i5 8GB 128GB, PLATINUM;12375000;50;50 rating • 24 ulasan;Terjual 60+;Bigberry Store
1774671444-10;https://www.tokopedia.com/search?condition=1&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/pusatko/microsoft-surface-pro-7-ci5-1035g4-1-1ghz-8gb-128gb-black-free-keyboard-1731231073413662102?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D20260328041558EFE937780E9557123C8B%26src%3Dsearch;"MICROSOFT SURFACE PRO 7/CI5,1035G4 1.1GHZ/8GB/128GB BLACK "" Free Keyboard "" - 8/128 GB";4800000;;;1 barang berhasil terjual;Pusat Komputer
