web_scraper_order;web_scraper_start_url;link-product;product_name;price;rating;review_count;sold;seller
1774672753-1;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/central-electronic-cv/microsoft-surface-pro-4-core-i5-mulus-like-new-1733140980886963556?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D202603280438404734BA6F3DE83D25DYSN%26src%3Dsearch;Microsoft Surface pro 4 core i5 mulus like new;3500000;;;;Central Electronic Cv
1774672759-2;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/kajoedstore17/laptop-2-in-1-microsoft-surface-pro-4-cor-i5-ram-8gb-ssd-256gb-tablet?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D202603280438404734BA6F3DE83D25DYSN%26src%3Dsearch;Laptop 2 in 1 Microsoft Surface Pro 4 Cor i5 Ram 8GB SSD 256GB Tablet;5550000;;;;kajoedstore17
1774672764-3;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/camlaystore/surface-laptop-5-touchscreen-intel-core-i5-1235u-ram-8-ssd-512?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D202603280438404734BA6F3DE83D25DYSN%26src%3Dsearch;Surface Laptop 5 touchscreen Intel Core i5-1235U Ram 8 SSD 512;6800000;;;;Camlay Store
1774672770-4;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/dissant/microsoft-surface-pro-6-i5-8350u-8gb-ram-128gb-ssd?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D202603280438404734BA6F3DE83D25DYSN%26src%3Dsearch;MICROSOFT SURFACE PRO 6 I5 8350U 8GB RAM 128GB SSD;5200000;50;1 rating • 1 ulasan;Terjual 1;DissantsStore
1774672776-5;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/counter-laptop/microsoft-surface-laptop-2-ci5-8350u-1-70ghz-8gb-256gb-touchscreen-ci7-7d11d?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D202603280438404734BA6F3DE83D25DYSN%26src%3Dsearch;MICROSOFT SURFACE LAPTOP 2 CI5,8350U,1,70GHZ/8GB/256GB TOUCHSCREEN - ci7;3550000;;;;Counter Laptop
1774672782-6;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/rojenri79/laptop-microsoft-surface-pro-5-core-i5-8th-ram-8gb-ssd-256gb-12-inch-2k-mulus-1731925355348133146-1734668761708397850?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D202603280438404734BA6F3DE83D25DYSN%26src%3Dsearch;Laptop Microsoft Surface Pro 7 Core i5 1035G4 Ram 8GB SSD 256GB 12-inch QHD - 8GB/128GB;6950000;50;4 rating • 4 ulasan;Terjual 6;Ropindo Computer
1774672788-7;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/wqzwqkqw/microsoft-surface-pro-7-i5-gen10-8-256gb-touchscreen-2-in-1-laptop?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D202603280438404734BA6F3DE83D25DYSN%26src%3Dsearch;Microsoft Surface pro 7 i5 gen10 8 256GB touchscreen 2 in 1 laptop;8000000;;;;computershopsamarinda
1774672794-8;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/zonakomputerjakarta/microsoft-surface-pro-5-ci5-73000u-2-60ghz-8gb-256gb?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D202603280438404734BA6F3DE83D25DYSN%26src%3Dsearch;MICROSOFT SURFACE PRO 5 Ci5- 73000u 2,60ghz 8GB 256GB;2437650;;;2 barang berhasil terjual;Zona Komputer Jakarta
1774672800-9;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/hananiacipulir/microsoft-surface-pro-5-core-i7-8-256-1731419703889921734?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D202603280438404734BA6F3DE83D25DYSN%26src%3Dsearch;MICROSOFT SURFACE PRO 5 CORE I7 8/256;3550000;;;1 barang berhasil terjual;ENCHANTED.jkt
1774672806-10;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/excelautotech/laptop-2-in-1-stylish-microsoft-surface-pro-6-1733990918072337792?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D202603280438404734BA6F3DE83D25DYSN%26src%3Dsearch;Laptop 2 in 1 Stylish : Microsoft Surface Pro 6;2200000;;;;Excel Autotech
1774672812-11;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/counter-laptop/microsoft-surface-go-2-pentium-4425y-1-7ghz-8gb-128gb-surface-go-1-b8d74?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D202603280438404734BA6F3DE83D25DYSN%26src%3Dsearch;MICROSOFT SURFACE GO 2 PENTIUM 4425Y 1.7GHZ / 8GB / 128GB - SURFACE GO 1;2200000;50;1 rating • 1 ulasan;Terjual 2;Counter Laptop
1774672818-12;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/depasar-indonesia/laptop-i7-microsoft-surface-laptop-2-i7-16gb-layar-sentuh-touch-screen-keyboard-1732851911978157826?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D202603280438404734BA6F3DE83D25DYSN%26src%3Dsearch;laptop i7 Microsoft surface Laptop 2 i7 16GB layar sentuh touch screen Keyboard;6999000;;;;dePASAR Indonesia
1774672824-13;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/casterlyindonesia/microsoft-surface-book-2-i7-gen-8-ddr4-16-ssd-512-gtx-1060-6-gb-15-4k-i7-8-256-14?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D202603280438404734BA6F3DE83D25DYSN%26src%3Dsearch;"Microsoft Surface Book 2 i7 gen 8 ddr4 16 ssd 512 GTX 1060 6 gb 15"" 4k - i7 8 256 14""";5400000;50;3 rating • 3 ulasan;Terjual 7;casterly indonesia
1774672830-14;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/daraspeed/surface-laptop-2-i7-8650u-ram-16gb-ssd-512gb-touchscreen-resolusi-2k-1733340297124807843?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D202603280438404734BA6F3DE83D25DYSN%26src%3Dsearch;SURFACE LAPTOP 2 i7-8650U / RAM 16GB / SSD 512GB / TOUCHSCREEN / RESOLUSI 2K;4500000;;;1 barang berhasil terjual;DARA SPEED COMP
1774672836-15;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/gerobakacc/surface-pro-5-core-i5-256gb-cellular-edition-with-original-keyboard?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D202603280438404734BA6F3DE83D25DYSN%26src%3Dsearch;Surface Pro 5 Core i5 256GB Cellular Edition With Original Keyboard;4600000;50;7 rating • 6 ulasan;Terjual 11;GerobakACC
1774672842-16;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/rimaslaptopof/microsoft-surface-pro-6-touch-screen-i5-gen-8-ram-8gb-128gb-ssd-bekas?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D202603280438404734BA6F3DE83D25DYSN%26src%3Dsearch;MICROSOFT SURFACE PRO 6 TOUCH SCREEN I5 GEN 8 RAM 8GB 128GB SSD|BEKAS;9500000;;;;Rimas Laptop
1774672848-17;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/shoozay/microsoft-surface-pro-3-i5-4300u-8gb-ram-256gb-ssd-2160x1440-mulus53?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D202603280438404734BA6F3DE83D25DYSN%26src%3Dsearch;MICROSOFT SURFACE PRO 3 I5 4300U 8GB RAM 256GB SSD 2160X1440 MULUS53;2150000;50;14 rating • 5 ulasan;Terjual 30+;Shoozay
1774672854-18;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/zondocomputer/laptop-microsoft-surface-pro-5-intel-core-i5-12-3-inch-touch-2k-corning-glass-1733955342095255011?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D202603280438404734BA6F3DE83D25DYSN%26src%3Dsearch;Laptop Microsoft Surface Pro 5 Intel Core i5  12,3-Inch Touch 2K Corning Glass - 8GB/256GB;5047000;50;4 rating • 2 ulasan;Terjual 9;Zondo Computer
1774672860-19;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/robalcomputer/microsoft-surface-book-2-core-i7-gen-8th-nvidia-gtx-1050-13-inch-3k-8gb-ssd-256gb-16864?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D202603280438404734BA6F3DE83D25DYSN%26src%3Dsearch;Microsoft Surface Book 2 Core i7 Gen 8th Nvidia GTX 1050 13-Inch 3K - 8GB/SSD 256GB;7830200;;;;Robal Computer
1774672866-20;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/gudanglaptopbt/laptop-2-in-1-microsoft-surface-pro-6-core-i5-gen-8-ram-8-gb-ssd-256-gb-layar-12-3-inch-2k-touchscreen-1731128747434215066?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D202603280438404734BA6F3DE83D25DYSN%26src%3Dsearch;Laptop 2 in 1 Microsoft Surface Pro 6 Core i5 Gen 8 RAM 8 GB SSD 256 GB Layar 12'3 inch 2K Touchscreen;4490000;;;;GudangLaptoopBtm
1774672872-21;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/fhfhfh/microsoft-surface-core-i5-gen3-window-1731753787773585322?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D202603280438404734BA6F3DE83D25DYSN%26src%3Dsearch;Microsoft surface core i5 Gen3 window;2038000;50;1 rating • 1 ulasan;Terjual 1;fhfh store
1774672878-22;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/dailyday-225/microsoft-surface-pro-5-core-i5-8-256-bluetooth-1732656510953423996?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D202603280438404734BA6F3DE83D25DYSN%26src%3Dsearch;Microsoft Surface Pro 5 Core i5 8/256 Bluetooth;3400000;;;;DailyDay.
1774672884-23;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/rojenri79/laptop-microsoft-surface-laptop-2-intel-core-i7-8th-ram-16gb-ssd-512gb-13-inch-touch-corning-glass-1733294036889273626?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D202603280438404734BA6F3DE83D25DYSN%26src%3Dsearch;Laptop Microsoft Surface Laptop 2 Intel Core i7 8th Ram 16GB SSD 512GB 13-Inch Touch Corning Glass;6550000;;;;Ropindo Computer
1774672891-24;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/andaracomp/microsoft-surface-pro-7-i5-1165g7-8gb-256gb-2k-touchscreen-1731957359966520772?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D202603280438404734BA6F3DE83D25DYSN%26src%3Dsearch;MICROSOFT SURFACE PRO 7+ I5 - 1165G7 / 8GB / 256GB / 2K / TOUCHSCREEN;6500000;50;1 rating • 1 ulasan;Terjual 1;Andara comp
1774672898-25;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/rifki893/microsoft-surface-book-3-intel-core-i5-gen-10-1731445664308364741?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D202603280438404734BA6F3DE83D25DYSN%26src%3Dsearch;Microsoft Surface Book 3 intel core i5 Gen 10;5300000;;;;r893Shop
1774672903-26;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/thinkpadpd/laptop-tablet-microsoft-surface-pro-7-core-i5-1035g4-2in1-ram-8gb-ssd-128gb-slim-ringan?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D202603280438404734BA6F3DE83D25DYSN%26src%3Dsearch;Laptop Tablet Microsoft Surface Pro 7 Core i5 1035G4 2in1 Ram 8Gb SSD & 128Gb Slim Ringan;4600000;50;2 rating • 1 ulasan;Terjual 3;thinkpadpd
1774672909-27;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/gerobakacc/microsoft-surface-pro-4-core-i5-touchscreen-2k-display-no-minus-murah?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D202603280438404734BA6F3DE83D25DYSN%26src%3Dsearch;Microsoft Surface Pro 4 Core i5 Touchscreen 2K Display No Minus Murah!;2950000;;;;GerobakACC
1774672915-28;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/rojenri79/laptop-microsoft-surface-pro-7-plus-intel-core-i5-11th-ram-8gb-ssd-256gb-1731925369813697818-1734668802936243482?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D202603280438404734BA6F3DE83D25DYSN%26src%3Dsearch;LAPTOP Microsoft Surface Pro 7 Intel Core i5 10th RAM 8GB SSD 256GB 12-Inch 2K - 8GB/128GB;6950000;50;1 rating • 1 ulasan;Terjual 3;Ropindo Computer
1774672921-29;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/dissant/microsoft-surface-pro-6-i5-8gb-ram-128gb-ssd?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D202603280438404734BA6F3DE83D25DYSN%26src%3Dsearch;MICROSOFT SURFACE PRO 6 I5 8GB RAM 128GB SSD;4500000;50;1 rating • 1 ulasan;Terjual 1;DissantsStore
1774672927-30;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/nilbyte/microsoft-surface-pro-7-i5-1035g4-8gb-128-gb-1733451721292023730?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D202603280438404734BA6F3DE83D25DYSN%26src%3Dsearch;Microsoft Surface Pro 7 i5 1035G4 / 8GB / 128 GB;3650000;;;;nilbyte
1774672933-31;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/thinksshop/microsoft-surface-pro-6-8-256-gb-1732361074245863070?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D202603280438404734BA6F3DE83D25DYSN%26src%3Dsearch;Microsoft Surface Pro 6, 8/256 Gb;7000000;;;;Think's Shop
1774672939-32;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/newcomputer/microsoft-surface-go-4415y-8gb-ram-128gb-ssd-keyboard-casing-mulus-1731582461920773442?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D202603280438404734BA6F3DE83D25DYSN%26src%3Dsearch;MICROSOFT SURFACE GO 4415Y 8GB RAM 128GB SSD + KEYBOARD + CASING MULUS;4500000;;;;NewComputer
1774672945-33;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/bangsammy/microsoft-surface-pro-5-intel-core-i5-7300u-8-gb-ram-ssd-256gb-1732228384758990797?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D202603280438404734BA6F3DE83D25DYSN%26src%3Dsearch;Microsoft Surface Pro 5 intel core i5-7300U 8 GB RAM SSD 256GB;3900000;;;;oentoengnja
1774672951-34;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/hentech-batam/microsoft-surface-laptop-2-intel-core-i7-gen-8-ram-16gb-ssd-512gb-touchscreen-1731778611587876204?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D202603280438404734BA6F3DE83D25DYSN%26src%3Dsearch;Microsoft Surface Laptop 2  Intel core i7 gen 8 Ram 16gb ssd 512Gb touchscreen;5300000;;;1 barang berhasil terjual;HENTECH BATAM
1774672957-35;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/robalcomputer/laptop-microsoft-surface-pro-7-intel-core-i5-1035g4-ram-8gb-12-inch-qhd-touch-tablet-1734467186050171927?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D202603280438404734BA6F3DE83D25DYSN%26src%3Dsearch;Laptop Microsoft Surface Pro 7 Intel Core i5 1035G4 Ram 8GB 12-Inch QHD Touch Tablet - 8GB/128GB;6674780;50;1 rating • 1 ulasan;Terjual 7;Robal Computer
1774672963-36;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/dissant/microsoft-surface-pro-4-i5-6300u-8gb-ram-256gb-ssd?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D202603280438404734BA6F3DE83D25DYSN%26src%3Dsearch;MICROSOFT SURFACE PRO 4 I5 6300U 8GB RAM 256GB SSD;3550000;50;1 rating • 1 ulasan;Terjual 2;DissantsStore
1774672969-37;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/zondocomputer/laptop-microsoft-surface-pro-5-intel-core-i5-ram-8gb-ssd-256gb-12-inch-qhd-2k-touch-tablet-1729827011400926691-1734668562159797731?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D202603280438404734BA6F3DE83D25DYSN%26src%3Dsearch;Laptop Microsoft Surface Pro 6 Intel Core i5 Ram 8GB SSD 256GB 12-inch QHD 2K Touch Tablet - 8GB/256GB;6223000;50;2 rating • 1 ulasan;Terjual 4;Zondo Computer
1774672975-38;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/zondocomputer/microsoft-surface-pro-7-plus-intel-core-i5-11th-ram-8gb-ssd-256gb-12-inch-pixelsense-2k-resolusi-1734507377123427811?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D202603280438404734BA6F3DE83D25DYSN%26src%3Dsearch;Microsoft Surface Pro 7 Plus Intel Core i5 11th Ram 8GB SSD 256GB 12-Inch PixelSense 2K Resolusi - Surface Pro 7, 8GB/128GB;6811000;45;2 rating • 1 ulasan;Terjual 3;Zondo Computer
1774672980-39;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/pusatko/laptop-tablet-microsof-surface-pro-5-ci5-2-60ghz-8gb-256gb-free-keyboard-1731237143151543702?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D202603280438404734BA6F3DE83D25DYSN%26src%3Dsearch;LAPTOP TABLET MICROSOF SURFACE PRO 5 CI5 2.60ghz /8GB/256GB FREE KEYBOARD - 8/256 GB A;3200000;;;;Pusat Komputer
1774672986-40;https://www.tokopedia.com/search?condition=2&navsource=home&source=universe&srp_component_id=04.06.00.00&st=product&q=laptop%20microsoft%20surface;https://www.tokopedia.com/timoho29/microsoft-surface-book-laptop-g1-core-i5-6300u-ram-8gb-ssd-128gb?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft+surface%26search_id%3D202603280438404734BA6F3DE83D25DYSN%26src%3Dsearch;Microsoft surface Book | Laptop|  G1 Core i5-6300U Ram 8GB SSD 128GB;3900000;;;;Hosea Timoho29
