web_scraper_order;web_scraper_start_url;link-product;product_name;price;rating;review_count;sold;seller
1774604773-1;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20realme;https://www.tokopedia.com/prostorecomputer/asus-vivobook-go-14-e1404fa-ryzen-5-7520-16gb-512gb-w11-ohs-14-0fhd-ryzen-3-8-256-laptop-98460?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme%26search_id%3D2026032709452337BC2F75BF1BCF264VHA%26src%3Dsearch%26whid%3D20917504;ASUS VIVOBOOK GO 14 E1404FA RYZEN 5 7520 16GB 512GB W11+OHS 14.0FHD - RYZEN 3- 8/256, LAPTOP;6124000;50;78 rating • 36 ulasan;Terjual 100+;ProStoreComputer
1774604779-2;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20realme;https://www.tokopedia.com/milanbarok39/promo-baru-laptop-toshiba-dynabook-satellite-pro-c40-g-13f-ssd-256gb?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme%26search_id%3D2026032709452337BC2F75BF1BCF264VHA%26src%3Dsearch;PROMO BARU LAPTOP Toshiba DynaBook Satellite Pro C40-G-13F SSD 256GB;3765700;50;7 rating • 4 ulasan;Terjual 11;Cahaya Negeri Official
1774604785-3;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20realme;https://www.tokopedia.com/collinsofficial/laptop-infinix-inbook-x2-2025-i5-1334u-8gb-16gb-512gb-14-fhd-ips-srgb-100-w11-1730862132036273984?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme%26search_id%3D2026032709452337BC2F75BF1BCF264VHA%26src%3Dsearch;"LAPTOP INFINIX INBOOK X2 2025 i5-1334U 8GB 16GB 512GB 14"" FHD IPS sRGB 100% W11 - 8GB";6799000;50;1 rating • 0 ulasan;Terjual 12;Collins Official
1774604792-4;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20realme;https://www.tokopedia.com/zyrex/laptop-zyrex-l-book-n4020-8gb-128gb-emmc-garansi-resmi-indonesia-1731985003740562670?extParam=ivf%3Dtrue%26keyword%3Dlaptop+realme%26search_id%3D2026032709452337BC2F75BF1BCF264VHA%26src%3Dsearch;Laptop Zyrex L-BOOK N4020 8GB/128GB EMMC Garansi Resmi Indonesia - LAPTOP, 128GB/W11 HOME;3699000;48;36 rating • 19 ulasan;Terjual 100+;Zyrex Official Store
1774604798-5;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20realme;https://www.tokopedia.com/netronic-laptop/acer-aspire-3-a314-21-amd-a4-9120-ram-8gb-ssd-256gb-14-inch-w10-free-tas-laptop-1734441440731563522?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme%26search_id%3D2026032709452337BC2F75BF1BCF264VHA%26src%3Dsearch;"ACER ASPIRE 3 A314-21 AMD A4-9120 RAM 8GB SSD 256GB 14"" INCH W10 FREE TAS LAPTOP - 4GB/HDD 1TB";2058000;50;1 rating • 1 ulasan;Terjual 1;Netronic Laptop
1774604804-6;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20realme;https://www.tokopedia.com/sahabatlaptop/laptop-murah-touchscreen-hp-14-intel-celeron-n4120-8gb-ddr4-64gb-emmc-14-inch-touchscreen-windows-11-home-1732483145061271048?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme%26search_id%3D2026032709452337BC2F75BF1BCF264VHA%26src%3Dsearch;Laptop Murah Touchscreen HP 14 Intel Celeron N4120 8GB DDR4 64GB EMMC 14 Inch Touchscreen Windows 11 Home - 3 BULAN BLUE, 4GB/64GB;3699000;;;;Sahabat Laptop id
1774604810-7;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20realme;https://www.tokopedia.com/ekskom/laptop-baru-lenovo-ideapad-slim-3-15-intel-i3-n305-8gb-1tb-ssd-fhd-ips-windows-11-home-1734394759614858717?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme%26search_id%3D2026032709452337BC2F75BF1BCF264VHA%26src%3Dsearch;Laptop Baru Lenovo Ideapad Slim 3 15 Intel i3 N305 8GB 1TB SSD FHD IPS Windows 11 Home - SLIM 1 14 N4500, 4GB 128GB;4899000;50;7 rating • 4 ulasan;Terjual 21;Eksklusif Komputer
1774604816-8;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20realme;https://www.tokopedia.com/agreshpauthorized/laptop-hp-14-core-i3-1315u-8gb-512gb-w11-ohs-14-fhd-ep0266tu-1731136689827579042?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme%26search_id%3D2026032709452337BC2F75BF1BCF264VHA%26src%3Dsearch;"Laptop HP 14 Core i3 1315U 8GB 512GB W11+OHS 14"" FHD - EP0266TU - HARGA TERBAIK, 4GB/512SSD";7099000;49;61 rating • 25 ulasan;Terjual 250+;AGRES - HP Authorized
1774604822-9;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20realme;https://www.tokopedia.com/gaminglaptopid/laptop-advan-soulmate-x2-amd-3020-8gb-128gb-w11-14-0-ips-1734413626814727787?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme%26search_id%3D2026032709452337BC2F75BF1BCF264VHA%26src%3Dsearch;Laptop ADVAN SOULMATE X2 AMD 3020 8GB 128GB W11 14.0 IPS - STANDAR;3474000;46;16 rating • 14 ulasan;Terjual 30+;Gaming Laptop ID
1774604829-10;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20realme;https://www.tokopedia.com/advanofficialitstore/advan-soulmate-x-14-ips-fhd-amd-3020e-4gb-128gb-free-windows-11-original-laptop-notebook-upgradeable-1733887771724121910?extParam=ivf%3Dtrue%26keyword%3Dlaptop+realme%26search_id%3D2026032709452337BC2F75BF1BCF264VHA%26src%3Dsearch%26whid%3D21392602;ADVAN Soulmate X 14” IPS FHD AMD 3020e 4GB/128GB Free Windows 11 Original Laptop Notebook Upgradeable - White;3199000;49;22 rating • 19 ulasan;Terjual 100+;ADVAN NOTEBOOK
