web_scraper_order;web_scraper_start_url;link-product;product_name;price;rating;review_count;sold;seller
1774664659-1;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20realme%20book;https://www.tokopedia.com/krd-store-indonesia/asus-vivobook-s14-core-i7gen8-8-512gb-1733632012020778915?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme+book%26search_id%3D20260328022342B2EB73490357540C9ZTY%26src%3Dsearch;Asus vivobook s14  Core i7gen8 8/512gb;3200000;;;;KRD Store indonesia
1774664665-2;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20realme%20book;https://www.tokopedia.com/drcomkomputer/laptop-asus-vivobook-x412fl-intel-core-i5-8256u-8-512gb-mx250-2gb?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme+book%26search_id%3D20260328022342B2EB73490357540C9ZTY%26src%3Dsearch;Laptop Asus VivoBook X412FL, Intel Core i5 - 8256U, 8/512Gb, MX250 2Gb;5000000;50;24 rating • 17 ulasan;Terjual 30+;DrCom_NEW
1774664672-3;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20realme%20book;https://www.tokopedia.com/sangsuryateknologi/laptop-hp-14s-dq500tu-intel-core-i5-1235u-ram-8gb-ssd-512gb-1730839161584649741?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme+book%26search_id%3D20260328022342B2EB73490357540C9ZTY%26src%3Dsearch;LAPTOP HP 14S-DQ500TU INTEL CORE I5-1235U RAM 8GB SSD 512GB - 8GB, SSD 128GB;4800000;;;;Laptopkediri_NEW
1774664678-4;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20realme%20book;https://www.tokopedia.com/byte-laptop/hp-elitebook-830-i5-gen-8-ddr4-8gb-ram-256gb-512gb-ssd-harga-murah-laptop-1732699073448871647?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme+book%26search_id%3D20260328022342B2EB73490357540C9ZTY%26src%3Dsearch;HP Elitebook 830  i5 GEN 8 DDR4 8GB RAM 256GB/512GB SSD Harga Murah Laptop - ran 8 ssd 256;3750000;50;2 rating • 0 ulasan;Terjual 4;Byte Laptop
1774664685-5;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20realme%20book;https://www.tokopedia.com/bintangjaya96/laptop-lenovo-legion-y7000-i5-9300h-ram-16gb-ssd-512gb-gtx-1650-4gb?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme+book%26search_id%3D20260328022342B2EB73490357540C9ZTY%26src%3Dsearch;Laptop Lenovo Legion Y7000 i5 9300H Ram 16Gb SSD 512Gb GTX 1650 4Gb;9200000;;;;Bintang jaya 96
1774664691-6;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20realme%20book;https://www.tokopedia.com/oceanla/lenovo-thinkpad-t470-t460-intel-core-i7-i5-gen-6-7-laptop-murah-ram-8gb-1733753859801712420?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme+book%26search_id%3D20260328022342B2EB73490357540C9ZTY%26src%3Dsearch;Lenovo Thinkpad T470 / T460 Intel Core I7 / i5 Gen 6 / 7  Laptop Murah RAM 8GB - T470 I5 - 7, 8GB / 256GB;2700000;49;603 rating • 337 ulasan;Terjual 1 rb+;Ocean Laptopp
1774664696-7;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20realme%20book;https://www.tokopedia.com/semarang-laptop-sparepart/lenovo-ideapad-slim-3-14itl6-fhd-14inch-intel-core-i5-1135g7-ram-8gb-ssd-256gb-notebook-second-bekas-1733355363597518621?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme+book%26search_id%3D20260328022342B2EB73490357540C9ZTY%26src%3Dsearch;LENOVO IDEAPAD SLIM 3 14ITL6 FHD 14inch Intel Core I5-1135G7 RAM 8GB SSD 256GB Notebook Second Bekas;4850000;;;;SEMARANG LAPTOP SPAREPART
1774664702-8;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20realme%20book;https://www.tokopedia.com/miguelcomputer/laptop-hp-elitebook-840-g7-core-i7-gen-10-ram-16gb-ssd-nvme-fhd-ips-nvme-256gb-85628?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme+book%26search_id%3D20260328022342B2EB73490357540C9ZTY%26src%3Dsearch;Laptop HP elitebook 840 G7 Core i7 Gen 10 - RAM 16GB - SSD NVME FHD IPS - NVME 256GB;5799000;49;11 rating • 4 ulasan;Terjual 30+;miguel computer
1774664708-9;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20realme%20book;https://www.tokopedia.com/amcomputerlaptop/laptop-redmi-book-15-core-i3-1115g4-ram-8-gb-ssd-256-gb-win-11-ori-1730844408685167744?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme+book%26search_id%3D20260328022342B2EB73490357540C9ZTY%26src%3Dsearch;LAPTOP REDMI BOOK 15 CORE I3-1115G4 RAM 8 GB SSD 256 GB WIN 11 ORI;3000000;;;1 barang berhasil terjual;AM COMPUTINDO ELECTRO
1774664714-10;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20realme%20book;https://www.tokopedia.com/raja-murah-pedia/laptop-lenovo-thinkpad-l15-l14-g2-g3-ryzen-5-ryzen-7-ram-64-gb-nvme-4-tb-vga-amd-radeon-promo-murah-bagus-bergaransi-1734328781927253300?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme+book%26search_id%3D20260328022342B2EB73490357540C9ZTY%26src%3Dsearch;LAPTOP LENOVO THINKPAD L15 L14 G2 G3 RYZEN 5 RYZEN 7 RAM 64 GB NVME 4 TB VGA AMD RADEON PROMO MURAH BAGUS BERGARANSI - L15 G1  i5 GEN10 INTEL, RAM 8 GB NVME 256 GB;3690000;49;16 rating • 8 ulasan;Terjual 29;Raja Murah Pedia
