web_scraper_order;web_scraper_start_url;link-product;product_name;price;rating;review_count;sold;seller
1774597417-1;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=LAPTOP%20SAMSUNG;https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a17-5g-8-256gb-1734215310532446189?extParam=ivf%3Dfalse%26keyword%3Dlaptop+samsung%26search_id%3D202603270743008D3BBA7425E7C9242RCY%26src%3Dsearch;Samsung Galaxy A17 5G 8/256GB - Black;3699000;50;335 rating • 131 ulasan;Terjual 1 rb+;Samsung Official Store
1774597429-2;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=LAPTOP%20SAMSUNG;https://www.tokopedia.com/royalltech/asus-vivobook-go-14-e410ka-intel-celeron-n4500-8gb-512gb-w11-ohs-14-0fhd-blit-laptop-consumer-murah-ram-besar-cocok-untuk-office-kuliah-zoom-netflix-editing-kerja-haria-1734229118935795191?extParam=ivf%3Dfalse%26keyword%3Dlaptop+samsung%26search_id%3D202603270743008D3BBA7425E7C9242RCY%26src%3Dsearch;ASUS VIVOBOOK GO 14 E410KA INTEL CELERON N4500 8GB 512GB W11+OHS 14.0FHD BLIT - Laptop Consumer Murah, RAM Besar, Cocok untuk Office, Kuliah, Zoom, Netflix, Editing & Kerja Haria - LAPTOP, E410KA - N4500 - 8/256GB;5704000;49;47 rating • 16 ulasan;Terjual 90+;royalltech
1774597435-3;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=LAPTOP%20SAMSUNG;https://www.tokopedia.com/protechcom/asus-vivobook-14-a1404va-i3-1315u-8gb-512gb-14-fhd-ohs-w11-ddr4-8gb-05e3e?extParam=ivf%3Dfalse%26keyword%3Dlaptop+samsung%26search_id%3D202603270743008D3BBA7425E7C9242RCY%26src%3Dsearch%26whid%3D375893;"ASUS VIVOBOOK 14 A1404VA i3-1315U 8GB 512GB 14"" FHD OHS W11 - DDR4 8GB";7999000;49;331 rating • 162 ulasan;Terjual 1 rb+;ProTech Com
1774597441-4;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=LAPTOP%20SAMSUNG;https://www.tokopedia.com/royalltech/laptop-tecno-megabook-k15s-ryzen-5-7430u-16gb-512gb-ssd-win11-office-15-6-fhd-laptop-tipis-laptop-kerja-1732500936874231287?extParam=ivf%3Dfalse%26keyword%3Dlaptop+samsung%26search_id%3D202603270743008D3BBA7425E7C9242RCY%26src%3Dsearch%26whid%3D4029903;"Laptop TECNO Megabook K15S Ryzen 5 7430U 16GB 512GB SSD Win11 + Office – 15.6"" FHD Laptop Tipis Laptop Kerja - LAPTOP, K15S RYZEN 5 - 8/512";6274000;50;30 rating • 25 ulasan;Terjual 750+;royalltech
1774597447-5;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=LAPTOP%20SAMSUNG;https://www.tokopedia.com/wei-1/laptop-hp-14-em0332au-em0333au-ryzen-3-7320u-8gb-512gb-ssd-14-fhd-win11-ohs-1731073555487884763?extParam=ivf%3Dtrue%26keyword%3Dlaptop+samsung%26search_id%3D202603270743008D3BBA7425E7C9242RCY%26src%3Dsearch;"Laptop HP 14 em0332AU em0333AU Ryzen 3-7320U 8GB 512GB SSD 14""FHD Win11 OHS - SILVER-256GB, TANPA ANTIGORES";7299000;49;367 rating • 187 ulasan;Terjual 500+;We Itech
1774597453-6;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=LAPTOP%20SAMSUNG;https://www.tokopedia.com/geminielektronik/asus-vivobook-go-e1404fa-amd-ryzen-3-7320u-8gb-512gb-ssd-r610m-1732356712201946223?extParam=ivf%3Dfalse%26keyword%3Dlaptop+samsung%26search_id%3D202603270743008D3BBA7425E7C9242RCY%26src%3Dsearch;Asus Vivobook GO E1404FA Amd Ryzen 3-7320U | 8GB 512GB SSD - R610M - Black, RAM 8GB SSD 512GB;5400000;49;42 rating • 12 ulasan;Terjual 90+;GEMINI ELEKTRONIK_NEW
1774597459-7;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=LAPTOP%20SAMSUNG;https://www.tokopedia.com/geminielektronik/laptop-asus-e410kao-hd421-intel-n4500u-4gb-512ssd-win11-1730943913632236655?extParam=ivf%3Dfalse%26keyword%3Dlaptop+samsung%26search_id%3D202603270743008D3BBA7425E7C9242RCY%26src%3Dsearch;LAPTOP ASUS E410KAO HD421 INTEL N4500U / 4GB 512SSD / WIN11 - Peacock Blue, RAM 4 SSD 256;3450000;49;14 rating • 3 ulasan;Terjual 28;GEMINI ELEKTRONIK_NEW
1774597465-8;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=LAPTOP%20SAMSUNG;https://www.tokopedia.com/ecomputex/laptop-axioo-mybook-11g-n4020-6gb-256gb-ssd-11-6-inch-fhd-resmi?extParam=ivf%3Dfalse%26keyword%3Dlaptop+samsung%26search_id%3D202603270743008D3BBA7425E7C9242RCY%26src%3Dsearch;LAPTOP AXIOO MYBOOK 11G N4020 6GB 256GB SSD 11.6 INCH FHD - RESMI;2394500;50;3 rating • 2 ulasan;Terjual 4;eCompuTex Distribusi
1774597471-9;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=LAPTOP%20SAMSUNG;https://www.tokopedia.com/prostorecomputer/laptop-zyrex-l-book-n4020-8gb-256gb-w11pro-14inch-free-office-garansi-resmi-1733556941781239707?extParam=ivf%3Dfalse%26keyword%3Dlaptop+samsung%26search_id%3D202603270743008D3BBA7425E7C9242RCY%26src%3Dsearch%26whid%3D1366602;Laptop ZYREX L-Book N4020 8GB 256GB W11PRO 14inch Free Office Garansi Resmi - LAPTOP, 8GB-128GB;3874000;49;26 rating • 9 ulasan;Terjual 250+;ProStoreComputer
1774597477-10;https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=LAPTOP%20SAMSUNG;https://www.tokopedia.com/hexxacom/laptop-asus-vivobook-go-14-e410ka-n4500-8gb-256gb-intel-uhd-14-fhd-w11-ohs-1731077874584290897?extParam=ivf%3Dfalse%26keyword%3Dlaptop+samsung%26search_id%3D202603270743008D3BBA7425E7C9242RCY%26src%3Dsearch;"LAPTOP ASUS Vivobook Go 14 E410KA N4500 8GB 256GB INTEL UHD 14"" FHD W11 OHS - 8 gb";5599000;50;52 rating • 9 ulasan;Terjual 100+;hexxacom
